Original Description,Charge Class,Confidence Score,Matches
GLYCOPYRROLATE 0.2 MG/ML SOLN 1 ML VIAL,Pharmacy,1,GLYCOPYRROLATE 0.2 MG/ML SOLN 1 ML VIAL
HB LAB SMEAR FLUORESCT/ACID FAST,Laboratory,0.76,HC SMEAR FLUORESCENT ACID FAST
CALCIUM GLUCONATE IN 0.9% NACL 1 GRAM/100 ML SOLN,Pharmacy,0.84,CALCIUM GLUCONATE 10 % SOLN 10 ML VIAL
HB NASAL CANNULA PER DAY,Supply,0.87,NASAL CANNULA
SUCCINYLCHOLINE PER 20 MG,Pharmacy,0.9,SUCCINYLCHOLINE CHLORIDE PER 20 MG
HB LAB CULTURE COLONY COUNT UR,Laboratory,0.74,HC CULT/COLONY COUNT QUANT URINE
GENTAMICIN 10 MG/ML INJ 80,Pharmacy,0.87,GENTAMICIN 2MG/ML
EPINEPHRINE PER 0.1 MG,Pharmacy,0.85,EPINEPHRINE 0.1 MG/ML SOSY
HB LAB ELECTRONIC COMPATIBILITY,Laboratory,0.76,BASIC METABOLIC PANEL (CA TOTAL)
HB ECHO TRANTHR 2D W/CTRST LTD,Supply,0.75,HB ADAPTER CIRCT W/O SX PRT DL
IMMUNE GLOBULIN (HUMAN) 10 % SOLN 200 ML VIAL,Pharmacy,0.85,IMMUNE GLOBULIN (HUMAN) IV
VORICONAZOLE 200 MG/5 ML (40 MG/ML) SUSR 7.5 ML PACKAGE,Pharmacy,0.76,VORICONAZOLE 200 MG TABS
KIT SUCTION 14FR 2 GLOVE CATHETER CONTROL VALVE POP UP BASIN DEPTH MARK AIRLIFE TRI-FLO CATH-N-GLOVE STERILE LATEX FREE,Laboratory,0.69,T4 FREE
HB LAB FIBRIN DEGRAD D DIMER QN,Supply,0.72,BAG DRN BARD URMTR IN
FLUTICASONE 50 MCG/ACTUATION SPSN 16 G AER W/ADAP,Pharmacy,0.77,FLUTICASONE 44 MCG/PUFF AERO 10.6 G AER W/ADAP
HB LAB BLOOD TYPING ANTIBODYO,Laboratory,0.79,LAB BLOOD TYPING RH
COVER TABLE 65INX90IN HVY DUTY REINFORCED POLY,Laboratory,0.73,CREATININE  OTHER SOURCE (
HB RT INTERNAL TRANSPORT SUPPORT,Procedure,0.73,HB INTRAOP NEURO TESTING PER HR
HB LAB CREATININE OTHER,Laboratory,0.78,CREATININE  OTHER SOURCE (
"HB LAB QUANTITATIVE ASSAY DRUG, VORICONAZOLE, SO",Pharmacy,0.7,LACTATED RINGERS INTRAVENOUS SOLUTION
POTASSIUM CHLORIDE 20 MEQ PACK 100 EACH PACKET,Pharmacy,0.83,POTASSIUM CHLORIDE SR 20MEQ TA
LORAZEPAM 2 MG/ML SYRG 1 ML SYRINGE,Pharmacy,0.86,LORAZEPAM 2 MG/ML SOLN
BLADE SCALPEL #15,Supply,0.76,BLADE SZ 10
SPONGE 8X4IN VISTEC (RAYTEC) STRL,Room and Board,0.75,INTENSIVE CARE
HB OT ADL TRAINING EA 15 MIN,PT / OT / Speech Therapy,0.83,GAIT TRAINING EA 15 MIN
HB LAB LIPASE,Laboratory,0.79,HC LIPASE
"HB LAB HLA CLASS I, ANTIBODIES ID HI DEFINITION",Laboratory,0.69,HBOL LACTATE
HB LAB CMV QN NAP,Laboratory,0.68,LAB ABSCN
LIDOCAINE-EPINEPHRINE 1 %-1;100.000 SOLN 20 ML VIAL,Pharmacy,0.88,LIDOCAINE-EPINEPHRINE 0.5%-1:200 000 SOLN 50 ML
FENTANYL 10 MCG/ML SOLN,Pharmacy,0.97,FENTANYL 100 MCG/2ML SOLN
"LACTATED RINGERS SOLN 1,000 ML BAG",Pharmacy,0.94,HB LACTATED RINGERS SOL 1000ML A
ETOMIDATE 2 MG/ML SOLN 10 ML VIAL,Pharmacy,0.9,ETOMIDATE 2 MG/ML SOLN
STRAP KNEE & BODY 60IN X 3IN,Laboratory,0.71,ABO
ELECTROSURGICAL CAUTERY PENCIL W/PUSH BUTTON,Laboratory,0.74,ELECTROLYTE PANEL
"HB LAB DETECT AGENT NUCL ACID RESPIRATORY VIRUS PCR, SO",Supply,0.72,GLYCERIN (CHILD) RECTAL SUPPOSITORY
SUTURE SILK 2-0 18IN TIES,Supply,0.8,SUTURE SILK 0 CT-2 CR
SYRINGE LL 20ML,Supply,0.85,SYRINGE
HB LAB FERRITIN,Laboratory,0.87,FERRITIN
HB DUPLX SCAN EXTREM UNILAT,OR / Anesthesia / Recovery Room,0.73,HC ANESTH PER MINUTE
HB PT EVAL,PT / OT / Speech Therapy,0.83,PT RE EVAL
HB OT NEUROMUSCULAR RE-ED EA 15 MIN,PT / OT / Speech Therapy,0.86,HB PT NEUROMUSC RE-EDU EA 15 MIN
HB EKG 12 LEAD TRACING ONLY,Cardiology,0.89,HC EKG 12 LEAD TRACE ONLY
LATANOPROST 0.005 % DROP 2.5 ML DROP BTL,Pharmacy,0.78,TROPICAMIDE 0.5% DROP 15 ML DROP BTL
HB LAB PLATELET AB ID,Laboratory,0.73,LACTATE WHOLE BLOOD
HB LAB POTAS SERUM WHOLE BL,Laboratory,0.76,HB POTASSIUM WHOLE BLOOD
HB LAB LEGIONELLA CULTURE,Procedure,0.71,HB EEG-NONINTRACRANIAL
LABEL MEDICATION 1 2 SMALL LARGE CUSTOM,Pharmacy,0.71,ACETAZOLAMIDE 25MG /1ML ORAL
HB LAB CULTURE FUNGUS OTHER,OR / Anesthesia / Recovery Room,0.77,HCHG CULTURE FUNG+SMEAR
SPONGE DRAIN SORB-IT 4X4 DRESSING,Supply,0.82,SPONGE DRAIN T'SORB
HB ORTHOTIC ORTHOSIS AFO STATIC,Laboratory,0.68,HCT ISTAT
HB LAB LEVEL IV SURG GROSS & MICR,Laboratory,0.79,LEVEL IV-SURG PATH GROSS/MICRO
HB LAB CULTURE TYPE IMMUNOLOGIC,Laboratory,0.7,HC BASIC METABOLIC PANEL TOTAL CA
HB A/E STOCKING/SLEEVE LV 2,OR / Anesthesia / Recovery Room,0.8,ANESTHESIA LEVEL 2
TRAY SURGICAL PREP SCRUB & SOLUTION PVP IOD,Supply,0.71,TRAY LUMBAR PUNCTURE
"HB VENTILTR, IPD/OBSV, INITIAL DAY",Respiratory Therapy,0.77,VENT SUPPORT INITIAL DAY
HB LAB CALCIUM IONIZED,Laboratory,0.93,HB CALCIUM IONIZED
HB LAB OSMOLALITY URINE,Laboratory,0.77,OSMOLALITY  URINE (UOSMO)
KIT SINGLE BASIN #7601,Laboratory,0.71,FIBRINOGEN ASSAY
DRAPE SURGICAL L60 IN X W44 IN LATEX FREE HALF SHEET FAN FOLD STERILE DISPOSABLE,Laboratory,0.68,RH
VALGANCICLOVIR 450 MG TAB 60 EACH BOTTLE,Pharmacy,0.88,VALGANCICLOVIR 450 MG TAB
HB LAB HAPTOGLOBIN,Monitoring,0.76,HB LAB POC GLUCOSE
HB LAB IRON,Laboratory,0.8,HC IRON
HB LAB WET MOUNT,Laboratory,0.87,WET MOUNT
STERIDRAPE 1000,Diluent / Flush / Irrigant,0.82,STERILE WATER SOLP 1 000 M
HB PERFLUTREN LIP MICROS INJ PER ML,Pharmacy,0.82,PERFLUTREN LIPID MICROSHERE PER 1 ML
HB CT THORAX W/O CONTRST,Radiology,0.78,XR COLON WITH CONTRAST
SPONGE SURGICAL .25X9/16IN DISSECTOR BLUNT RADIOPAQUE KITTNER STERILE LATEX FREE DISPOSABLE,Blood Products,0.7,SPLITTING BLOOD PRODUCT EA TRANSFUSE ALIQUOT RBC
NEEDLE HYPO 25GA X 1.5IN,Respiratory Therapy,0.7,O2
DRESSING PETROLATUM 9X5IN PEEL FOIL PACK OCCLUSIVE GAUZE STRIP NONADHERENT XEROFORM STERILE 3% BISMUTH TRIBROMOPHENATE,Supply,0.7,DRESSING PETRO 9X3 IN
LIDOCAINE (CARDIAC) 100 MG/5 ML (2 %) SYRG 5 ML SYRINGE,Pharmacy,0.86,LIDOCAINE (CARDIAC) 100 MG/5ML 20 MG/ML SOLN
PAD ADULT REM GROUNDING PAD WO/CORD,Laboratory,0.68,SURG PATH LEW GROSS AND MICRO
MARKER SURGICAL SKIN DEVON BLACK W/ LABEL,Pharmacy,0.69,PEDIATRIC TRACE MINERALS SOLN 10 ML VIAL
SODIUM POLYSTYRENE 15 GRAM/60 ML SUSP,Pharmacy,0.85,SODIUM POLYSTYRENE 30 GRAM
REMIFENTANIL 1 MG SOLR 1 EACH VIAL,Pharmacy,0.82,CEFTAZIDIME 1 GRAM SOLR 1 EACH VIAL
GOWN SURGICAL REINFORCED XXL,Supply,0.8,GOWN SURGICAL STERILE-BACK
HB IV INF THER/PROPHY/DX INT<=1HR,Nursing Services,0.74,HC IV INF THER ADD HR
LINEZOLID 600 MG/300 ML SOLP,OR / Anesthesia / Recovery Room,0.79,LINEZOLID 600 MG TABLET
HB TRANSFUSION BLOOD/BLD COMP(S) PER DAY,Nursing Services,0.8,HB TRANSFUSE BLOOD/BLOOD C
HB LAB BLOOD TYPING RH,Laboratory,0.94,LAB BLOOD TYPING RH
HB OT EVAL,PT / OT / Speech Therapy,0.78,HC OT EVAL 15-30MIN
LOPERAMIDE 1 MG/5 ML LIQD 20 ML PACKAGE,Pharmacy,0.77,LOPERAMIDE 2 MG CAPS
HB LAB LACTATE DEHYDROGENASE LDH,Laboratory,0.74,ELECTROLYTE PANEL
HB LAB FIBRINOGEN ACTIVITY,Laboratory,0.83,FIBRINOGEN ACTIVITY
DRAPE SURGICAL 16X10IN DEVON MAGNETIC STAY HANDS FREE TRANSFER STERILE DISPOSABLE,Supply,0.68,EXT SET PRESSURE INFUSE 7IN ROT LUER MICROCLAVE
PROPOFOL 10 MG/ML EMUL 100 ML VIAL,Pharmacy,1,PROPOFOL 10 MG/ML EMUL 100 ML VIAL
HB LAB PNEUMOCYSTIS ANTIGEN,Laboratory,0.81,PNEUMOCYSTIS FUNGAL STAIN
HB LAB AEROBIC ISOLATE ADD MTHD,Laboratory,0.74,CUL BACT AEROBIC ADDL METH
HB LAB SPECIAL STAIN 1,Laboratory,0.74,BASIC METABOLIC PANEL
TOBRAMYCIN 40 MG/ML SOLN 2 ML VIAL,Pharmacy,0.97,TOBRAMYCIN 40 MG/ML SOLN 30 ML VIAL
HB XRY ABDOMEN AP 1 VW,Radiology,0.83,ABDOMEN 1 VW
TRAP MUCUS 40ML GRADUATED SCREW CAP LATEX FREE,Supply,0.74,HB TRAP MUCUS 40ML SPEC KT GRAD S
TPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML NEBU,Pharmacy,0.8,IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML SOLN
HB EMERGENCY ROOM LEVEL 5,Other,0.9,EMERGENCY ROOM LEVEL 5 W/MOD
TUBE TRACH SIZES SHLY CUF LOWP FEN,Laboratory,0.72,HB C REACTIVE PROTEIN
VANCOMYCIN 1 GRAM/200 ML PGBK,Pharmacy,1,VANCOMYCIN 1 GRAM/200 ML PGBK
HB INJ IV THER/PRPHY/DX SEQ NW,Nursing Services,0.69,HC IV INF THER ADD HR
HB LAB ROUTINE CULTURE,Nursing Services,0.76,ROUTINE VENIPUNCTURE
HB NEUROMUSCULAR RE-ED EA 15 MIN,PT / OT / Speech Therapy,0.89,HB PT NEUROMUSC RE-EDU EA 15 MIN
CUP AND LID STERILE 2 OZ 2 EACH,Laboratory,0.7,HC HEPARIN INDUCED PLATELET AB
COUNTER 2 FOAM STRIP DEVON LATEX FREE SHARPS 60 COUNT,Supply,0.7,LEAD SPRINT QUATTRO SECURE S 62CM
HB OT DEV COGNITIVE SKILLS EA 15 MIN,Plan Benefit,0.75,NITRIC OXIDE  EA 15 MIN
TC CATHETER UMBILICAL LL 3,Laboratory,0.75,HC CALCIUM TOTAL
BECLOMETHASONE 80 MCG/ACT,Pharmacy,0.73,ESOMEPRAZOLE 40MG CAP
GENTAMICIN 1 MG/ML INJ 100,Pharmacy,0.87,GENTAMICIN 2MG/ML
PNEUMOCOCCAL 13-VALENT CON,Laboratory,0.92,PNEUMOCOCCAL (13-VAL) CONJ
CATH PEZZAR 14FR #064014,Supply,0.73,CATH VERTEBRAL 4FR 100CM
"VANCOMYCIN 5 MG/ML INJ 1,0",Pharmacy,0.9,VANCOMYCIN 1GM/10ML INJ
"TC LACTATE (LACTIC ACID) , P",Monitoring,0.83,LACTATE (LACTIC ACID) POCT
HEPARIN IN NS (PF) INJ 50,Diluent / Flush / Irrigant,0.83,HEPARIN 2U/ML IN NS INJ (30ML)
"TC SODIUM (NA) , POCT",Monitoring,0.87,HC SODIUM  POC
SET BRAT 2 PROC 135CC LO V,Other,0.69,NEC TRANSPORT SVC
SENSOR SOMA PEDI #SPFB,Supply,0.76,SENSOR SPO2 ADHES ADL
HB WITHDRAWAL ARTERIAL BLOOD,Monitoring,0.72,HC ARTERIAL BLOOD GAS I STAT
ROCURONIUM 10 MG/ML INJ 5,Pharmacy,0.92,ROCURONIUM 10 MG/ML SOLN 5
HB DEMO/EVAL PT AER GEN/NEB/MD/IPPB DEV,Capital Equipment,0.7,HB ENTERAL FEEDING PUMP
DEXAMETHASONE 2 MG TABS 10,Pharmacy,0.82,DEXAMETHASONE (PER .25MG)4MG T
TC CATH URINARY NEO CARE S,Supply,0.78,CATH/CANN ARTERY PERC
TC GENTAMICIN PEAK,Laboratory,0.74,GENTAMICIN GENTAMICIN PEAK
TC PT MANUAL THERAPY TECHN,PT / OT / Speech Therapy,0.77,HB OCCUPATIONAL THERAPY EV
TPN - NEONATAL,Room and Board,0.78,ICU NEONATAL
C- SPECIMEN-COLLECT-,Nursing Services,0.95,C- SPECIMEN-COLLECT-FEE
CULTURE ROUTINE,Laboratory,0.92,CULTURE URINE
PORT-CHEST SINGLE PA,Monitoring,0.75,PULSE OX SINGLE
FAT EMULSION 20% 5,Pharmacy,0.9,FAT EMULSION 20 % EMUL
GLUCOSE METER,Monitoring,1,GLUCOSE-METER
VENT ADULT; SUBSEQUE,Respiratory Therapy,0.83,VENT ADULT MGMT SUBSQ DAY
AMPICILLIN 125MG VIA,Pharmacy,0.8,AMPICILLIN 250 MG/ML SOLR
PULSE OXIMETRY/DAILY,Monitoring,1,PULSE OXIMETRY/DAILY
D10W 0.2% NACL 250 M,Pharmacy,0.77,DXTRSE 10% W/0.9% NACL 500ML
FUROSEMIDE 10MG/ML 2,Pharmacy,0.93,FUROSEMIDE 10 MG/ML INJ 2ML
NICU ISOLETTE/BED SU,Supply,0.92,NICU ISOLETTE/BED SUPPLIES
HEART B/P MONITOR,Capital Equipment,1,HEART B/P MONITOR
D10W 250 ML,Diluent / Flush / Irrigant,0.84,D5W 25ML
RH FACTOR,Pharmacy,0.81,FACTOR V (FV)
HEP B /DP(A)T-POLIO,Capital Equipment,0.73,HEART B/P MONITOR
ALBUMIN SERUM,Laboratory,1,*ALBUMIN SERUM
INFANT FLOW CPAP/SIP,Supply,0.68,LACTATION SUPPLIES
ALK PHOS,Laboratory,0.79,ALKALINE PHOSPHATASE
DOPAMINE 40MG/ML 5 M,Pharmacy,0.81,DOPAMINE HCL 40MG- 400MG/D5W
DEXTROSE 5% IN WATER,Diluent / Flush / Irrigant,0.95,DEXTROSE 5% IN WATER INJ
BASIC METABOLIC PANE,Laboratory,0.98,BASIC METABOLIC PANEL
HEPARIN PF 10UNITS/M,Diluent / Flush / Irrigant,0.88,HEPARIN 10 UNIT/ML SOLN
0.45% NACL 500 ML,Diluent / Flush / Irrigant,0.89,IV 0.9% NACL 500 ML
CALCIUM GLUCONATE 10,Pharmacy,0.93,CALCIUM GLUCONATE 100 MG/M
ALBUTEROL HFA 90MCG/,Pharmacy,0.79,ALBUTEROL 90 MCG/ACTUATION
ALT(SGPT),Laboratory,1,ALT SGPT
M.D.I. TOT-INITIAL,Respiratory Therapy,0.72,SPUTUM INDUCTION INITIAL
PORACTANT ALFA 120MG,Pharmacy,0.72,AMIODARONE HCL TABLET 200MG
PHOSPHORUS SERUM,Laboratory,1,PHOSPHORUS SERUM
RC PEDI PAK + IRRD,Pharmacy,0.73,NICARDIPINE DRIP KIT
FILTER ( 0.2MICRON F,Plan Benefit,0.72,NITRIC
POTASSIUM ACETATE 2M,Pharmacy,0.93,POTASSIUM ACETATE 2 MEQ/ML
PF STERILE WATER FOR,Diluent / Flush / Irrigant,0.9,STERILE WATER
L D H,Laboratory,1,LDH
Z DRUG SCREEN UMB CR,Laboratory,0.81,DRUG SCREEN QUANT
PNEUMOCOCCAL 13-VALE,Laboratory,0.92,PNEUMOCOCCAL (13-VAL) CONJ
OSCILLATOR INFANT; S,Supply,0.77,CART ISOLATION
CDIFF TOXINS BY PCR,Laboratory,0.82,HC C DIFF BY PCR
ISOLETTE,Supply,0.78,NICU ISOLETTE/BED SUPPLIES
D5W 250 ML (USE FOR,Diluent / Flush / Irrigant,0.86,D5W 250ML
RETICULOCYTE,Laboratory,0.86,RETICULOCYTE AUTOMATED
ADMIN PNEUMONIA VAC,Nursing Services,0.91,HC ADMIN PNEUMONIA VACCINE
GEL ANTIBODY SCREEN,Laboratory,0.94,ANTIBODY SCREEN
BILIRUBIN LAMP,Laboratory,0.85,BILIRUBIN TOTA
HCT.,Laboratory,0.92,HCT
PROTEIN TOTAL SERUM,Laboratory,0.96,PROTEIN TOTAL SER
TT ECHO CONGENITAL A,Plan Benefit,0.72,NICOTINE PATCH NONLEGE
GENTAMICIN,Pharmacy,0.88,GENTAMICIN 2MG/ML
STERI-CATH,Diluent / Flush / Irrigant,0.79,STERILE WATER
"TRANSFUSION, BLOOD/B",Nursing Services,0.87,TRANSFUSION
A&D OINTMENT,Supply,0.73,AQUAPHOR OINTMENT 14OZ 1 TUB E
Z DRG SCN UMB CORD B,Supply,0.67,DRSNG CHNG MINOR
CAFFEINE CITRATE 20M,Pharmacy,0.94,CAFFEINE CITRATE 20 MG/ML
ERYTHROMYCIN OPTH OI,Pharmacy,0.84,ERYTHROMYCIN BASE 0.5% OPHTH OINT 1G
"EPOETIN 2,000 UNITS/",Pharmacy,0.87,EPOETIN ALFA 2000 UNIT/ML SOLN
US DOPPLER ABD PELVI,Radiology,0.82,US DPLR CMPL ABD PELVIS SC
MIDAZOLAM 1 MG/ML 2M,Pharmacy,0.9,MIDAZOLAM 5 MG/ML SOLN 2 M
US RETROPERITONEAL;,Radiology,0.98,US RETROPERITIONEAL
IV COMBINED SUPPLIES,Supply,1,IV COMBINED SUPPLIES
INFANT CARE KIT,Supply,0.81,INFANT TRAINER SET
GENTAMICIN 2 MG/ML (,Pharmacy,1,GENTAMICIN 2MG/ML
D5W 100 ML,Diluent / Flush / Irrigant,0.96,D5W 1000ML
FREE T4,Laboratory,1,FREE T4
LIMB HOLDER INFANT,Supply,0.74,LIMB BAND ELECTRODE (SCN)
VACCINE ADMIN,OR / Anesthesia / Recovery Room,0.78,ANES ADD 30 MIN
REACTIVE PROTEIN,Laboratory,0.93,C - REACTIVE PROTEIN
SPECIMEN COLLECTION,Nursing Services,0.95,SPECIMEN COLLECTION FEE
TRIPLE DYE,Laboratory,0.81,TRIGLYCERIDE
ABO NEWBORN,Laboratory,0.77,ABO
FAT EMULSION 20% 100,Pharmacy,0.94,FAT EMULSION 20% EMUL 100
VENT ADULT; INITIAL,Respiratory Therapy,0.88,VENT ADULT MGMT INITIAL 0-
MRI BRAIN W/O CONTRA,Radiology,0.96,MRI BRAIN W/O CONTRAST
INDOMETHACIN 1MG VIA,Pharmacy,0.86,INDOMETHACIN 1 MG SOLR 1 EACH VIAL
ISOLETTE TRANSPORT,Other,0.8,HB POST-ICU TRANSPORT
Z DRUG SCN UMB CORD,Pharmacy,0.72,DRUG SCRN CHEW A
CETAPHIL LOTION 8OZ,Nursing Services,0.72,CAPILLARY BLD COLLECTION
US HEAD PORTABLE,Radiology,0.81,US HEAD
WALL SUCTION,Supply,1,WALL SUCTION
STOOL PANEL BY PCR F,Diluent / Flush / Irrigant,0.68,SOL NACL 0.9PCT PF 50ML
ABG'S RESP THERAPY,PT / OT / Speech Therapy,0.75,SPEECH THERAPY
REGULAR INSULIN 1UNI,Pharmacy,0.86,INSULIN REGULAR 100 UNIT
EAR SYRINGE,Supply,0.85,SYRINGE
02 CANNULA INITIAL S,Supply,0.7,CANNULA OXYGEN
SODIUM BICARB 0.5MEQ,Pharmacy,0.92,SODIUM BICARB 8.4% 50MEQ 5
FLUTICASONE 44 MCG/I,Pharmacy,0.82,FLUTICASONE INH 1
PHYTONADIONE INJ PER,Pharmacy,0.89,PHYTONADIONE 1 MG INJ
OB CARE SUPPLIES,Supply,0.87,ECHO SUPPLIES
OSCILLATOR INFANT; I,Supply,0.77,CART ISOLATION
EKG STAT,Monitoring,0.85,K ISTAT
BP CUFF DISP.,Supply,0.72,CUFF BP ADULT MED DISP
HEARING TEST KIT,Supply,0.75,INTRO SHEATH PERC KIT W/ H
Z DRG SCN UMB CORD M,Supply,0.68,DRSNG GERMCDL 1X4 NTMC
Z DRG SCN UMB CORD P,Monitoring,0.67,HC SODIUM  POC
0.9 NACL 250 CC,Diluent / Flush / Irrigant,0.87,0.9% NACL 250ML
CPD-DEXAMETHASONE 1,Pharmacy,0.8,DEXAMETH NA PHOS 10 MG
FUROSEMIDE 10 MG/1 M,Pharmacy,0.96,FUROSEMIDE 100MG/1
CPD-CAFFEINE CITRATE,Pharmacy,0.77,CAFFEINE CITRATE 20 MG/ML
CYCLOPENTOLATE-PHENY,Pharmacy,0.92,CYCLOPENTOLATE-PHENYLEPHRI
SODIUM CHLORIDE 4MEQ,Pharmacy,0.94,SODIUM CHLORIDE 4 MEQ/ML S
CPD-CHLOROTHIAZIDE 5,OR / Anesthesia / Recovery Room,0.73,HCHG ECHO DOPPLER LIMITED
MEDIUM CHAIN TRIGLYC,Laboratory,0.73,IONIZED CALICUM
MULTI VITAMIN/IRON,Pharmacy,0.91,MULTIVITAMIN-IRON DROP
GLYCERIN FED SUPPOSI,Supply,0.89,GLYCERIN SUPP
CHLOROTHIAZIDE 250MG,Pharmacy,0.88,CHLOROTHIAZIDE 28 MG/ML SO
DIAPER RASH OINTMENT,Supply,0.74,INFANT TRAINER SET
CPD-NYATATIN OINT/TR,Laboratory,0.72,SEDIMENTATION RAT
CPD-AQUAPHOR/CHOLEST,Respiratory Therapy,0.74,CPAP
CPD-SPIRONOLACTONE 1,Pharmacy,0.72,SPIRONOLACTONE 5MG/1ML ORAL
SOD POLYSTYRENE SUSP,Pharmacy,0.9,SOD POLYSTYRENE SULF 15GM SUSP
CPD-SPIRONOLACTONE 5,Pharmacy,0.76,SPIRONOLACTONE 25 MG TAB
PROPARACAINE 0.5% BY,Pharmacy,0.8,PROPARACAINE HCL 0.5% OPHTH SOLN 15ML
TC TUBE TRACH BIVONA TTS P,PT / OT / Speech Therapy,0.74,FUNCT THER ACTIV 15 MIN OT
TC UREA NITROGEN (BUN) - S,Laboratory,0.79,UREA NITROGEN BLOOD BUN
DIPHTHERIA-TETANUS-ACELLUL,Pharmacy,0.86,DIPHTHERIA-TETANUS TOXOID-ACELLULAR PERTUSSIS-H
TC SHIGA TOXIN 1 INFECTIOU,Cardiology,0.71,HC STIM HRT PACING POST IV INF
CEFTAZIDIME 180 MG/ML INJ,Pharmacy,0.84,CEFTAZIDIME 200 MG/ML SOLR
BUPIVACAINE (PRESERVATIVE-,Pharmacy,0.73,HB BUPIVACAINE 0.5% VIAL
LIDOCAINE/EPINEPHRINE 1%-1,Pharmacy,0.81,LIDOCAINE-EPINEPHRINE 0.5%-1:200 000 SOLN 50 ML
MORPHINE (PF) 2 MG/ML CRTG,Pharmacy,0.9,MORPHINE 2 MG/ML SYRG
SODIUM CHLORIDE PER 250 ML,Diluent / Flush / Irrigant,1,SODIUM CHLORIDE PER 250 ML
POTASSIUM CHLORIDE PER 2 MEQ,Pharmacy,1,POTASSIUM CHLORIDE PER 2 MEQ
HC HEPATIC FUNCTION PANEL,Laboratory,1,HC HEPATIC FUNCTION PANEL
HC CARDIAC SURVEILLANCE TELEMETRY MONITORING,Laboratory,0.75,CHLORIDE URINE ELECTROLYTE RANDOM URINE
OXYCODONE-ACETAMINOPHEN 5-325 MG TAB,Pharmacy,0.99,OXYCODONE-ACETAMINOPHEN 5-325 MG TABS
HC SP TREATMENT S/L/V,Laboratory,0.76,HC PTT
THIAMINE 100 MG TAB,Pharmacy,0.98,THIAMINE 100 MG TABS
HC CBC WITHOUT DIFFERENTIAL,Laboratory,0.9,CBC WITH AUTO DIFFERENTIAL
FAMOTIDINE 20 MG/50 ML PGBK,Pharmacy,0.89,FAMOTIDINE 20MG/2ML
ENALAPRILAT 1.25 MG/ML INJ,Plan Benefit,0.75,DORNAE ALPHA 2.5MG/2.5 ML
VECURONIUM 10 MG SOLR 1 EACH VIAL,Pharmacy,0.95,VECURONIUM 10MG SOLR 1 EACH
MIDAZOLAM (PF) 1 MG/ML SOLN,Pharmacy,0.97,MIDAZOLAM 1 MG/ML SOLN
HC ED CRITICAL CARE EACH ADDL 30 MIN,Other,0.83,CRITICAL CARE ADDL 30 MIN
HC CHEST 1 VW FRONTAL,Radiology,0.87,XR CHEST 1 VIEW FRONTAL
SUCCINYLCHOLINE CHLORIDE 100 MG/5 ML (20 MG/ML) SYRG,Pharmacy,0.84,SUCCINYLCHOLINE CHLORIDE PER 20 MG
HC GLUCOSE BLD BY MONITOR DEVICE POC,Monitoring,1,HC GLUCOSE BLD BY MONITOR DEVICE POC
HC CREATINE KINASE,Laboratory,0.94,CREATINE KINASE C
HC LACTIC ACID,Laboratory,1,HC LACTIC ACID
HC PT THERAPEUTIC ACTIVITIES 15MIN,PT / OT / Speech Therapy,0.81,HC THERAPEUTIC ACTIVITIES PT
HC ADULT VENTILATOR(SUBSEQ),Respiratory Therapy,0.82,VENTILATOR-ADULT SUBSEQ DAY
HC ARTERAL BLOOD GAS,Monitoring,0.98,HC ARTERIAL BLOOD GAS
HC PULSE OXIMETRY MULT DETERMINAT,Monitoring,1,HC PULSE OXIMETRY MULT DETERMINAT
HC POTASSIUM,Laboratory,1,HC POTASSIUM
HC AMMONIA,Laboratory,1,HC AMMONIA
DEXMEDETOMIDINE IN 0.9 % NACL 400 MCG/100 ML (4 MCG/ML) SOLN,Pharmacy,0.82,DEXMEDETOMIDINE 100 MCG/ML SOLN 2 ML VIAL
ASPIRIN 81 MG TBEC,Pharmacy,0.9,ASPIRIN 81 MG CHEW TAB
PIPERACILLIN-TAZOBACTAM 3.375 GRAM/50 ML PGBK,Pharmacy,0.91,PIPERACILLIN-TAZOBACTAM 3.375 GM/50ML SOLN
HC PHOSPHOROUS SERUM,Laboratory,0.89,HC PHOSPHORUS
"HC VANCOMYCIN, TROUGH",OR / Anesthesia / Recovery Room,0.97,HCHG VANCOMYCIN TROUGH
HC R ICU ROOM,Room and Board,0.8,ICU ROOM
SODIUM CHLORIDE 0.9 % WITH KCL 20 MEQ 20 MEQ/L SOLP,Diluent / Flush / Irrigant,0.83,SODIUM CHLORIDE 0.9 % IV SOLP
HC ARTERIAL PUNCT DRAW BLD FOR DX,Nursing Services,0.83,HC ARTERIAL PUNCTURE
HC APTT,Laboratory,0.94,HC PTT
HC EP EVAL OF SICD,Laboratory,0.74,HC LIPASE
IOHEXOL PER 1 ML,Pharmacy,0.78,IOPAMIDOL PER 1 ML
HC R INTERMEDIATE CARE ROOM,Room and Board,0.83,HC R&B INTERMEDIA TEICU
HC ECHO LIMITED WO CONT,Cardiology,0.74,HC ECHO TTE W DPLR COMPLT W CONTRST
HC MERGE MULTIFUNCTION DEFIB PAD,Supply,0.74,HC-TUBE FEEDING ENTERAL PRODUC
METOPROLOL TARTRATE 25 MG TAB,Pharmacy,0.99,METOPROLOL TARTRATE 25 MG TABS
