Original Description,Charge Class,Confidence Score,Matches,Counts
PROTAMINE 10 MG/ML INJ 25,Pharmacy,0.8100000000000002,"FUROSEMIDE 10 MG/ML INJ 2ML, MORPHINE 4MG/ML INJ, MORPHINE 2MG/ML INJ, ACETAMINO 10MG INJ, PROTAMINE SULFATE 10 MG INJ",5
KIT CVC LUM DBL 5FR 15CM 5,,,,0
IBUPROFEN 200 MG TABS,"OR / Anesthesia / Recovery Room, Pharmacy",,"IBUPROFEN 600 MG TABS, IBUPROFEN 100 MG/5 ML SUSP, IBUPROFEN 20 MG/ML ORAL, RX IBUPROFEN 600MG TAB, BUPROPION 100 MG TABS, IBUPROFEN 800MG TAB, IBUPROFEN 200 MG TABLET",7
"THROMBIN 20,000 UNITS POWD",Pharmacy,0.88,THROMBIN 5000 UNIT KIT POW,1
TC BLOOD COUNT HEMOGLOBIN,,,,0
POLYETHYLENE GLYCOL 8.5 GR,"OR / Anesthesia / Recovery Room, Pharmacy",,"POLYETHYLENE GLYCOL 17 GRAM PWPK 8.5 G CUP, POLYETHYLENE GLYCOL 3350 PACK, POLYETHYLENE GLYCOL PWD 17G, POLYETHYLENE GLYCOL 17GM PWD P, POLYETHYLENE GLYCOL 17 GRAM PWPK, POLYETHYLENE GLYCOL 3350 PACKET 17G UD, POLYETHYLENE GLYCOL PACK, POLYETHYLENE GLYCOL 3350-NF POWDER 17G, 14512002 - POLYETHYLENE GLYCOL 17GM PWD, POLYETHYLENE GLYCOL 3350 8.5 G ORAL POWDER",10
TC CBC W/AUTO PLATELET & D,,,,0
"TC ELECTROCARDIOGRAM-EKG,",Cardiology,0.87,ELECTROCARDIOGRAM,1
TC ANES MATL GEN EACH ADDL,,,,0
TC CROSSMATCH-ELECTRONIC,Laboratory,0.82,CROSSMATCH ELECTRONIC,1
TC PEDIATRIC INTENSIVE,,,,0
HYDROCODONE/ACETAMINOPHEN,Pharmacy,0.8633333333333333,"HYDROCODONE-ACETAMINOPHEN 5-325 MG TABS, OXYCODONE-ACETAMINOPHEN 5-325 MG TABS, OXYCODONE - ACETAMINOPHEN",3
TC PARTIAL THROMBOPLASTIN,Laboratory,0.81,"ACT.PART THROMBOPLASTIN TI, PARTIAL THROMBOPLASTIN TI",2
TC ANES MATL GEN 1HR (INITI,,,,0
TC PEDIATRIC INTERMEDIATE,,,,0
TC O.R.TIME CV/W PUMP INIT,,,,0
DEXTROSE 5%-SODIUM CHLOR,"Diluent / Flush / Irrigant, Pharmacy",,"DEXTROSE 5 % SOLN, DEXTROSE 5%, DEXTROSE 5% (D5W) SOLP, DEXTROSE 5% 5 % SOLN, DEXTROSE 5% 50ML, DEXTROSE 5% IN, DEXTROSE 5% SOLN, DEXTROSE 5% SOLP, DEXTROSE SOLP, DEXTROSE 50% SOLN, DEXTROSE 5% - SODIUM CHLORIDE 0.45% PARENTERAL, DEXTROSE 50 % SOLN",12
PANTOPRAZOLE 1 MG/ML INJ 4,Pharmacy,0.8225,"PANTOPRAZOLE 4 MG/ML SOLR 1 EACH VIAL, PANTOPRAZOLE 4 MG/ML SOLR, PANTOPRAZOLE 40 MG SOLR, KETOROLAC 15MG/ML INJ, PANTOPRAZOLE 40MG EC T, PANTOPRAZOLE 40 MG INJ, PANTOPRAZOLE 40 MG TAB, PROPOFOL 10 MG/ML INJ",8
MORPHINE PF 1 MG/ML INJ 2,Pharmacy,0.8442857142857143,"MORPHINE 1 MG/ML SOLN, MORPHINE 1 MG/ML SOLN 2 ML AMPUL, MORPHINE 15 MG/ML SOLN, MORPHINE 15 MG/ML SOLN 20, MORPHINE 15 MG/ML SOLN 20 ML VIAL, MORPHINE 2 MG/ML SOLN, MORPHINE SULF 10MG/ML 1ML INJ, MORPHINE SULF 30MG INJ, MORPHINE 4MG/ML INJ, MORPHINE 2MG/ML INJ, MORPHINE 2 MG INJ, MORPHINE PF 10MG INJ, MORPHINE SULFATE 10 MG INJ, MORPHINE SULFATE UP TO 10 MG INJ",14
CLIP LIGAT HORIZON TI SM 6,,,,0
TC O.R. TIME CV W/PUMP ADD,,,,0
KIT CATH 2.5 5CM #CPMSY-25,,,,0
MIDAZOLAM 2 MG/ML SYRP 5 M,Pharmacy,0.8227272727272728,"MIDAZOLAM 1 MG/ML SOLN, MIDAZOLAM 10 MG/2ML SOLN, MIDAZOLAM 2 MG/2ML SOLN, MIDAZOLAM 5 MG/5ML SOLN, MIDAZOLAM 5 MG/ML SOLN, MIDAZOLAM 5 MG/ML SOLN 10, MIDAZOLAM 5 MG/ML SOLN 2 M, MIDAZOLAM 5MG/5ML INJ, MIDAZOLAM 2MG/2ML VIAL, MIDAZOLAM 2MG/2ML INJ, HB MIDAZOLAM 10MG/5ML SYRUP CUP",11
TC BLOOD ALIQUOTING,,,,0
FUROSEMIDE 20 MG TABS,Pharmacy,0.875,"FUROSEMIDE 10 MG/ML SOLN, FUROSEMIDE PER 20 MG, FUROSEMIDE 10 MG/ML SOLN 1, FUROSEMIDE 40MG TABS, HB FUROSEMIDE 10MG/ML VIAL, FUROSEMIDE 100MG/1, FUROSEMIDE 80 MG TABS, TORSEMIDE 100 MG TABS, TORSEMIDE 20 MG TABS, FUROSEMIDE 20 MG INJ, FUROSEMIDE 20 MG TAB, FUROSEMIDE 40 MG TAB, FUROSEMIDE UP TO 20 MG, FAMOTIDINE 20 MG TABS",14
ONDANSETRON 2 MG/ML INJ 2,"OR / Anesthesia / Recovery Room, Pharmacy",,"ONDANSETRON 2 MG/ML SOLN, ONDANSETRON 4 MG/2 ML INJ, ONDANSETRON 4 MG/2 ML SOLN 2 ML VIAL, ONDANSETRON 4 MG/2ML SOLN, ONDANSETRON 4 MG/2 ML SOLN, ONDANSETRON 1 MG INJ, ONDANSETRON 4MG/2ML INJ, ONDANSETRON 4 MG TBDL, ONDANSETRON 1MG INJ, ONDANSETRON 4 MG VL, ONDANSETRON HCL 1 MG INJ, ONDANSETRON HCL PF 4 MG/2 ML INJECTION SOLUTION",12
TUBE FEEDING 03.5FR 12IN #,Supply,0.8,TUBE  FEEDING  5 FR  PHARM,1
TC PT THERAPEUTIC PROCEDUR,,,,0
TC BASIC METABOLIC PANEL,"Laboratory, OR / Anesthesia / Recovery Room",,"BASIC METABOLIC PANEL, HC BASIC METABOLIC PANEL, BASIC MET PANEL CA TOTL, 63527001 - BASIC METABOLIC PANEL, BASIC METABOLIC PANEL (BMP, HB BASIC METABOLIC PANEL, HCHG BASIC METABOLIC PANEL",7
GELATIN ADSORBABLE SIZE 10,,,,0
SURGIFOAM GELATIN SPONGE S,Supply,0.86,SURGIFOAM ABS GEL SPONGE H,1
NEOSTIGMINE 1 MG/ML INJ 10,Pharmacy,0.8783333333333333,"NEOSTIGMINE 1 MG/ML SOLN, NEOSTIGMINE 10 MG/10ML SOLN, NEOSTIGMINE 5MG/ML INJ, NEOSTIGMINE 5MG/5ML INJ (PREFILL SYR), HB NEOSTIGMINE 1MG/ML VIAL, NEOSTIGMINE 5MG INJ",6
MORPHINE INJ 50 ML,Pharmacy,0.828,"MORPHINE SULF 30MG INJ, MORPHINE 4MG/ML INJ, MORPHINE 2MG/ML INJ, MORPHINE 2 MG INJ, MORPHINE PF 10MG INJ",5
"TC PLATELET PHERESIS, (PART",Blood Products,0.8,LCHG PLATELET PHERESIS LR,1
CALCIUM CHLORIDE 10% INJ 1,Pharmacy,0.85,"CALCIUM CHLORIDE 20 MG/ML, CALCIUM CHLORIDE SYRG, CALCIUM CHLOR 10% 1GM 10ML, CALCIUM CHLORIDE 10%",4
"TC CHEST, 2 VIEWS.",Radiology,0.83,"HC CHEST 2 VIEW, HB CHEST- 2 VIEWS",2
MILRINONE 0.2 MG/ML INJ 20,,,,0
MORPHINE 1 MG/ML SOLN,"OR / Anesthesia / Recovery Room, Pharmacy",,"FUROSEMIDE 10 MG/ML SOLN, METHADONE 1 MG/ML SOLN, METHADONE 10 MG/ML SOLN, MORPHINE 1 MG/ML SOLN, MORPHINE 1 MG/ML SOLN 2 ML AMPUL, MORPHINE 15 MG/ML SOLN, MORPHINE 15 MG/ML SOLN 20, MORPHINE 15 MG/ML SOLN 20 ML VIAL, MORPHINE 2 MG/ML SOLN, MORPHINE 25 MG/ML SOLN 10, ROCURONIUM 10 MG/ML SOLN, THIAMINE 100 MG/ML SOLN, ATROPINE 1 MG/ML SOLN, MORPHINE 15 MG/ML INJECTION SOLUTION, MORPHINE SULFATE 1 MG/ML I, MORPHINE SULF 10MG/ML 1ML INJ, MORPHINE 2 MG/ML SYRG, MORPHINE 4MG/ML INJ, MORPHINE 2MG/ML INJ, MORPHINE 2 MG INJ, FAMOTIDINE 10 MG/ML SOLN, MORPHINE 10 MG/ML INJECTION SOLUTION",22
CEFAZOLIN 1 GRAM VIAL INJ,Pharmacy,0.8325,"CEFAZOLIN 500 MG INJ, CEFAZOLIN 1 G VL, CEFAZOLIN 500MG INJ, HB CEFAZOLIN NA 1GM VIAL",4
TC PRIVATE ROOM,Room and Board,0.83,SEMI PRIVATE ROOM,1
"TC TEE,CONGENITAL ANOMALIE",,,,0
LIDOCAINE (10 MG/ML) 1% IN,"OR / Anesthesia / Recovery Room, Pharmacy",,"LIDOCAINE (PF) 100 MG/5 ML (2 %)SYRG, LIDOCAINE 1 % SOLN, LIDOCAINE 100 MG/5 ML SYRINGE, LIDOCAINE PER 10 MG, LIDOCAINE-PF 1% 30 ML INJ, LIDOCAINE (PF) 20 MG/ML(2%) SOLN 5 ML VIAL, LIDOCAINE HCL 10MG-1%20 ML INJ, LIDOCAINE 1% 20 ML INJ, LIDOCAINE 1% 50ML, LIDOCAINE HCL 10 MG, LIDOCAINE PF 10 MG/ML 1 % INJECTION SOLUTION",11
CYANOACRYLATE SOLN 1 EACH,,,,0
VASOPRESSIN CONTINUOUS INF,Pharmacy,0.805,"VASOPRESSIN 100 UNITS IN 1, VASOPRESSIN 20 UNIT INJ",2
"TC DOPPLER, COMPLETE",,,,0
BAG URINE METER DRAINAGE #,,,,0
"TC IONIZED CALCIUM, POCT","Laboratory, Monitoring",,"HB POC IONIZED CALCIUM, HC IONIZED CA  POC, IONIZED CALCIUM  POCT, IONIZED CALCIUM POCT, POC IONIZED CALCIUM, POC-IONIZED CALCIUM (ICA) GEM, HC IONIZED CALCIUM",7
"TC GLUCOSE-BLOOD, POCT","Laboratory, Monitoring",,"GLUCOSE BLOOD ATP, HB-GLUCOSE  POC, HC GLUCOSE  POC, HC GLUCOSE POC, GLUCOSE BLOOD, GLUCOSE  BLOOD, HC GLUCOSE BLOOD TEST",7
"TC POTASSIUM (K) , POCT","Laboratory, Monitoring",,"POTASSIUM, POTASSIUM (K) POCT, HC POTASSIUM  POC, POTASSIUM  POC, POTASSIUM POC, RT POTASSIUM",6
SUCROSE 0.24 G/ML SOLN 1 E,,,,0
DEXTROSE 10 % (D10W) WITH P,"Diluent / Flush / Irrigant, Pharmacy",,"DEXTROSE, DEXTROSE 10% SOLP",2
SIMETHICONE 20 MG/0.3 ML U,Pharmacy,0.86,"METHADONE 10 MG/ML, SIMETHICONE 20 MG/0.3 ML ORAL, SIMETHICONE-80MG U/D",3
FENTANYL 5 MCG/ML INJ 20 M,Pharmacy,0.8399999999999999,"FENTANYL 250MCG/5ML INJ, FENTANYL 100MCG/2ML INJ., FENTANYL 100 MCG INJ, FENTANYL 50MCG/ML 5ML, HB FENTANYL 50ML INJ 0.05MG/ML, FENTANYL 100 MCG/2 ML INJ, FENTANYL 250 MCG/5 ML INJ, FENTANYL 50 MCG/ML SOLN, FENTANYL 50 MCG/ML SOLN 2, FENTANYL 50 MCG/ML SOLN 2 ML VIAL, FENTANYL 50 MCG/ML SOLN 20",11
TC COOMBS - INDIRECT,Laboratory,0.92,HCHG COOMBS INDIRECT,1
LACTATED RINGERS (LR) SOLN,Pharmacy,0.8766666666666666,"LACTATED RINGERS INTRAVENOUS SOLUTION, LACTATED RINGERS SOLP, LACTATED RINGER SOLP, LACTATED RINGERS SOLN, LACTATED RINGERS 1000, HB LACTATED RINGERS SOL 1000ML A",6
TC PT EVALUATION 45 MINUTE,,,,0
TC B-TYPE NATRIURETIC PEPT,,,,0
"TC TUBE, REPLOGLE SUCTION",,,,0
VORICONAZOLE PER 10 MG,Pharmacy,0.8333333333333334,"HB VORICONAZOLE 200MG VIAL, VORICONAZOLE 200 MG TABS, VORICONAZOLE INJ 10MG/ML",3
FUROSEMIDE PER 20 MG,Pharmacy,0.8677777777777778,"FUROSEMIDE PER 20 MG, FUROSEMIDE INJ 40MG 4ML, FUROSEMIDE 40MG TABS, FUROSEMIDE 100MG/1, FUROSEMIDE 80 MG TABS, FUROSEMIDE 20 MG INJ, FUROSEMIDE 20 MG TAB, FUROSEMIDE 40 MG TAB, FUROSEMIDE UP TO 20 MG",9
SYRINGE BD LUER-LOK 1GML LATEX FREE STERILE BOLD SCALE MARK STOPPER THREAD MEDICAL BARREL DISPOSABLE,,,,0
GOWN SURGICAL STANDARD W/ TOWEL XLG,,,,0
HB DAILY SUPPLY CHARGE-MEDICAL ICD/TRAUMA,,,,0
GANCICLOVIR PER 500 MG,Pharmacy,0.84,"GANCICLOVIR SODIUM  500 MG, GANCICLOVIR SODIUM 500 MG",2
VANCOMYCIN PER 500 MG,"Laboratory, Pharmacy",,"VANCOMYCIN 50 MG/ML SOLR, VANCOMYCIN PER 500 MG, VANCOMYCIN, VANCOMYCIN HCL 500 M, VANCOMYCIN 1, VANCOMYCIN 500 MG INJ, VANCOMYCIN 1 GRAM/200 ML PGBK, VANCOMYCIN 500MG INJ, VANCOMYCIN HCL. 500 MG-INJ, VANCOMYCIN HCI 500 MG, VANCOMYCIN 1 GM IVPB, VANCOMYCIN 1G/D5W 200ML, VANCOMYCIN 500 MG IVPB, VANCOMYCIN HCL 500 MG, VANCOMYCIN-RANDOM, VANCOMYCIN TROUGH",16
HB LAB CBC AUTO & AUTO DIFF WBC,,,,0
ACETAMINOPHEN 650 MG/20.3 ML SOLN,Pharmacy,0.8376923076923077,"ACETAMINOPHEN 10 MG/ML SOL, ACETAMINOPHEN 160 MG/5 ML, ACETAMINOPHEN 160 MG/5 ML SUSP, ACETAMINOPHEN 160 MG/5 ML SUSP 2.5 ML SYRINGE, ACETAMINOPHEN 325 MG TABS, ACETAMINOPHEN 80 MG SUPP, ACETAMINOPHEN 320 MG/ML SO, ACETAMINOPHEN 1000MG/100ML VL, ACETAMINOPHEN 500 MG TAB, ACETAMINOPHEN 32 MG/ML SUSP, ACETAMINOPHEN 160 MG/5ML SOLN, ACETAMINOPHEN 325MG, HB ACETAMINOPHEN 10 MG/ML IV SOLN",13
HB OPER RM-CMPLX 1ST 1/2 HR,,,,0
HB LAB RESPIRATORY CULTURE,,,,0
RANITIDINE 15 MG/ML SYRP 10 ML CUP,Pharmacy,0.875,"RANITIDINE 15 MG/ML SYRP, RANITIDINE 25 MG/ML SOLN",2
HB LAB TACROLIMUS (FK506),Pharmacy,0.85,TACROLIMUS (FK506B),1
HB LAB TOBRAMYCIN,,,,0
ALPRAZOLAM 1 MG TAB,,,,0
HB LAB CBC INCL PLATELETS,,,,0
HB PUMP LVL 2,Capital Equipment,1.0,HB PUMP LVL 2,1
HB LAB GASES BLOOD ANY COMBINATION,Laboratory,0.8,BLOOD GASES ANY COMBINATIO,1
INSULIN REGULAR HUMAN PER 5 UNITS,Pharmacy,0.845,"INSULIN REGULAR HUMAN 100, INSULIN HUMAN REG 5 UNITS, INSULIN REGULAR HUMAN 100 UNIT/ML SOLN, INSULIN REGULAR 100 UNIT",4
ALBUTEROL SULFATE 2.5 MG/0.5 ML NEBU,"Blood Products, Pharmacy",,"ALBUTEROL 2.5 MG/0.5 ML, ALBUTEROL SULFATE UD; ALBUTEROL SULF 2.5 MG/0.5 ML VIAL, ALBUTEROL SULFATE (2.5 MG/3ML) 0.083, ALBUTEROL SULFATE 2.5 MG/0.5 ML SOLUTION FOR NEBULIZATION",4
SODIUM BICARBONATE 8.4 % (1 MEQ/ML) SYRG,Pharmacy,0.8450000000000001,"SODIUM BICARBONATE 1 MEQ/ML SOLN, SODIUM BICARBONATE 1 MEQ/ML SOLN 50 ML VIAL, SODIUM BICARBONATE 4.2% 0., SODIUM BICARBONATE 5.4 % SOLN, SODIUM CHLORIDE 4 MEQ/ML S, SODIUM BICARBONATE 8.4% 1",6
"HB VENTILTR, IPD/OBSV, EA SUBSQ DAY",Respiratory Therapy,0.8200000000000001,"VENTILATOR-PEDS SUBSEQ DAY, HC VENTILATOR MGMT INPAT/OBS SUBSEQ DAY",2
LOPERAMIDE 1 MG/5 ML LIQD 10 ML PACKAGE,,,,0
PREDNISOLONE PER 5 MG,Pharmacy,0.89,"PREDNISONE ORAL PER 5MG, PREDNISOLONE PER 5MG LIQ (3MG), PREDNISONE 5 MG TAB",3
CHLORHEXIDINE 0.12 % MWSH 15 ML CUP,"Supply, Pharmacy",,"CHLORHEXIDINE 0.12 % MWSH, CHLORHEXIDINE GLUCONATE 0.12 % MWSH, CHLORHEXIDINE 0.12% MWSH, CHLORHEXIDINE 0.12% SOLN",4
SODIUM CHLORIDE PER 500 ML,"Respiratory Therapy, Diluent / Flush / Irrigant, Supply, Pharmacy",,"SODIUM CHL 0, SODIUM CHL PER, SODIUM CHL SOL, SODIUM CHLOR, SODIUM CHLOR INJ 100 M, SODIUM CHLORI, SODIUM CHLORID, SODIUM CHLORIDE, SODIUM CHLORIDE .9% 1000ML INJ, SODIUM CHLORIDE 0, SODIUM CHLORIDE 0., SODIUM CHLORIDE 0.45%, SODIUM CHLORIDE 0.45% FLUS, SODIUM CHLORIDE 0.9, SODIUM CHLORIDE 0.9 % 0.9, SODIUM CHLORIDE 0.9 % IV SOLP, SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG, SODIUM CHLORIDE 0.9 % SO, SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE 0.9 % SOLP, SODIUM CHLORIDE 0.9 % SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9%, SODIUM CHLORIDE 0.9% 0.9, SODIUM CHLORIDE 0.9% 0.9 % SOLP, SODIUM CHLORIDE 0.9% 0.9% SOLN, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 100ML IV, SODIUM CHLORIDE 0.9% 10ML SY, SODIUM CHLORIDE 0.9% 250ML I, SODIUM CHLORIDE 0.9% 250ML IV, SODIUM CHLORIDE 0.9% 25ML, SODIUM CHLORIDE 0.9% 50ML, SODIUM CHLORIDE 0.9% 50ML 5 0264-1800-31, SODIUM CHLORIDE 0.9% 50ML BAG, SODIUM CHLORIDE 0.9% 50ML MB+, SODIUM CHLORIDE 0.9% FLU, SODIUM CHLORIDE 0.9% INJ, SODIUM CHLORIDE 0.9% INJ 10ML, SODIUM CHLORIDE 0.9% IV, SODIUM CHLORIDE 0.9% IVPB  5, SODIUM CHLORIDE 0.9% SO, SODIUM CHLORIDE 0.9% SOL, SODIUM CHLORIDE 0.9% SOL 100ML, SODIUM CHLORIDE 0.9% SOLN, SODIUM CHLORIDE 0.9% SOLP, SODIUM CHLORIDE 0.9% SYRG, SODIUM CHLORIDE 0.9% SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE 10 ML SYR, SODIUM CHLORIDE INJ 0.9%, SODIUM CHLORIDE PER 250 ML, POTASSIUM CHLORIDE PREMIXED 20 MEQ/50 ML BAG PG, SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL, SODIUM CHLORIDE 0.45% SOLP, SODIUM CHLORIDE 0.45% SOLP 500 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 100 ML BAG, SODIUM CHLORIDE 0.9% SOLP 250 ML BAG, SODIUM CHLORIDE 0.9% SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% SOLP 500 ML FLEX CONT, SODIUM CHLORIDE 2.5 MEQ/ML, SODIUM CHLORIDE 2.5 MEQ/ML SOLN, SODIUM CHLORIDE 3 % NEBU, SODIUM CHLORIDE 4 MEQ/ML S, SODIUM CHLORIDE 4 MEQ/ML SOLP, SODIUM CHLORIDE 4 MEQ/ML SOLP 100 ML VIAL, SODIUM CHLORIDE PER 500 ML, SODIUM CHLORIDE POWD, SODIUM CHLORIDE POWD 500 G JAR, SODIUM CHLORIDE 3% SOLP, SODIUM CHLORIDE 0.9% 3ML INHA, SODIUM CHLORIDE 0.9% IV SOLP, SODIUM CHLORIDE 0.9% SOLP 250 ML FLEX CONT, SODIUM CHLORIDE 0.9 % PGBK 50 ML BAG, SODIUM CHLORIDE 3% 500ML, SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.45 % SOLN 1 000 ML FLEX CONT, SOD CHLORIDE 0.9% PER 250ML, SODIUM CHLORIDE 0 9% SOLN, SODIUM CHLORIDE 0.9 % SOLP 250 ML BAG, SODIUM CHLORIDE 7 % NEBU, SODIUM CHLORIDE 0.9% 250ML, POTASSIUM CHLORIDE PER 2 MEQ, SODIUM CHLORIDE 0.9 % SYRINGE",85
VANCOMYCIN 1 GRAM/200 ML PGBK 200 ML BAG,Pharmacy,0.875,"VANCOMYCIN 1 GM/200ML SOLN, VANCOMYCIN 1 GRAM/200 ML PGBK",2
MAGNESIUM SULFATE 2 GRAM/100 ML PGBK 100 ML BAG,Pharmacy,0.8128571428571428,"MAGNESIUM SULFATE 2 GM/50ML SOLN, MAGNESIUM SULFATE 50% 1GM/2ML, MAGNESIUM SULFATE 500 MG/ML SOLN, MAGNESIUM SULFATE PER 500 MG, MAGNESIUM SULFATE 500 MG/M, MAGNESIUM SULFATE 80 MG/ML, MAGNESIUM SULFATE 40 MG/ML",7
SODIUM CHLORIDE 0.9 % 0.9 % SOLN,"Respiratory Therapy, Diluent / Flush / Irrigant, Supply, Pharmacy",,"0.9% SODIUM CHLORIDE 0.9 % SOLN, HB SODIUM CHLORIDE 0.9% 10ML SYRN, SOD CHLOR 0.9%, SODIUM CHLOR, SODIUM CHLORI, SODIUM CHLORID, SODIUM CHLORIDE, SODIUM CHLORIDE .9% 1000ML INJ, SODIUM CHLORIDE .9% INJ 1, SODIUM CHLORIDE .9% INJ 2, SODIUM CHLORIDE 0, SODIUM CHLORIDE 0., SODIUM CHLORIDE 0.45%, SODIUM CHLORIDE 0.45% FLUS, SODIUM CHLORIDE 0.9, SODIUM CHLORIDE 0.9 % 0.9, SODIUM CHLORIDE 0.9 % 0.9 % PGBK 100 ML ADDVANTAGE, SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLUTION, SODIUM CHLORIDE 0.9 % IV SOLP, SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG, SODIUM CHLORIDE 0.9 % SO, SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE 0.9 % SOLN 10 ML VIAL, SODIUM CHLORIDE 0.9 % SOLP, SODIUM CHLORIDE 0.9 % SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9%, SODIUM CHLORIDE 0.9% 0.9, SODIUM CHLORIDE 0.9% 0.9 % SOLP, SODIUM CHLORIDE 0.9% 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% 0.9% SOLN, SODIUM CHLORIDE 0.9% 0.9% SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 100ML IV, SODIUM CHLORIDE 0.9% 10ML SY, SODIUM CHLORIDE 0.9% 250ML I, SODIUM CHLORIDE 0.9% 250ML IV, SODIUM CHLORIDE 0.9% 25ML, SODIUM CHLORIDE 0.9% 50ML, SODIUM CHLORIDE 0.9% 50ML BAG, SODIUM CHLORIDE 0.9% 50ML MB+, SODIUM CHLORIDE 0.9% FLU, SODIUM CHLORIDE 0.9% INJ, SODIUM CHLORIDE 0.9% INJ 10ML, SODIUM CHLORIDE 0.9% IV, SODIUM CHLORIDE 0.9% IVPB  5, SODIUM CHLORIDE 0.9% QS BASE, SODIUM CHLORIDE 0.9% SO, SODIUM CHLORIDE 0.9% SOL, SODIUM CHLORIDE 0.9% SOL 100ML, SODIUM CHLORIDE 0.9% SOLN, SODIUM CHLORIDE 0.9% SOLN HPH0-0000-30, SODIUM CHLORIDE 0.9% SOLP, SODIUM CHLORIDE 0.9% SYRG, SODIUM CHLORIDE 0.9% SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE 10 ML SYR, SODIUM CHLORIDE INJ 0.9%, SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL, SODIUM CHLORIDE 0.45% SOLP, SODIUM CHLORIDE 0.45% SOLP 500 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT, SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 1 000 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 100 ML BAG, SODIUM CHLORIDE 0.9% SOLP 250 ML BAG, SODIUM CHLORIDE 0.9% SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% SOLP 500 ML FLEX CONT, SODIUM CHLORIDE 3 % NEBU, SODIUM CHLORIDE PER 500 ML, SODIUM CHLORIDE POWD, SODIUM CHLORIDE 3% SOLP, SODIUM CHLORIDE 0.9 % INJECTION 3 ML, SODIUM CHLORIDE 0.9% 3ML INHA, SODIUM CHLORIDE 0.9% IV SOLP, SODIUM CHLORIDE 0.9% SOLP 250 ML FLEX CONT, SODIUM CHLORIDE 0.9 % PGBK 50 ML BAG, SODIUM CHLORIDE 3% 500ML, SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0 9% SOLN, SODIUM CHLORIDE 0.9 % SOLP 250 ML BAG, SODIUM CHLORIDE 7 % NEBU, SODIUM CHL 0.9% 100ML, SODIUM CHLORIDE 0.9% 250ML, SODIUM CHLORIDE 0.9% 0.9 % SOLP 1 000 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 1 000 ML BOTTLE, SODIUM CHLORIDE 0.9 % SYRINGE",87
NEEDLE HYPODERMIC 18GA 1.5IN SHORT BEVEL REGULAR WALL BD PRECISIONGLIDE HUB PINK STERILE LATEX FREE,,,,0
RANITIDINE 15 MG/ML SYRP,Pharmacy,0.8825000000000001,"RANITIDINE 15 MG/ML SYRP, RANITIDINE 25 MG/ML SOLN, RANITIDINE 25 MG/ML SOLN 6 ML VIAL, HB RANITIDINE/ZANTAC 15MG/ML SYR",4
HB LAB IRON BINDING CAPACITY,Laboratory,0.81,*IRON BINDING CAPACITY,1
METOCLOPRAMIDE 5 MG/5 ML SOLN 10 ML BLIST PACK,"OR / Anesthesia / Recovery Room, Pharmacy",,"METOCLOPRAMIDE 5 MG/ML SOLN, METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN, METOCLOPRAMIDE 5 MG/5 ML ORAL SOLUTION, METOCLOPRAMIDE 5 MG/ML IVPB SOLUTION",4
HB LAB CULTURE BACTERIAL BLOOD,,,,0
LOPERAMIDE 1 MG/5 ML LIQD,,,,0
HB LAB SMEAR GRAM/GIEMSA STAIN,,,,0
