descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
HC ACCUCHE CK (POC)	Laboratory	1.0	38.48	38.48	accucheck creatinine_kinase point_of_care	Monitoring
HC ACCUCHECK	Laboratory	1.0	20.0	20.0	accucheck	Monitoring
HC ACCUCHECK	Patient Conv Items	1.0	34.0	34.0	accucheck	Monitoring
HC ADH SKNCLS DRMBND OCTYL CYNCRL	Implant/Supply	1.0	62.0	62.0	adhesive skin_cleanse drumband octyl cyanoacrylate	Supply
HC ADMIN PNEUMONIA VACCINE	Preventive Care Services	1.0	44.0	44.0	administration pneumonia vaccine	Nursing Services
HC AMMONIA	Laboratory	1.0	181.0	181.0	ammonia	Laboratory
HC AMYLASE	Laboratory	1.0	86.0	86.0	amylase	Laboratory
HC AMYLASE NON BLOOD	Laboratory	1.0	76.0	76.0	amylase non blood	Laboratory
HC ANES ANORECTAL RVU 5 00902	Anesthesia	5.0	1100.0	220.0	anesthesia anorectal rvu 5 00902	OR / Anesthesia / Recovery Room
HC ANES PQRI PROPHY AB GIVEN	Anesthesia	1.0	0.01	0.01	anesthesia physician_quality_reporting_initiative prophylaxis ab given	OR / Anesthesia / Recovery Room
HC ANES PQRS GEN NEUROAXIAL 60 MIN OR LONGER	Anesthesia	1.0	0.01	0.01	anesthesia physician_quality_reporting_system general neuroaxial 60 minutes or longer	OR / Anesthesia / Recovery Room
HC ANES PQRS PERIOP BODY WARMING	Anesthesia	1.0	0.01	0.01	anesthesia physician_quality_reporting_system perioperative body warming	OR / Anesthesia / Recovery Room
HC ANES SET UP ROUTINE	Implant/Supply	1.0	473.0	473.0	anesthesia set up routine	Supply
HC ANES SKIN EXTREMETIES/ANT TRUNK/PERINEUM RVU 300400	Anesthesia	6.0	848.1	141.35	anesthesia skin extremeties/anterior trunk/perineum rvu 300400	OR / Anesthesia / Recovery Room
HC ANES US GUIDE VASCULAR ACCESS	Treatment/Observation Room	1.0	641.0	641.0	anesthesia ultrasound guide vascular access	Radiology
HC ANESTH PER MINUTE	Anesthesia	193.0	1270.7	6.55	anesthesia per minute	OR / Anesthesia / Recovery Room
HC ANESTH PER MINUTE	Blood	1.0	681.0	681.0	anesthesia per minute	OR / Anesthesia / Recovery Room
HC ANESTH PER MINUTE	Organ Acquisition	380.0	2489.0	6.55	anesthesia per minute	OR / Anesthesia / Recovery Room
HC ANESTH PROCEDURE ROOM FEE	Anesthesia	1.0	2569.0	2569.0	anesthesia procedure room fee	OR / Anesthesia / Recovery Room
HC ANESTHESIA C 4 1/4 HR	Anesthesia	1.0	4483.9	4483.9	anesthesia cap 4 1/4 hour	OR / Anesthesia / Recovery Room
HC ANGIO FLUSH SYSTEM SUPPLY	Implant/Supply	1.0	179.0	179.0	angiography flush system supply	Supply
HC ANGRPH CATH F-UP STD TCAT OTHER THAN THROMBYLSIS	Radiology	1.0	1119.24	1119.24	angiography catheter follow up standard transcatheter other than thrombolysis	Radiology
HC ANTIBODY SCREEN	Laboratory	1.0	155.0	155.0	antibody screen	Laboratory
HC ANTIBODY SCREEN RBC EA SERUM	Laboratory	1.0	141.0	141.0	antibody screen red_blood_cell each serum	Laboratory
HC ANTIBODY SCREEN RBC EA SERUM	Organ Acquisition	1.0	141.0	141.0	antibody screen red_blood_cell each serum	Laboratory
HC ARTERIAL BLOOD GAS	Laboratory	1.0	131.0	131.0	arterial blood gas	Monitoring
HC ARTERIAL BLOOD GAS I STAT	Laboratory	1.0	168.0	168.0	arterial blood_gas i stat	Monitoring
HC ARTERIAL PUNCTURE	Laboratory	1.0	173.65	173.65	arterial puncture	Nursing Services
HC ARTERIAL PUNCTURE	OR Services	1.0	51.28	51.28	arterial puncture	Nursing Services
HC ARTERIAL PUNCTURE	Other Diagnostic Services	1.0	100.0	100.0	arterial puncture	Nursing Services
HC ARTERIAL PUNCTURE	Other Therapeutic Services	1.0	98.0	98.0	arterial puncture	Nursing Services
HC ARTERIAL PUNCTURE	Pulmonary Function	1.0	134.11	134.11	arterial puncture	Nursing Services
HC ARTERIAL PUNCTURE	Radiology	1.0	101.0	101.0	arterial puncture	Nursing Services
HC ARTERIAL PUNCTURE	Respiratory Services	1.0	129.0	129.0	arterial puncture	Nursing Services
HC ARTERIAL PUNCTURE	Treatment/Observation Room	1.0	84.0	84.0	arterial puncture	Nursing Services
HC ASPIRATION CATHETER	Implant/Supply	1.0	2127.4	2127.4	aspiration catheter	Supply
HC ASSAY OF LACTIC ACID	Laboratory	1.0	240.0	240.0	assay of lactic acid	Laboratory
HC BAIRHUGGER SLEEVE	Implant/Supply	1.0	34.55	34.55	bairhugger sleeve	Supply
HC BASIC METABOLIC PANEL	Laboratory	1.0	151.0	151.0	basic metabolic panel	Laboratory
HC BASIC METABOLIC PANEL 	Laboratory	1.0	262.0	262.0	basic metabolic panel	Laboratory
HC BASIC METABOLIC PANEL TOTAL CA	Laboratory	1.0	297.0	297.0	basic_metabolic_panel total calcium	Laboratory
HC BASIC METABOLIC PANEL TOTAL CA	Organ Acquisition	1.0	297.0	297.0	basic_metabolic_panel total calcium	Laboratory
HC BASIC METABOLIC PANEL TOTAL CA 	Laboratory	1.0	297.0	297.0	basic_metabolic_panel total calcium	Laboratory
HC BB RBC LEUKO REDUCED	Blood	1.0	690.0	690.0	red_blood_cell leukocyte_reduced	Blood Products
HC BILIRUBIN; DIRECT	Laboratory	1.0	43.0	43.0	bilirubin direct	Laboratory
HC BILIRUBIN; TOTAL	Laboratory	1.0	42.0	42.0	bilirubin total	Laboratory
HC BL COUNT CBC AUTO W/AUTO DIFF	Laboratory	1.0	58.0	58.0	blood count complete_blood_count automated with automated differential	Laboratory
HC BL COUNT CBC AUTO W/AUTO DIFF	PT/OT/Speech	1.0	58.0	58.0	blood count complete_blood_count automated with automated differential	Laboratory
HC BLADDER SCAN US	Other Imaging Services	1.0	93.0	93.0	bladder scan ultrasound	Nursing Services
HC BLANKET WARMING UNDERBODY ADULT	Implant/Supply	1.0	117.0	117.0	blanket warming underbody adult	Supply
HC BLANKET WARMING UNDERBODY ADULT	Organ Acquisition	1.0	131.72	131.72	blanket warming underbody adult	Supply
HC BLD GASES O2 SAT ONLY	Laboratory	1.0	196.0	196.0	blood gases oxygen saturation only	Laboratory
HC BLD GASES W DIRECT MEAS O2 SAT	Laboratory	1.0	307.0	307.0	blood gases with direct measure oxygen saturation	Monitoring
HC BLOOD DRAW-VENIPUNCTURE	Laboratory	1.0	42.0	42.0	blood draw venipuncture	Nursing Services
HC BLOOD FILTER BURETTE	Implant/Supply	1.0	15.1	15.1	blood filter burette	Supply
HC BLOOD GLUCOSE TEST STRIP	Implant/Supply	1.0	6.75	6.75	blood glucose test strip	Supply
HC BLOOD SPEC COLLECT CENT PERIP ACCESS	Laboratory	1.0	123.0	123.0	blood specimen collection central peripheral access	Nursing Services
HC BLOOD SPEC COLLECT CENT PERIP ACCESS	Treatment/Observation Room	1.0	123.0	123.0	blood specimen collection central peripheral access	Nursing Services
HC BLOOD TRANSFUSION SERVICE 1 UNIT	Blood	1.0	790.0	528.0	blood transfusion service 1_units	Nursing Services
HC BLOOD TYPING ABO	Laboratory	1.0	51.0	51.0	blood typing abo	Laboratory
HC BLOOD TYPING ABO	Organ Acquisition	1.0	51.0	51.0	blood typing abo	Laboratory
HC BLOOD TYPING RH (D)	Laboratory	1.0	51.0	51.0	blood typing rhesus daily	Laboratory
HC BLOOD TYPING RH D	Laboratory	1.0	27.0	27.0	blood typing rhesus d	Laboratory
HC BLOOD TYPING RH(D)	Laboratory	1.0	51.0	51.0	blood typing rhesus d	Laboratory
HC BLOOD TYPING RH(D)	Organ Acquisition	1.0	51.0	51.0	blood typing rhesus d	Laboratory
HC C DIFF BY PCR	Laboratory	1.0	191.0	191.0	clostridium_difficile by pcr	Laboratory
HC CALCIUM IONIZED	Laboratory	1.0	144.0	144.0	calcium ionized	Laboratory
HC CALCIUM IONIZED 	Laboratory	1.0	163.0	163.0	calcium ionized	Laboratory
HC CALCIUM TOTAL	Laboratory	1.0	63.5	63.5	calcium total	Laboratory
HC CAPILLARY BLOOD DRAW	Laboratory	1.0	25.36	25.36	capillary blood draw	Nursing Services
HC CAPILLARY BLOOD SUGAR TEST	Laboratory	1.0	34.9	34.9	capillary blood sugar test	Monitoring
HC CAPILLARY GLUCOSE NOVA METER	Laboratory	1.0	37.0	37.0	capillary glucose nova meter	Monitoring
HC CARD MRI MORPHLGY WO CNTRST	MRI	1.0	2000.0	2000.0	cardiac magnetic_resonance_imaging morphology without contrast	Radiology
HC CARD MRI MORPHLGY WOW CNTRST	MRI	1.0	4520.0	4520.0	cardiac magnetic_resonance_imaging morphology wow contrast	Radiology
HC CARD MRI VELOCITY FLOW	MRI	1.0	675.0	675.0	cardiac magnetic_resonance_imaging velocity flow	Radiology
HC CARD REHAB EVALUATION INPT	Other Therapeutic Services	1.0	327.0	327.0	cardiac rehabilitation evaluation inpatient	Cardiology
HC CATEGORY 2 ADDL 15 MIN	OR Services	4.0	1248.0	312.0	category 2 additional 15_minutes	OR / Anesthesia / Recovery Room
HC CATEGORY 2 INITIAL 15 MIN	OR Services	1.0	2932.0	2932.0	category 2 initial 15_minutes	OR / Anesthesia / Recovery Room
HC CATEGORY 3 ADDL 15 MIN	OR Services	4.0	1950.0	390.0	category 3 additional 15_minutes	OR / Anesthesia / Recovery Room
HC CATEGORY 3 INITIAL 15 MIN	OR Services	1.0	3871.0	3871.0	category 3 initial 15_minutes	OR / Anesthesia / Recovery Room
HC CATH DIAG INTERVENT A	Implant/Supply	1.0	142.0	142.0	catheter diag intervention a	Supply
HC CATH TRAY ONLY	Implant/Supply	1.0	436.0	436.0	catheter tray only	Supply
HC CBC	Laboratory	1.0	49.07	49.07	complete_blood_count	Laboratory
HC CBC AUTO WO DIFF	Drugs Requiring Specific Identification	1.0	123.0	123.0	complete_blood_count automated without differential	Laboratory
HC CBC AUTO WO DIFF	Laboratory	1.0	109.0	109.0	complete_blood_count automated without differential	Laboratory
HC CBC AUTO WO DIFF	Organ Acquisition	1.0	109.0	109.0	complete_blood_count automated without differential	Laboratory
HC CBC AUTO WO DIFF 	Laboratory	1.0	109.0	109.0	complete_blood_count automated without differential	Laboratory
HC CBC W AUTO DIFF	Intensive Care	1.0	162.0	162.0	complete_blood_count with automated differential	Laboratory
HC CBC W AUTO DIFF	Laboratory	1.0	124.0	124.0	complete_blood_count with automated differential	Laboratory
HC CBC W AUTO DIFF 	Laboratory	1.0	120.0	120.0	complete_blood_count with automated differential	Laboratory
HC CBC WITH DIFFERENTIAL	Laboratory	1.0	140.0	140.0	complete_blood_count with differential	Laboratory
HC CBC WITH PLATELET COUNT	Laboratory	1.0	65.0	65.0	complete_blood_count with platelet count	Laboratory
HC CCU ROOM - STEP DOWN	Coronary Care	1.0	2206.0	2206.0	critical_care_unit room step down	Room and Board
HC CCU ROOM GEN	Cast/Recovery/Labor Room	1.0	4004.0	4004.0	critical_care_unit room general	Room and Board
HC CCU ROOM GEN	Coronary Care	1.0	4004.0	4004.0	critical_care_unit room general	Room and Board
HC CENTRAL LINE PAC FLUSH	Treatment/Observation Room	1.0	209.0	209.0	central line pulmonary_artery_catheter flush	Nursing Services
HC CHEM-POC GLUCOSE	Laboratory	1.0	20.29	20.29	chemistry point_of_care glucose	Monitoring
HC CHEST 1 VIEW	Radiology	1.0	253.0	253.0	chest 1 view	Radiology
HC CHEST 1 VIEW	Respiratory Services	1.0	593.0	593.0	chest 1 view	Radiology
HC CHEST 1 VIEW PA OR AP ONLY	Nursing	1.0	223.0	223.0	chest 1 view posterior_anterior operation_room anterior_posterior only	Radiology
HC CHEST 1 VIEW PA OR AP ONLY	Radiology	1.0	223.0	223.0	chest 1 view posterior_anterior operation_room anterior_posterior only	Radiology
HC CHEST 2 VIEW	Radiology	1.0	178.0	178.0	chest 2 view	Radiology
HC CK MB	Laboratory	1.0	236.0	236.0	creatinine_kinase mb	Laboratory
HC CO2 EXPIRED GAS DETRMN INFRARD	Pulmonary Function	1.0	357.0	357.0	carbon_dioxide expired gas determination infrared	Monitoring
HC COAGULATION TIME ACTIVATED	Laboratory	1.0	38.0	38.0	coagulation time activated	Laboratory
HC COMPACT FEEDING PUMP	Implant/Supply	1.0	27.89	27.89	compact feeding pump	Capital Equipment
HC COMPATIBILITY TEST ELECTRONIC	Laboratory	1.0	50.0	50.0	compatibility test electronic	Laboratory
HC COMPATIBILITY TEST ELECTRONIC 	Laboratory	1.0	50.0	50.0	compatibility test electronic	Laboratory
HC COMPLETED BLOOD PARAMETER	Laboratory	1.0	235.0	235.0	completed blood parameter	Laboratory
HC COMPREHENSIVE METABOLIC	Laboratory	1.0	159.0	159.0	comprehensive metabolic	Laboratory
HC COMPREHENSIVE METABOLIC PANEL	Implant/Supply	1.0	235.0	235.0	comprehensive metabolic panel	Laboratory
HC COMPREHENSIVE METABOLIC PANEL	Laboratory	1.0	259.0	259.0	comprehensive metabolic panel	Laboratory
HC COMPREHENSIVE METABOLIC PANEL	Organ Acquisition	1.0	527.0	527.0	comprehensive metabolic panel	Laboratory
HC COMPREHENSIVE METABOLIC PANEL 	Laboratory	1.0	259.0	259.0	comprehensive metabolic panel	Laboratory
HC COMPREHENSIVE PANEL	Laboratory	1.0	360.0	360.0	comprehensive panel	Laboratory
HC COR MI SUB TOT BMS THR OTHR	Cardiology	1.0	24348.0	24348.0	coronary minutes sub total bms through other	Radiology
HC CORONARY STENT NON COATED	Implant/Supply	1.0	6488.0	6488.0	coronary stent non coated	Implant
HC CORS&ANGIO W RT HC S&I	Cardiology	1.0	21645.0	21645.0	cors&angio with rt hc s&i	Cardiology
HC CPK	Laboratory	1.0	165.0	165.0	creatine_phosphokinase	Laboratory
HC CPK-MB ISOENZYME	Laboratory	1.0	80.0	80.0	creatine_phosphokinase mb isoenzyme	Laboratory
HC CREATINE KINASE MB FRACTION	Laboratory	1.0	144.0	144.0	creatine kinase mb fraction	Laboratory
HC CREATINE KINASE TOTAL	Laboratory	1.0	80.0	80.0	creatine kinase total	Laboratory
HC CREATINE KINASE TOTAL 	Laboratory	1.0	80.0	80.0	creatine kinase total	Laboratory
HC CRITICAL CARE	Emergency Room	1.0	3859.0	3859.0	critical care	Room and Board
HC CRITICAL CARE	Intensive Care	1.0	3872.0	3872.0	critical care	Room and Board
HC CRYOPRECIPITATE 5 UNITS	Blood	1.0	657.0	657.0	cryoprecipitate 5_units	Blood Products
HC CT ABDOMEN W O CM	CT Scan	1.0	1405.0	1405.0	computed_tomography abdomen without contrast_material	Radiology
HC CT ANGIOGRAPHY HEAD W/CONTRAST/NONCONTRAST	CT Scan	1.0	1975.85	1975.85	computed_tomography angiography head with contrast/noncontrast	Radiology
HC CT HEAD/BRN C-MATRL	CT Scan	1.0	1078.0	1078.0	computed_tomography head/brain cap matrinlineal	Radiology
HC CT PELVIS W O CM	CT Scan	1.0	1238.0	1238.0	computed_tomography pelvis without contrast_material	Radiology
HC CULT AEROBIC DEFIN ID EA ISOL	Laboratory	1.0	178.0	178.0	culture aerobic define identify each isolate	Laboratory
HC CULT AEROBIC DEFIN ID EA ISOL	Organ Acquisition	1.0	178.0	178.0	culture aerobic define identify each isolate	Laboratory
HC CULT AEROBIC RESP PRESUMPT ID	Laboratory	1.0	155.0	155.0	culture aerobic respiratory presumptive id	Laboratory
HC CULT BLOOD ISOL W PRES ID	Laboratory	1.0	214.0	214.0	culture blood isolated with pres id	Laboratory
HC CULT/COLONY COUNT QUANT URINE	Laboratory	1.0	146.0	146.0	culture/colony count quantitative urine	Laboratory
HC CULT/COLONY COUNT QUANT URINE	Organ Acquisition	1.0	146.0	146.0	culture/colony count quantitative urine	Laboratory
HC CULTURE ACID FAST BACILLI	Laboratory	1.0	177.0	177.0	culture acid fast bacilli	Laboratory
HC CULTURE ANAEROBIC	Laboratory	1.0	99.0	99.0	culture anaerobic	Laboratory
HC CULTURE BLOOD	Laboratory	1.0	220.0	220.0	culture blood	Laboratory
HC CULTURE OTHER SOURCE	Laboratory	1.0	131.0	131.0	culture other source	Laboratory
HC CULTURE URINE	Laboratory	1.0	126.0	126.0	culture urine	Laboratory
HC CULTURE WOUND	Laboratory	1.0	131.0	131.0	culture wound	Laboratory
HC CVP 2 LUMEN SAFETY CVP	Implant/Supply	1.0	232.0	232.0	central_venous_pressure 2 lumen safety central_venous_pressure	Supply
HC DAILY CARE INTERMEDIATE ICU	Intensive Care	1.0	3738.0	3738.0	daily care intermediate intensive_care_unit	Room and Board
HC DEBRIDEMENT OPEN WND EA ADDL 20 SQCM	Treatment/Observation Room	1.0	305.0	305.0	debridement open wound each additional 20 sqcm	Nursing Services
HC DEBRIDEMENT OPEN WND FIRST 20 SQCM	Treatment/Observation Room	1.0	318.0	318.0	debridement open wound first 20 sqcm	Nursing Services
HC DIAGNOSTIC CATHETER	Implant/Supply	1.0	142.51	137.5	diagnostic catheter	Supply
HC DIFFICULT IV START VP >3 YO	Treatment/Observation Room	1.0	138.0	138.0	difficult intravenous start vp greater_than 3 years_old	Nursing Services
HC DISCHARGE VISIT	Other Therapeutic Services	1.0	327.0	327.0	discharge visit	Professional Fee
HC DISCONTINUE CENTRAL/ INTRA OSSEOUS LINE	Treatment/Observation Room	1.0	131.0	131.0	discontinue central/intra osseous line	Nursing Services
HC DRUG SCR UA DOASCR PRESUMPTIVE CLASS A 6 SCREEN	Laboratory	1.0	264.0	264.0	drug screen urinalysis doascr presumptive class a 6 screen	Laboratory
HC DUP-SCAN XTR VEINS COMPL BI STD	Other Diagnostic Services	1.0	1538.0	1538.0	duplex scan extremity veins complete bilateral standard	Radiology
HC DX GUIDEWIRE RAD	Implant/Supply	1.0	80.5	80.5	diagnostic guidewire radiology	Supply
HC ECHO TTE W DPLR COMPLT W CONTRST	Cardiology	1.0	3577.0	3577.0	echocardiogram transthoracic_echocardiogram with doppler complete with contrast	Cardiology
HC ECHOW PW CW&CF DOPPLER	Cardiology	1.0	2405.0	2405.0	echocardiogram pulsed_waved cw&cf doppler	Cardiology
HC ED CRITICAL CARE FIRST 30 MINS	Emergency Room	1.0	2476.0	2476.0	emergency_department critical care first 30 mins	Other
HC ED NONCHEMO MED INF EA NEW DRUG 1ST HR	Emergency Room	1.0	193.0	186.0	emergency_department nonchemo medical infusion each new drug 1st hour	Nursing Services
HC ED VISIT CRITICAL CARE M25	Emergency Room	1.0	3956.0	3956.0	emergency_department visit critical care m25	Other
HC EKG 12 LEAD TRACE ONLY	EKG/ECG/EEG	1.0	236.0	236.0	electrocardiogram 12 lead trace only	Cardiology
HC EKG PROFEE	Prof Fees	1.0	44.0	44.0	electrocardiogram profee	Professional Fee
HC EKG ROUTINE	EKG/ECG/EEG	1.0	315.0	315.0	electrocardiogram routine	Cardiology
HC EKG ROUTINE	Emergency Room	1.0	195.0	195.0	electrocardiogram routine	Cardiology
HC EKG ROUTINE	Laboratory	1.0	315.0	315.0	electrocardiogram routine	Cardiology
HC EL COUNT CBC AUTO W/AUTO DIFF	Laboratory	1.0	58.0	58.0	el count complete_blood_count automated with automated differential	Laboratory
HC EMER DEPT HIGH SEVERITY&THREAT FUNCJ	Emergency Room	1.0	3130.83	3130.83	emergency department high severity&threat funcj	Other
HC EMERG RESUSCITATION HLY	Cardiology	1.0	842.0	842.0	emergency resuscitation hourly	Respiratory Therapy
HC ENDO RECOVERY	Cast/Recovery/Labor Room	1.0	483.0	483.0	endo recovery	OR / Anesthesia / Recovery Room
HC EPS W ARRYTH	Cardiology	1.0	13250.0	13250.0	eps with arrhythmia	Cardiology
HC ERX PHARMACOTHERAPEUTIC CONSULT	Implant/Supply	1.0	67.0	67.0	erx pharmacotherapeutic consult	Professional Fee
HC EVAL SWALLOW FUNC	PT/OT/Speech	1.0	597.0	597.0	evaluation swallow function	PT / OT / Speech Therapy
HC FIBRINOGEN ACT	Laboratory	1.0	77.0	77.0	fibrinogen activity	Laboratory
HC FLUORO GUIDE CENT VENOUS DEVICE	Radiology	1.0	641.0	641.0	fluoroscopy guide central venous device	Radiology
HC GAIT TRAINING	PT/OT/Speech	1.0	86.0	86.0	gait training	PT / OT / Speech Therapy
HC GAIT TRAINING THERAPY EA 15 MIN	PT/OT/Speech	1.0	132.43	132.0	gait training therapy each 15 minutes	PT / OT / Speech Therapy
HC GLUCOMETER SUPPLIES	Implant/Supply	1.0	2.2	2.2	glucometer supplies	Supply
HC GLUCOSE BLD BY MONITOR DEVICE POC	Laboratory	1.0	23.0	23.0	glucose blood by monitor device point_of_care	Monitoring
HC GLUCOSE BLD QUANT	Laboratory	1.0	58.0	58.0	glucose blood quantitative	Laboratory
HC GLUCOSE BLD QUANT 	Laboratory	1.0	58.0	58.0	glucose blood quantitative	Laboratory
HC GLUCOSE BLOOD TEST	Laboratory	1.0	18.0	18.0	glucose blood test	Laboratory
HC GLUCOSE I STAT ECS	Laboratory	1.0	39.0	39.0	glucose i stat ecs	Monitoring
HC GLUCOSE POC	Laboratory	1.0	38.5	38.5	glucose point_of_care	Monitoring
HC GLUCOSE POC	Organ Acquisition	1.0	38.5	38.5	glucose point_of_care	Monitoring
HC GLUCOSE POC	Pharmacy	1.0	55.0	55.0	glucose point_of_care	Monitoring
HC GLUCOSE POC 	Laboratory	1.0	38.5	38.5	glucose point_of_care	Monitoring
HC GLUCOSE POINT OF CARE	Laboratory	1.0	10.75	10.75	glucose point of care	Monitoring
HC GLUCOSE SUPPLIES AND EQUIPMENT	Implant/Supply	1.0	55.66	55.66	glucose supplies and equipment	Supply
HC GLYCOSYLATED HEMOGLOBIN	Laboratory	1.0	72.0	72.0	glycosylated hemoglobin	Laboratory
HC GUIDEWIRE PTCA	Implant/Supply	1.0	620.0	620.0	guidewire ptca	Supply
HC GUIDING CATHETERS	Implant/Supply	1.0	652.0	652.0	guiding catheters	Supply
HC HEMATOCRIT	Laboratory	1.0	45.0	45.0	hematocrit	Laboratory
HC HEMATOCRIT	Organ Acquisition	1.0	44.5	44.5	hematocrit	Laboratory
HC HEMATOCRIT	Outpatient Services	1.0	248.0	248.0	hematocrit	Laboratory
HC HEMATOCRIT POC	Laboratory	1.0	59.0	59.0	hematocrit point_of_care	Monitoring
HC HEMODIALYSIS INPATIENT	Preventive Care Services	1.0	3610.0	3610.0	hemodialysis inpatient	Dialysis
HC HEMOGLOBIN	Laboratory	1.0	55.0	55.0	hemoglobin	Laboratory
HC HEMOGLOBIN	Organ Acquisition	1.0	55.0	55.0	hemoglobin	Laboratory
HC HEMOGLOBIN	Radiology	1.0	1185.0	1185.0	hemoglobin	Laboratory
HC HEMOGRAM CBC WITHOUT DIFF	Laboratory	1.0	123.0	123.0	hemogram complete_blood_count without differential	Laboratory
HC HEMOSTASIS PATCH	Implant/Supply	1.0	450.0	450.0	hemostasis patch	Supply
HC HEPARIN INDUCED PLATELET AB	Laboratory	1.0	96.0	96.0	heparin induced platelet ab	Laboratory
HC HEPATIC FUNCTION PANEL	Laboratory	1.0	151.0	151.0	hepatic function panel	Laboratory
HC HEPATITIS B CORE AB TOTAL	Laboratory	1.0	152.0	152.0	hepatitis b core ab total	Laboratory
HC HEPATITIS B SURFACE ANTIBODY	Laboratory	1.0	146.0	146.0	hepatitis b surface antibody	Laboratory
HC HEPATITIS B SURFACE ANTIGEN	Laboratory	1.0	100.85	100.85	hepatitis b surface antigen	Laboratory
HC HEPATITIS C QUAN PCR	Laboratory	1.0	488.0	488.0	hepatitis c quantitative pcr	Laboratory
HC HEPATITIS C VIRUS GENOTYPE	Laboratory	1.0	598.0	598.0	hepatitis c virus genotype	Laboratory
HC HIV1 HIV2 REFLEX SINGLE RESULT	Laboratory	1.0	93.0	93.0	human_immunodeficiency_virus_1 human_immunodeficiency_virus_2 reflex single result	Laboratory
HC HIVCOM RAPID DETERM HIV 1/2 AG/AB	Laboratory	1.0	64.75	64.75	hiv_combo rapid determination human_immunodeficiency_virus 1/2 antigen/antibody	Laboratory
HC HOSPITAL OUTPATIENT CLINIC VISIT	Clinic	1.0	231.0	231.0	hospital outpatient clinic visit	Other
HC I STAT CHMB W HCT	Laboratory	1.0	124.0	124.0	i stat chmb with hematocrit	Monitoring
HC ICU CARDIAC EQUIPMENT CHG	Implant/Supply	1.0	865.4	865.4	intensive_care_unit cardiac equipment charge	Capital Equipment
HC ICU EQUIPMENT CHARGE	Implant/Supply	1.0	863.9	863.9	intensive_care_unit equipment charge	Capital Equipment
HC INDIRECT ANTI-GLOB	Laboratory	1.0	87.74	87.74	indirect antiglobulin	Laboratory
HC INFLATION DEVICE KIT	Implant/Supply	1.0	550.0	550.0	inflation device kit	Supply
HC INHALATION TX HHN MDI IPPB 1 VISIT PER DAY	Respiratory Services	1.0	90.75	90.75	inhalation treatment high humidity nebulizer metered_dose_inhaler intermittent_positive_pressure_breathing 1 visit per day	Respiratory Therapy
HC INHALATION TX HHN MDI IPPB 2 - 5 VISITS PER DAY	Respiratory Services	1.0	291.75	291.75	inhalation treatment hhn metered_dose_inhaler intermittent_positive_pressure_breathing 2 5 visits per day	Respiratory Therapy
HC INJECTION HEP - B INITIAL	Preventive Care Services	1.0	61.5	61.5	injection hepatitis b initial	Pharmacy
HC INJECTION IV PUSH ADD NEW MED ED	Emergency Room	2.0	288.0	153.5	injection intravenous push additional new medication emergency_department	Nursing Services
HC INS ARTERY LINE PERC	Emergency Room	1.0	831.0	831.0	insert artery line percutaneous	Procedure
HC INS ARTERY LINE PERC	Treatment/Observation Room	1.0	914.0	914.0	insert artery line percutaneous	Procedure
HC INS NON TUNNEL CENT VENOUS CATH > 5YR	OR Services	1.0	2285.0	2285.0	insert non tunnel central venous catheter greater_than 5_years	Procedure
HC INS NONTUNL CVC >=5YR	Emergency Room	1.0	3068.0	3068.0	insert non_tunneled central_venous_catheter greater_than_or_equal_to 5yr	Procedure
HC INS NONTUNL CVC >=5YR	OR Services	1.0	3431.0	3431.0	insert non_tunneled central_venous_catheter greater_than_or_equal_to 5yr	Procedure
HC INS NONTUNL CVC >=5YR	Treatment/Observation Room	1.0	3068.0	3068.0	insert non_tunneled central_venous_catheter greater_than_or_equal_to 5yr	Procedure
HC INS PERIP CV CATH PICC > 5YR WO	OR Services	1.0	2205.0	2205.0	insert peripheral cardiovascular catheter peripherally_inserted_central_catheter greater_than 5_years without	Procedure
HC INS TUNNEL CV CATH WITHOUT > 5YR	OR Services	1.0	3005.0	3005.0	insert tunnel cardiovascular catheter without greater_than 5_years	Procedure
HC INS/REPL ICD ELECT & INS GEN	Treatment/Observation Room	1.0	78496.0	78496.0	insert/replace icd elect and insert general	Procedure
HC INTENSIVE CRITICAL ROOM AND CARE	Intensive Care	1.0	1865.0	1865.0	intensive critical room and care	Room and Board
HC INTERM STEPDOWN ICU ROOM AND CARE	Intensive Care	1.0	1458.0	1458.0	intermediate stepdown intensive_care_unit room and care	Room and Board
HC INTRA-CATHETER	Implant/Supply	1.0	8.77	8.77	intra catheter	Supply
HC INTUBATION ENDOTRACHEAL EMERG PROC	Emergency Room	1.0	709.0	709.0	intubation endotracheal emergency procedure	Respiratory Therapy
HC INTUBATION ENDOTRACHEAL EMERG PROC	OR Services	1.0	513.0	513.0	intubation endotracheal emergency procedure	Respiratory Therapy
HC INTUBATION ENDOTRACHEAL EMERG PROC	Respiratory Services	1.0	767.0	767.0	intubation endotracheal emergency procedure	Respiratory Therapy
HC INTUBATION ENDOTRACHEAL EMERG PROC	Treatment/Observation Room	1.0	709.0	709.0	intubation endotracheal emergency procedure	Respiratory Therapy
HC IONIZED CALCIUM	Laboratory	1.0	88.0	88.0	ionized calcium	Laboratory
HC IRON	Laboratory	1.0	100.0	100.0	iron	Laboratory
HC IRON BINDING CAPACITY TOTAL	Laboratory	1.0	53.0	53.0	iron binding capacity total	Laboratory
