Procedure Code,# of desciptions,Unique charge classes,Unique rev codes names
60016990,1,Laboratory,Laboratory
890002,1,Pharmacy,Pharmacy
RS 1018,1,Respiratory Therapy,Respiratory Services
86886,1,Laboratory,Laboratory
01467,1,Laboratory,Laboratory
105036,1,Laboratory,Laboratory
02702,1,Monitoring,EKG/ECG/EEG
"12704559
2",1,Pharmacy,Pharmacy
128652935,1,Diluent / Flush / Irrigant,Pharmacy
00506769,1,Procedure,Other Diagnostic Services
32247,1,Laboratory,Laboratory
30001081,1,Laboratory,Laboratory
82726,1,Laboratory,Laboratory
"12885891
1",1,Pharmacy,Pharmacy
1923000,1,Laboratory,Laboratory
"12968149
3",1,Diluent / Flush / Irrigant,Pharmacy
00506768,1,Procedure,Other Diagnostic Services
11502614,1,Supply,Implant/Supply
01482123,1,Pharmacy,Pharmacy
03750,1,Laboratory,Laboratory
071495,1,Pharmacy,Drugs Requiring Specific Identification
63077002,1,Laboratory,Laboratory
82943,1,Laboratory,Laboratory
428045,1,Radiology,Radiology
82941,1,Monitoring,Laboratory
01416536,1,Pharmacy,Pharmacy
01481644,1,Pharmacy,Pharmacy
01481642,1,Pharmacy,Pharmacy
"12944242
0",1,Pharmacy,Pharmacy
11506957,1,Supply,Implant/Supply
01015C56,1,Laboratory,Laboratory
42559,1,Laboratory,Laboratory
837 J5,1,Laboratory,Laboratory
1000206,1,Radiology,MRI
3 5007,1,Laboratory,Laboratory
903427,1,Laboratory,Laboratory
04400,1,Laboratory,Laboratory
33508989,1,Pharmacy,Pharmacy
7434062,1,Monitoring,Respiratory Services
1111701,1,Room and Board,Room & Board
30100373,1,Laboratory,Laboratory
03473,1,Pharmacy,Pharmacy
00506436,1,Procedure,EKG/ECG/EEG
01900257,1,Radiology,MRI
01481731,1,Pharmacy,Pharmacy
4271025,1,Laboratory,Laboratory
00135,1,Pharmacy,Pharmacy
J2785,1,Pharmacy,Pharmacy
16901,1,Laboratory,Laboratory
60012470,1,Laboratory,Laboratory
30002156,1,Laboratory,Laboratory
J 1550,1,Pharmacy,Drugs Requiring Specific Identification
"12944242
4",1,Pharmacy,Pharmacy
467917,1,Laboratory,Laboratory
TC258,1,Diluent / Flush / Irrigant,Pharmacy
L8699,1,Implant,Implant/Supply
86200771,1,Laboratory,Laboratory
22009602,1,Laboratory,Laboratory
62301106,1,Laboratory,Laboratory
30510024,1,Laboratory,Laboratory
03970051,1,Laboratory,Laboratory
27402005,1,Laboratory,Laboratory
BO 372,1,Capital Equipment,Implant/Supply
7.37000386E8,1,Monitoring,Pulmonary Function
14586032,1,Pharmacy,Pharmacy
001804,1,Pharmacy,Pharmacy
017879,1,Diluent / Flush / Irrigant,Pharmacy
66140,1,Laboratory,Laboratory
84145.0,1,Laboratory,Laboratory
"12935677
7",1,Diluent / Flush / Irrigant,Pharmacy
60015050,1,Laboratory,Laboratory
00131,1,Pharmacy,Pharmacy
072923,1,Pharmacy,Drugs Requiring Specific Identification
82947 (CPT®),1,Laboratory,Laboratory
76100056,1,Laboratory,Laboratory
33501916,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
52947,1,Monitoring,Laboratory
057640,1,Nursing Services,Laboratory
B5730,1,Laboratory,Laboratory
8 0 048,1,Laboratory,Laboratory
031146,1,Radiology,Radiology
7 0 0,1,Radiology,Radiology
82436,1,Laboratory,Laboratory
32803,1,Laboratory,Laboratory
424000001,1,PT / OT / Speech Therapy,PT/OT/Speech
3003920,1,Pharmacy,Drugs Requiring Specific Identification
33294,1,Laboratory,Laboratory
LB 8709,1,Laboratory,Laboratory
50690,1,Pharmacy,Pharmacy
400019654,1,Supply,Implant/Supply
301000359',1,Laboratory,Laboratory
01041516,1,Laboratory,Laboratory
LB 2878,1,Laboratory,Laboratory
JI940,1,Pharmacy,Drugs Requiring Specific Identification
168B715,1,Pharmacy,Pharmacy
"12981380
2",1,Pharmacy,Pharmacy
811298,1,Respiratory Therapy,Implant/Supply
11501453,1,Supply,Implant/Supply
11501455,1,Supply,Implant/Supply
00138,1,Laboratory,Laboratory
H20243,1,Laboratory,Laboratory
14980012,1,Pharmacy,Pharmacy
85311845,1,Laboratory,Laboratory
350085,1,Monitoring,Laboratory
22006234,1,Laboratory,Laboratory
30051,1,Laboratory,Laboratory
60623000,1,Monitoring,Laboratory
30000843,1,Laboratory,Laboratory
14040242,1,Pharmacy,Pharmacy
00925149,1,Laboratory,Laboratory
86205895,1,Monitoring,Laboratory
300850140'HC,1,Laboratory,Laboratory
01456680,1,Pharmacy,Pharmacy
03650471,1,Monitoring,Pulmonary Function
10002305,1,Nursing Services,Laboratory
83805,1,Laboratory,Laboratory
7.37000323E8,1,Respiratory Therapy,Implant/Supply
510860,1,Monitoring,Laboratory
1481806,1,Pharmacy,Pharmacy
"13110299
9",1,Diluent / Flush / Irrigant,Pharmacy
83002307,1,Laboratory,Laboratory
"13005731
1",1,Pharmacy,Pharmacy
83750006,1,Laboratory,Laboratory
0,1,Pharmacy,Pharmacy
90054,1,Diluent / Flush / Irrigant,Pharmacy
86402003,1,PT / OT / Speech Therapy,PT/OT/Speech
4000254,1,Radiology,Radiology
02113841,1,Supply,Implant/Supply
02113840,1,Procedure,Preventive Care Services
01495056,1,Pharmacy,Pharmacy
86836000,1,PT / OT / Speech Therapy,PT/OT/Speech
047B16,1,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
G0001,1,Nursing Services,Laboratory
00418,1,Laboratory,Laboratory
52804150,1,Laboratory,Laboratory
95340055,1,OR / Anesthesia / Recovery Room,Anesthesia
122258829,1,Pharmacy,Pharmacy
02426708,1,Supply,Implant/Supply
01C23365,1,Monitoring,Laboratory
6502 7,1,Laboratory,Laboratory
22000451,1,Laboratory,Laboratory
30200159,1,Laboratory,Laboratory
111003,1,Monitoring,Room & Board
5300105,1,Supply,Implant/Supply
60000001,1,Nursing Services,Laboratory
6091038,1,Monitoring,Laboratory
06200422,1,Pharmacy,Laboratory
11511837,1,Supply,Implant/Supply
00410,1,Nursing Services,Respiratory Services
J2920,1,Pharmacy,Pharmacy
4229124,1,Laboratory,Laboratory
130271817,1,Diluent / Flush / Irrigant,Pharmacy
J703Q,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
A.9270GY,1,Pharmacy,Pharmacy
LBF 2819,1,Laboratory,Laboratory
69828001,1,Laboratory,Laboratory
300 004,1,Nursing Services,Laboratory
1015510,1,Laboratory,Laboratory
62210000,1,Blood Products,Blood
36615,1,Nursing Services,Laboratory
"12885891
2",1,Pharmacy,Pharmacy
01097,1,Laboratory,Laboratory
124710071,1,Pharmacy,Pharmacy
100001493,1,Nursing Services,Other Therapeutic Services
33370,1,Pharmacy,Pharmacy
301000659,1,Laboratory,Laboratory
434000001,1,PT / OT / Speech Therapy,PT/OT/Speech
"12885891
3",1,Pharmacy,Pharmacy
036875,1,Laboratory,Laboratory
804918,1,Pharmacy,Drugs Requiring Specific Identification
01098,1,Laboratory,Laboratory
902529,1,Laboratory,Laboratory
58111000,1,Respiratory Therapy,Respiratory Services
48594,1,Pharmacy,Drugs Requiring Specific Identification
11504090,1,Supply,Implant/Supply
04148,1,Laboratory,Laboratory
PV4216,1,Diluent / Flush / Irrigant,Pharmacy
30100413,1,Laboratory,Laboratory
4660021,1,Radiology,Radiology
400015175,1,Supply,Implant/Supply
30100149,1,Laboratory,Laboratory
33880,1,Laboratory,Laboratory
7736025,1,Diluent / Flush / Irrigant,Pharmacy
439004,1,Laboratory,Laboratory
01484044,1,Pharmacy,Pharmacy
802 02,1,Laboratory,Laboratory
60617000,1,Monitoring,Laboratory
01723881,1,Radiology,Radiology
A42 6,1,Diluent / Flush / Irrigant,Pharmacy
37500419,1,Laboratory,Laboratory
14216,1,Diluent / Flush / Irrigant,Pharmacy
J22S0,1,Pharmacy,Drugs Requiring Specific Identification
85067,1,Laboratory,Laboratory
01453661,1,Pharmacy,Pharmacy
455560,1,Supply,Implant/Supply
104105,1,Laboratory,Laboratory
20800462,1,Pharmacy,Pharmacy
00350,1,Laboratory,Laboratory
04264,1,Laboratory,Laboratory
118302,1,Laboratory,Laboratory
"12944243
1",1,Pharmacy,Pharmacy
128052854,1,Pharmacy,Pharmacy
1481621,1,Diluent / Flush / Irrigant,Pharmacy
60076,1,Laboratory,Laboratory
11506624,1,Supply,Implant/Supply
01482125,1,Pharmacy,Pharmacy
182962,1,Monitoring,Laboratory
00975,1,Pharmacy,Drugs Requiring Specific Identification
G6988 -CI-GO,1,PT / OT / Speech Therapy,PT/OT/Speech
"13078304
1",1,Diluent / Flush / Irrigant,Pharmacy
803937,1,Laboratory,Laboratory
J1844,1,Pharmacy,Drugs Requiring Specific Identification
104102,1,Laboratory,Laboratory
02498,1,Pharmacy,Pharmacy
4971013,1,Laboratory,Laboratory
J2 405,1,Pharmacy,Drugs Requiring Specific Identification
11512341,1,Supply,Implant/Supply
177050,1,Diluent / Flush / Irrigant,Pharmacy
C14357CO,1,Diluent / Flush / Irrigant,Pharmacy
436957,1,Supply,Implant/Supply
60012720,1,Laboratory,Laboratory
220591,1,Pharmacy,Pharmacy
82540,1,Laboratory,Laboratory
12511255,1,Monitoring,Pulmonary Function
3624467,1,Supply,Implant/Supply
29B440,1,Pharmacy,Drugs Requiring Specific Identification
836908,1,Laboratory,Laboratory
95087003,1,Supply,Implant/Supply
130396087,1,Diluent / Flush / Irrigant,Pharmacy
86860,1,Laboratory,Laboratory
A3270,1,Pharmacy,Pharmacy
SJ605,1,Laboratory,Laboratory
85018 HCHG,1,Laboratory,Laboratory
10800431,1,Laboratory,Laboratory
1482322,1,Pharmacy,Pharmacy
13730572,1,Pharmacy,Pharmacy
30112005,1,Laboratory,Laboratory
11509888,1,Supply,Implant/Supply
37500309,1,Laboratory,Laboratory
11509887,1,Supply,Implant/Supply
8J7J5,1,Laboratory,Laboratory
TC3000982,1,Laboratory,Laboratory
400036007,1,Supply,Implant/Supply
419949,1,Laboratory,Laboratory
3.600061E7,1,Monitoring,Pulmonary Function
63007014,1,Laboratory,Laboratory
11510727,1,Supply,Implant/Supply
"13018927
7",1,Pharmacy,Pharmacy
60473,1,PT / OT / Speech Therapy,PT/OT/Speech
11400504,1,Laboratory,Laboratory
01482601,1,Pharmacy,Pharmacy
6 11250,1,Pharmacy,Pharmacy
RX637,1,Pharmacy,Pharmacy
30136415,1,Nursing Services,Laboratory
<W016718,1,Monitoring,Laboratory
21245,1,Laboratory,Laboratory
60017350,1,Laboratory,Laboratory
"13029089
4",1,Pharmacy,Pharmacy
12237512,1,Pharmacy,Pharmacy
11503367,1,Supply,Implant/Supply
55585055,1,Laboratory,Laboratory
1735120,1,Diluent / Flush / Irrigant,Pharmacy
11647,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
30180076,1,Laboratory,Laboratory
77000548,1,Supply,Implant/Supply
28044,1,Pharmacy,Drugs Requiring Specific Identification
00311,1,Respiratory Therapy,Respiratory Services
400016175,1,Supply,Implant/Supply
419175,1,Implant,Implant/Supply
85660,1,Laboratory,Laboratory
947 60,1,Monitoring,Pulmonary Function
4400002,1,Cardiology,EKG/ECG/EEG
86295,1,Monitoring,Laboratory
125785968,1,Pharmacy,Pharmacy
11504001,1,Supply,Implant/Supply
83000671,1,Laboratory,Laboratory
26000525 -,1,Pharmacy,Pharmacy
32250,1,Pharmacy,Pharmacy
1700068,1,Supply,Implant/Supply
HCLAB13020079,1,Laboratory,Laboratory
20808038,1,Laboratory,Laboratory
131003,1,Laboratory,Laboratory
737000323,1,Respiratory Therapy,Implant/Supply
14586062,1,Pharmacy,Pharmacy
402036,1,Pharmacy,Pharmacy
800581,1,Laboratory,Laboratory
04720801,1,Laboratory,Laboratory
01445626,1,Pharmacy,Pharmacy
85014-QW,1,Laboratory,Laboratory
21010011,1,Pharmacy,Pharmacy
62010000,1,Blood Products,Laboratory
510037,1,Laboratory,EKG/ECG/EEG
004423,1,Laboratory,Laboratory
43600834,1,Laboratory,Laboratory
3140720,1,Procedure,OR Services
J7 20,1,Pharmacy,Drugs Requiring Specific Identification
424031,1,Supply,Implant/Supply
60019960,1,Nursing Services,Laboratory
11503365,1,Supply,Implant/Supply
1015056,1,Laboratory,Laboratory
74 000,1,Radiology,Radiology
60042170,1,Laboratory,Laboratory
72190,1,Pharmacy,Radiology
9005 6,1,Laboratory,Laboratory
K92 70GY,1,Pharmacy,Pharmacy
30100254,1,Laboratory,Laboratory
"12852244
6",1,Pharmacy,Pharmacy
86410000,1,PT / OT / Speech Therapy,PT/OT/Speech
94002.0,1,Respiratory Therapy,Respiratory Services
7001038,1,PT / OT / Speech Therapy,PT/OT/Speech
93 DOS,1,Cardiology,Drugs Requiring Specific Identification
30610563,1,Laboratory,Laboratory
4360424S,1,Nursing Services,Laboratory
02016,1,Supply,Implant/Supply
7114008,1,Radiology,MRI
130696499,1,Pharmacy,Pharmacy
02330,1,Laboratory,Laboratory
65206000,1,Laboratory,Laboratory
75989,1,Radiology,Radiology
8410N,1,Laboratory,Laboratory
104006,1,Laboratory,Laboratory
25700022,1,Room and Board,Room & Board
454550,1,Laboratory,Laboratory
65730,1,Laboratory,Laboratory
01023316,1,Monitoring,Laboratory
3000047,1,Nursing Services,Laboratory
H135S0,1,PT / OT / Speech Therapy,PT/OT/Speech
18927,1,Radiology,Radiology
3101497,1,Pharmacy,Laboratory
J4460,1,Laboratory,Laboratory
25608528,1,Pharmacy,Pharmacy
00650,1,Pharmacy,Pharmacy
3505200,1,Respiratory Therapy,Implant/Supply
007466,1,Pharmacy,Pharmacy
"13017864
4",1,Pharmacy,Pharmacy
437??522,1,PT / OT / Speech Therapy,PT/OT/Speech
12715002,1,Pharmacy,Pharmacy
00828,1,Laboratory,Laboratory
82555,1,Laboratory,Laboratory
3000911,1,Laboratory,Laboratory
20000000,1,Room and Board,Intensive Care
904310,1,Pharmacy,Pharmacy
301000636,1,Laboratory,Laboratory
36224,1,Radiology,OR Services
11512339,1,Supply,Implant/Supply
01518026,1,Laboratory,Laboratory
"12913683
8",1,Pharmacy,Pharmacy
21000001,1,Room and Board,Coronary Care
00735,1,Pharmacy,Pharmacy
3000910,1,Laboratory,Laboratory
4263016,1,Laboratory,Laboratory
84133019,1,Laboratory,Laboratory
736141,1,Laboratory,Laboratory
458008,1,Laboratory,Laboratory
01C24983,1,Laboratory,Laboratory
903446,1,Laboratory,Laboratory
01468339,1,Pharmacy,Pharmacy
11503119,1,Supply,Implant/Supply
2 00 443,1,Laboratory,Laboratory
87070A,1,Laboratory,Laboratory
"12673610
0",1,Pharmacy,Pharmacy
39110001,1,Nursing Services,Blood
14515222,1,Pharmacy,Pharmacy
36001323,1,OR / Anesthesia / Recovery Room,OR Services
"12673610
7",1,Pharmacy,Pharmacy
G8978,1,PT / OT / Speech Therapy,PT/OT/Speech
82947000,1,Laboratory,Laboratory
2005354,1,Respiratory Therapy,Implant/Supply
- 41642 -,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
JL 940,1,Pharmacy,Drugs Requiring Specific Identification
305000008'HC,1,Laboratory,Laboratory
14985292,1,Pharmacy,Pharmacy
8502,1,Laboratory,Laboratory
"13008433
3",1,Pharmacy,Pharmacy
1015189,1,Laboratory,Laboratory
32495,1,Laboratory,Laboratory
400005045,1,Supply,Implant/Supply
11502623,1,Supply,Implant/Supply
730000001,1,Cardiology,EKG/ECG/EEG
LB 3024,1,Laboratory,Laboratory
80510092,1,Radiology,Radiology
11613304,1,Respiratory Therapy,Implant/Supply
01C15056,1,Laboratory,Laboratory
11401270,1,Laboratory,Laboratory
25204701,1,Laboratory,Laboratory
01484840,1,Pharmacy,Pharmacy
41304014,1,Supply,Implant/Supply
97535,1,PT / OT / Speech Therapy,PT/OT/Speech
02 B070,1,Respiratory Therapy,Implant/Supply
30900500,1,Laboratory,Laboratory
30500045,1,Laboratory,Laboratory
41850966,1,Respiratory Therapy,Implant/Supply
00296,1,Laboratory,Laboratory
LB 2046,1,Laboratory,Laboratory
60012800,1,Laboratory,Laboratory
36001321,1,OR / Anesthesia / Recovery Room,OR Services
86645,1,Pharmacy,Laboratory
01300409-,1,Monitoring,Nursing
B400006,1,Pharmacy,Drugs Requiring Specific Identification
11502622,1,Supply,Implant/Supply
31550361,1,Supply,Implant/Supply
420000,1,Laboratory,Laboratory
9007750,1,Laboratory,Laboratory
803000,1,Procedure,OR Services
6040067,1,Pharmacy,Pharmacy
8789959,1,Laboratory,Laboratory
45400637,1,Respiratory Therapy,Respiratory Services
7.60101618E8,1,Laboratory,Laboratory
50061,1,Laboratory,Laboratory
13062242,1,Pharmacy,Pharmacy
11505944,1,Supply,Implant/Supply
11505942,1,Supply,Implant/Supply
047728,1,OR / Anesthesia / Recovery Room,OR Services
30500049,1,Laboratory,Laboratory
95027,1,Laboratory,Laboratory
H4684,1,Monitoring,Laboratory
444000006,1,PT / OT / Speech Therapy,PT/OT/Speech
1482578,1,Pharmacy,Pharmacy
14867002,1,Pharmacy,Pharmacy
77001064,1,Pharmacy,Implant/Supply
315007,1,Laboratory,Laboratory
55480202,1,Pharmacy,Laboratory
1700060,1,Supply,Implant/Supply
439034,1,Laboratory,Laboratory
35211,1,Supply,Implant/Supply
27201037,1,Supply,Implant/Supply
88313,1,Laboratory,Laboratory
439032,1,Laboratory,Laboratory
020216,1,Pharmacy,Drugs Requiring Specific Identification
34630,1,Laboratory,Laboratory
11555222,1,Pharmacy,Pharmacy
S5027,1,Laboratory,Laboratory
"12852241
7",1,Pharmacy,Pharmacy
117651,1,Laboratory,Laboratory
03303,1,Pharmacy,Drugs Requiring Specific Identification
117654,1,Laboratory,Laboratory
344046,1,Laboratory,Laboratory
22645,1,Laboratory,Laboratory
841 00,1,Laboratory,Laboratory
26226,1,Pharmacy,Pharmacy
300 0004,1,Nursing Services,Laboratory
3412137,1,Respiratory Therapy,Implant/Supply
11511557,1,Supply,Implant/Supply
11514706,1,Supply,Implant/Supply
01040575,1,Laboratory,Laboratory
J2165,1,Pharmacy,Pharmacy
11613022,1,Pharmacy,Pharmacy
370001355,1,PT / OT / Speech Therapy,PT/OT/Speech
02426575,1,Laboratory,Laboratory
677515,1,Diluent / Flush / Irrigant,Pharmacy
4670022,1,Radiology,MRI
A4439,1,Laboratory,Laboratory
63007010,1,Laboratory,Laboratory
JOG90,1,Pharmacy,Pharmacy
91040,1,PT / OT / Speech Therapy,PT/OT/Speech
301000011,1,Laboratory,Laboratory
76770,1,Radiology,Other Imaging Services
42000017,1,PT / OT / Speech Therapy,PT/OT/Speech
403322,1,Pharmacy,Pharmacy
118 09,1,Laboratory,Laboratory
8218499,1,Laboratory,Laboratory
30002572,1,Laboratory,Laboratory
J1850,1,Pharmacy,Pharmacy
8000164,1,Laboratory,Laboratory
30100401,1,Laboratory,Laboratory
85520.0,1,Laboratory,Laboratory
01436302,1,Pharmacy,Pharmacy
9009332,1,Radiology,Radiology
53800421,1,Laboratory,Laboratory
30706,1,Pharmacy,Pharmacy
3100148,1,Laboratory,Laboratory
127697194,1,Pharmacy,Pharmacy
02939,1,Diluent / Flush / Irrigant,Pharmacy
"13054691
2",1,Diluent / Flush / Irrigant,Pharmacy
3100142,1,Laboratory,Laboratory
320000050,1,Radiology,Radiology
30100166,1,Laboratory,Laboratory
63027004,1,Laboratory,Laboratory
3100145,1,Laboratory,Laboratory
11514703,1,Supply,Implant/Supply
11514702,1,Supply,Implant/Supply
87449.0,1,Laboratory,Laboratory
_7050,1,Diluent / Flush / Irrigant,Pharmacy
400016183,1,Supply,Implant/Supply
39184001,1,PT / OT / Speech Therapy,PT/OT/Speech
09076,1,Pharmacy,Drugs Requiring Specific Identification
83735.0,1,Laboratory,Laboratory
04251740,1,PT / OT / Speech Therapy,PT/OT/Speech
11514637,1,Supply,Implant/Supply
11514636,1,Supply,Implant/Supply
8361591,1,Laboratory,Laboratory
7.60300012E8,1,Nursing Services,Laboratory
6040092,1,Pharmacy,Drugs Requiring Specific Identification
"12965035
0",1,Pharmacy,Pharmacy
11514639,1,Supply,Implant/Supply
11514638,1,Supply,Implant/Supply
27088001,1,Supply,Implant/Supply
250SOCC1,1,Pharmacy,Pharmacy
LB 2478,1,Laboratory,Laboratory
1552,1,Pharmacy,Drugs Requiring Specific Identification
-15460557,1,Monitoring,Respiratory Services
4103605,1,Laboratory,Laboratory
83735B,1,Laboratory,Laboratory
60040840,1,Laboratory,Laboratory
-±3602754,1,Laboratory,Laboratory
30101096,1,Laboratory,Laboratory
10001509,1,Laboratory,Laboratory
10001507,1,Laboratory,Laboratory
596009,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
04720835,1,Radiology,Laboratory
036886,1,Laboratory,Laboratory
09070,1,Cardiology,EKG/ECG/EEG
11505971,1,Supply,Implant/Supply
42502534,1,Respiratory Therapy,Implant/Supply
30184478,1,Laboratory,Laboratory
11504488,1,Supply,Implant/Supply
J7080,1,Diluent / Flush / Irrigant,Pharmacy
1941500,1,Laboratory,Laboratory
72095,1,Laboratory,Laboratory
27B956,1,Pharmacy,Drugs Requiring Specific Identification
1481541,1,Plan Benefit,Pharmacy
00610,1,OR / Anesthesia / Recovery Room,OR Services
B2247,1,Laboratory,Laboratory
84295<CPT®,1,Laboratory,Laboratory
02661,1,Pharmacy,Pharmacy
30003016,1,Laboratory,Laboratory
10735,1,Laboratory,Laboratory
60039490,1,Blood Products,Blood
154293,1,Diluent / Flush / Irrigant,Pharmacy
316850,1,Laboratory,Laboratory
37313430,1,Capital Equipment,Implant/Supply
02113854,1,Radiology,Other Imaging Services
90069,1,Laboratory,Laboratory
01015356,1,Laboratory,Laboratory
800225,1,Radiology,Radiology
58831,1,Pharmacy,Drugs Requiring Specific Identification
01442870,1,Pharmacy,Pharmacy
86612003,1,PT / OT / Speech Therapy,PT/OT/Speech
30180069,1,Laboratory,Laboratory
387879,1,Supply,Implant/Supply
01043,1,Laboratory,Laboratory
77075289,1,Supply,Implant/Supply
86777,1,Laboratory,Laboratory
4100062,1,Laboratory,Laboratory
800002209,1,Laboratory,Laboratory
3551896,1,Pharmacy,Pharmacy
1100012,1,Room and Board,Intensive Care
77019552,1,Supply,Implant/Supply
8000165,1,Laboratory,Laboratory
87210,1,Laboratory,Laboratory
12085002,1,Pharmacy,Pharmacy
8 690,1,Laboratory,Laboratory
01518117,1,Laboratory,Laboratory
84103,1,Laboratory,Laboratory
4100031,1,Laboratory,Laboratory
118317,1,Laboratory,Laboratory
9000118,1,Nursing Services,Laboratory
7.60101837E8,1,Laboratory,Laboratory
48001010,1,Cardiology,Cardiology
142156,1,Laboratory,Laboratory
55484100,1,Laboratory,Laboratory
104131,1,Laboratory,Laboratory
12820482,1,Pharmacy,Pharmacy
11502796,1,Supply,Implant/Supply
4110515,1,Supply,Implant/Supply
8589,1,Laboratory,Laboratory
002264,1,Pharmacy,Pharmacy
36000,1,Nursing Services,Laboratory
60023090,1,Laboratory,Laboratory
. J1650,1,Pharmacy,Drugs Requiring Specific Identification
4000489,1,Radiology,MRI
C1755,1,Supply,Implant/Supply
02210J,1,Laboratory,Laboratory
B0372,1,Capital Equipment,Implant/Supply
11510286,1,Supply,Implant/Supply
00279,1,Laboratory,Laboratory
63817000,1,Laboratory,Laboratory
11511802,1,Supply,Implant/Supply
37200002,1,OR / Anesthesia / Recovery Room,Anesthesia
922263,1,Supply,Implant/Supply
11504220,1,Supply,Implant/Supply
4790000,1,Pharmacy,Laboratory
32500195,1,Radiology,Radiology
123811191,1,Pharmacy,Pharmacy
82962.0,1,Monitoring,Laboratory
84100C,1,Laboratory,Laboratory
94667.0,1,Respiratory Therapy,Respiratory Services
65002003,1,Laboratory,Laboratory
4272104,1,Laboratory,Laboratory
11400512,1,Laboratory,Laboratory
01129097,1,Laboratory,Laboratory
P9051,1,Blood Products,Blood
63077001,1,Laboratory,Laboratory
02791,1,Pharmacy,Pharmacy
4272102,1,Laboratory,Laboratory
28B244,1,Pharmacy,Drugs Requiring Specific Identification
7.60101799E8,1,Laboratory,Laboratory
301 C00211,1,Monitoring,Laboratory
60622000,1,Monitoring,Laboratory
12211,1,Plan Benefit,Pharmacy
250000,1,Pharmacy,Pharmacy
58887000,1,Respiratory Therapy,Implant/Supply
4105700,1,Laboratory,Laboratory
22001798,1,Laboratory,Laboratory
30000796,1,Laboratory,Laboratory
11514797,1,Implant,Implant/Supply
LBF 3024,1,Laboratory,Laboratory
01482656,1,Pharmacy,Pharmacy
03962,1,Pharmacy,Pharmacy
62677,1,Nursing Services,Pulmonary Function
P9043,1,Pharmacy,Drugs Requiring Specific Identification
B4132,1,Monitoring,Laboratory
58826000,1,Nursing Services,Respiratory Services
01438704,1,Pharmacy,Pharmacy
8502 7,1,Laboratory,Laboratory
01474451,1,Supply,Pharmacy
12450100,1,Pharmacy,Pharmacy
734422647,1,Supply,Implant/Supply
22623,1,Laboratory,Laboratory
300021,1,Pharmacy,Pharmacy
6705200C,1,Radiology,Radiology
C1449768,1,Pharmacy,Pharmacy
117771,1,Laboratory,Laboratory
13480,1,Pharmacy,Drugs Requiring Specific Identification
01482578,1,Pharmacy,Pharmacy
30112660,1,Laboratory,Laboratory
36100649,1,Nursing Services,Respiratory Services
11505579,1,Supply,Implant/Supply
09719,1,Laboratory,Laboratory
B5018,1,Laboratory,Laboratory
87899-59,1,Laboratory,Laboratory
"12954487
8",1,Pharmacy,Pharmacy
63000002,1,Monitoring,Laboratory
11512524,1,Supply,Implant/Supply
87101,1,Laboratory,Laboratory
51451000,1,Supply,Implant/Supply
902166,1,Pharmacy,Drugs Requiring Specific Identification
104014,1,Laboratory,Laboratory
"12971992
8",1,Diluent / Flush / Irrigant,Pharmacy
LB 7095,1,Laboratory,Laboratory
36226,1,Radiology,OR Services
3000017,1,Monitoring,Laboratory
92610.0,1,PT / OT / Speech Therapy,PT/OT/Speech
63010,1,Pharmacy,Pharmacy
837000001,1,Pharmacy,Pharmacy
3000010,1,Laboratory,Laboratory
01450311,1,Pharmacy,Pharmacy
800501,1,Laboratory,Laboratory
104106,1,Laboratory,Laboratory
"12962130
8",1,Pharmacy,Pharmacy
408652,1,Supply,Implant/Supply
8504991,1,Laboratory,Laboratory
99833734,1,Diluent / Flush / Irrigant,Pharmacy
83715,1,Laboratory,Laboratory
30810563,1,Laboratory,Laboratory
77000550,1,Supply,Implant/Supply
128606929,1,Diluent / Flush / Irrigant,Pharmacy
33005,1,Cardiology,EKG/ECG/EEG
"13120587
3",1,Pharmacy,Pharmacy
31507767,1,Supply,Implant/Supply
03550,1,Laboratory,Laboratory
7.60101843E8,1,Laboratory,Laboratory
09000,1,Laboratory,Laboratory
42502567,1,Plan Benefit,Pharmacy
"13120587
2",1,Diluent / Flush / Irrigant,Pharmacy
37001046,1,OR / Anesthesia / Recovery Room,Anesthesia
300837350,1,Laboratory,Laboratory
J7056,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
0102336S,1,Monitoring,Laboratory
5412360,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
01040211,1,Laboratory,Laboratory
806821,1,Respiratory Therapy,Implant/Supply
67052000,1,Radiology,Radiology
067877,1,Pharmacy,Drugs Requiring Specific Identification
62728,1,Laboratory,Laboratory
09710,1,Laboratory,Laboratory
419315,1,Laboratory,Laboratory
4112504,1,Monitoring,Implant/Supply
00540,1,Laboratory,Laboratory
10117,1,PT / OT / Speech Therapy,PT/OT/Speech
99070,1,Supply,Implant/Supply
96900,1,Laboratory,Laboratory
8447891,1,Laboratory,Laboratory
J3690,1,Laboratory,Laboratory
10443,1,Laboratory,Laboratory
9091007,1,PT / OT / Speech Therapy,PT/OT/Speech
10001079,1,Laboratory,Laboratory
63014004,1,Laboratory,Laboratory
30184443,1,Laboratory,Laboratory
01016096,1,Laboratory,Laboratory
104145,1,Laboratory,Laboratory
