,cleaned_descrip,NORM_DESC,CHRG_CLS,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
1390,MESALAMINE CR 250 MG CPCR,mesalamine cream 250_mg cpcr,Pharmacy,Pharmacy,0.71,1,Pharmacy,0.48,1,Pharmacy,0.937016246791,1,Pharmacy,0.998615819477,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.781408016567
1391,MESNA 100MG/ML 10ML AMPULE,mesna 100 mg ml 10 ml ampule,Pharmacy,Pharmacy,0.72,1,Pharmacy,0.45,1,Pharmacy,0.979762942704,1,Pharmacy,0.980219879247,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.782495705488
1392,METERED DOSE INHALER,metered dose inhaler,Respiratory Therapy,Respiratory Therapy,0.94,1,Respiratory Therapy,0.82,1,Supply,0.662135432923,0,Supply,0.839438258364,0,Respiratory Therapy,"Jaro, DLevenshtein",0.44
1393,METERED DOSE INHALER,metered dose inhaler,Respiratory Therapy,Respiratory Therapy,0.94,1,Respiratory Therapy,0.82,1,Pharmacy,0.590616537134,0,Respiratory Therapy,0.583353382869,1,Respiratory Therapy,"Jaro, DLevenshtein, DeepNN",0.78111779429
1394,METERED DOSE INHALER,metered dose inhaler,Respiratory Therapy,Respiratory Therapy,0.94,1,Respiratory Therapy,0.82,1,Respiratory Therapy,0.483188504104,1,Pharmacy,0.337591104009,0,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR",0.747729501368
1395,METHADONE 1 MG/ML SOLN,methadone 1_mg/ml solution,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.95,1,Pharmacy,0.960777278542,1,Pharmacy,0.948475994928,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.959813318367
1396,METHADONE 1 MG/ML SOLN,methadone 1_mg/ml solution,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.95,1,Pharmacy,0.95251959093,1,Pharmacy,0.90843953079,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.94773978043
1397,METHADONE 1 MG/ML SOLN 500 ML BOTTLE,methadone 1_mg/ml solution 500_ml bottle,Pharmacy,Pharmacy,0.81,1,Pharmacy,0.63,1,Pharmacy,0.931597350769,1,Pharmacy,0.729701975934,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.775324831676
1398,METHADONE 2MG/ML 2ML VIAL,methadone 2 mg ml 2 ml vial,Pharmacy,Pharmacy,0.82,1,Pharmacy,0.68,1,Pharmacy,0.988962556251,1,Pharmacy,0.998037043061,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.871749899828
1399,METHOCARBAMOL 500MG TABLET,methocarbamol 500 mg tablet,Pharmacy,Pharmacy,0.97,1,Pharmacy,0.92,1,Pharmacy,0.984759857254,1,Pharmacy,0.999601276674,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.968590283482
1400,METHOCARBAMOL 500MG TABLET,methocarbamol 500 mg tablet,Pharmacy,Pharmacy,0.97,1,Pharmacy,0.92,1,Pharmacy,0.983293428684,1,Pharmacy,0.99938276649,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.968169048794
1401,METHYLPREDNIS SOLU MEDRO SOLU MEDROL 125 MG/2ML VIAL,methylprednisolone solu-medrol solu medrol 125_mg/2_ml vial,Pharmacy,Pharmacy,0.78,1,Pharmacy,0.6,1,Pharmacy,0.984696112124,1,Pharmacy,0.999722534833,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.841104661739
1402,METHYLPREDNIS SOLU MEDRO SOLU MEDROL 125 MG/2ML VIAL,methylprednisolone solu-medrol solu medrol 125_mg/2_ml vial,Pharmacy,Pharmacy,0.78,1,Pharmacy,0.6,1,Pharmacy,0.983319906695,1,Pharmacy,0.999626155526,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.840736515555
1403,METHYLPREDNISOLONE 1000MG VL,methylprednisolone 1000 mg vial,Pharmacy,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,0.991009677739,1,Pharmacy,0.99981710013,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970206694467
1404,METHYLPREDNISOLONE 125MG INJ,methylprednisolone 125 mg injection,Pharmacy,Pharmacy,0.93,1,Pharmacy,0.88,1,Pharmacy,0.979276295407,1,Pharmacy,0.999813538687,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.947272458523
1405,METHYLPREDNISOLONE 125MG INJ,methylprednisolone 125 mg injection,Pharmacy,Pharmacy,0.93,1,Pharmacy,0.88,1,Pharmacy,0.983440661677,1,Pharmacy,0.999761818112,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.948300619947
1406,METHYLPREDNISOLONE 1GM UD INJ,methylprednisolone 1 gm unit dose injection,Pharmacy,Pharmacy,0.87,1,Pharmacy,0.73,1,Pharmacy,0.962981782285,1,Pharmacy,0.996336637534,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.889829604955
1407,METHYLPRENISOLONE SC 1MG/ML IN,methylprednisolone subcutaneous 1 mg ml,Pharmacy,Pharmacy,0.87,1,Pharmacy,0.7,1,Pharmacy,0.982868490454,1,Pharmacy,0.99926943461,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.888034481266
1408,METOCLOPRAMIDE 5 MG/ML SOLN,metoclopramide 5_mg/ml solution,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.83,1,Pharmacy,0.972395374863,1,Pharmacy,0.987751102646,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.927536619377
1409,METOCLOPRAMIDE 5 MG/ML SOLN,metoclopramide 5_mg/ml solution,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.83,1,Pharmacy,0.966268657577,1,Pharmacy,0.977084066844,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.923338181105
1410,METOCLOPRAMIDE 5MG TABLET,metoclopramide 5 mg tablet,Pharmacy,Pharmacy,0.86,1,Pharmacy,0.71,1,Pharmacy,0.984921543256,1,Pharmacy,0.999463722525,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.888596316445
1411,METOCLOPRAMIDE 5MG TABLET,metoclopramide 5 mg tablet,Pharmacy,Pharmacy,0.86,1,Pharmacy,0.71,1,Pharmacy,0.9844523339,1,Pharmacy,0.999155660519,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.888401998605
1412,METOPROLOL 25MG TAB,metoprolol 25_mg tablet,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.77,1,Pharmacy,0.980529582637,1,Pharmacy,0.999744242431,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.917568456267
1413,METOPROLOL 25MG TAB,metoprolol 25_mg tablet,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.77,1,Pharmacy,0.979446403797,1,Pharmacy,0.999588663646,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.917258766861
1414,METOPROLOL 25MG TAB ,metoprolol 25_mg tablet,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.77,1,Pharmacy,0.979446403797,1,Pharmacy,0.999588663646,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.917258766861
1415,METOPROLOL TARTRATE 50 MG TABLET,metoprolol tartrate 50_mg tablet,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.93,1,Pharmacy,0.980278766734,1,Pharmacy,0.999747358075,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.972506531202
1416,METOPROLOL TARTRATE 50 MG TABLET,metoprolol tartrate 50_mg tablet,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.93,1,Pharmacy,0.971681604523,1,Pharmacy,0.999762264135,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970360967164
1417,METOPROLOL TARTRATE 50 MG TABLET,metoprolol tartrate 50_mg tablet,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.93,1,Pharmacy,0.977895237649,1,Pharmacy,0.999602660914,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.971874474641
1418,METRONIDAOLE 500MG TAB,metronidazole 500 mg tablet,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.95,1,Pharmacy,0.989740813852,1,Pharmacy,0.99980846368,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.979887319383
1419,METRONIDAZOLE 500 MG IVPB,metronidazole 500_mg intravenous_piggyback,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.86,1,Pharmacy,0.95216518102,1,Pharmacy,0.999542337145,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.932926879541
1420,METRONIDAZOLE BENZOATE BU,metronidazole benzoate bu,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.84,1,Pharmacy,0.866054661204,1,Pharmacy,0.991595654328,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.904412578883
1421,METRONIDAZOLE IN NACL 5 0.79 MG/ML % IV SOLN,metronidazole sodium_chloride 5 0.79 mg ml % intravenous solution,Pharmacy,Pharmacy,0.84,1,Pharmacy,0.78,1,Pharmacy,0.884291522619,1,Pharmacy,0.961003344224,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.866323716711
1422,METRONIDAZOLE/NSS PREMIX 500MG,metronidazole normal_saline_sterile premix 500_mg,Pharmacy,Pharmacy,0.84,1,Pharmacy,0.54,1,Pharmacy,0.962618094709,1,Pharmacy,0.999401326904,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.835504855403
1423,MGSO4/500MG 4% PREMIX ,mgso_4/500_mg 4% premix,Pharmacy,Pharmacy,0.73,1,Pharmacy,0.47,1,Pharmacy,0.928152502493,1,Pharmacy,0.99955529957,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.781926950516
1424,MIC SENSITIVITY,minimal inhibitory concentration sensitivity,Laboratory,Laboratory,0.86,1,Laboratory,0.67,1,Laboratory,0.969956810547,1,Laboratory,0.999748769222,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.874926394942
1425,MICROALBUMIN MALB MALBCR,microalbumin malb malbcr,Laboratory,Room and Board,0.73,0,Pharmacy,0.41,0,Laboratory,0.654177115881,1,Laboratory,0.905790993778,1,Laboratory,"Logistic_OvR, DeepNN",0.389992027415
1426,MIDAZOLAM 5 MG/5ML SOLN,midazolam 5_mg/5_ml solution,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.95,1,Pharmacy,0.975395722297,1,Pharmacy,0.997022126786,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.975604462271
1427,MIDAZOLAM 5 MG/5ML SOLN,midazolam 5_mg/5_ml solution,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.95,1,Pharmacy,0.972224534795,1,Pharmacy,0.994348278881,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.974143203419
1428,MIDAZOLAM 5 MG/5ML SOLN ,midazolam 5_mg/5_ml solution,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.95,1,Pharmacy,0.975395722297,1,Pharmacy,0.997022126786,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.975604462271
1429,MIDAZOLAM 5MG/ML VIAL,midazolam 5 mg ml vial,Pharmacy,Pharmacy,0.95,1,Pharmacy,0.9,1,Pharmacy,0.99299366434,1,Pharmacy,0.999932802383,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.960731616681
1430,MIDAZOLAM 5MG/ML VIAL,midazolam 5 mg ml vial,Pharmacy,Pharmacy,0.95,1,Pharmacy,0.9,1,Pharmacy,0.992818549479,1,Pharmacy,0.999887654559,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.960676551009
1431,MIDAZOLAM HCL 2 MG/2ML IJ SOLN,midazolam hydrochloride 2 mg/2 ml injection solution,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.85,1,Pharmacy,0.993287541763,1,Pharmacy,0.999960346765,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.940811972132
1432,MIDAZOLAM HCL 2 MG/2ML IJ SOLN,midazolam hydrochloride 2 mg/2 ml injection solution,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.85,1,Pharmacy,0.994305469354,1,Pharmacy,0.999959327211,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.941066199141
1433,MILRINONE 1 MG/ML SOLN 10 ML VIAL,milrinone 1_mg/ml solution 10_ml vial,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.96,1,Pharmacy,0.983827480214,1,Pharmacy,0.992223683736,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.979012790987
1434,MILRINONE 1 MG/ML SOLN 10 ML VIAL,milrinone 1_mg/ml solution 10_ml vial,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.96,1,Pharmacy,0.983767505172,1,Pharmacy,0.984437915028,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.97705135505
1435,MILRINONE 1 MG/ML SOLN 10 ML VIAL,milrinone 1_mg/ml solution 10_ml vial,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.96,1,Pharmacy,0.987592855882,1,Pharmacy,0.996221387962,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.980953560961
1436,MILRINONE IN DEXTROSE 200 5 MCG/ML % IV SOLN,milrinone dextrose 200 5 mcg ml % intravenous solution,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.89,1,Pharmacy,0.967237027232,1,Pharmacy,0.987159569954,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.951099149297
1437,MILRINONE IN DEXTROSE 200 5 MCG/ML % IV SOLN,milrinone dextrose 200 5 mcg ml % intravenous solution,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.89,1,Pharmacy,0.972583032758,1,Pharmacy,0.993313256744,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.953974072375
1438,MINOR SURGERY FIRST 15 MIN,minor surgery first 15_minutes,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.94,1,OR / Anesthesia / Recovery Room,0.91,1,OR / Anesthesia / Recovery Room,0.850590098023,1,OR / Anesthesia / Recovery Room,0.999998956317,1,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.925147263585
1439,MOBILITY CURRENT,mobility current,PT / OT / Speech Therapy,Laboratory,0.79,0,PT / OT / Speech Therapy,0.53,1,PT / OT / Speech Therapy,0.779644104381,1,PT / OT / Speech Therapy,0.998556672611,1,PT / OT / Speech Therapy,"DLevenshtein, Logistic_OvR, DeepNN",0.769400258997
1440,MONITORING OXIMETER CONTINU,monitoring oximeter continuous,Monitoring,Supply,0.79,0,Supply,0.48,0,Monitoring,0.797987836861,1,Monitoring,0.999857906024,1,Monitoring,"Logistic_OvR, DeepNN",0.449461435721
1441,MONITORING OXIMETER CONTINU,monitoring oximeter continuous,Monitoring,Supply,0.79,0,Supply,0.48,0,Monitoring,0.801748851686,1,Monitoring,0.999954374343,1,Monitoring,"Logistic_OvR, DeepNN",0.450425806507
1442,MONITORING OXIMETER CONTINU,monitoring oximeter continuous,Monitoring,Supply,0.79,0,Supply,0.48,0,Monitoring,0.858000720894,1,Monitoring,0.999951765636,1,Monitoring,"Logistic_OvR, DeepNN",0.464488121633
1443,MORPHINE 1 MG/ML SOLN,morphine 1_mg/ml solution,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,0.963855892823,1,Pharmacy,0.985585405075,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.962360324474
1444,MORPHINE 1 MG/ML SOLN,morphine 1_mg/ml solution,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,0.958383914134,1,Pharmacy,0.971540304736,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.957481054718
1445,MORPHINE 10MG/5ML ORAL LIQUID UD,morphine 10 mg/5 ml oral liquid unit dose,Pharmacy,Pharmacy,0.79,1,Pharmacy,0.68,1,Pharmacy,0.981683262989,1,Pharmacy,0.999923806563,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.862901767388
1446,MORPHINE 25MG/1ML INJ,morphine 25 mg/1 ml injection,Pharmacy,Pharmacy,0.91,1,Pharmacy,0.74,1,Pharmacy,0.990857978218,1,Pharmacy,0.999972520353,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.910207624643
1447,MORPHINE 2MG/ML INJ,morphine 2_mg/ml injection,Pharmacy,Pharmacy,0.94,1,Pharmacy,0.82,1,Pharmacy,0.973314866542,1,Pharmacy,0.999211643617,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.93313162754
1448,MORPHINE 2MG/ML INJ,morphine 2_mg/ml injection,Pharmacy,Pharmacy,0.94,1,Pharmacy,0.82,1,Pharmacy,0.976291186333,1,Pharmacy,0.999235042316,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.933881557162
1449,MORPHINE 30 MG/30 ML 1 MG/ML INTRAVENOUS PCA SYRINGE,morphine 30_mg/30_ml 1_mg/ml intravenous patient_controlled_analgesia syringe,Pharmacy,Pharmacy,0.81,1,Pharmacy,0.45,1,Pharmacy,0.970821419949,1,Pharmacy,0.998394471585,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.807303972884
1450,MORPHINE 4MG/ML INJ,morphine 4_mg/ml injection,Pharmacy,Pharmacy,0.9,1,Pharmacy,0.76,1,Pharmacy,0.971377046144,1,Pharmacy,0.99920770638,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.907646188131
1451,MORPHINE 4MG/ML INJ,morphine 4_mg/ml injection,Pharmacy,Pharmacy,0.9,1,Pharmacy,0.76,1,Pharmacy,0.974884807789,1,Pharmacy,0.99922671326,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.908527880262
1452,MORPHINE PF IN 0.9 % NACL 2 MG/2 ML 1 MG/ML ,morphine preservative_free 0.9% sodium_chloride 2_mg/2_ml 1_mg/ml,Pharmacy,Pharmacy,0.76,1,Pharmacy,0.48,1,Pharmacy,0.909210033537,1,Pharmacy,0.97970574505,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.782228944647
1453,MORPHINE UP TO 10MG,morphine 10_mg,Pharmacy,Pharmacy,0.86,1,Pharmacy,0.65,1,Pharmacy,0.966876731633,1,Pharmacy,0.999444502343,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.869080308494
1454,MORPHINE UP TO 10MG,morphine 10_mg,Pharmacy,Pharmacy,0.86,1,Pharmacy,0.65,1,Pharmacy,0.962639456432,1,Pharmacy,0.999215468831,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.867963731316
1455,MOXIFLOXACIN 400MG TABLET,moxifloxacin 400 mg tablet,Pharmacy,Pharmacy,0.81,1,Pharmacy,0.65,1,Pharmacy,0.981383693547,1,Pharmacy,0.994675228606,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.859014730538
1456,MR BRAIN WO CONTRAST,magnetic_resonance brain without contrast,Radiology,Radiology,0.94,1,Radiology,0.94,1,Radiology,0.898443116815,1,Radiology,0.989087764464,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.94188272032
1457,MR MRA PELVIS W AND WO CONTRAST,mr magnetic_resonance_angiography pelvis without contrast,Radiology,Radiology,0.79,1,Radiology,0.73,1,Radiology,0.898676807439,1,Radiology,0.99648574228,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.85379063743
1458,MR MRS,magnetic_resonance magnetic_resonance_spectroscopy,Radiology,Pharmacy,0.67,0,Procedure,0.4,0,Laboratory,0.466151882958,1,Laboratory,0.896867511072,1,Laboratory,"Logistic_OvR, DeepNN",0.340754848508
1459,MR STAPH DNA AMP PROBE,methicillin resistant staphylococcus deoxyribonucleic_acid ampule probe,Laboratory,Laboratory,0.75,1,Laboratory,0.43,1,Laboratory,0.929479223794,1,Laboratory,0.982684613999,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.773040959448
1460,MRI BRAIN W/CONTRAST,magnetic resonance imaging brain contrast,Radiology,Radiology,1.0,1,Radiology,1.0,1,Radiology,0.813202305532,1,Radiology,0.940372657998,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.938393740883
1461,MRI BRAIN W/WO CONTRAST,magnetic resonance imaging brain without contrast,Radiology,Radiology,0.98,1,Radiology,0.95,1,Radiology,0.858179946323,1,Radiology,0.973235225419,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.940353792935
1462,MRI KITS,magnetic resonance imaging kits,Supply,Supply,0.95,1,Supply,0.86,1,Supply,0.774473863041,1,Supply,0.917944223159,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.87560452155
1463,MRI LUMBAR SPINE WO CONTRAST,magnetic resonance imaging lumbar spine without contrast,Radiology,Radiology,0.81,1,Radiology,0.75,1,Radiology,0.890428813075,1,Radiology,0.990069545031,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.860124589526
1464,MRI T SPINE W/ CONTRAST,magnetic_resonance_imagery thoracic spine contrast,Radiology,Radiology,0.96,1,Radiology,0.95,1,Radiology,0.889004834914,1,Radiology,0.991318430978,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.947580816473
1465,MS MS/MS ANALY NOT SPEC Q,"mass spectrometry analysis, specific",Laboratory,Laboratory,0.7,1,Supply,0.36,0,Laboratory,0.93956875883,1,Laboratory,0.999798570352,1,Laboratory,"Jaro, Logistic_OvR, DeepNN",0.879789109727
1466,MULTIPLE PULSE OXIMETRY,multiple pulse oximetry,Monitoring,Monitoring,0.81,1,Monitoring,0.48,1,Monitoring,0.949174359222,1,Monitoring,0.999994458389,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.809792204403
1467,MULTIPLE PULSE OXIMETRY,multiple pulse oximetry,Monitoring,Monitoring,0.81,1,Monitoring,0.48,1,Monitoring,0.939897992922,1,Monitoring,0.999952989696,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.807462745655
1468,MULTIVIT ORAL DROPS PER 0.5ML,multivit oral drops per 0.5_ml,Pharmacy,Pharmacy,0.78,1,Pharmacy,0.48,1,Pharmacy,0.965281980859,1,Pharmacy,0.998528017524,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.805952499596
1469,MULTIVITAMIN FE 0.5ML,multivitamin fe 0.5_ml,Pharmacy,Pharmacy,0.83,1,Pharmacy,0.63,1,Pharmacy,0.967794449212,1,Pharmacy,0.995602139725,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.855849147234
1470,MULTIVITAMIN IRON DROP,multivitamin iron drop,Pharmacy,Pharmacy,0.91,1,Pharmacy,0.8,1,Pharmacy,0.950714884689,1,Pharmacy,0.989301997958,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.912504220662
1471,MULTIVITAMIN WITH MINERALS TABS,multivitamin minerals tablets,Pharmacy,Pharmacy,0.95,1,Pharmacy,0.86,1,Pharmacy,0.968518635119,1,Pharmacy,0.997439833884,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.943989617251
1472,MULTIVITAMIN WITH MINERALS TABS,multivitamin minerals tablets,Pharmacy,Pharmacy,0.95,1,Pharmacy,0.86,1,Pharmacy,0.964185064956,1,Pharmacy,0.997094867401,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.942819983089
1473,MYCOPLASMA IGG ANTIBODY,mycoplasma immunoglobulin g antibody,Laboratory,Laboratory,0.79,1,Laboratory,0.69,1,Laboratory,0.955953130258,1,Laboratory,0.951699691649,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.846913205477
1474,MYCOPLASMA PNEUMONIAE PCR,mycoplasma pneumoniae pcr,Laboratory,Laboratory,0.81,1,Laboratory,0.52,1,Laboratory,0.965195360129,1,Laboratory,0.985935249666,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.820282652449
1475,MYLOGOBIN,myoglobin,Laboratory,Laboratory,0.85,1,Laboratory,0.6,1,Laboratory,0.956350147132,1,Laboratory,0.999677054063,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.851506800299
1476,NACL .9 100IVF,sodium_chloride 0.9 100ivf,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.587568975398,1,Diluent / Flush / Irrigant,0.748267848519,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.833959205979
1477,NACL .9 100IVF,sodium_chloride 0.9 100ivf,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.514296240624,1,Diluent / Flush / Irrigant,0.517959138255,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.75806384472
1478,NACL 0.9% INJ 250ML,sodium_chloride 0.9% injection 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.98,1,Diluent / Flush / Irrigant,0.94,1,Diluent / Flush / Irrigant,0.919469082033,1,Diluent / Flush / Irrigant,0.999840243377,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.959827331352
1479,NACL 0.9% INJ 250ML,sodium_chloride 0.9% injection 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.98,1,Diluent / Flush / Irrigant,0.94,1,Diluent / Flush / Irrigant,0.945991096928,1,Diluent / Flush / Irrigant,0.999887576912,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.96646966846
1480,NACL 0.9% INJ 250ML,sodium_chloride 0.9% injection 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.98,1,Diluent / Flush / Irrigant,0.94,1,Diluent / Flush / Irrigant,0.911224298762,1,Diluent / Flush / Irrigant,0.999716727515,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.957735256569
