descrip	rev_code	proc_code	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
HB CATHETER CV BRMN L110CM OD6FR	270.0	11501455	1.0	243.0	243.0	catheter central venous brmn length 110cm od6fr	Supply
HB CATHETER CV BRMN L110CM OD6FR	270.0	None	1.0	246.0	246.0	catheter central venous brmn length 110cm od6fr	Supply
HB CATHETER CV BRVC OD4.2FR W/O V	278.0	None	1.0	539.0	539.0	catheter central venous broviac od4.2fr without v	Supply
HB CATHETER CV BRVC OD6.6FR W/O V	278.0	None	1.0	440.0	440.0	catheter central venous broviac od6.6fr without v	Supply
HB CATHETER CV HKMN ADLT OD9FR DL	278.0	None	1.0	546.0	546.0	catheter central venous hickman adult od9fr double_lumen	Supply
HB CATHETER CV HKMN PED OD7FR DL	278.0	None	1.0	571.0	571.0	catheter central venous hickman pediatric od7fr double_lumen	Supply
HB CATHETER CV L15CM OD10FR CRV E	278.0	None	1.0	249.0	249.0	catheter central venous length 15 cm od10fr crv e	Supply
HB CATHETER CV L5CM OD3FR SINGLE	270.0	None	1.0	236.0	236.0	catheter central venous length 5 cm od3fr single	Supply
HB CATHETER CV PLAS OD9FR PERI IN	270.0	11501487	1.5	218.0	145.0	catheter central venous plastic od9fr peri in	Supply
HB CATHETER CV PLAS OD9FR PERI IN	270.0	None	1.0	146.0	146.0	catheter central venous plastic od9fr peri in	Supply
HB CATHETER DIAGNOSTIC INFINITI I	270.0	None	1.0	52.0	52.0	catheter diagnostic infiniti i	Supply
HB CATHETER DLYS QNTN/TENCK PED L	270.0	11501497	1.0	245.0	245.0	catheter dialysis quinton/tenck pediatric l	Supply
HB CATHETER DLYS QNTN/TENCK PED L	270.0	None	1.0	238.0	238.0	catheter dialysis quinton/tenck pediatric l	Supply
HB CATHETER DRN 25CM 8.5FR HDRPH	270.0	None	1.0	354.0	354.0	catheter drain 25cm 8.5fr hdrph	Supply
HB CATHETER DRN L9IN OD10FR THOR	270.0	None	1.0	75.0	75.0	catheter drain length 9 inches od10fr thoracic	Supply
HB CATHETER DRN PVC L9IN OD12FR T	270.0	None	1.0	75.0	75.0	catheter drain pvc length 9 inches od12fr t	Supply
HB CATHETER EMB FGRTY L40CM OD4FR	270.0	None	1.0	335.0	335.0	catheter embolism fogarty length 40 cm od4fr	Supply
HB CATHETER EMB FGRTY L60CM OD2FR	270.0	None	1.0	460.5	460.5	catheter embolism fogarty length 60 cm od2fr	Supply
HB CATHETER EMB FGRTY L80CM OD3FR	270.0	None	1.0	330.0	330.0	catheter embolism fogarty length 80 cm od3fr	Supply
HB CATHETER FOLYSIL COUDE 10FR	270.0	11510401	1.0	67.0	67.0	catheter polysil coude 10fr	Supply
HB CATHETER FOLYSIL COUDE 8FR	270.0	None	1.0	67.0	67.0	catheter folysil coude 8 french	Supply
HB CATHETER HEMODIA MHRKR L12CM 0	270.0	None	1.0	455.0	455.0	catheter hemodialysis mahurkar length 12 cm 0	Supply
HB CATHETER HEMODIA QNTN/MAKHURKA	278.0	None	1.0	289.0	289.0	catheter hemodialysis quinton/makhurka	Supply
HB CATHETER INNERVISION VENTRIC S	278.0	11506777	1.0	989.0	989.0	catheter innervision ventric shunt	Supply
HB CATHETER INNERVISION VENTRIC S	278.0	None	1.0	985.0	985.0	catheter innervision ventric shunt	Supply
HB CATHETER IV ANGCTH TFLN/PTFE L	270.0	None	2.0	36.0	18.0	catheter intravenous angiocath tfln/ptfe line l	Supply
HB CATHETER IV INSYT ATOGRD L1.16	270.0	None	1.0	8.0	8.0	catheter intravenous insyte autoguard length 1.16	Supply
HB CATHETER IV INSYT ATOGRD L1IN	270.0	11501560	2.0	16.0	8.0	catheter intravenous insyte autoguard l1 inches	Supply
HB CATHETER IV INSYT ATOGRD L1IN	270.0	None	2.0	16.0	8.0	catheter intravenous insyte autoguard l1 inches	Supply
HB CATHETER IV INSYT ATOGRD L3/4I	270.0	11501561	2.0	16.0	8.0	catheter intravenous insyte autoguard length 3/4 inches	Supply
HB CATHETER IV INSYT ATOGRD L3/4I	270.0	None	2.0	16.0	8.0	catheter intravenous insyte autoguard length 3/4 inches	Supply
HB CATHETER IV INSYT/ATOGRD L.56I	270.0	11501565	2.0	24.0	12.0	catheter intravenous insyte/autoguard length .56 inches	Supply
HB CATHETER IV INSYT/ATOGRD L.56I	270.0	None	2.0	24.0	12.0	catheter intravenous insyte/autoguard length .56 inches	Supply
HB CATHETER IV INSYT/ATOGRD L1.16	270.0	11501566	1.0	8.0	8.0	catheter intravenous insyte autoguard length 1.16	Supply
HB CATHETER IV INSYT/ATOGRD L1.16	270.0	11501567	1.5	12.0	8.0	catheter intravenous insyte autoguard length 1.16	Supply
HB CATHETER IV INSYT/ATOGRD L1.16	270.0	None	1.5	12.0	8.0	catheter intravenous insyte autoguard length 1.16	Supply
HB CATHETER KUMPE 4FR 40CM	270.0	None	1.0	110.0	110.0	catheter kumpe 4fr 40cm	Supply
HB CATHETER KUMPE 4FR 65CM	270.0	None	1.0	108.5	108.5	catheter kumpe 4fr 65cm	Supply
HB CATHETER LARGE LUMEN BACTISEAL	278.0	11503529	1.0	2155.0	2155.0	catheter large lumen bactiseal	Supply
HB CATHETER LARGE LUMEN BACTISEAL	278.0	None	1.0	2191.0	2191.0	catheter large lumen bactiseal	Supply
HB CATHETER LVS VENT OD 8FR	270.0	11514781	1.0	111.0	111.0	catheter lvs ventilator od 8fr	Supply
HB CATHETER LVS VENT OD 8FR	270.0	None	1.0	111.0	111.0	catheter lvs ventilator od 8fr	Supply
HB CATHETER LVS VENT OD BPR	270.0	None	1.0	111.0	111.0	catheter lvs ventilator od bpr	Supply
HB CATHETER MP 3.3F ANGIO MG	270.0	None	1.0	490.0	490.0	catheter mp 3.3 angiography mg	Supply
HB CATHETER ORTHRL POLYSIL SIL L1	270.0	None	1.0	61.0	61.0	catheter urethral folysil silicone l1	Supply
HB CATHETER OXIMETRY 5.5FR X 15CM	270.0	None	1.0	2155.0	2155.0	catheter oximetry 5.5fr x 15cm	Supply
HB CATHETER OXIMETRY 5.5FR X 8CM	270.0	None	1.0	2191.0	2191.0	catheter oximetry 5.5fr x 8cm	Supply
HB CATHETER PIGTAIL 5FR X 2CM	270.0	None	1.0	145.0	145.0	catheter pigtail 5fr by 2cm	Supply
HB CATHETER PIGTAIL VESSEL SIZING	270.0	None	1.0	287.0	287.0	catheter pigtail vessel sizing	Supply
HB CATHETER PIV 4.0FR SL EXT DWEL	270.0	None	1.0	140.0	140.0	catheter pivot 4.0fr single lumen extension dwell	Supply
HB CATHETER PRFSN .25IN CONN L35C	270.0	None	1.0	166.0	166.0	catheter perfusion 0.25 inches connector length 35 cm	Supply
HB CATHETER PRFSN DLP PED L15IN 0	270.0	11501583	2.0	198.0	99.0	catheter perfusion dlp pediatric length 15 inches 0	Supply
HB CATHETER PRFSN DLP PED L15IN 0	270.0	11501584	1.0	99.0	99.0	catheter perfusion dlp pediatric length 15 inches 0	Supply
HB CATHETER PRFSN DLP PED L15IN 0	270.0	None	1.0	99.0	99.0	catheter perfusion dlp pediatric length 15 inches 0	Supply
HB CATHETER PRFSN DLP PED L15IN O	270.0	11501583	1.0	99.0	99.0	catheter perfusion dlp pediatric length 15 inches o	Supply
HB CATHETER PRFSN DLP PED L15IN O	270.0	None	1.0	99.0	99.0	catheter perfusion dlp pediatric length 15 inches o	Supply
HB CATHETER PRFSN DLP PED LI5IN O	270.0	None	1.0	99.0	99.0	catheter perfusion dlp pediatric length 15 inches o	Supply
HB CATHETER PTCA 135CM 20MM 2MM R	270.0	None	1.0	1036.0	1036.0	catheter percutaneous transluminal coronary angioplasty 135cm 20mm 2mm r	Supply
HB CATHETER PTCA 75CM 2CM 5.3FR 6	270.0	None	1.0	896.0	896.0	catheter percutaneous transluminal coronary angioplasty 75cm 2cm 5.3fr 6	Supply
HB CATHETER PTCA 75CM 4CM 5.8FR 1	270.0	None	1.0	896.0	896.0	catheter percutaneous transluminal coronary angioplasty 75cm 4cm 5.8fr 1	Supply
HB CATHETER PTCA 90CM 2CM 3.3FR 4	270.0	None	1.0	1550.0	1550.0	catheter percutaneous transluminal coronary angioplasty 90cm 2cm 3.3fr 4	Supply
HB CATHETER PTCA 90CM 2CM 4FR 4MM	270.0	None	1.0	896.0	896.0	catheter percutaneous transluminal coronary angioplasty 90cm 2cm 4fr 4mm	Supply
HB CATHETER SUCTION 10FR WHISTLE	270.0	None	1.5	1.5	1.0	catheter suction 10 french whistle	Supply
HB CATHETER SUCTION 8FR DELEE	270.0	None	2.0	4.0	2.0	catheter suction 8 french delee	Supply
HB CATHETER SUCTION GLOVE KIT 5/6	270.0	None	5.0	10.0	2.0	catheter suction glove kit 5/6	Supply
HB CATHETER SURG DUPLOCATH 25 L25	270.0	11501603	1.0	202.0	202.0	catheter surgical duplocath 25 length 25	Supply
HB CATHETER SURG DUPLOCATH 25 L25	270.0	None	1.0	202.0	202.0	catheter surgical duplocath 25 length 25	Supply
HB CATHETER SX ARGL L60CM OD10FR	270.0	None	1.0	40.0	40.0	catheter suction argl l60cm od10fr	Supply
HB CATHETER SX ARGL L61CM OD8FR R	270.0	None	1.0	40.0	40.0	catheter suction argl l61cm od8fr r	Supply
HB CATHETER SX CATH-N-GOLVE 8FR V	270.0	11501609	1.0	2.0	2.0	catheter suction catheter n glove 8fr view	Supply
HB CATHETER SX CATH-N-GOLVE 8FR V	270.0	None	10.0	20.0	2.0	catheter suction catheter n glove 8fr view	Supply
HB CATHETER SX OD4FR FEXIBLE 1PC	270.0	None	1.0	170.0	170.0	catheter suction od4fr flexible 1pc	Supply
HB CATHETER SX PED OD10FR CLSD W/	270.0	11501613	1.5	115.5	77.0	catheter suction pediatric od10fr closed with	Supply
HB CATHETER SX PED OD10FR CLSD W/	270.0	None	1.0	77.0	77.0	catheter suction pediatric od10fr closed with	Supply
HB CATHETER SX PED OD12FR CLSD W/	270.0	11501614	1.0	77.0	77.0	catheter suction pediatric od12fr closed with	Supply
HB CATHETER SX PED OD12FR CLSD W/	270.0	None	1.5	114.5	76.5	catheter suction pediatric od12fr closed with	Supply
HB CATHETER SX PED OD6FR GRAD W/O	270.0	None	3.5	7.0	2.0	catheter suction pediatric od6fr graduated without	Supply
HB CATHETER SX TRACH CAR ADLT L21	270.0	11504578	1.0	46.0	46.0	catheter suction tracheostomy care adult length 21	Supply
HB CATHETER SX TRACH CAR ADLT L21	270.0	None	1.0	46.0	46.0	catheter suction tracheostomy care adult length 21	Supply
HB CATHETER SX TRACH CAR NEO PED	270.0	11501619	1.0	59.0	59.0	catheter suction tracheostomy care neonatal with pediatric	Supply
HB CATHETER SX TRACH CAR NEO PED	270.0	11501622	1.0	71.0	71.0	catheter suction tracheostomy care neonatal with pediatric	Supply
HB CATHETER SX TRACH CAR NEO PED	270.0	None	1.0	59.0	59.0	catheter suction tracheostomy care neonatal with pediatric	Supply
HB CATHETER SX TRACH CAR NEO/PED	270.0	11501621	1.0	71.0	71.0	catheter suction tracheostomy care neonatal pediatric	Supply
HB CATHETER SX TRACH CAR NEO/PED	270.0	11501622	1.0	71.0	71.0	catheter suction tracheostomy care neonatal pediatric	Supply
HB CATHETER SX TRACH CAR NEO/PED	270.0	None	2.0	140.0	71.0	catheter suction tracheostomy care neonatal pediatric	Supply
HB CATHETER SX TRACK CAR NEO PED	270.0	None	2.0	116.0	58.0	catheter suction track care neonatal with pediatric	Supply
HB CATHETER SX TRIFLO KIT 10 FR DR	270.0	11501624	10.0	20.0	2.0	catheter suction triflo kit 10 french dr	Supply
HB CATHETER SX TRIFLO KIT 10FR DR	270.0	11501624	4.0	8.0	2.0	catheter suction triflo kit 10 french dr	Supply
HB CATHETER SX TRIFLO KIT 10FR DR	270.0	None	10.0	20.0	2.0	catheter suction triflo kit 10 french dr	Supply
HB CATHETER THRACNTSIS SIL OD12FR	270.0	None	1.0	80.0	80.0	catheter thoracentesis silicone od12fr	Supply
HB CATHETER THRACNTSIS SIL OD16FR	270.0	None	1.0	83.0	83.0	catheter thoracentesis silicone od16fr	Supply
HB CATHETER THRACNTSIS SIL OD20FR	270.0	11501641	1.0	83.0	83.0	catheter thoracentesis silicone od20fr	Supply
HB CATHETER THRACNTSIS SIL OD24FR	270.0	None	1.0	83.0	83.0	catheter thoracentesis silicone od24fr	Supply
HB CATHETER THRACNTSIS SIL OD28FR	270.0	None	1.5	120.5	80.5	catheter thoracentesis silicone od28fr	Supply
HB CATHETER THRACNTSIS SIL OD36FR	270.0	None	1.0	79.0	79.0	catheter thoracentesis silicone od36fr	Supply
HB CATHETER UMBIL ARGL PU 12 IN 3.	270.0	None	1.0	62.0	62.0	catheter umbilical argyle pu 12 in 3	Supply
HB CATHETER UMBIL ARGL PU 12IN 3	270.0	None	1.0	62.0	62.0	catheter umbilical argyle pu 12 inches 3	Supply
HB CATHETER UMBIL ARGL PU 12IN 3.	270.0	None	1.0	62.0	62.0	catheter umbilical argyle pu 12 inches 3	Supply
HB CATHETER UMBIL ARGL PU 12IN 5F	270.0	None	1.0	62.0	62.0	catheter umbilical argyle pu 12 inches 5	Supply
HB CATHETER UMBIL ARGL PU L12IN 0	270.0	None	1.0	73.0	73.0	catheter umbilical argyle pu length 12 inches 0	Supply
HB CATHETER UMBIL ARGL PU L12IN O	270.0	11501649	1.0	72.0	72.0	catheter umbilical argyle pu length 12 inches o	Supply
HB CATHETER UMBIL ARGL PU L12IN O	270.0	None	1.0	72.0	72.0	catheter umbilical argyle pu length 12 inches o	Supply
HB CATHETER UMBIL ARGL PU L15IN 0	270.0	None	1.0	156.0	156.0	catheter umbilical argyle pu length 15 inches o	Supply
HB CATHETER UMBIL ARGL PU L15IN O	270.0	11501655	1.0	156.0	156.0	catheter umbilical argyle pu length 15 inches o	Supply
HB CATHETER UMBIL ARGL PU L15IN O	270.0	None	1.0	155.0	155.0	catheter umbilical argyle pu length 15 inches o	Supply
HB CATHETER UMBIL ARGL PVC NEO L1	270.0	11501657	1.0	189.0	189.0	catheter umbilical argyle pvc neonatal l1	Supply
HB CATHETER UMBIL ARGL PVC NEO L1	270.0	None	1.0	191.0	191.0	catheter umbilical argyle pvc neonatal l1	Supply
HB CATHETER UMBIL SIL OD3.5FR DL	270.0	11501658	1.0	148.0	148.0	catheter umbilical silicone od3.5fr double_lumen	Supply
HB CATHETER UMBIL SIL OD3.5FR DL	270.0	None	1.0	569.0	569.0	catheter umbilical silicone od3.5fr double_lumen	Supply
HB CATHETER URTHRL 10FR INTERMITT	270.0	None	1.5	4.5	3.0	catheter urethral 10 french intermittent	Supply
HB CATHETER URTHRL DOVER SIL OD12	270.0	11501681	1.0	17.0	17.0	catheter urethral dover silver od12	Supply
HB CATHETER URTHRL DOVER SIL OD12	270.0	None	1.0	17.0	17.0	catheter urethral dover silver od12	Supply
HB CATHETER URTHRL DOVER SIL OD14	270.0	11501683	1.0	17.0	17.0	catheter urethral dover silver od14	Supply
HB CATHETER URTHRL DOVER SIL OD14	270.0	None	1.0	17.0	17.0	catheter urethral dover silver od14	Supply
HB CATHETER URTHRL DOVER SIL OD16	270.0	11501685	1.0	17.0	17.0	catheter urethral dover silver od16	Supply
HB CATHETER URTHRL DOVER SIL OD24	270.0	11501693	1.0	17.0	17.0	catheter urethral dover silver od24	Supply
HB CATHETER URTHRL DOVER SIL OD8F	270.0	None	2.0	54.0	27.0	catheter urethral dover silicon od8f	Supply
HB CATHETER URTHRL FOLYSIL SIL L1	270.0	11501699	1.0	61.0	61.0	catheter urethral polysil silicone l1	Supply
HB CATHETER URTHRL FOLYSIL SIL L1	270.0	None	1.0	61.0	61.0	catheter urethral polysil silicone l1	Supply
HB CATHETER URTHRL FOLYSIL SIL LI	270.0	None	1.0	68.0	68.0	catheter urethral folysil silicone li	Supply
HB CATHETER URTHRL OD3FR STYL RND	270.0	None	1.0	67.0	67.0	catheter urethral od3fr style round	Supply
HB CATHETER URTHRL OD8FR INTMIT C	270.0	None	2.0	6.0	3.0	catheter urethral od8fr intermittent c	Supply
HB CATHETER URTHRL PVC PED L10IN	270.0	None	4.0	16.0	4.0	catheter urethral pvc pediatric length 10 inches	Supply
HB CATHETER URTHRL SILIASTIC 6FR	270.0	11501758	1.0	90.0	90.0	catheter urethral siliastic 6 fr	Supply
HB CATHETER URTHRL SILIASTIC 6FR	270.0	None	1.0	91.0	90.0	catheter urethral siliastic 6 fr	Supply
HB CATHETER URTHRL SILIASTIC 6PR	270.0	None	1.0	90.0	90.0	catheter urethral siliastic 6fr	Supply
HB CATHETER URTHRL SLSTC SIL OD10	270.0	11501789	1.0	27.0	27.0	catheter urethral silastic silicone od10	Supply
HB CATHETER URTHRL SLSTC SIL OD10	270.0	None	1.5	40.5	27.0	catheter urethral silastic silicone od10	Supply
HB CBC W/AUTO DIEFERENTIAL	300.0	None	1.0	53.42	53.42	complete_blood_count with automated differential	Laboratory
HB CBC W/AUTO DIFFERENTIAL	300.0	00926626	1.0	53.42	53.42	complete_blood_count with automated differential	Laboratory
HB CBC W/AUTO DIFFERENTIAL	300.0	926626	1.0	53.42	53.42	complete_blood_count with automated differential	Laboratory
HB CBC W/AUTO DIFFERENTIAL	300.0	C0926626	1.0	53.42	53.42	complete_blood_count with automated differential	Laboratory
HB CBC W/AUTO DIFFERENTIAL	300.0	None	1.0	53.42	53.42	complete_blood_count with automated differential	Laboratory
HB CDI PACK	270.0	None	1.0	223.0	223.0	cdi pack	Supply
HB CDS CRANIOTOMY SURGERY	270.0	11504466	1.0	1127.0	1127.0	cds craniotomy surgery	OR / Anesthesia / Recovery Room
HB CDS CRANIOTOMY SURGERY	270.0	None	1.0	1146.0	1146.0	cds craniotomy surgery	OR / Anesthesia / Recovery Room
HB CDS SHUNT SURGERY	270.0	11503189	1.0	543.5	543.5	cds shunt surgery	OR / Anesthesia / Recovery Room
HB CDS SHUNT SURGERY	270.0	None	1.0	519.0	519.0	cds shunt surgery	OR / Anesthesia / Recovery Room
HB CEFAZOLIN NA 1 GM VIAL	250.0	None	2.0	31.96	15.98	cefazolin sodium 1 gm vial	Pharmacy
HB CEFAZOLIN NA 1GM VIAL	250.0	01481656	2.0	31.96	15.98	cefazolin sodium 1_gm vial	Pharmacy
HB CEFAZOLIN NA 1GM VIAL	250.0	None	1.0	26.07	20.6	cefazolin sodium 1_gm vial	Pharmacy
HB CEFAZOLIN NA 1GM VIAL	636.0	01481656	4.0	24.74	6.185	cefazolin sodium 1_gm vial	Pharmacy
HB CEFAZOLIN NA 1GM VIAL	636.0	None	1.5	25.595	18.665	cefazolin sodium 1_gm vial	Pharmacy
HB CEFEPIME 2GM VIAL	250.0	01481788	2.0	73.87	36.935	cefepime 2 gm vial	Pharmacy
HB CEFEPIME 2GM VIAL	250.0	None	2.0	84.77	42.385	cefepime 2 gm vial	Pharmacy
HB CEFEPIME HCL 1 GM IJ SOLR	252.0	None	2.0	58.42	29.21	cefepime hydrochloride 1 gm injection solution	Pharmacy
HB CEFTRIAXONE/ROCEPHIN 2 GM VL	250.0	01481760	8.0	423.31	52.91375	ceftriaxone/rocephin 2 gm vial	Pharmacy
HB CEFTRIAXONE/ROCEPHIN 2 GM VL	250.0	01481769	8.0	423.31	52.91375	ceftriaxone/rocephin 2 gm vial	Pharmacy
HB CEFTRIAXONE/ROCEPHIN 2 GM VL	250.0	None	6.0	282.21	52.91375	ceftriaxone/rocephin 2 gm vial	Pharmacy
HB CEFTRIAXONE/ROCEPHIN 2 GM VL	290.0	01481760	8.0	423.31	52.91375	ceftriaxone/rocephin 2 gm vial	Pharmacy
HB CEFTRIAXONE/ROCEPHIN 250MG VL	250.0	None	1.0	67.9	67.9	ceftriaxone/rocephin 250 mg vial	Pharmacy
HB CELLCEPT SUSP 200MG/ML	250.0	None	3.0	110.77	36.9233333333	cellcept suspension 200 mg/ml	Pharmacy
HB CEPAZOLIN NA 1GM VIAL	250.0	None	1.0	24.89	24.89	cefazolin sodium 1 gm vial	Pharmacy
HB CEPHALEXIN 250MG/5ML SUSP	250.0	01454594	13.0	17.33	1.33307692308	cephalexin 250 mg/5 ml suspension	Pharmacy
HB CEPHALEXIN 250MG/5ML SUSP	250.0	None	3.0	5.46	1.74333333333	cephalexin 250 mg/5 ml suspension	Pharmacy
HB CHBST 1 VIEW	320.0	01701093	1.0	189.36	189.36	chest 1 view	Radiology
HB CHEST 1 VIEW	250.0	None	1.0	275.0	275.0	chest 1 view	Radiology
HB CHEST 1 VIEW	320.0	01701093	1.0	189.36	189.36	chest 1 view	Radiology
HB CHEST 1 VIEW	320.0	017C1093	1.0	177.64	177.64	chest 1 view	Radiology
HB CHEST 1 VIEW	320.0	1701093	1.0	166.0	166.0	chest 1 view	Radiology
HB CHEST 1 VIEW	320.0	70001358	1.0	272.0	272.0	chest 1 view	Radiology
HB CHEST 1 VIEW	320.0	None	1.0	177.64	177.64	chest 1 view	Radiology
HB CHEST 1 VIEW	324.0	4000254	1.0	173.88	173.88	chest 1 view	Radiology
HB CHEST 1 VIEW	324.0	71010	1.0	173.88	173.88	chest 1 view	Radiology
HB CHEST 1 VIEW	324.0	71010 (CPT®)	1.0	292.0	292.0	chest 1 view	Radiology
HB CHEST 1 VIEW	324.0	91258	1.0	173.88	173.88	chest 1 view	Radiology
HB CHEST 1 VIEW	324.0	None	1.0	173.88	173.88	chest 1 view	Radiology
HB CHEST 2 VIEWS	324.0	71020	1.0	214.92	214.92	chest 2 views	Radiology
HB CHEST 2 VIEWS	324.0	None	1.0	214.92	214.92	chest 2 views	Radiology
HB CHEST SINGLE VIEW FRONT	320.0	71010	1.0	191.87	191.87	chest single view front	Radiology
HB CHEST SINGLE VIEW FRONT	320.0	71010.0	1.0	191.87	191.87	chest single view front	Radiology
HB CHEST SINGLE VIEW FRONT	320.0	80510092	1.0	170.19	170.19	chest single view front	Radiology
HB CHEST SINGLE VIEW FRONT	320.0	None	1.0	170.19	170.19	chest single view front	Radiology
HB CHEST- 2 VIEWS	324.0	01723881	1.0	207.21	207.21	chest 2 views	Radiology
HB CHLORAL HYDRATE 500MG/5ML SYRP	250.0	01451350	1.0	4.49	4.49	chloral hydrate 500 mg/5 ml syrup	Pharmacy
HB CHLORAL HYDRATE 500MG/5ML SYRP	250.0	None	1.0	3.24	3.24	chloral hydrate 500 mg/5 ml syrup	Pharmacy
HB CHLORHEXIDINE GLUC ORAL RNSE	250.0	01431105	1.0	49.18	49.18	chlorhexidine gluconate oral rinse	Pharmacy
HB CHLORHEXIDINE GLUC ORAL RNSE	250.0	None	1.0	49.18	49.18	chlorhexidine gluconate oral rinse	Pharmacy
HB CHLOROTHIAXIDE SODIUM 500MG VL	250.0	01481754	1.0	31.45	31.45	chlorothiaxide sodium 500 mg vial	Pharmacy
HB CHLOROTHIAZIDE 250MG/5ML	251.0	01449768	2.0	4.15	2.075	chlorothiazide 250 mg/5 ml	Pharmacy
HB CHLOROTHIAZIDE 250MG/5ML SUSP	251.0	01449768	2.0	4.15	2.075	chlorothiazide 250 mg/5 ml suspension	Pharmacy
HB CHLOROTHIAZIDE 250MG/5ML SUSP	251.0	C1449768	2.0	4.15	2.075	chlorothiazide 250 mg/5 ml suspension	Pharmacy
HB CHLOROTHIAZIDE 250MG/5ML SUSP	251.0	None	2.0	3.94	2.3	chlorothiazide 250 mg/5 ml suspension	Pharmacy
HB CHLOROTHIAZIDE 50 MG/ML SUSP	250.0	01484634	1.0	8.97	8.94	chlorothiazide 50 mg/ml suspension	Pharmacy
HB CHLOROTHIAZIDE 50 MG/ML SUSP	250.0	None	2.0	9.01	4.535	chlorothiazide 50 mg/ml suspension	Pharmacy
HB CHLOROTHIAZIDE SODIUM 500MG VL	250.0	01481754	1.0	105.72	105.72	chlorothiazide soduim 500 mg vial	Pharmacy
HB CHLOROTHIAZIDE SODIUM 500MG VL	250.0	None	1.0	57.2	57.2	chlorothiazide soduim 500 mg vial	Pharmacy
HB CHLOROTHIAZIDE SODIUM 500MG VL	350.0	None	1.0	1608.81	1608.81	chlorothiazide soduim 500 mg vial	Pharmacy
HB CIPRO 250MG CAP	250.0	01412816	1.0	25.8	25.8	ciprofloxacin 250 mg cap	Pharmacy
HB CIPRO 250MG CAP	250.0	02412816	1.0	25.8	25.8	ciprofloxacin 250 mg cap	Pharmacy
HB CIPRO 250MG CAP	250.0	04412816	1.0	25.8	25.8	ciprofloxacin 250 mg cap	Pharmacy
HB CIPROFLOXACIN 0.3% OINTMENT	250.0	None	1.0	171.74	171.74	ciprofloxacin 0.3% ointment	Pharmacy
HB CIPROFLOXACIN IN D5W 400 MG/200ML	251.0	None	2.0	23.23	11.615	ciprofloxacin in dextrose_5% in water 400 mg/200 ml	Pharmacy
HB CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN	251.0	01482601	2.0	22.21	11.105	ciprofloxacin in dextrose_5% in water 400 mg/200 ml intravenous solution	Pharmacy
HB CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN	251.0	None	1.0	21.43	21.15	ciprofloxacin in dextrose_5% in water 400 mg/200 ml intravenous solution	Pharmacy
HB CIPROFLOXACIN SUSP 10%	250.0	01414994	3.0	20.19	6.73	ciprofloxacin suspension 10%	Pharmacy
HB CIPROFLOXACIN SUSP 10%	250.0	None	2.0	15.2	7.6	ciprofloxacin suspension 10%	Pharmacy
HB CIPROFLOXACIN/DEX OTIC	250.0	01466267	1.0	8.6	8.6	ciprofloxacin/dextrose otic	Pharmacy
HB CIPROFLOXACIN/DEX OTIC SUSP	250.0	01466267	1.0	8.85	8.85	ciprofloxacin/dextrose otic suspension	Pharmacy
HB CIPROFLOXACIN/DEX OTIC SUSP	250.0	None	1.0	9.12	9.12	ciprofloxacin/dextrose otic suspension	Pharmacy
HB CIRCUIT BRTH L51IN HTD WRS FLX	270.0	None	1.0	490.0	487.0	circuit breathing length 51 inches htd wrs flex	Supply
HB CIRCUIT KIT DRY TUBE ADULT/PED	270.0	11504760	1.0	157.0	157.0	circuit kit dry tube adult/pediatric	Supply
HB CIRCUIT KIT DRY TUBE ADULT/PED	270.0	None	1.0	201.0	201.0	circuit kit dry tube adult/pediatric	Supply
HB CIRCUIT KIT DRY TUBE NEONATAL	270.0	11504761	1.0	186.0	186.0	circuit kit dry tube neonatal	Supply
HB CIRCUIT KIT DRY TUBE NEONATAL	270.0	None	1.0	186.0	186.0	circuit kit dry tube neonatal	Supply
HB CIRCUIT KIT DRY TUBE NEONATTIL	270.0	None	1.0	186.0	186.0	circuit kit dry tube neonatal	Supply
HB CIRCURT KIT DRY TUBE ADULT/PED	270.0	None	1.0	201.0	201.0	circurt kit dry tube adult/pediatric	Supply
HB CISATRACURIUM 2MG/ML 10ML	250.0	None	1.0	2.65	2.65	cisatracurium 2 mg/ml 10 ml	Pharmacy
HB CISATRACURIUM 2MG/ML 10ML VL	250.0	01466275	1.0	15.46	15.46	cisatracurium 2 mg/ml 10 ml vial	Pharmacy
HB CISATRACURIUM 2MG/ML 10ML VL	250.0	None	1.0	8.35	8.35	cisatracurium 2 mg/ml 10 ml vial	Pharmacy
HB CISATRACURIUM 2MG/ML 1OML VL	250.0	01466275	1.0	36.815	36.815	cisatracurium 2 mg/ml 10 ml vial	Pharmacy
HB CISATRACURIUM 2MG/ML 1OML VL	250.0	None	1.0	15.46	15.46	cisatracurium 2 mg/ml 10 ml vial	Pharmacy
HB CISATRACURIUM 2MG/ML LOML VL	250.0	None	1.0	3.37	3.37	cisatracurium 2 mg/ml 10 ml vial	Pharmacy
HB CLARITIN 10MG TAB	250.0	None	1.0	0.7	0.7	claritin 10 mg tablet	Pharmacy
HB CLARITIN REDITABS	250.0	01416536	1.0	0.16	0.16	claritin reditabs	Pharmacy
HB CLARITIN REDITABS	250.0	None	1.0	0.31	0.31	claritin reditabs	Pharmacy
