descrip	cleaned_descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	billed_categories	units_categories
HB INHALATION TREATMENT - MU	INHALATION TREATMENT MU	Respiratory Services	1.0	106.0	106.0	inhalation treatment mu	Respiratory Therapy	(92, 287]	Units <= 1
INHALATION TRTMT SUB	INHALATION TRTMT SUB	Respiratory Services	1.0	311.0	311.0	inhalation treatment subsequent	Respiratory Therapy	(287, 641]	Units <= 1
HC INHALATION TX HHN MDI IPPB 1 VISIT PER DAY	INHALATION TX HHN MDI IPPB 1 VISIT PER DAY	Respiratory Services	1.0	90.75	90.75	inhalation treatment high humidity nebulizer metered_dose_inhaler intermittent_positive_pressure_breathing 1 visit per day	Respiratory Therapy	(61, 92]	Units <= 1
HC INHALATION TX HHN MDI IPPB 2 - 5 VISITS PER DAY	INHALATION TX HHN MDI IPPB 2 5 VISITS PER DAY	Respiratory Services	1.0	291.75	291.75	inhalation treatment hhn metered_dose_inhaler intermittent_positive_pressure_breathing 2 5 visits per day	Respiratory Therapy	(287, 641]	Units <= 1
INITIAL HOUR NITRIC OXIDE	INITIAL HOUR NITRIC OXIDE	Respiratory Services	1.0	1551.0	1551.0	initial hour nitric_oxide	Plan Benefit	(997, 2496]	Units <= 1
INJ CEFEPIME PER 500MG   MB+	INJ CEFEPIME PER 500MG MB+	Pharmacy	8.0	101.06	12.63	injection cefepime per 500_mg mb and	Pharmacy	(4, 17]	Units > 1
INJ IV PUSH	INJ IV PUSH	IV Therapy	1.0	314.14	222.56	injection intravenous push	Nursing Services	(92, 287]	Units <= 1
INJ IV SOLN PIGGY BACK; SOD CHLORIDE	INJ IV SOLN PIGGY BACK SOD CHLORIDE	IV Solutions	1.0	10.8	10.8	injection intravenous solution piggy back sodium chloride	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
INJ IV SOLN PIGGY BACK; SOD CHLORIDE	INJ IV SOLN PIGGY BACK SOD CHLORIDE	Pharmacy	1.0	10.8	10.8	injection intravenous solution piggy back sodium chloride	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
INJ   IVP ADDL  SAME  DRUG/SUB  AFTER  30MIN	INJ IVP ADDL SAME DRUG/SUB AFTER 30MIN	Other Therapeutic Services	3.0	402.0	134.0	injection intravenous_push additional same drug/subsequent after 30min	Nursing Services	(92, 287]	Units > 1
INJ   IVP  EA ADDL  SEQ NEW DRUG	INJ IVP EA ADDL SEQ NEW DRUG	Other Therapeutic Services	1.0	134.0	134.0	injection intravenous push each additional sequential new drug	Nursing Services	(92, 287]	Units <= 1
INJ IVP. INITIAL DRUGS/SUB	INJ IVP. INITIAL DRUGS/SUB	Other Therapeutic Services	1.0	134.0	134.0	injection intravenous push initial drugs/subsequent	Nursing Services	(92, 287]	Units <= 1
INJ PROC PULMONARY ANGIO	INJ PROC PULMONARY ANGIO	Cardiology	1.0	2726.0	2726.0	injection procedure pulmonary angiogram	Radiology	(2496, 9320]	Units <= 1
INJ TX OR DX INTRAVENOUS	INJ TX OR DX INTRAVENOUS	Emergency Room	1.0	178.66	178.66	injection treatment or diagnostic intravenous	Nursing Services	(92, 287]	Units <= 1
INJ, TX OR DX, INTRAVENOUS	INJ TX OR DX INTRAVENOUS	IV Therapy	1.0	195.0	195.0	injection treatment or diagnostic intravenous	Nursing Services	(92, 287]	Units <= 1
INJECTABLE MEDICATION	INJECTABLE MEDICATION	Pharmacy	1.0	79.7	77.5	injectable medication	Pharmacy	(61, 92]	Units <= 1
INJECTION CAP	INJECTION CAP	Implant/Supply	2.0	2.62	1.31	injection capillary	Supply	(0, 4]	Units > 1
HC INJECTION HEP - B INITIAL	INJECTION HEP B INITIAL	Preventive Care Services	1.0	70.0	70.0	injection hepatitis b initial	Pharmacy	(61, 92]	Units <= 1
HC INJECTION IV PUSH ADD NEW MED ED	INJECTION IV PUSH ADD NEW MED ED	Emergency Room	2.0	288.0	153.5	injection intravenous push additional new medication emergency_department	Nursing Services	(92, 287]	Units > 1
INJECTION IV. SINGLE/INITIAL	INJECTION IV. SINGLE/INITIAL	IV Therapy	1.0	229.0	229.0	injection intravenous single/initial	Nursing Services	(92, 287]	Units <= 1
INJECTION, LINEZOLID, 200M	INJECTION LINEZOLID 200M	Pharmacy	3.0	1162.8	387.6	injection linezolid 200m	Pharmacy	(287, 641]	Units > 1
INO PER HR	INO PER HR	Implant/Supply	24.0	4560.0	190.0	inhaled_nitric_oxide per hour	Plan Benefit	(92, 287]	Units > 1
INO PER HR	INO PER HR	Pharmacy	24.0	4560.0	215.0	inhaled_nitric_oxide per hour	Plan Benefit	(92, 287]	Units > 1
INO PER HR	INO PER HR	Respiratory Services	24.0	5160.0	215.0	inhaled_nitric_oxide per hour	Plan Benefit	(92, 287]	Units > 1
INO THERAPY EACH HOUR	INO THERAPY EACH HOUR	Pharmacy	21.0	11591.58	551.98	inhaled_nitric_oxide therapy each hour	Plan Benefit	(287, 641]	Units > 1
HC INO THERAPY EACH HOUR	INO THERAPY EACH HOUR	Respiratory Services	12.0	6623.76	551.98	inhaled_nitric_oxide therapy each hour	Plan Benefit	(287, 641]	Units > 1
INOMAX (NITRIC OXIDE) 800PPM/1	INOMAX NITRIC OXIDE 800PPM/1	Pharmacy	24.0	12600.0	525.0	inomax nitric oxide 800ppm/1	Plan Benefit	(287, 641]	Units > 1
INOMAX PER HOUR	INOMAX PER HOUR	Drugs Requiring Detailed Coding	1.0	477.0	477.0	inomax per hour	Plan Benefit	(287, 641]	Units <= 1
INOMAX PER HOUR	INOMAX PER HOUR	Implant/Supply	12.0	7164.0	597.0	inomax per hour	Plan Benefit	(287, 641]	Units > 1
INOMAX PER HOUR	INOMAX PER HOUR	Pharmacy	4.0	2596.0	649.0	inomax per hour	Plan Benefit	(641, 997]	Units > 1
HB INPT CVC MONITORING	INPT CVC MONITORING	Nursing	1.0	133.21	133.21	inpatient central venous catheter monitoring	Monitoring	(92, 287]	Units <= 1
HB INPT CVC MONITORING	INPT CVC MONITORING	Treatment/Observation Room	1.0	133.21	133.21	inpatient central venous catheter monitoring	Monitoring	(92, 287]	Units <= 1
INPT SURG MAJOR 1ST 60 MIN	INPT SURG MAJOR 1ST 60 MIN	Anesthesia	1.0	5865.16	5865.16	inpatient surgery major 1st 60 minutes	OR / Anesthesia / Recovery Room	(2496, 9320]	Units <= 1
INPT SURG MAJOR 1ST 60 MIN	INPT SURG MAJOR 1ST 60 MIN	OR Services	1.0	5865.16	5865.16	inpatient surgery major 1st 60 minutes	OR / Anesthesia / Recovery Room	(2496, 9320]	Units <= 1
INPT SURG MAJOR ADD 30 MIN	INPT SURG MAJOR ADD 30 MIN	Anesthesia	3.0	8881.77	2960.59	inpatient surgery major additional 30 minutes	OR / Anesthesia / Recovery Room	(2496, 9320]	Units > 1
INPT SURG MAJOR ADD 30 MIN	INPT SURG MAJOR ADD 30 MIN	OR Services	5.0	14802.95	2960.59	inpatient surgery major additional 30 minutes	OR / Anesthesia / Recovery Room	(2496, 9320]	Units > 1
INPT SURG MINOR 1ST 60 MIN	INPT SURG MINOR 1ST 60 MIN	Anesthesia	1.0	5475.3	5475.3	inpatient surgery minor 1st 60 minutes	OR / Anesthesia / Recovery Room	(2496, 9320]	Units <= 1
INPT SURG MINOR 1ST 60 MIN	INPT SURG MINOR 1ST 60 MIN	OR Services	1.0	5475.3	5475.3	inpatient surgery minor 1st 60 minutes	OR / Anesthesia / Recovery Room	(2496, 9320]	Units <= 1
INPT SURG MINOR ADD 30 MIN	INPT SURG MINOR ADD 30 MIN	Anesthesia	3.5	8861.545	2531.87	inpatient surgery minor additional 30 minutes	OR / Anesthesia / Recovery Room	(2496, 9320]	Units > 1
INPT SURG MINOR ADD 30 MIN	INPT SURG MINOR ADD 30 MIN	OR Services	2.0	5063.74	2531.87	inpatient surgery minor additional 30 minutes	OR / Anesthesia / Recovery Room	(2496, 9320]	Units > 1
HC INR PROTHROMBIN TIME	INR PROTHROMBIN TIME	Laboratory	1.0	30.03	30.03	international_normalized_ratio prothrombin_time	Laboratory	(17, 41]	Units <= 1
INR (PROTHROMBIN TIME)	INR PROTHROMBIN TIME 	Laboratory	1.0	66.0	66.0	international_normalized_ratio prothrombin_time	Laboratory	(61, 92]	Units <= 1
HC INS ARTERY LINE PERC	INS ARTERY LINE PERC	Emergency Room	1.0	831.0	831.0	insert artery line percutaneous	Procedure	(641, 997]	Units <= 1
INS ARTERY LINE PERC	INS ARTERY LINE PERC	OR Services	1.0	1439.0	1439.0	insert artery line percutaneous	Procedure	(997, 2496]	Units <= 1
HC INS ARTERY LINE PERC	INS ARTERY LINE PERC	Treatment/Observation Room	1.0	1417.0	1417.0	insert artery line percutaneous	Procedure	(997, 2496]	Units <= 1
INS BLADDER  CATH  NON INDWELL	INS BLADDER CATH NON INDWELL	Other Therapeutic Services	1.0	118.0	118.0	insert bladder catheter non indwelling	Nursing Services	(92, 287]	Units <= 1
INS NON-TUN CV CATH, 5YR OR OLDER	INS NON TUN CV CATH 5YR OR OLDER	OR Services	1.0	2140.0	2140.0	insert non tun cardiovascular catheter 5yr operation_room older	Procedure	(997, 2496]	Units <= 1
HC INS NON TUNNEL CENT VENOUS CATH > 5YR	INS NON TUNNEL CENT VENOUS CATH > 5YR	OR Services	1.0	2285.0	2285.0	insert non tunnel central venous catheter greater_than 5_years	Procedure	(997, 2496]	Units <= 1
HC INS NONTUNL CVC >=5YR	INS NONTUNL CVC > 5YR	Emergency Room	1.0	3068.0	3068.0	insert non_tunneled central_venous_catheter greater_than_or_equal_to 5yr	Procedure	(2496, 9320]	Units <= 1
HC INS NONTUNL CVC >=5YR	INS NONTUNL CVC > 5YR	Surgery/Procedure	1.0	3431.0	3431.0	insert non_tunneled central_venous_catheter greater_than_or_equal_to 5yr	Procedure	(2496, 9320]	Units <= 1
HC INS NONTUNL CVC >=5YR	INS NONTUNL CVC > 5YR	Treatment/Observation Room	1.0	3068.0	3068.0	insert non_tunneled central_venous_catheter greater_than_or_equal_to 5yr	Procedure	(2496, 9320]	Units <= 1
HC INS PERIP CV CATH PICC > 5YR WO	INS PERIP CV CATH PICC > 5YR WO	OR Services	1.0	2205.0	2205.0	insert peripheral cardiovascular catheter peripherally_inserted_central_catheter greater_than 5_years without	Procedure	(997, 2496]	Units <= 1
INS TIB 5X12.5 RP CRV	INS TIB 5X12.5 RP CRV	Other Implants	2.0	18128.0	9064.0	insert tibial 5x12.5 rp crv	Implant	(2496, 9320]	Units > 1
INS TUNN CV CATH WO SUBQ PORT	INS TUNN CV CATH WO SUBQ PORT	Surgery/Procedure	1.0	3171.0	3171.0	insert tunneled cardiovascular catheter without subsequent port	Procedure	(2496, 9320]	Units <= 1
HC INS TUNNEL CV CATH WITHOUT > 5YR	INS TUNNEL CV CATH WITHOUT > 5YR	OR Services	1.0	3005.0	3005.0	insert tunnel cardiovascular catheter without greater_than 5_years	Procedure	(2496, 9320]	Units <= 1
HC INS/REPL ICD ELECT & INS GEN	INS/REPL ICD ELECT & INS GEN	Treatment/Observation Room	1.0	78496.0	78496.0	insert/replace icd elect and insert general	Procedure	(9320, 187611]	Units <= 1
INSERT ARTIAL LINE;PERC	INSERT ARTIAL LINE PERC	Implant/Supply	1.0	289.0	289.0	insert artial line percutaneous	Procedure	(287, 641]	Units <= 1
INSERT ARTIAL LINE;PERC	INSERT ARTIAL LINE PERC	Laboratory	1.0	289.0	289.0	insert artial line percutaneous	Procedure	(287, 641]	Units <= 1
INSERT ARTIAL LINE;PERC	INSERT ARTIAL LINE PERC	Respiratory Services	1.0	289.0	289.0	insert artial line percutaneous	Procedure	(287, 641]	Units <= 1
INSERT ARTIAL LINE; PERC	INSERT ARTIAL LINE PERC	Surgery/Procedure	1.0	289.0	289.0	insert artial line percutaneous	Procedure	(287, 641]	Units <= 1
INSERT PICC CATH <5YRS	INSERT PICC CATH 5YRS	Implant/Supply	1.0	1999.0	1999.0	insert peripherally inserted central catheter catheter less than 5yrs	Procedure	(997, 2496]	Units <= 1
INSERT PICC CATH <5YRS	INSERT PICC CATH 5YRS	Respiratory Services	1.0	1999.0	1999.0	insert peripherally inserted central catheter catheter less than 5yrs	Procedure	(997, 2496]	Units <= 1
INSERT PICC CATH <5YRS	INSERT PICC CATH 5YRS	Surgery/Procedure	1.0	1999.0	1999.0	insert peripherally inserted central catheter catheter less than 5yrs	Procedure	(997, 2496]	Units <= 1
INSERT PICC CATH >5YRS	INSERT PICC CATH >5YRS	Surgery/Procedure	1.0	3771.0	3771.0	insert peripherally inserted central catheter catheter greater than 5yrs	Procedure	(2496, 9320]	Units <= 1
INSERT PICC PER WO SQ PT 5+YRS	INSERT PICC PER WO SQ PT 5+YRS	Surgery/Procedure	1.0	1775.0	1775.0	insert peripherally_inserted_central_catheter percutaneous without subcutaneous port 5 plus years	Procedure	(997, 2496]	Units <= 1
HB INSLIN ASPART 100/UNIT ML VL	INSLIN ASPART 100/UNIT ML VL	Pharmacy	200.0	1294.125	6.470625	insulin aspart 100/unit ml vial	Pharmacy	(4, 17]	Units > 1
HB INSTRU SCISSORS STERILE 5IN	INSTRU SCISSORS STERILE 5IN	Implant/Supply	1.0	11.0	11.0	instrument scissors sterile 5 inches	Supply	(4, 17]	Units <= 1
HB INSTRU SCISSORS STERILE SIN	INSTRU SCISSORS STERILE SIN	Implant/Supply	1.0	11.0	11.0	instrument scissors sterile single	Supply	(4, 17]	Units <= 1
INSTRUMENT SUCTION YANKAUER_E	INSTRUMENT SUCTION YANKAUER E	Implant/Supply	1.0	0.0	0.0	instrument suction yankauer e	Supply	(-10, 0]	Units <= 1
INSULIN 1 UNT INJ	INSULIN 1 UNT INJ	Pharmacy	4.0	2.44	0.8	insulin 1_unit injection	Pharmacy	(0, 4]	Units > 1
INSULIN 100U/100ML NS PREMIXED	INSULIN 100U/100ML NS PREMIXED	Pharmacy	20.0	82.5	4.125	insulin 100_units/100_ml normal_saline premixed	Pharmacy	(4, 17]	Units > 1
INSULIN   5 UNITS INJ	INSULIN 5 UNITS INJ	Drugs Requiring Detailed Coding	60.0	64.96	1.242666667	insulin 5_units injection	Pharmacy	(0, 4]	Units > 1
INSULIN ASPART 100 UNIT/ML	INSULIN ASPART 100 UNIT/ML	Drugs Requiring Detailed Coding	1.0	33.5	33.5	insulin aspart 100_units/ml	Pharmacy	(17, 41]	Units <= 1
INSULIN ASPART 100 UNIT/ML	INSULIN ASPART 100 UNIT/ML	Drugs Requiring Specific Identification	1.0	0.54	0.54	insulin aspart 100_units/ml	Pharmacy	(0, 4]	Units <= 1
INSULIN ASPART 100 UNIT/ML	INSULIN ASPART 100 UNIT/ML	Pharmacy	1.0	0.54	0.54	insulin aspart 100_units/ml	Pharmacy	(0, 4]	Units <= 1
INSULIN ASPART 100 UNIT/ML SOLN	INSULIN ASPART 100 UNIT/ML SOLN	Drugs Requiring Detailed Coding	2.0	19.9	9.95	insulin aspart 100_units/ml solution	Pharmacy	(4, 17]	Units > 1
INSULIN ASPART 100 UNIT/ML SOLN	INSULIN ASPART 100 UNIT/ML SOLN	Drugs Requiring Specific Identification	1.0	17.82	17.82	insulin aspart 100_units/ml solution	Pharmacy	(17, 41]	Units <= 1
INSULIN ASPART 100 UNIT/ML SOLN	INSULIN ASPART 100 UNIT/ML SOLN	Pharmacy	2.0	19.7	9.95	insulin aspart 100_units/ml solution	Pharmacy	(4, 17]	Units > 1
INSULIN ASPART 5 UNITS	INSULIN ASPART 5 UNITS	Pharmacy	3.0	22.56	7.52	insulin aspart 5_units	Pharmacy	(4, 17]	Units > 1
INSULIN DETEMIR 100 UNIT/ML SOLN	INSULIN DETEMIR 100 UNIT/ML SOLN	Drugs Requiring Specific Identification	2.0	12.2	4.93	insulin detemir 100_units/ml solution	Pharmacy	(4, 17]	Units > 1
INSULIN DETEMIR 100 UNIT/ML - SOLN	INSULIN DETEMIR 100 UNIT/ML SOLN	Pharmacy	1.0	26.6	11.74	insulin detemir 100_units/ml solution	Pharmacy	(4, 17]	Units <= 1
HB INSULIN DETERMIR 100 UNITS/ML	INSULIN DETERMIR 100 UNITS/ML	Pharmacy	200.0	1453.83	7.26915	insulin detemir 100 units/ml	Pharmacy	(4, 17]	Units > 1
HB INSULIN DETERMIR 100 UNITS/ML.	INSULIN DETERMIR 100 UNITS/ML.	Pharmacy	200.0	1453.83	7.26915	insulin detemir 100 units/ml	Pharmacy	(4, 17]	Units > 1
INSULIN GLARGINE 100 UNI	INSULIN GLARGINE 100 UNI	Drugs Requiring Detailed Coding	200.0	2132.0	10.66	insulin glargine 100_units	Pharmacy	(4, 17]	Units > 1
INSULIN GLARGINE 100 UNI	INSULIN GLARGINE 100 UNI	Drugs Requiring Specific Identification	4.0	21.32	5.66625	insulin glargine 100_units	Pharmacy	(4, 17]	Units > 1
INSULIN GLARGINE 100 UNI	INSULIN GLARGINE 100 UNI	Pharmacy	3.0	51.55	18.54	insulin glargine 100_units	Pharmacy	(17, 41]	Units > 1
HB INSULIN GLARGINE 100 UNIT/ML SC SOPN	INSULIN GLARGINE 100 UNIT/ML SC SOPN	Pharmacy	60.0	403.81	6.730166667	insulin glargine 100 units/ml subcutaneous sopn	Pharmacy	(4, 17]	Units > 1
INSULIN GLARGINE 1UNIT	INSULIN GLARGINE 1UNIT	Drugs Requiring Detailed Coding	20.0	16.5	0.825	insulin glargine 1unit	Pharmacy	(0, 4]	Units > 1
INSULIN GLARGINE 1UNIT	INSULIN GLARGINE 1UNIT	Laboratory	20.0	16.5	0.825	insulin glargine 1unit	Pharmacy	(0, 4]	Units > 1
INSULIN GLARGINE 1UNIT	INSULIN GLARGINE 1UNIT	Pharmacy	20.0	16.5	0.825	insulin glargine 1unit	Pharmacy	(0, 4]	Units > 1
INSULIN HUMAN LISPRO 5 UNI	INSULIN HUMAN LISPRO 5 UNI	Pharmacy	2.0	25.0	12.5	insulin human lispro 5_units	Pharmacy	(4, 17]	Units > 1
INSULIN HUMAN REG 5 UNITS	INSULIN HUMAN REG 5 UNITS	Pharmacy	60.0	25.0	0.416666667	insulin human regular 5_units	Pharmacy	(0, 4]	Units > 1
HB INSULIN HUMAN REG/HUMULIN 100U	INSULIN HUMAN REG/HUMULIN 100U	Pharmacy	6.0	8.49	3.085	insulin human regular/humulin 100u	Pharmacy	(0, 4]	Units > 1
HB INSULIN LANTUS VIAL	INSULIN LANTUS VIAL	Pharmacy	200.0	1343.18	6.7159	insulin lantus vial	Pharmacy	(4, 17]	Units > 1
INSULIN - LIKE GROWTH FACTOR	INSULIN LIKE GROWTH FACTOR	Laboratory	1.0	357.0	357.0	insulin like growth factor	Laboratory	(287, 641]	Units <= 1
INSULIN LISPRO 100 UNIT/	INSULIN LISPRO 100 UNIT/	Drugs Requiring Specific Identification	1.0	4.56	3.9	insulin lispro 100_unit	Pharmacy	(0, 4]	Units <= 1
INSULIN LISPRO 100 UNIT/	INSULIN LISPRO 100 UNIT/	Pharmacy	2.0	12.52	3.985	insulin lispro 100_unit	Pharmacy	(0, 4]	Units > 1
INSULIN LISPRO 50U-100U/ML 1U	INSULIN LISPRO 50U 100U/ML 1U	Drugs Requiring Detailed Coding	1.0	16.5	16.5	insulin lispro 50u 100_units/ml 1u	Pharmacy	(4, 17]	Units <= 1
INSULIN LISPRO DOSE	INSULIN LISPRO DOSE	Pharmacy	1.0	36.0	36.0	insulin lispro dose	Pharmacy	(17, 41]	Units <= 1
HB INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOPN	INSULIN LISPRO HUMAN 100 UNIT/ML SC SOPN	Pharmacy	60.0	465.86	7.764333333	insulin lispro human 100 units/ml subcutaneous sopn	Pharmacy	(4, 17]	Units > 1
INSULIN LISPRO PER 5 UNITS; INSULIN LISPRO,HMN 5 UNITS/ 0.05 ML	INSULIN LISPRO PER 5 UNITS INSULIN LISPRO HMN 5 UNITS/ 0.05 ML	Pharmacy	3.0	15.99	5.33	insulin lispro per 5_units insulin lispro human 5_units/0.05_ml	Pharmacy	(4, 17]	Units > 1
INSULIN LISPRO U-100; INSULIN LISPRO 100 UNITS/ML	INSULIN LISPRO U 100 INSULIN LISPRO 100 UNITS/ML	Drugs Requiring Specific Identification	1.0	1.0	1.0	insulin lispro_units 100 insulin lispro 100_units/ml	Pharmacy	(0, 4]	Units <= 1
HB INSULIN REG DILUTED 10 UNITS/ML	INSULIN REG DILUTED 10 UNITS/ML	Drugs Requiring Detailed Coding	1.0	20.24	20.24	insulin regular diluted 10 units/ml	Pharmacy	(17, 41]	Units <= 1
HB INSULIN REG DILUTED 10 UNITS/ML	INSULIN REG DILUTED 10 UNITS/ML	Pharmacy	1.0	23.43	23.43	insulin regular diluted 10 units/ml	Pharmacy	(17, 41]	Units <= 1
INSULIN REG HUM 5U - 00U/ML UNI	INSULIN REG HUM 5U 00U/ML UNI	Drugs Requiring Detailed Coding	1.0	16.5	16.5	insulin regular human 5u 00_units/ml up	Pharmacy	(4, 17]	Units <= 1
INSULIN REG HUM 5U- 00U/ML UNI	INSULIN REG HUM 5U 00U/ML UNI	Drugs Requiring Specific Identification	1.0	16.5	16.5	insulin regular human 5u 00_units/ml up	Pharmacy	(4, 17]	Units <= 1
INSULIN REG HUM 5U - 00U/ML UNI	INSULIN REG HUM 5U 00U/ML UNI	Osteopathic Services	1.0	16.5	16.5	insulin regular human 5u 00_units/ml up	Pharmacy	(4, 17]	Units <= 1
INSULIN REG HUM 5U- 00U/ML UNI	INSULIN REG HUM 5U 00U/ML UNI	Pharmacy	1.0	16.5	16.5	insulin regular human 5u 00_units/ml up	Pharmacy	(4, 17]	Units <= 1
INSULIN REG PER 5 UNITS INJ	INSULIN REG PER 5 UNITS INJ	Pharmacy	4.0	1.34	0.282321429	insulin regular per 5_units injection	Pharmacy	(0, 4]	Units > 1
INSULIN REGULAR 100 UNIT	INSULIN REGULAR 100 UNIT	Drugs Requiring Detailed Coding	20.0	39.5	1.975	insulin regular 100_units	Pharmacy	(0, 4]	Units > 1
INSULIN REGULAR 100 UNIT	INSULIN REGULAR 100 UNIT	Drugs Requiring Specific Identification	1.0	2.4	1.74	insulin regular 100_units	Pharmacy	(0, 4]	Units <= 1
INSULIN REGULAR 100 UNIT	INSULIN REGULAR 100 UNIT	Pharmacy	1.0	5.0	2.4	insulin regular 100_units	Pharmacy	(0, 4]	Units <= 1
INSULIN REGULAR 100UN/ML INJ 3	INSULIN REGULAR 100UN/ML INJ 3	Drugs Requiring Detailed Coding	1.0	378.97	378.97	insulin regular 100_units/ml injection 3	Pharmacy	(287, 641]	Units <= 1
INSULIN REGULAR 100UN/ML INJ 3	INSULIN REGULAR 100UN/ML INJ 3	EKG/ECG/EEG	1.0	378.97	378.97	insulin regular 100_units/ml injection 3	Pharmacy	(287, 641]	Units <= 1
INSULIN REGULAR HUMAN 100	INSULIN REGULAR HUMAN 100	Drugs Requiring Detailed Coding	1.0	0.03	0.03	insulin regular human 100	Pharmacy	(0, 4]	Units <= 1
INSULIN REGULAR HUMAN 100	INSULIN REGULAR HUMAN 100	Pharmacy	15.0	75.25	5.016666667	insulin regular human 100	Pharmacy	(4, 17]	Units > 1
INSULIN REGULAR (HUMAN) 100 UNIT/ML SOLN	INSULIN REGULAR HUMAN 100 UNIT/ML SOLN	Drugs Requiring Specific Identification	2.0	7.1	3.55	insulin regular human 100_units/ml solution	Pharmacy	(0, 4]	Units > 1
INSULIN REGULAR HUMAN 100 UNIT/ML SOLN	INSULIN REGULAR HUMAN 100 UNIT/ML SOLN	Patient Conv Items	2.0	3.0	1.5	insulin regular human 100_units/ml solution	Pharmacy	(0, 4]	Units > 1
INSULIN REGULAR HUMAN 100 UNIT/ML SOLN	INSULIN REGULAR HUMAN 100 UNIT/ML SOLN	Pharmacy	1.0	16.5	16.5	insulin regular human 100_units/ml solution	Pharmacy	(4, 17]	Units <= 1
HB INSULIN/5	INSULIN/5	Laboratory	1.0	143.48	143.48	insulin/5	Pharmacy	(92, 287]	Units <= 1
HC INTENSIVE CARE	INTENSIVE CARE	Coronary Care	1.0	4154.0	4154.0	intensive care	Room and Board	(2496, 9320]	Units <= 1
HB INTENSIVE CARE	INTENSIVE CARE	Intensive Care	1.0	5770.26	5770.26	intensive care	Room and Board	(2496, 9320]	Units <= 1
INTENSIVE CARE	INTENSIVE CARE	Room & Board	1.0	5976.95	5976.95	intensive care	Room and Board	(2496, 9320]	Units <= 1
HC INTENSIVE CRITICAL ROOM AND CARE	INTENSIVE CRITICAL ROOM AND CARE	Intensive Care	1.0	1865.0	1865.0	intensive critical room and care	Room and Board	(997, 2496]	Units <= 1
HC INTERM STEPDOWN ICU ROOM AND CARE	INTERM STEPDOWN ICU ROOM AND CARE	Intensive Care	1.0	1458.0	1458.0	intermediate stepdown intensive_care_unit room and care	Room and Board	(997, 2496]	Units <= 1
HC INTERMEDIATE ICU	INTERMEDIATE ICU	Intensive Care	1.0	3672.0	3672.0	intermediate intensive_care_unit	Room and Board	(2496, 9320]	Units <= 1
HB INTERPHASE FISH 100 - 300 CELLS	INTERPHASE FISH 100 300 CELLS	Laboratory	2.0	276.28	138.14	interphase fish 100 to 300 cells	Laboratory	(92, 287]	Units > 1
HB INTERPHASE FISH 25-99 CELLS	INTERPHASE FISH 25 99 CELLS	Laboratory	1.0	92.09	92.09	interphase fish 25 to 99 cells	Laboratory	(92, 287]	Units <= 1
HB INTERPHASE FISH PROBE 100-300 CELLS	INTERPHASE FISH PROBE 100 300 CELLS	Laboratory	4.0	518.36	129.59	interphase fish probe 100 to 300 cells	Laboratory	(92, 287]	Units > 1
INTERVENTN BRUSHING/WASHING	INTERVENTN BRUSHING/WASHING	OR Services	1.0	112.7	112.7	intervention brushing/washing	Supply	(92, 287]	Units <= 1
HC INTRA-CATHETER	INTRA CATHETER	Implant/Supply	1.0	8.77	8.77	intra catheter	Supply	(4, 17]	Units <= 1
INTRA - PULM SURFACTANT ADMIN	INTRA PULM SURFACTANT ADMIN	Pulmonary Function	1.0	540.0	540.0	intra pulmonary surfactant administration	Respiratory Therapy	(287, 641]	Units <= 1
INTRALIPID 20% 100	INTRALIPID 20% 100	IV Solutions	1.0	769.19	769.19	intralipid 20% 100	Pharmacy	(641, 997]	Units <= 1
HB INTRAOP NEURO TESTING PER HR	INTRAOP NEURO TESTING PER HR	Other Diagnostic Services	8.0	3912.0	521.27	intraoperative neurology testing per hour	Procedure	(287, 641]	Units > 1
INTRO PINNACLE 5FRX10CM RSS503	INTRO PINNACLE 5FRX10CM RSS503	Implant/Supply	1.0	50.0	50.0	introducer pinnacle 5frx10cm rss503	Supply	(41, 61]	Units <= 1
INTRO SHEATH PERC KIT W/ H	INTRO SHEATH PERC KIT W/ H	Implant/Supply	1.0	149.3	149.3	intro sheath perc kit with h	Supply	(92, 287]	Units <= 1
INTROD LONG GI TUBE	INTROD LONG GI TUBE	Surgery/Procedure	1.0	577.0	577.0	introducer long gastrointestinal tube	Procedure	(287, 641]	Units <= 1
HB INTRODUCER 46CM PERITONEAL SHE	INTRODUCER 46CM PERITONEAL SHE	Implant/Supply	1.0	168.0	168.0	introducer 46cm peritoneal she	Supply	(92, 287]	Units <= 1
HB INTRODUCER 5FX .035X13 JTIP	INTRODUCER 5FX .035X13 JTIP	Implant/Supply	1.0	72.0	72.0	introducer 5fx 0.035x13 jtip	Supply	(61, 92]	Units <= 1
HB INTRODUCER 5FX.035X13 JTIP	INTRODUCER 5FX.035X13 JTIP	Implant/Supply	2.0	144.0	72.0	introducer 5fx.035x13 jtip	Supply	(61, 92]	Units > 1
HB INTRODUCER 61CM PERITONEAL SHE	INTRODUCER 61CM PERITONEAL SHE	Implant/Supply	1.0	168.0	168.0	introducer 61cm peritoneal she	Supply	(92, 287]	Units <= 1
