,cleaned_descrip,NORM_DESC,rev_code,CHRG_CLS,Dominant CC1,Dominant CC2,# of descriptions,% Dominance1,% Dominance2,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
1454,INTRODUCER PICC FIRST BD 3 FR,introducer peripherally inserted central catheter first bd 3 fr,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Supply,1.0,1,Supply,1.0,1,Supply,0.96,1,Supply,0.582698593151,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1455,INTRODUCER SET CHECK FLO 4F 02,introducer set check flo 4 2,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Supply,0.95,1,Supply,0.96,1,Supply,0.974888315935,1,Supply,0.999968908162,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1456,INTRODUCER SET CHECK FLO TF TIP,introducer set check flo tf tip,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Supply,0.96,1,Supply,0.92,1,Supply,0.97472106844,1,Supply,0.999994345065,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1457,INTRODUCER SHEATH,introducer sheath,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Supply,0.89,1,Supply,0.88,1,Supply,0.919856416908,1,Supply,0.99910912858,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1458,INTRODUCER SHEATH,introducer sheath,272.0,Supply,Supply,Diluent / Flush / Irrigant,833.0,84.393757503,3.36134453782,Supply,0.89,1,Supply,0.88,1,Supply,0.919856416908,1,Supply,0.99910912858,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1459,INTRODUCER SHEATH,introducer sheath,278.0,Supply,Implant,Supply,148.0,50.0,43.9189189189,Supply,0.89,1,Supply,0.88,1,Supply,0.919856416908,1,Supply,0.99910912858,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.922241386372
1460,INTRODUCER SHEATH SET CHECK FL,introducer sheath set check flow,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Supply,0.91,1,Supply,0.93,1,Supply,0.945848483332,1,Supply,0.999432505786,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1461,INTUBATION ENDO EMERG,intubation endo emergency,361.0,Respiratory Therapy,Procedure,Radiology,47.0,51.0638297872,21.2765957447,Respiratory Therapy,0.85,1,Respiratory Therapy,0.88,1,Respiratory Therapy,0.92,1,Respiratory Therapy,0.999266016753,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.912316504188
1462,INTUBATION ENDO EMERG,intubation endo emergency,410.0,Respiratory Therapy,Respiratory Therapy,Monitoring,279.0,64.1577060932,10.0358422939,Respiratory Therapy,0.85,1,Respiratory Therapy,0.88,1,Respiratory Therapy,0.92,1,Respiratory Therapy,0.999266016753,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1463,INTUBATION ENDO EMERG,intubation endo emergency,450.0,Respiratory Therapy,Nursing Services,Other,67.0,40.2985074627,20.8955223881,Respiratory Therapy,0.85,1,Respiratory Therapy,0.88,1,Respiratory Therapy,0.92,1,Respiratory Therapy,0.999266016753,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.912316504188
1464,INTUBATION ENDO EMERG,intubation endo emergency,761.0,Respiratory Therapy,Nursing Services,Procedure,34.0,38.2352941176,17.6470588235,Respiratory Therapy,0.85,1,Respiratory Therapy,0.88,1,Respiratory Therapy,0.92,1,Respiratory Therapy,0.999266016753,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.912316504188
1465,INTUBATION STYLET 14FR,intubation stylet 14_french,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Respiratory Therapy,0.85,1,Respiratory Therapy,0.81,1,Supply,0.536425091058,0,Respiratory Therapy,0.951564341513,1,Respiratory Therapy,"Jaro, DLevenshtein, DeepNN",0.870521447171
1466,INTUBATION STYLET 14FR,intubation stylet 14_french,272.0,Supply,Supply,Diluent / Flush / Irrigant,833.0,84.393757503,3.36134453782,Respiratory Therapy,0.85,1,Respiratory Therapy,0.81,1,Supply,0.536425091058,0,Respiratory Therapy,0.951564341513,1,Respiratory Therapy,"Jaro, DLevenshtein, DeepNN",0.870521447171
1467,IODIXANOL 320 MG/ML IV SOLN,iodixanol 320 mg ml intravenous solution,252.0,Pharmacy,Pharmacy,Supply,182.0,85.1648351648,5.49450549451,Pharmacy,0.97,1,Pharmacy,0.91,1,Pharmacy,0.963684056911,1,Pharmacy,0.999310578361,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1468,IODIXANOL 320 MG/ML SOLN,iodixanol 320_mg/ml solution,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,0.925991725596,1,Pharmacy,0.997096142884,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1469,IODIXANOL 320 MG/ML SOLN,iodixanol 320_mg/ml solution,255.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,19.0,89.4736842105,5.26315789474,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,0.925991725596,1,Pharmacy,0.997096142884,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1470,IODIXANOL 320 MG/ML SOLN,iodixanol 320_mg/ml solution,636.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,781.0,77.8489116517,17.4135723431,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,0.925991725596,1,Pharmacy,0.997096142884,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1471,IOHEXOL 240 MG/ML SOLN 0407 1412 30,iohexol 240 mg ml solution 0407 1412 30,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.973569321392,1,Pharmacy,0.999387445617,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1472,ION CA DIALYSIS,ionized calcium dialysis,301.0,Laboratory,Laboratory,Monitoring,924.0,79.2207792208,13.961038961,Laboratory,0.78,1,Laboratory,0.81,1,Laboratory,0.96,1,Laboratory,0.999923621915,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1473,IPPB INITTAL,intermittent_positive_pressure_breathing initial,410.0,Respiratory Therapy,Respiratory Therapy,Monitoring,279.0,64.1577060932,10.0358422939,Respiratory Therapy,0.79,1,Respiratory Therapy,0.88,1,Respiratory Therapy,0.96,1,Respiratory Therapy,0.994636757924,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1474,IPRATROPIUM 0.5 MG /2.5,ipratropium 0.5_mg/2.5,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.9,1,Pharmacy,0.93,1,Pharmacy,0.95280606458,1,Pharmacy,0.979388621351,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1475,IPRATROPIUM 0.5 MG /2.5,ipratropium 0.5_mg/2.5,259.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,349.0,83.6676217765,8.88252148997,Pharmacy,0.9,1,Pharmacy,0.93,1,Pharmacy,0.95280606458,1,Pharmacy,0.979388621351,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1476,IPRATROPIUM 0.5 MG /2.5,ipratropium 0.5_mg/2.5,636.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,781.0,77.8489116517,17.4135723431,Pharmacy,0.9,1,Pharmacy,0.93,1,Pharmacy,0.95280606458,1,Pharmacy,0.979388621351,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1477,IRON,iron,272.0,Laboratory,Supply,Diluent / Flush / Irrigant,833.0,84.393757503,3.36134453782,Laboratory,0.85,1,Laboratory,0.44,1,Laboratory,0.96,1,Laboratory,0.998086533992,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.812021633498
1478,IRON,iron,300.0,Laboratory,Laboratory,Monitoring,1097.0,79.1248860529,9.93618960802,Laboratory,0.85,1,Laboratory,0.44,1,Laboratory,0.96,1,Laboratory,0.998086533992,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1479,IRON,iron,301.0,Laboratory,Laboratory,Monitoring,924.0,79.2207792208,13.961038961,Laboratory,0.85,1,Laboratory,0.44,1,Laboratory,0.96,1,Laboratory,0.998086533992,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1480,IRON,iron,310.0,Laboratory,Laboratory,Professional Fee,70.0,87.1428571429,4.28571428571,Laboratory,0.85,1,Laboratory,0.44,1,Laboratory,0.96,1,Laboratory,0.998086533992,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1481,IRON ,iron,301.0,Laboratory,Laboratory,Monitoring,924.0,79.2207792208,13.961038961,Laboratory,0.85,1,Laboratory,0.44,1,Laboratory,0.96,1,Laboratory,0.998086533992,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1482,IRON BLOOD,iron blood,300.0,Laboratory,Laboratory,Monitoring,1097.0,79.1248860529,9.93618960802,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.96,1,Laboratory,0.999405372476,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1483,IRON BLOOD,iron blood,301.0,Laboratory,Laboratory,Monitoring,924.0,79.2207792208,13.961038961,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.96,1,Laboratory,0.999405372476,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1484,IRRADIATION PROCESS,irradiation process,300.0,Blood Products,Laboratory,Monitoring,1097.0,79.1248860529,9.93618960802,Blood Products,0.95,1,Blood Products,0.96,1,Laboratory,0.92,0,Laboratory,0.981142710345,0,Blood Products,"Jaro, DLevenshtein",0.4775
1485,ISLET CELL ANTIBODY,islet cell antibody,300.0,Laboratory,Laboratory,Monitoring,1097.0,79.1248860529,9.93618960802,Laboratory,0.72,1,Laboratory,0.81,1,Laboratory,0.940756627488,1,Laboratory,0.981420621646,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1486,ISLET CELL ANTIBODY,islet cell antibody,302.0,Laboratory,Laboratory,Blood Products,180.0,96.1111111111,1.66666666667,Laboratory,0.72,1,Laboratory,0.81,1,Laboratory,0.940756627488,1,Laboratory,0.981420621646,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1487,ISO HEMAGLUTININ TITER,iso hemagglutinin titer,390.0,Laboratory,Blood Products,Laboratory,94.0,60.6382978723,21.2765957447,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,0.96,1,Laboratory,0.997715941929,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.961928985482
1488,ISOFLURANE PER HOUR,isoflurane per hour,270.0,Pharmacy,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Pharmacy,0.85,1,Pharmacy,0.96,1,Respiratory Therapy,0.422225518094,0,Plan Benefit,0.718891923309,0,Pharmacy,"Jaro, DLevenshtein",0.4525
1489,ISOPROTERENOL 0.2MG/ML AMP,isoproterenol 0.2 mg ml ampule,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.76,1,Pharmacy,0.81,1,Pharmacy,0.987889088052,1,Pharmacy,0.999541622705,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1490,ISOSORBIDE DINITRATE 10,isosorbide dinitrate 10,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.7,1,Pharmacy,0.38,1,Pharmacy,0.76,1,Laboratory,0.781976856263,0,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.95
1491,ISOSORBIDE DINITRATE 10,isosorbide dinitrate 10,637.0,Pharmacy,Pharmacy,Plan Benefit,328.0,92.0731707317,3.0487804878,Pharmacy,0.7,1,Pharmacy,0.38,1,Pharmacy,0.76,1,Laboratory,0.781976856263,0,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.95
1492,ISOSORBIDE DINITRATE 20,isosorbide dinitrate 20,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.69,1,Pharmacy,0.38,1,Pharmacy,0.92,1,Pharmacy,0.865604922024,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1493,ISOSORBIDE DINITRATE 20,isosorbide dinitrate 20,637.0,Pharmacy,Pharmacy,Plan Benefit,328.0,92.0731707317,3.0487804878,Pharmacy,0.69,1,Pharmacy,0.38,1,Pharmacy,0.92,1,Pharmacy,0.865604922024,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1494,ISRADIPINE 2.5MG PO CAPS,isradipine 2.5 mg by_mouth capsule,251.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,403.0,90.570719603,5.70719602978,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.989421025047,1,Pharmacy,0.999834863059,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1495,IV COMBINED SUPPLIES,intravenous combined supplies,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Supply,0.74,1,Supply,0.88,1,Supply,0.96,1,Supply,0.981752303039,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1496,IV COMBINED SUPPLIES,intravenous combined supplies,271.0,Supply,Supply,Respiratory Therapy,132.0,65.1515151515,18.9393939394,Supply,0.74,1,Supply,0.88,1,Supply,0.96,1,Supply,0.981752303039,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1497,IV COMBINED SUPPLIES,intravenous combined supplies,272.0,Supply,Supply,Diluent / Flush / Irrigant,833.0,84.393757503,3.36134453782,Supply,0.74,1,Supply,0.88,1,Supply,0.96,1,Supply,0.981752303039,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1498,IV D5W 100 ML,intravenous dextrose_5%_in_water 100_ml,250.0,Diluent / Flush / Irrigant,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Diluent / Flush / Irrigant,0.93,1,Diluent / Flush / Irrigant,0.9,1,Diluent / Flush / Irrigant,0.913945856297,1,Diluent / Flush / Irrigant,0.988388004136,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.933083465108
1499,IV DEX 05% LAC RIN 1000CC,intravenous dextrose 05% lactated_ringers 1000_cc,258.0,Pharmacy,Diluent / Flush / Irrigant,Pharmacy,392.0,55.612244898,39.7959183673,Diluent / Flush / Irrigant,0.77,0,Diluent / Flush / Irrigant,0.81,0,Pharmacy,0.92,1,Pharmacy,0.978768681534,1,Pharmacy,"Logistic_OvR, DeepNN",0.474692170384
1500,IV DEX 05% NACL .45% 1000,intravenous dextrose 05% sodium_chloride 0.45% 1000,258.0,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,Pharmacy,392.0,55.612244898,39.7959183673,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.92,1,Pharmacy,0.959721595635,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.902430398909
1501,IV HYDRAT EA ADD HR,intravenous hydration additional hour,260.0,Nursing Services,Pharmacy,Nursing Services,96.0,67.7083333333,19.7916666667,Nursing Services,0.77,1,Nursing Services,0.81,1,Nursing Services,0.76,1,Nursing Services,0.995869281132,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.833967320283
1502,IV HYDRAT EA ADD HR,intravenous hydration additional hour,450.0,Nursing Services,Nursing Services,Other,67.0,40.2985074627,20.8955223881,Nursing Services,0.77,1,Nursing Services,0.81,1,Nursing Services,0.76,1,Nursing Services,0.995869281132,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1503,IV HYDRAT EA ADD HR,intravenous hydration additional hour,761.0,Nursing Services,Nursing Services,Procedure,34.0,38.2352941176,17.6470588235,Nursing Services,0.77,1,Nursing Services,0.81,1,Nursing Services,0.76,1,Nursing Services,0.995869281132,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1504,IV INF THER ADD HR,intravenous_infusion therapy additional hour,450.0,Nursing Services,Nursing Services,Other,67.0,40.2985074627,20.8955223881,Nursing Services,0.85,1,Nursing Services,0.88,1,Nursing Services,0.96,1,Nursing Services,0.999074198252,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1505,IV INF THER ADD SEQ 1ST HR,intravenous_infusion therapy additional sequence 1st hour,450.0,Nursing Services,Nursing Services,Other,67.0,40.2985074627,20.8955223881,Nursing Services,0.85,1,Nursing Services,0.93,1,Nursing Services,0.92,1,Nursing Services,0.999700055537,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1506,IV INFUSION INITIAL WITH MED 1 ST HR ED,intravenous_infusion initial medication 1 st hour emergency_department,450.0,Nursing Services,Nursing Services,Other,67.0,40.2985074627,20.8955223881,Nursing Services,0.77,1,Nursing Services,0.45,1,Nursing Services,0.586015134712,1,Nursing Services,0.989239090601,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1507,IV INFUSION W SAME MED SEQUENTIAL ED,intravenous_infusion medication sequential emergency_department,450.0,Nursing Services,Nursing Services,Other,67.0,40.2985074627,20.8955223881,Nursing Services,0.73,1,Nursing Services,0.81,1,Nursing Services,0.484166120178,1,Nursing Services,0.974967617663,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1508,IV PUSH ADD SEQ NEW DRUG,intravenous push additional sequence new drug,450.0,Nursing Services,Nursing Services,Other,67.0,40.2985074627,20.8955223881,Nursing Services,0.85,1,Nursing Services,0.88,1,Nursing Services,0.96,1,Nursing Services,0.999768823113,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1509,IV PUSH ADD SEQ NEW DRUG,intravenous push additional sequence new drug,510.0,Nursing Services,Nursing Services,Education / Training,5.0,40.0,20.0,Nursing Services,0.85,1,Nursing Services,0.88,1,Nursing Services,0.96,1,Nursing Services,0.999768823113,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1510,IV PUSH SAME DRUG >30 MIN,intravenous push drug greater_than 30 minutes,260.0,Nursing Services,Pharmacy,Nursing Services,96.0,67.7083333333,19.7916666667,Diluent / Flush / Irrigant,0.77,0,Nursing Services,0.81,1,Nursing Services,0.96,1,Nursing Services,0.999974553657,1,Nursing Services,"DLevenshtein, Logistic_OvR, DeepNN",0.923324851219
1511,IV PUSH SAME DRUG >30 MIN,intravenous push drug greater_than 30 minutes,920.0,Nursing Services,Nursing Services,Procedure,40.0,30.0,25.0,Diluent / Flush / Irrigant,0.77,0,Nursing Services,0.81,1,Nursing Services,0.96,1,Nursing Services,0.999974553657,1,Nursing Services,"DLevenshtein, Logistic_OvR, DeepNN",0.95
1512,IV PUSH SAME DRUG >30 MIN,intravenous push drug greater_than 30 minutes,940.0,Nursing Services,Nursing Services,Supply,19.0,42.1052631579,15.7894736842,Diluent / Flush / Irrigant,0.77,0,Nursing Services,0.81,1,Nursing Services,0.96,1,Nursing Services,0.999974553657,1,Nursing Services,"DLevenshtein, Logistic_OvR, DeepNN",0.95
1513,IV SET 30 SECONDARY,intravenous set 30 secondary,259.0,Supply,Pharmacy,Diluent / Flush / Irrigant,349.0,83.6676217765,8.88252148997,Supply,0.91,1,Supply,0.93,1,Supply,0.96,1,Supply,0.920860382951,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.930215095738
1514,IV SET 30 SECONDARY,intravenous set 30 secondary,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Supply,0.91,1,Supply,0.93,1,Supply,0.96,1,Supply,0.920860382951,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1515,IV SET 30 SECONDARY,intravenous set 30 secondary,272.0,Supply,Supply,Diluent / Flush / Irrigant,833.0,84.393757503,3.36134453782,Supply,0.91,1,Supply,0.93,1,Supply,0.96,1,Supply,0.920860382951,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1516,IV SOLUTION,intravenous solution,250.0,Diluent / Flush / Irrigant,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,PT / OT / Speech Therapy,0.93,0,Pharmacy,0.76,1,Pharmacy,0.944303263565,1,Pharmacy,"Jaro, Logistic_OvR, DeepNN",0.95
1517,IV SOLUTION,intravenous solution,258.0,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,Pharmacy,392.0,55.612244898,39.7959183673,Pharmacy,0.85,1,PT / OT / Speech Therapy,0.93,0,Pharmacy,0.76,1,Pharmacy,0.944303263565,1,Pharmacy,"Jaro, Logistic_OvR, DeepNN",0.851434421188
1518,IV SOLUTION,intravenous solution,259.0,Diluent / Flush / Irrigant,Pharmacy,Diluent / Flush / Irrigant,349.0,83.6676217765,8.88252148997,Pharmacy,0.85,1,PT / OT / Speech Therapy,0.93,0,Pharmacy,0.76,1,Pharmacy,0.944303263565,1,Pharmacy,"Jaro, Logistic_OvR, DeepNN",0.95
1519,IV SOLUTION,intravenous solution,279.0,Diluent / Flush / Irrigant,Supply,Capital Equipment,9.0,44.4444444444,11.1111111111,Pharmacy,0.85,1,PT / OT / Speech Therapy,0.93,0,Pharmacy,0.76,1,Pharmacy,0.944303263565,1,Pharmacy,"Jaro, Logistic_OvR, DeepNN",0.851434421188
1520,IV SOLUTION ,intravenous solution,250.0,Diluent / Flush / Irrigant,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,PT / OT / Speech Therapy,0.93,0,Pharmacy,0.76,1,Pharmacy,0.944303263565,1,Pharmacy,"Jaro, Logistic_OvR, DeepNN",0.95
1521,IV START KIT W/DRSG,intravenous start kit dressing,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Supply,0.88,1,Supply,0.88,1,Supply,0.975169846352,1,Supply,0.99996542716,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1522,IV START KIT W/DRSG,intravenous start kit dressing,272.0,Supply,Supply,Diluent / Flush / Irrigant,833.0,84.393757503,3.36134453782,Supply,0.88,1,Supply,0.88,1,Supply,0.975169846352,1,Supply,0.99996542716,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1523,IV TUBING EXT SET W/.22 MICRON,intravenous tubing extension set 0.22 micron,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Radiology,0.7,0,Supply,0.44,1,Supply,0.985618051076,1,Supply,0.999997213148,1,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.95
1524,IV TUBING EXT SET W/.22 MICRON,intravenous tubing extension set 0.22 micron,272.0,Supply,Supply,Diluent / Flush / Irrigant,833.0,84.393757503,3.36134453782,Radiology,0.7,0,Supply,0.44,1,Supply,0.985618051076,1,Supply,0.999997213148,1,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.95
1525,IVPB INFUSION,intravenous_piggyback infusion,250.0,Diluent / Flush / Irrigant,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Capital Equipment,0.85,1,Capital Equipment,0.81,1,Supply,0.538585417187,0,Pharmacy,0.451715301897,0,Capital Equipment,"Jaro, DLevenshtein",0.415
1526,K DUR 20 TAB,potassium chloride 20 tablet,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.87,1,Pharmacy,0.88,1,Pharmacy,0.979709199969,1,Pharmacy,0.999859282605,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1527,KEPPRA 500MG,keppra 500 mg,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,0.961222917181,1,Pharmacy,0.998346947122,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1528,KEPPRA 500MG,keppra 500 mg,252.0,Pharmacy,Pharmacy,Supply,182.0,85.1648351648,5.49450549451,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,0.961222917181,1,Pharmacy,0.998346947122,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1529,KETAMINE 10 MG/ML INJECTION SOLUTION,ketamine 10_mg/ml injection solution,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,Pharmacy,0.96,1,Pharmacy,0.980467822844,1,Pharmacy,0.999949432869,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1530,KETAMINE 50 MG/ML SOLN 0409 2053 10,ketamine 50 mg ml solution 0409 2053 10,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.86,1,Pharmacy,0.88,1,Pharmacy,0.99384775382,1,Pharmacy,0.99997751719,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1531,KETAMINE 50MG/5ML 0.9% NACL BD,ketamine 50_mg/5_ml 0.9% sodium_chloride bd,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.927903669577,1,Pharmacy,0.999781817933,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
1532,KETOROLAC TORADOL INJECTION 30 MG,ketorolac toradol injection 30_mg,636.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,781.0,77.8489116517,17.4135723431,Laboratory,0.74,0,Diluent / Flush / Irrigant,0.81,0,Pharmacy,0.96422112307,1,Pharmacy,0.999909291793,1,Pharmacy,"Logistic_OvR, DeepNN",0.491032603716
1533,KETOROLAC TROMETHAMINE PER 15MG,ketorolac tromethamine per 15_mg,636.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,781.0,77.8489116517,17.4135723431,Pharmacy,0.73,1,Pharmacy,0.46,1,Pharmacy,0.956689977332,1,Pharmacy,0.999183617003,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
