descrip	cleaned_descrip	rev_code	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	amount_bins	Dominant CC1	Dominant CC2	# of descriptions	% Dominance1	% Dominance2
NS ( 0.9% NACL ) IV SOLUTION	NS 0.9% NACL IV SOLUTION	250.0	1.0	7.35	7.35	normal_saline 0.9% sodium_chloride intravenous solution	Diluent / Flush / Irrigant	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
NS (0.9% NACL) IV SOLUTION	NS 0.9% NACL IV SOLUTION	258.0	7.5	57.2	7.8975	normal_saline 0.9% sodium_chloride intravenous solution	Diluent / Flush / Irrigant	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
NS 1000 ML	NS 1000 ML	250.0	1.0	192.78	192.78	normal_saline 1000_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 1000 ML	NS 1000 ML	258.0	1.0	292.95	239.0	normal_saline 1000_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 1000 ML	NS 1000 ML	260.0	1.0	45.66	45.66	normal_saline 1000_ml	Diluent / Flush / Irrigant	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
NS 1000 ML	NS 1000 ML	420.0	1.0	192.78	192.78	normal_saline 1000_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 1000 ML	NS 1000 ML	636.0	1.0	231.31	210.56	normal_saline 1000_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 1000 ML	NS 1000 ML	712.0	1.0	50.6	50.6	normal_saline 1000_ml	Diluent / Flush / Irrigant	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
NS 1000 ML	NS 1000 ML	718.0	1.0	44.0	44.0	normal_saline 1000_ml	Diluent / Flush / Irrigant	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
NS 100ML	NS 100ML	250.0	1.0	70.0	70.0	normal_saline 100_ml	Diluent / Flush / Irrigant	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NS 100ML	NS 100ML	258.0	1.0	119.85	70.0	normal_saline 100_ml	Diluent / Flush / Irrigant	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NS 100ML	NS 100ML	636.0	1.0	217.0	217.0	normal_saline 100_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 100ML BAG	NS 100ML BAG	258.0	1.0	171.9	171.9	normal_saline 100_ml bag	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 100ML INJ	NS 100ML INJ	258.0	3.0	235.5	78.5	normal_saline 100_ml injection	Diluent / Flush / Irrigant	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NS 10ML INJ	NS 10ML INJ	250.0	1.0	29.9	29.9	normal_saline 10_ml injection	Diluent / Flush / Irrigant	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
NS 250 ML	NS 250 ML	250.0	1.0	608.01	608.01	normal_saline 250_ml	Diluent / Flush / Irrigant	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
NS 250 ML	NS 250 ML	256.0	1.0	109.0	109.0	normal_saline 250_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 250 ML	NS 250 ML	258.0	1.0	220.0	220.0	normal_saline 250_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 250 ML	NS 250 ML	420.0	1.0	192.78	192.78	normal_saline 250_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 250 ML	NS 250 ML	636.0	1.0	203.96	187.2	normal_saline 250_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 250ML	NS 250ML	250.0	1.0	217.0	193.9	normal_saline 250_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 250ML	NS 250ML	258.0	1.0	70.0	56.0	normal_saline 250_ml	Diluent / Flush / Irrigant	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
NS 250ML	NS 250ML	636.0	1.0	33.0	33.0	normal_saline 250_ml	Diluent / Flush / Irrigant	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
NS 50 ML	NS 50 ML	250.0	1.0	60.0	60.0	normal_saline 50_ml	Diluent / Flush / Irrigant	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
NS 50 ML	NS 50 ML	258.0	1.0	117.52	91.1	normal_saline 50_ml	Diluent / Flush / Irrigant	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NS 50 ML	NS 50 ML	260.0	1.0	32.7	32.7	normal_saline 50_ml	Diluent / Flush / Irrigant	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
NS 50ML	NS 50ML	250.0	1.0	210.0	70.0	normal_saline 50_ml	Diluent / Flush / Irrigant	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NS 50ML	NS 50ML	258.0	1.0	227.4	227.4	normal_saline 50_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 50ML	NS 50ML	636.0	1.0	217.0	217.0	normal_saline 50_ml	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 50ML ADD-A	NS 50ML ADD A	250.0	1.0	190.0	190.0	normal_saline 50_ml additional a	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 50ML ADD-A	NS 50ML ADD A	258.0	1.0	190.0	190.0	normal_saline 50_ml additional a	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 50ML ADD-A-	NS 50ML ADD A 	250.0	1.0	190.0	190.0	normal_saline 50_ml additional a	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS 50ML IV	NS 50ML IV	250.0	1.0	0.0	0.0	normal_saline 50_ml intravenous	Diluent / Flush / Irrigant	(-10, 0]	Supply	Pharmacy	253.0	24.9011857708	21.3438735178
NS 50ML IV BAG	NS 50ML IV BAG	250.0	1.0	35.0	35.0	normal_saline 50_ml intravenous bag	Diluent / Flush / Irrigant	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
NS 50ML IV BAG	NS 50ML IV BAG	258.0	1.0	35.0	35.0	normal_saline 50_ml intravenous bag	Diluent / Flush / Irrigant	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
NS FLUSH 0.9% SOLN	NS FLUSH 0.9% SOLN	250.0	1.0	16.0	16.0	normal_saline flush 0.9% solution	Diluent / Flush / Irrigant	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
NS FLUSH 10ML IJ	NS FLUSH 10ML IJ	250.0	1.0	0.0	0.0	normal_saline flush 10_ml injection	Diluent / Flush / Irrigant	(-10, 0]	Supply	Pharmacy	253.0	24.9011857708	21.3438735178
NS FLUSH, 10ML SYR	NS FLUSH 10ML SYR	250.0	1.0	2.5	2.5	normal_saline flush 10_ml syringe	Diluent / Flush / Irrigant	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
NS IRR 1L	NS IRR 1L	270.0	3.0	405.54	135.18	normal_saline irrigation 1l	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NS PICC AGE FIVE OR MORE	NS PICC AGE FIVE OR MORE	361.0	1.0	1421.0	1421.0	insert peripherally inserted central catheter age five or more	Procedure	(1000, 2500]	Radiology	Supply	461.0	21.0412147505	13.6659436009
NSS 100ML	NSS 100ML	250.0	1.0	35.0	35.0	normal_saline_sterile 100_ml	Diluent / Flush / Irrigant	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
NUCLEAR MITOCHONDRIAL 100	NUCLEAR MITOCHONDRIAL 100	300.0	1.0	4136.66	4136.66	nuclear mitochondrial 100	Laboratory	(2500, 9000]	Room and Board	Radiology	395.0	38.2278481013	15.1898734177
NUK BRUSH	NUK BRUSH	270.0	1.0	21.0	21.0	nuk brush	Supply	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
NUK ORTHODONTIC EXERCISER	NUK ORTHODONTIC EXERCISER	270.0	1.0	10.05	10.05	nuk orthodontic exerciser	Supply	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
NURSERY - ICU	NURSERY ICU	173.0	1.0	2735.0	2735.0	nursery intensive_care_unit	Room and Board	(2500, 9000]	Room and Board	Radiology	395.0	38.2278481013	15.1898734177
NURSERY ICU	NURSERY ICU	174.0	1.0	3016.0	3016.0	nursery intensive_care_unit	Room and Board	(2500, 9000]	Room and Board	Radiology	395.0	38.2278481013	15.1898734177
NURSERY INTERMEDIATE-NEWBOR	NURSERY INTERMEDIATE NEWBOR	173.0	1.0	4305.0	4305.0	nursery intermediate newborn	Room and Board	(2500, 9000]	Room and Board	Radiology	395.0	38.2278481013	15.1898734177
NURSERY - NEWBORN LEVEL IV	NURSERY NEWBORN LEVEL IV	171.0	1.0	1421.0	1421.0	nursery newborn level 4	Room and Board	(1000, 2500]	Radiology	Supply	461.0	21.0412147505	13.6659436009
NURSERY - NEWBORN LEVEL IV	NURSERY NEWBORN LEVEL IV	174.0	1.0	5617.0	5617.0	nursery newborn level 4	Room and Board	(2500, 9000]	Room and Board	Radiology	395.0	38.2278481013	15.1898734177
HB NURSERY/LEVEL IV	NURSERY/LEVEL IV	174.0	1.0	5268.0	5268.0	nursery/level intravenous	Room and Board	(2500, 9000]	Room and Board	Radiology	395.0	38.2278481013	15.1898734177
NUTREN 1.0	NUTREN 1.0	270.0	30.0	30.0	1.0	nutren 1.0	Supply	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
HC NUTREN 1.5	NUTREN 1.5	270.0	15.0	21.45	1.4	nutren 1.5	Supply	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
NUTREN JR	NUTREN JR	270.0	9.0	25.0	3.0	nutren jr	Supply	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
HB NUTRIENT INTAKE ANALYSIS, LTD	NUTRIENT INTAKE ANALYSIS LTD	320.0	1.0	63.42	63.42	nutrient intake analysis limited	Education / Training	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
HB NUTRIENT INTAKE ANALYSIS, LTD	NUTRIENT INTAKE ANALYSIS LTD	920.0	1.0	67.61	67.61	nutrient intake analysis limited	Education / Training	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
HB NUTRIENT INTAKE ANALYSIS. LTD	NUTRIENT INTAKE ANALYSIS. LTD	920.0	1.0	63.42	63.42	nutrient intake analysis limited	Education / Training	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NUTRITION CONSULT PER 15 M	NUTRITION CONSULT PER 15 M	250.0	2.0	156.0	81.0	nutrition consult per 15_minutes	Education / Training	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NUTRITION CONSULT PER 15 M	NUTRITION CONSULT PER 15 M	740.0	2.0	162.0	81.0	nutrition consult per 15_minutes	Education / Training	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NUTRITION CONSULT PER 15 M	NUTRITION CONSULT PER 15 M	940.0	2.0	162.0	81.0	nutrition consult per 15_minutes	Education / Training	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NUTRITION CONSULT PER 15 MIN	NUTRITION CONSULT PER 15 MIN	940.0	2.0	162.0	81.0	nutrition consult per 15_minutes	PT / OT / Speech Therapy	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NYSTATIN 100,000 UNIT/ML P	NYSTATIN 100 000 UNIT/ML P	250.0	5.0	2.18	0.436	nystatin 100,000_units/ml powder	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
NYSTATIN 100,000 UNIT/ML P	NYSTATIN 100 000 UNIT/ML P	350.0	5.0	2.18	0.436	nystatin 100,000_units/ml powder	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
NYSTATIN 100,000 UNIT/ML P	NYSTATIN 100 000 UNIT/ML P	750.0	5.0	2.18	0.436	nystatin 100,000_units/ml powder	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
NYSTATIN 100,000 UNIT/ML SUSP 2 ML SYRINGE	NYSTATIN 100 000 UNIT/ML SUSP 2 ML SYRINGE	250.0	1.0	33.0	33.0	nystatin 100 000_units/ml suspension 2_ml syringe	Pharmacy	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
NYSTATIN 100,000 UNITS/G C	NYSTATIN 100 000 UNITS/G C	250.0	1.0	181.33	181.33	nystatin 100 000_units/g c	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NYSTATIN 100,000 UNITS/G CREA 15 G TUBE	NYSTATIN 100 000 UNITS/G CREA 15 G TUBE	250.0	1.0	163.42	163.42	nystatin 100 000_units/g cream 15 gram tube	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NYSTATIN 100,000 UNITS/G OINT 15 G TUBE	NYSTATIN 100 000 UNITS/G OINT 15 G TUBE	250.0	1.0	163.35	163.35	nystatin 100 000_units/g ointment 15 g tube	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NYSTATIN 100,000 UNITS/G P	NYSTATIN 100 000 UNITS/G P	250.0	1.0	187.26	187.26	nystatin 100 000_units/g p	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
NYSTATIN 100,000 UNITS/G POWD 15 G SQUEEZ BTL	NYSTATIN 100 000 UNITS/G POWD 15 G SQUEEZ BTL	250.0	1.0	178.235	178.235	nystatin 100 000_units/g powder 15 g squeeze bottle	Supply	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HB NYSTATIN 100,000U/GM OINT 15GM	NYSTATIN 100 000U/GM OINT 15GM	250.0	1.0	80.0	80.0	nystatin 100 000u/gram ointment 15 gm	Pharmacy	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
NYSTATIN 500000 UNITS/5ML SUSP	NYSTATIN 500000 UNITS/5ML SUSP	250.0	2.0	20.0	7.0	nystatin 500000_units/5_ml suspension	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
NYSTATIN 500000 UNITS/5ML SUSP	NYSTATIN 500000 UNITS/5ML SUSP	637.0	1.0	3.5	3.5	nystatin 500000_units/5_ml suspension	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
NYSTATIN CREAM 100MU/GM 15GM	NYSTATIN CREAM 100MU/GM 15GM	251.0	1.0	30.8	30.8	nystatin cream 100mu/gram 15 gm	Pharmacy	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
NYSTATIN OINTMENT 100MU/GM 15GM	NYSTATIN OINTMENT 100MU/GM 15GM	251.0	1.0	31.15	31.15	nystatin ointment 100mu/gram 15 gm	Pharmacy	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
NYSTATIN ORAL ELIX 500000U/5ML U	NYSTATIN ORAL ELIX 500000U/5ML U	251.0	1.0	57.05	57.05	nystatin oral elixir 500000 units/5 ml u	Pharmacy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
NYSTATIN POWD 15 G BOTTLE 0574-2008-15	NYSTATIN POWD 15 G BOTTLE 0574 2008 15	270.0	1.0	149.7	149.7	nystatin powder 15 g bottle 0574 2008 15	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HB NYSTATIN SUSP 100,000U/ML 60ML	NYSTATIN SUSP 100 000U/ML 60ML	250.0	1.0	7.66	7.66	nystatin suspension 100 000 units/ml 60 ml	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
NYSTATIN TOP POWDER 100MU/G 15GM	NYSTATIN TOP POWDER 100MU/G 15GM	251.0	1.0	60.75	60.75	nystatin topical powder 100mu/g 15 gm	Pharmacy	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
O2	O2	270.0	12.0	588.0	49.0	oxygen	Respiratory Therapy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
O2 DAILY	O2 DAILY	270.0	1.0	586.0	586.0	oxygen daily	Respiratory Therapy	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
HB O2 DAILY	O2 DAILY	271.0	1.0	405.0	405.0	oxygen daily	Respiratory Therapy	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
O2 DAILY	O2 DAILY	410.0	1.0	405.0	405.0	oxygen daily	Respiratory Therapy	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
HC O2 PER DAY	O2 PER DAY	270.0	1.0	205.0	205.0	oxygen per day	Respiratory Therapy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
O2 SATUR OXIMETRY S	O2 SATUR OXIMETRY S	410.0	1.0	175.0	175.0	oxygen saturation oximetry sigma	Monitoring	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
O2 SATUR OXIMETRY S	O2 SATUR OXIMETRY S	460.0	1.0	175.0	175.0	oxygen saturation oximetry sigma	Monitoring	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
O2 SATURATION DIRECT	O2 SATURATION DIRECT	301.0	1.0	187.0	187.0	oxygen saturation direct	Monitoring	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HC O2 THERAPY DAILY	O2 THERAPY DAILY	270.0	1.0	257.0	257.0	oxygen therapy daily	Respiratory Therapy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
O2 THERAPY DAILY	O2 THERAPY DAILY	271.0	1.0	405.0	405.0	oxygen therapy daily	Respiratory Therapy	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
O2 THERAPY DAILY	O2 THERAPY DAILY	410.0	1.0	289.0	289.0	oxygen therapy daily	Respiratory Therapy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
O2 THERAPY - EA 8 HRS	O2 THERAPY EA 8 HRS	271.0	1.0	278.0	278.0	oxygen therapy each 8 hours	Respiratory Therapy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
O2 THERAPY - EA 8 HRS	O2 THERAPY EA 8 HRS	272.0	1.0	265.0	265.0	oxygen therapy each 8 hours	Respiratory Therapy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
O2 UPTAKE EXPIRED GAS ANALYSIS	O2 UPTAKE EXPIRED GAS ANALYSIS	460.0	1.0	1027.0	1027.0	oxygen uptake expired gas analysis	Monitoring	(1000, 2500]	Radiology	Supply	461.0	21.0412147505	13.6659436009
OB ASSESSMENT	OB ASSESSMENT	721.0	1.0	1323.0	1323.0	obstetrics assessment	Nursing Services	(1000, 2500]	Radiology	Supply	461.0	21.0412147505	13.6659436009
OBSERVATION PER HR	OBSERVATION PER HR	762.0	19.5	4811.0	434.0	observation per hour	Room and Board	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
HB-OCCULT BLOOD DIAGNOSTIC	OCCULT BLOOD DIAGNOSTIC	300.0	1.0	65.0	65.0	occult blood diagnostic	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
HB OCCULT BLOOD, DIAGNOSTIC	OCCULT BLOOD DIAGNOSTIC	301.0	1.0	66.0	66.0	occult blood diagnostic	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
OCCULT BLOOD DIAGNOSTIC	OCCULT BLOOD DIAGNOSTIC	305.0	1.0	115.0	115.0	occult blood diagnostic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
OCCULT BLOOD DIAGNOSTIC	OCCULT BLOOD DIAGNOSTIC	306.0	1.0	49.55	49.55	occult blood diagnostic	Laboratory	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
HC OCCULT BLOOD FECES 1-3 TESTS	OCCULT BLOOD FECES 1 3 TESTS	300.0	1.0	27.0	27.0	occult blood feces 1 to 3 tests	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
HC OCCULT BLOOD FECES, 1-3 TESTS	OCCULT BLOOD FECES 1 3 TESTS	301.0	1.0	66.0	66.0	occult blood feces 1 to 3 tests	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
HB OCCUPATIONAL THERAPY EV	OCCUPATIONAL THERAPY EV	250.0	1.0	425.0	425.0	occupational_therapy evaluation	PT / OT / Speech Therapy	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
HC OCCUPATIONAL THERAPY EV	OCCUPATIONAL THERAPY EV	430.0	1.0	221.07	221.07	occupational_therapy evaluation	PT / OT / Speech Therapy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HB OCCUPATIONAL THERAPY EV	OCCUPATIONAL THERAPY EV	434.0	1.0	425.0	425.0	occupational_therapy evaluation	PT / OT / Speech Therapy	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
OCCUPATIONAL THERAPY EVAL	OCCUPATIONAL THERAPY EVAL	420.0	1.0	205.0	205.0	occupational_therapy evaluation	PT / OT / Speech Therapy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HC OCCUPATIONAL THERAPY EVAL	OCCUPATIONAL THERAPY EVAL	430.0	1.0	413.5	413.5	occupational_therapy evaluation	PT / OT / Speech Therapy	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
HC OCCUPATIONAL THERAPY EVAL	OCCUPATIONAL THERAPY EVAL	434.0	1.0	247.25	247.25	occupational_therapy evaluation	PT / OT / Speech Therapy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HC OCCUPATIONAL THERAPY EVAL TIER I	OCCUPATIONAL THERAPY EVAL TIER I	434.0	1.0	215.0	215.0	occupational_therapy evaluation tier i	PT / OT / Speech Therapy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
OCTREOTIDE ACET (SANDOSTAT	OCTREOTIDE ACET SANDOSTAT	250.0	12.0	35.28	2.94	octreotide acet sandostatin	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
OCTREOTIDE INJ 500MCG/ML	OCTREOTIDE INJ 500MCG/ML	252.0	1.0	309.35	309.35	octreotide injection 500 mcg/ml	Pharmacy	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
OCTREOTIDE INJ 50MCG/ML	OCTREOTIDE INJ 50MCG/ML	252.0	5.0	216.5	43.3	octreotide injection 50 mcg/ml	Pharmacy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
OCULAR LUBRICANT PF 0.9ML	OCULAR LUBRICANT PF 0.9ML	250.0	1.0	3.85	3.85	ocular lubricant partial_fill 0.9_ml	Supply	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
OCULAR LUBRICANT PF 0.9ML	OCULAR LUBRICANT PF 0.9ML	272.0	1.0	3.85	3.85	ocular lubricant partial_fill 0.9_ml	Supply	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
OFLOXACIN 0.3% DROP 5 ML DROP BTL	OFLOXACIN 0.3% DROP 5 ML DROP BTL	250.0	1.0	164.75	164.75	ofloxacin 0.3% drop 5_ml drop bottle	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
OINTMENT, BARRIER CRITICAID	OINTMENT BARRIER CRITICAID	250.0	1.0	23.0	23.0	ointment barrier criticaid	Supply	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
OINTMENT BARRIER CRITICAID	OINTMENT BARRIER CRITICAID	270.0	1.0	23.0	23.0	ointment barrier criticaid	Supply	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
OINTMENT, BARRIER CRITICAID	OINTMENT BARRIER CRITICAID	271.0	1.0	23.0	23.0	ointment barrier criticaid	Supply	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
OINTMENT, BARRIER CRITICAID	OINTMENT BARRIER CRITICAID	272.0	1.0	23.0	23.0	ointment barrier criticaid	Supply	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
OLANZAPINE 10 MG TABS	OLANZAPINE 10 MG TABS	250.0	1.0	10.7	10.7	olanzapine 10_mg tablets	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
OLANZAPINE 10 MG TABS	OLANZAPINE 10 MG TABS	637.0	1.0	48.9	48.9	olanzapine 10_mg tablets	Pharmacy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
OLIGOSACCHARIDES/SIALIC	OLIGOSACCHARIDES/SIALIC	300.0	1.0	461.0	461.0	oligosaccharides/sialic	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
OMEPRAZOLE 2 MG/ML SUSP	OMEPRAZOLE 2 MG/ML SUSP	250.0	1.0	45.65	45.65	omeprazole 2_mg/ml suspension	Pharmacy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
OMEPRAZOLE 2 MG/ML SUSP	OMEPRAZOLE 2 MG/ML SUSP	259.0	1.0	0.19	0.19	omeprazole 2_mg/ml suspension	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
OMEPRAZOLE 2 MG/ML SUSP	OMEPRAZOLE 2 MG/ML SUSP	637.0	1.0	23.36	23.36	omeprazole 2_mg/ml suspension	Pharmacy	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
OMEPRAZOLE 2 MG/ML SUSP 2.5 ML SYRINGE	OMEPRAZOLE 2 MG/ML SUSP 2.5 ML SYRINGE	250.0	1.0	89.85	89.85	omeprazole 2_mg/ml suspension 2.5_ml syringe	Pharmacy	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
OMEPRAZOLE 2 MG/ML SUSP 5 ML SYRINGE	OMEPRAZOLE 2 MG/ML SUSP 5 ML SYRINGE	250.0	1.0	90.6	90.6	omeprazole 2_mg/ml suspension 5_ml syringe	Pharmacy	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
OMEPRAZOLE 20 MG CPDR	OMEPRAZOLE 20 MG CPDR	250.0	1.0	2.47	2.47	omeprazole 20_mg cpdr	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
