descrip	cleaned_descrip	rev_code	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	Dominant CC	# of descriptions	% Dominance
LIDOCAINE PER 10 MG	LIDOCAINE PER 10 MG	636.0	200.0	18.5	0.0925	lidocaine per 10_mg	Pharmacy	Pharmacy	781.0	77.8489116517
LIDOCAINE (PF) 1 % SOLN	LIDOCAINE PF 1 % SOLN	250.0	1.0	13.2	3.341875	lidocaine preservative_free 1% solution	Pharmacy	Pharmacy	2692.0	76.0401188707
LIDOCAINE (PF) 1 % SOLN	LIDOCAINE PF 1 % SOLN	636.0	7.0	9.41	1.176	lidocaine preservative_free 1% solution	Pharmacy	Pharmacy	781.0	77.8489116517
LIDOCAINE - PF 1% 30 ML INJ	LIDOCAINE PF 1% 30 ML INJ	250.0	1.0	38.5	38.5	lidocaine preservative_free 1% 30_ml injection	Pharmacy	Pharmacy	2692.0	76.0401188707
LIDOCAINE PF 1% 30 ML INJ	LIDOCAINE PF 1% 30 ML INJ	430.0	1.0	14.25	14.25	lidocaine preservative_free 1% 30_ml injection	Pharmacy	PT / OT / Speech Therapy	86.0	87.2093023256
LIDOCAINE (PF) 100 MG/5 ML (2 %) SYRG	LIDOCAINE PF 100 MG/5 ML 2 % SYRG	250.0	10.0	26.94	1.431	lidocaine preservative_free 100_mg/5_ml 2% syringe	Pharmacy	Pharmacy	2692.0	76.0401188707
LIDOCAINE (PF) 100 MG/5 ML (2 %) SYRG	LIDOCAINE PF 100 MG/5 ML 2 % SYRG	636.0	10.0	16.91	1.691	lidocaine preservative_free 100_mg/5_ml 2% syringe	Pharmacy	Pharmacy	781.0	77.8489116517
LIDOCAINE PF 2% SOLUTION 5 ML VIAL	LIDOCAINE PF 2% SOLUTION 5 ML VIAL	250.0	1.0	11.0	11.0	lidocaine partial_fill 2% solution 5_ml vial	Pharmacy	Pharmacy	2692.0	76.0401188707
LIDOCAINE (PF) 20 MG/ML (2%) SOLN 5 ML VIAL	LIDOCAINE PF 20 MG/ML 2% SOLN 5 ML VIAL	250.0	1.0	90.3	90.3	lidocaine partial_fill 20_mg/ml 2% solution 5_ml vial	Pharmacy	Pharmacy	2692.0	76.0401188707
LIDOCAINE (PF) 20 MG/ML (2%) SOLN 5 ML VIAL	LIDOCAINE PF 20 MG/ML 2% SOLN 5 ML VIAL	251.0	1.0	25.15	25.15	lidocaine partial_fill 20_mg/ml 2% solution 5_ml vial	Pharmacy	Pharmacy	403.0	90.570719603
LIDOCAINE (PF) 20 MG/ML (2%) SOLN 5 ML VIAL	LIDOCAINE PF 20 MG/ML 2% SOLN 5 ML VIAL	636.0	10.0	22.825	2.2825	lidocaine partial_fill 20_mg/ml 2% solution 5_ml vial	Pharmacy	Pharmacy	781.0	77.8489116517
LIDOCAINE (VISCOUS) 2% SOLN	LIDOCAINE VISCOUS 2% SOLN	250.0	1.0	94.49	94.44	lidocaine viscous 2% solution	Pharmacy	Pharmacy	2692.0	76.0401188707
LIDOCAINE VISCOUS 2% SOLN	LIDOCAINE VISCOUS 2% SOLN	637.0	1.0	16.18	16.18	lidocaine viscous 2% solution	Pharmacy	Pharmacy	328.0	92.0731707317
HB LIDOCAINE VISCOUS 2% UD 20ML R	LIDOCAINE VISCOUS 2% UD 20ML R	250.0	1.0	5.55	5.55	lidocaine viscous 2% unit dose 20 ml r	Pharmacy	Pharmacy	2692.0	76.0401188707
HB LIDOCAINE/EPI 0.5%+1;200,000	LIDOCAINE/EPI 0.5%+1 200 000	250.0	1.0	4.34	4.34	lidocaine/epinephrine 0.5% and 1 200 000	Pharmacy	Pharmacy	2692.0	76.0401188707
HC LIDOCAINE/EPINEPH 1% (MD) IF	LIDOCAINE/EPINEPH 1% MD IF	250.0	1.0	20.74	20.74	lidocaine/epinephrine 1% medium if	Pharmacy	Pharmacy	2692.0	76.0401188707
LIGACLIPS, SMALL LT100	LIGACLIPS SMALL LT100	270.0	1.5	36.96	24.64	ligaclips small lt100	Supply	Supply	1919.0	86.294945284
LIGACLIPS, SMALL LT100	LIGACLIPS SMALL LT100	272.0	4.0	98.56	24.64	ligaclips small lt100	Supply	Supply	833.0	84.393757503
LIMB BAND ELECTRODE (SCN)	LIMB BAND ELECTRODE SCN 	250.0	1.0	30.0	30.0	limb band electrode scan	Supply	Pharmacy	2692.0	76.0401188707
LIMB BAND ELECTRODE (SCN)	LIMB BAND ELECTRODE SCN 	270.0	1.0	30.0	30.0	limb band electrode scan	Supply	Supply	1919.0	86.294945284
LIMB BAND ELECTRODE (SCN)	LIMB BAND ELECTRODE SCN 	271.0	1.0	29.0	29.0	limb band electrode scan	Supply	Supply	132.0	65.1515151515
HB LINE ALARIS LIPID TUBING W/LNJECTION SITE	LINE ALARIS LIPID TUBING W/LNJECTION SITE	270.0	1.0	11.1	11.1	line alaris lipid tubing w injection site	Supply	Supply	1919.0	86.294945284
HB LINE EXTENSION SET TUBING - 60 INCH	LINE EXTENSION SET TUBING 60 INCH	270.0	1.0	2.83	2.83	line extension set tubing 60 inches	Supply	Supply	1919.0	86.294945284
LINER CANISTER W FILTER 1500ML	LINER CANISTER W FILTER 1500ML	270.0	1.0	25.0	25.0	liner canister with filter 1500_ml	Supply	Supply	1919.0	86.294945284
LINER CANISTER W FILTER 1500ML	LINER CANISTER W FILTER 1500ML	272.0	1.0	25.0	25.0	liner canister with filter 1500_ml	Supply	Supply	833.0	84.393757503
HB LINER GLVE REPEL-LITE XL CUT R	LINER GLVE REPEL LITE XL CUT R	270.0	1.0	229.0	229.0	liner glove repel liter extra large cut r	Supply	Supply	1919.0	86.294945284
LINER SUCTION 1500ML	LINER SUCTION 1500ML	270.0	1.0	24.0	24.0	liner suction 1500_ml	Supply	Supply	1919.0	86.294945284
HB LINER SX MDVC 1000CC W/FLTR	LINER SX MDVC 1000CC W/FLTR	270.0	1.0	6.0	6.0	liner suction mdvc 1000 cc w filter	Supply	Supply	1919.0	86.294945284
HB LINER SX MDVC 1000CC W/FLTR LI	LINER SX MDVC 1000CC W/FLTR LI	270.0	1.0	6.0	6.0	liner suction mdvc 1000 cc w filter li	Supply	Supply	1919.0	86.294945284
HB LINER SX MDVC 3000CC W/FLTR LI	LINER SX MDVC 3000CC W/FLTR LI	270.0	1.0	8.0	8.0	liner suction mdvc 3000 cc w filter li	Supply	Supply	1919.0	86.294945284
HB LINER SX MDVC LOOOCC W/FLTR LI	LINER SX MDVC LOOOCC W/FLTR LI	270.0	1.0	6.0	6.0	liner suction medi vac 1000cc with filter li	Supply	Supply	1919.0	86.294945284
LINEZOLID 2 MG/ML SOLN WCH00-0000-49	LINEZOLID 2 MG/ML SOLN WCH00 0000 49	250.0	2.0	417.4	208.7	linezolid 2 mg/ml solution wch00 0000 49	Pharmacy	Pharmacy	2692.0	76.0401188707
HB LINEZOLID 600MG/300ML SOLN	LINEZOLID 600MG/300ML SOLN	250.0	3.0	600.445	287.666666667	linezolid 600 mg/300 ml solution	Pharmacy	Pharmacy	2692.0	76.0401188707
LIPASE	LIPASE	270.0	1.0	61.09	61.09	lipase	Laboratory	Supply	1919.0	86.294945284
LIPASE	LIPASE	272.0	1.0	516.0	516.0	lipase	Laboratory	Supply	833.0	84.393757503
HB - LIPASE	LIPASE	300.0	1.0	95.205	95.205	lipase	Laboratory	Laboratory	1097.0	79.1248860529
HB - LIPASE	LIPASE	301.0	1.0	151.0	151.0	lipase	Laboratory	Laboratory	924.0	79.2207792208
HC LIPASE	LIPASE	504.0	1.0	243.0	243.0	lipase	Laboratory	Laboratory	7.0	100.0
HB LIPASE*	LIPASE 	301.0	1.0	114.0	114.0	lipase	Laboratory	Laboratory	924.0	79.2207792208
LIPASE (LIPAS)	LIPASE LIPAS 	300.0	1.0	164.0	164.0	lipase lipas	Laboratory	Laboratory	1097.0	79.1248860529
LIPASE - PROTEASE - AMYLASE 20	LIPASE PROTEASE AMYLASE 20	637.0	4.0	61.3	13.776	lipase protease amylase 20	Pharmacy	Pharmacy	328.0	92.0731707317
HC LIPASE SERUM	LIPASE SERUM	300.0	1.0	109.0	109.0	lipase serum	Laboratory	Laboratory	1097.0	79.1248860529
HB LIPASE - SERUM	LIPASE SERUM	301.0	1.0	94.0	92.0	lipase serum	Laboratory	Laboratory	924.0	79.2207792208
LIPASE/PROTEASE/AMYLASE 12000 UNITS CPEP	LIPASE/PROTEASE/AMYLASE 12000 UNITS CPEP	250.0	3.0	21.7	7.23333333333	lipase/protease/amylase 12000_units cpep	Pharmacy	Pharmacy	2692.0	76.0401188707
HB-LIPID PANEL	LIPID PANEL	300.0	1.0	213.0	213.0	lipid panel	Laboratory	Laboratory	1097.0	79.1248860529
HB - LIPID PANEL	LIPID PANEL	301.0	1.0	231.43	227.0	lipid panel	Laboratory	Laboratory	924.0	79.2207792208
LIPID PANEL	LIPID PANEL	736.0	1.0	568.08	568.08	lipid panel	Laboratory	Laboratory	27.0	96.2962962963
HB LIPID PANEL*	LIPID PANEL 	301.0	1.0	129.0	129.0	lipid panel	Laboratory	Laboratory	924.0	79.2207792208
HB LIPID PROFILE	LIPID PROFILE	300.0	1.0	175.0	175.0	lipid profile	Laboratory	Laboratory	1097.0	79.1248860529
HB LIPID PROFILE	LIPID PROFILE	301.0	1.0	206.0	206.0	lipid profile	Laboratory	Laboratory	924.0	79.2207792208
LIPID PROFILE	LIPID PROFILE	402.0	1.0	174.55	174.55	lipid profile	Laboratory	Radiology	64.0	54.6875
LIPID PROFILE -	LIPID PROFILE 	301.0	1.0	156.0	156.0	lipid profile	Laboratory	Laboratory	924.0	79.2207792208
HB LISINOPRIL 1 MG/ML SUSPENSION	LISINOPRIL 1 MG/ML SUSPENSION	251.0	1.0	9.54	9.54	lisinopril 1 mg/ml suspension	Pharmacy	Pharmacy	403.0	90.570719603
LISINOPRIL 10MG UD	LISINOPRIL 10MG UD	250.0	1.0	3.85	3.85	lisinopril 10_mg unit dose	Pharmacy	Pharmacy	2692.0	76.0401188707
LISINOPRIL 15.25 2.5 MG TAB 100 EACH BOTTLE	LISINOPRIL 15.25 2.5 MG TAB 100 EACH BOTTLE	250.0	1.0	15.25	15.25	lisinopril 15.25 2.5_mg tablet 100 each bottle	Pharmacy	Pharmacy	2692.0	76.0401188707
LISINOPRIL 2.5 MG PO TABS	LISINOPRIL 2.5 MG PO TABS	250.0	1.0	0.32	0.32	lisinopril 2.5 mg by_mouth tablets	Pharmacy	Pharmacy	2692.0	76.0401188707
HB LISINOPRIL 2.5 MG PO TABS	LISINOPRIL 2.5 MG PO TABS	251.0	1.0	4.09	4.09	lisinopril 2.5 mg by_mouth tablets	Pharmacy	Pharmacy	403.0	90.570719603
LISINOPRIL 40 MG TABS	LISINOPRIL 40 MG TABS	250.0	1.0	13.65	13.65	lisinopril 40_mg tablets	Pharmacy	Pharmacy	2692.0	76.0401188707
LISINOPRIL 40 MG TABS	LISINOPRIL 40 MG TABS	637.0	1.0	5.92	5.92	lisinopril 40_mg tablets	Pharmacy	Pharmacy	328.0	92.0731707317
HB LISINOPRIL 40MG TAB BULK (PRINI	LISINOPRIL 40MG TAB BULK PRINI	252.0	1.0	1.44	1.44	lisinopril 40 mg tablet bulk prinivil	Pharmacy	Pharmacy	182.0	85.1648351648
LISINOPRIL 5 MG TAB	LISINOPRIL 5 MG TAB	250.0	1.0	2.4	2.35	lisinopril 5_mg tablet	Pharmacy	Pharmacy	2692.0	76.0401188707
LISINOPRIL 5 MG TAB	LISINOPRIL 5 MG TAB	252.0	2.0	7.5	3.75	lisinopril 5_mg tablet	Pharmacy	Pharmacy	182.0	85.1648351648
LISINOPRIL 5 MG TAB	LISINOPRIL 5 MG TAB	259.0	1.0	21.75	21.75	lisinopril 5_mg tablet	Pharmacy	Pharmacy	349.0	83.6676217765
LISINOPRIL 5 MG TAB	LISINOPRIL 5 MG TAB	637.0	1.0	3.6	3.6	lisinopril 5_mg tablet	Pharmacy	Pharmacy	328.0	92.0731707317
LISINOPRIL 5MG TAB	LISINOPRIL 5MG TAB	250.0	1.0	3.6	3.0	lisinopril 5_mg tablet	Pharmacy	Pharmacy	2692.0	76.0401188707
LISINOPRIL 5MG TAB	LISINOPRIL 5MG TAB	259.0	1.0	14.0	14.0	lisinopril 5_mg tablet	Pharmacy	Pharmacy	349.0	83.6676217765
LISINOPRIL 5MG TAB	LISINOPRIL 5MG TAB	430.0	1.0	1.25	1.25	lisinopril 5_mg tablet	Pharmacy	PT / OT / Speech Therapy	86.0	87.2093023256
LISINOPRIL 5MG TAB	LISINOPRIL 5MG TAB	637.0	1.0	40.58	40.58	lisinopril 5_mg tablet	Pharmacy	Pharmacy	328.0	92.0731707317
LISINOPRIL 5MG TAB (	LISINOPRIL 5MG TAB 	250.0	1.0	1.75	1.75	lisinopril 5_mg tablet	Pharmacy	Pharmacy	2692.0	76.0401188707
LISINOPRIL 5MG TAB-	LISINOPRIL 5MG TAB 	259.0	1.0	4.0	4.0	lisinopril 5_mg tablet	Pharmacy	Pharmacy	349.0	83.6676217765
HB LISINOPRIL/ZESTRIL 10MG TAB BULK	LISINOPRIL/ZESTRIL 10MG TAB BULK	250.0	1.0	5.75	5.75	lisinopril/zestril 10 mg tablet bulk	Pharmacy	Pharmacy	2692.0	76.0401188707
LISINOPRL20MGTB+	LISINOPRL20MGTB+	250.0	1.0	24.03	13.0	lisinoprl20_mgtb and	Pharmacy	Pharmacy	2692.0	76.0401188707
LIVER ACQUISITION, CADAVERI	LIVER ACQUISITION CADAVERI	812.0	1.0	129740.0	129740.0	liver acquisition cadaveri	Implant	Implant	1.0	100.0
HB LIVER FUNCTION PANEL	LIVER FUNCTION PANEL	301.0	1.0	367.0	367.0	liver function panel	Laboratory	Laboratory	924.0	79.2207792208
LIVER FUNCTION PANEL-	LIVER FUNCTION PANEL 	301.0	1.0	142.85	142.85	liver function panel	Laboratory	Laboratory	924.0	79.2207792208
LIVER FUNCTION PANEL (LFPP	LIVER FUNCTION PANEL LFPP	300.0	1.0	276.0	276.0	liver function panel lfpp	Laboratory	Laboratory	1097.0	79.1248860529
LMX - 4 PLUS 5GM CREAM	LMX 4 PLUS 5GM CREAM	250.0	1.0	39.7	39.7	lmx 4 plus 5 gm cream	Pharmacy	Pharmacy	2692.0	76.0401188707
HC LOCM 300-399 MG/ML IODINE CONCENTRATION PER ML	LOCM 300 399 MG/ML IODINE CONCENTRATION PER ML	250.0	125.0	188.75	1.53214285714	low_osmolar_contrast_material 300 399_mg/ml iodine concentration per_ml	Pharmacy	Pharmacy	2692.0	76.0401188707
LODIXANOL 320 MG IODINE/ML SOLUTION	LODIXANOL 320 MG IODINE/ML SOLUTION	636.0	150.0	693.32	4.62213333333	lodixanol 320_mg iodine/ml solution	Pharmacy	Pharmacy	781.0	77.8489116517
LONG GI TUBE FLUORO WITH FILMS	LONG GI TUBE FLUORO WITH FILMS	320.0	1.0	1185.0	1185.0	long gastrointestinal tube fluoroscopy with films	Radiology	Radiology	111.0	75.6756756757
HB LONM REMOTE/>1 PT OUT O	LONM REMOTE/>1 PT OUT O	920.0	12.0	11088.0	924.0	intraoperative_neurophysiologic_monitoring remote/ greater_than 1 patient out o	Procedure	Nursing Services	40.0	30.0
LOPERAMIDE 2 MG CAPS	LOPERAMIDE 2 MG CAPS	250.0	1.0	2.0	2.0	loperamide 2_mg capsule	Pharmacy	Pharmacy	2692.0	76.0401188707
LOPERAMIDE 2 MG CAPS	LOPERAMIDE 2 MG CAPS	259.0	1.0	5.0	5.0	loperamide 2_mg capsule	Pharmacy	Pharmacy	349.0	83.6676217765
LOPERAMIDE 2 MG CAPS	LOPERAMIDE 2 MG CAPS	637.0	1.0	3.5	3.5	loperamide 2_mg capsule	Pharmacy	Pharmacy	328.0	92.0731707317
HB LOPERAMIDE HCL 2 MG PO TABS	LOPERAMIDE HCL 2 MG PO TABS	251.0	1.0	0.17	0.17	loperamide hydrochloride 2 mg by_mouth tablets	Pharmacy	Pharmacy	403.0	90.570719603
HB LORAZEPAM 0.5MG TAB (ATIVAN-GE	LORAZEPAM 0.5MG TAB ATIVAN GE	250.0	1.0	1.64	1.64	lorazepam 0.5 mg tablet ativan ge	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 1:4 0.5 MG/ML SOLN	LORAZEPAM 1 4 0.5 MG/ML SOLN	250.0	1.0	261.32	261.32	lorazepam 1:4 0.5_mg/ml solution	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 1:4 0.5 MG/ML SOLN 4 ML VIAL	LORAZEPAM 1 4 0.5 MG/ML SOLN 4 ML VIAL	250.0	1.0	261.22	261.22	lorazepam 1:4 0.5_mg/ml solution 4_ml vial	Pharmacy	Pharmacy	2692.0	76.0401188707
HB LORAZEPAM 1MG TABLET UD	LORAZEPAM 1MG TABLET UD	250.0	1.0	1.73	1.73	lorazepam 1 mg tablet unit dose	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 1MG TABLET UD	LORAZEPAM 1MG TABLET UD	251.0	3.0	17.25	5.75	lorazepam 1 mg tablet unit dose	Pharmacy	Pharmacy	403.0	90.570719603
LORAZEPAM 1MG/0.5ML UD SUSP	LORAZEPAM 1MG/0.5ML UD SUSP	251.0	1.0	55.95	55.95	lorazepam 1 mg/0.5 ml unit dose suspension	Pharmacy	Pharmacy	403.0	90.570719603
LORAZEPAM 2 MG/ML CONC	LORAZEPAM 2 MG/ML CONC	250.0	1.0	7.63	7.2	lorazepam 2_mg/ml concentration	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 2 MG/ML CONC	LORAZEPAM 2 MG/ML CONC	251.0	1.0	7.55	7.55	lorazepam 2_mg/ml concentration	Pharmacy	Pharmacy	403.0	90.570719603
LORAZEPAM 2 MG/ML CONC	LORAZEPAM 2 MG/ML CONC	259.0	1.0	93.0	93.0	lorazepam 2_mg/ml concentration	Pharmacy	Pharmacy	349.0	83.6676217765
LORAZEPAM 2 MG/ML CONC	LORAZEPAM 2 MG/ML CONC	637.0	1.0	20.4	16.95	lorazepam 2_mg/ml concentration	Pharmacy	Pharmacy	328.0	92.0731707317
LORAZEPAM 2 MG/ML CONC 30 ML BOTTLE	LORAZEPAM 2 MG/ML CONC 30 ML BOTTLE	250.0	1.0	89.88	89.7	lorazepam 2_mg/ml concentrate 30_ml bottle	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 2 MG/ML INJ	LORAZEPAM 2 MG/ML INJ	250.0	1.0	25.46	25.46	lorazepam 2_mg/ml injection	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 2 MG/ML INJ	LORAZEPAM 2 MG/ML INJ	636.0	1.0	54.08	22.0	lorazepam 2_mg/ml injection	Pharmacy	Pharmacy	781.0	77.8489116517
LORAZEPAM 2 MG/ML SOLN	LORAZEPAM 2 MG/ML SOLN	250.0	1.0	35.67	28.85	lorazepam 2_mg/ml solution	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 2 MG/ML SOLN	LORAZEPAM 2 MG/ML SOLN	636.0	1.0	39.75	38.95	lorazepam 2_mg/ml solution	Pharmacy	Pharmacy	781.0	77.8489116517
LORAZEPAM 2 MG/ML SOLN 0641-6044-25	LORAZEPAM 2 MG/ML SOLN 0641 6044 25	250.0	1.0	28.05	28.05	lorazepam 2 mg/ml solution 0641 6044 25	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 2 MG/ML SOLN 10 ML VIAL	LORAZEPAM 2 MG/ML SOLN 10 ML VIAL	250.0	4.0	180.45	17.834	lorazepam 2_mg/ml solution 10_ml vial	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 2 MG/ML SOLN 10 ML VIAL	LORAZEPAM 2 MG/ML SOLN 10 ML VIAL	636.0	20.0	55.36	2.768	lorazepam 2_mg/ml solution 10_ml vial	Pharmacy	Pharmacy	781.0	77.8489116517
LORAZEPAM 2 MG/ML SOLN 10 ML VIAL[10467]	LORAZEPAM 2 MG/ML SOLN 10 ML VIAL 10467 	636.0	10.0	24.11	2.411	lorazepam 2_mg/ml solution 10_ml vial 10467	Pharmacy	Pharmacy	781.0	77.8489116517
LORAZEPAM 2MG INJ	LORAZEPAM 2MG INJ	250.0	1.0	4.98	2.6	lorazepam 2_mg injection	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 2MG INJ	LORAZEPAM 2MG INJ	636.0	1.0	4.51	4.51	lorazepam 2_mg injection	Pharmacy	Pharmacy	781.0	77.8489116517
LORAZEPAM 2MG TABLET UD	LORAZEPAM 2MG TABLET UD	251.0	2.0	17.0	8.5	lorazepam 2 mg tablet unit dose	Pharmacy	Pharmacy	403.0	90.570719603
LORAZEPAM 2MG/1ML UD SUSP	LORAZEPAM 2MG/1ML UD SUSP	251.0	2.0	58.75	29.375	lorazepam 2 mg/1 ml unit dose suspension	Pharmacy	Pharmacy	403.0	90.570719603
LORAZEPAM 2MG/ML ORAL SOL	LORAZEPAM 2MG/ML ORAL SOL	250.0	2.0	11.65	5.825	lorazepam 2_mg/ml oral solution	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM 3MG/0.5ML UD SUSP	LORAZEPAM 3MG/0.5ML UD SUSP	251.0	1.0	55.95	55.95	lorazepam 3 mg/0.5 ml unit dose suspension	Pharmacy	Pharmacy	403.0	90.570719603
LORAZEPAM INJ 2MG	LORAZEPAM INJ 2MG	250.0	1.0	35.0	35.0	lorazepam injection 2_mg	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM INJ 2MG	LORAZEPAM INJ 2MG	251.0	1.0	108.0	108.0	lorazepam injection 2_mg	Pharmacy	Pharmacy	403.0	90.570719603
LORAZEPAM INJ 2MG	LORAZEPAM INJ 2MG	636.0	1.0	9.3	9.3	lorazepam injection 2_mg	Pharmacy	Pharmacy	781.0	77.8489116517
LORAZEPAM INJ 2MG/ML TUBEX	LORAZEPAM INJ 2MG/ML TUBEX	251.0	1.0	83.4	83.4	lorazepam injection 2 mg/ml tubex	Pharmacy	Pharmacy	403.0	90.570719603
LORAZEPAM O/S 2MG/ML UD	LORAZEPAM O/S 2MG/ML UD	250.0	1.0	8.31	8.31	lorazepam oxygen/sigma 2_mg/ml ud	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM PER 2 MG	LORAZEPAM PER 2 MG	250.0	1.0	15.0	15.0	lorazepam per 2_mg	Pharmacy	Pharmacy	2692.0	76.0401188707
LORAZEPAM PER 2 MG	LORAZEPAM PER 2 MG	251.0	1.0	0.8	0.8	lorazepam per 2_mg	Pharmacy	Pharmacy	403.0	90.570719603
LORAZEPAM PER 2 MG	LORAZEPAM PER 2 MG	259.0	1.0	87.53	87.53	lorazepam per 2_mg	Pharmacy	Pharmacy	349.0	83.6676217765
LORAZEPAM PER 2 MG	LORAZEPAM PER 2 MG	636.0	1.0	34.45	30.0	lorazepam per 2_mg	Pharmacy	Pharmacy	781.0	77.8489116517
HB LORAZEPAN 2MG/ML UD SYRINGE	LORAZEPAN 2MG/ML UD SYRINGE	250.0	1.0	1.64	1.64	lorazepam 2 mg/ml unit dose syringe	Pharmacy	Pharmacy	2692.0	76.0401188707
LOVERSOL 240 MG/ML SOLUTION	LOVERSOL 240 MG/ML SOLUTION	636.0	125.0	182.52	1.46016	loversol 240_mg/ml solution	Pharmacy	Pharmacy	781.0	77.8489116517
HB LOVERSOL 240 MG/ML VIAL 50ML	LOVERSOL 240 MG/ML VIAL 50ML	252.0	15.0	64.01	4.26733333333	loversol 240 mg/ml vial 50 ml	Pharmacy	Pharmacy	182.0	85.1648351648
HB LOW MOLECULAR WEIGHT HEPARIN	LOW MOLECULAR WEIGHT HEPARIN	305.0	1.0	180.32	180.32	low molecular weight heparin	Pharmacy	Laboratory	271.0	92.6199261993
LOW PRESSURE TUBING	LOW PRESSURE TUBING	270.0	1.0	4.0	4.0	low pressure tubing	Supply	Supply	1919.0	86.294945284
LR CELLS	LR CELLS	390.0	1.0	606.0	606.0	leukocyte_reduced cells	Blood Products	Blood Products	94.0	60.6382978723
LR UP TO 1000 ML	LR UP TO 1000 ML	258.0	1.0	284.0	284.0	leukocyte_reduced up to 1000_ml	Pharmacy	Diluent / Flush / Irrigant	392.0	55.612244898
LR UP TO 1000 ML	LR UP TO 1000 ML	636.0	1.0	351.0	351.0	leukocyte_reduced up to 1000_ml	Pharmacy	Pharmacy	781.0	77.8489116517
HB LTA KIT PRE - ATTACHED	LTA KIT PRE ATTACHED	250.0	1.0	20.13	20.13	lta kit pre attached	Laboratory	Pharmacy	2692.0	76.0401188707
HB LUBRICANT INSTR DFSR OILER F/D	LUBRICANT INSTR DFSR OILER F/D	270.0	1.0	109.0	109.0	lubricant instrument diffuser oiler f/d	Supply	Supply	1919.0	86.294945284
HB LYMPHOCYTE CULTURE	LYMPHOCYTE CULTURE	300.0	2.0	736.7	368.35	lymphocyte culture	Laboratory	Laboratory	1097.0	79.1248860529
HB LYMPHOCYTE TRANSFORMATION	LYMPHOCYTE TRANSFORMATION	302.0	3.0	1150.68	383.56	lymphocyte transformation	Laboratory	Laboratory	180.0	96.1111111111
LYMPHOCYTO WITH TITR (GRET	LYMPHOCYTO WITH TITR GRET	300.0	1.0	1249.0	1249.0	lymphocytology with titer gret	Laboratory	Laboratory	1097.0	79.1248860529
MAG HYD400MG/5ML 30M	MAG HYD400MG/5ML 30M	250.0	1.0	12.0	12.0	magnesium hydroxide 400_mg/5_ml 30m	Pharmacy	Pharmacy	2692.0	76.0401188707
MAG SF+DX5% INJ 2G/50ML BG	MAG SF+DX5% INJ 2G/50ML BG	636.0	4.0	82.5	20.625	magnesium sulfate and Dextrose_5% injection  2 gram/50ml bag/50_ml blood_gas	Pharmacy	Pharmacy	781.0	77.8489116517
MAG SULFATE 2G BAG	MAG SULFATE 2G BAG	250.0	1.0	149.0	149.0	mang sulfate 2_gm bag	Pharmacy	Pharmacy	2692.0	76.0401188707
MAG SULFATE 2G BAG	MAG SULFATE 2G BAG	420.0	1.0	57.62	57.62	mang sulfate 2_gm bag	Pharmacy	PT / OT / Speech Therapy	97.0	83.5051546392
MAG SULFATE 2G BAG	MAG SULFATE 2G BAG	636.0	1.0	125.25	117.0	mang sulfate 2_gm bag	Pharmacy	Pharmacy	781.0	77.8489116517
MAG SULFATE 4 G/WATER INJ 100M	MAG SULFATE 4 G/WATER INJ 100M	636.0	1.0	71.0	71.0	magnesium sulfate 4 g/water injection 100m	Pharmacy	Pharmacy	781.0	77.8489116517
MAGNES SULF 500MGINJ	MAGNES SULF 500MGINJ	250.0	4.0	53.28	14.53	magnesium sulfate 500_mg injection	Pharmacy	Pharmacy	2692.0	76.0401188707
MAGNES SULF. 500 MG-1G/D5W 100M	MAGNES SULF. 500 MG 1G/D5W 100M	636.0	2.0	82.5	41.25	magnesium sulfate 500_mg 1_gm/dextrose_5%_in_water 100m	Pharmacy	Pharmacy	781.0	77.8489116517
MAGNESIUM	MAGNESIUM	163.0	1.0	40.0	40.0	magnesium	Laboratory	Laboratory	6.0	83.3333333333
HB MAGNESIUM	MAGNESIUM	300.0	1.0	73.0	73.0	magnesium	Laboratory	Laboratory	1097.0	79.1248860529
HB - MAGNESIUM	MAGNESIUM	301.0	1.0	99.0	96.0	magnesium	Laboratory	Laboratory	924.0	79.2207792208
MAGNESIUM	MAGNESIUM	302.0	1.0	47.0	47.0	magnesium	Laboratory	Laboratory	180.0	96.1111111111
MAGNESIUM	MAGNESIUM	306.0	1.0	98.0	98.0	magnesium	Laboratory	Laboratory	290.0	96.8965517241
MAGNESIUM	MAGNESIUM	307.0	1.0	172.5	172.5	magnesium	Laboratory	Laboratory	39.0	94.8717948718
MAGNESIUM	MAGNESIUM	309.0	1.0	57.88	57.88	magnesium	Laboratory	Laboratory	55.0	81.8181818182
