ORIG_DESC	NORM_DESC	CHRG_CLS	FTR1	FTR2	FTR3	FTR4
MIDAZOLAM 2 MG/2ML SOLN 2 ML VIAL	midazolam 2_mg/2_ml solution 2_ml vial	OR / Anesthesia / Recovery Room	vial	2_ml	midazolam	soln
MIDAZOLAM 2 MG/ML SYRP	midazolam 2_mg/ml syrup	Pharmacy	syrup	2_mg/ml	midazolam	
MIDAZOLAM 2MG	midazolam 2_mg	Pharmacy	2_mg	midazolam		
MIDAZOLAM 2MG INJECTIO	midazolam 2_mg injectio	Pharmacy	2_mg	midazolam	injectio	
MIDAZOLAM 2MG/2ML	midazolam 2_mg/2_ml	Pharmacy	midazolam	2_mg/2_ml		
MIDAZOLAM 5 MG/5 ML SOLN	midazolam 5_mg/5_ml solution	OR / Anesthesia / Recovery Room	soln	midazolam	5_mg/5_ml	
MIDAZOLAM 5 MG/5ML SOLN	midazolam 5_mg/5_ml solution	OR / Anesthesia / Recovery Room	soln	midazolam	5_mg/5_ml	NULL
MIDAZOLAM 5 MG/ML INJECTION SOLUTION	midazolam 5_mg/ml injection solution	Pharmacy	injection	5_mg/ml	midazolam	solution
MIDAZOLAM 5 MG/ML SOL 2	midazolam 5_mg/ml solution 2	OR / Anesthesia / Recovery Room	5_mg/ml	midazolam	sol	
MIDAZOLAM 5 MG/ML SOLN 2 ML VIAL	midazolam 5_mg/ml solution 2_ml vial	OR / Anesthesia / Recovery Room	vial	2_ml	midazolam	soln
MIDAZOLAM 50 MG INJ	midazolam 50_mg injection	OR / Anesthesia / Recovery Room	inj	50_mg	midazolam	
MIDAZOLAM 50 MG/10 ML INJ	midazolam 50_mg/10_ml injection	Pharmacy	inj	midazolam	50_mg/10_ml	
MIDAZOLAM 50MG/10ML INJ	midazolam 50_mg/10_ml injection	Pharmacy	inj	midazolam	50_mg/10_ml	
MIDAZOLAM 5MG	midazolam 5_mg	Pharmacy	5_mg	midazolam		
MIDAZOLAM 5MG ORAL SOLUTI	midazolam 5_mg oral solution	Pharmacy	oral	5_mg	midazolam	solution
MIDAZOLAM 5MG/5ML INJ	midazolam 5_mg/5_ml injection	OR / Anesthesia / Recovery Room	inj	midazolam	5_mg/5_ml	NULL
MIDAZOLAM HCL 1 MG	midazolam hcl 1_mg	Pharmacy	1_mg	midazolam	hcl	
MIDAZOLAM HCL 1 MG INJ	midazolam hcl 1_mg injection	OR / Anesthesia / Recovery Room	1_mg	injection	midazolam	hcl
MIDAZOLAM HCL 1 MG INJ	midazolam hcl 1_mg injection	Pharmacy	1_mg	injection	midazolam	hcl
MIDAZOLAM HCL 1 MG/1ML INJECTIO	midazolam hcl 1_mg/1_ml injectio	Pharmacy	injectio	midazolam	hcl	1_mg/1_ml
MIDAZOLAM HCL 1MG/ML 2	midazolam hydrochloride 1_mg/ml 2	Pharmacy	1_mg/ml	midazolam	hydrochloride	
MIDAZOLAM INFUSION 150 MG/150 ML (NA	midazolam infusion 150_mg/150_ml sodium	Pharmacy	sodium	150_mg/150_ml	midazolam	infusion
MIDAZOLAM INJ (5MG/1) 1MG T	midazolam injection 5_mg/1 1_mg tab	Pharmacy	1_mg	inj	midazolam	tab
MIDAZOLAM INJ 1MG (2MG/2) T	midazolam injection 1_mg 2_mg/2 tab	Pharmacy	1_mg	inj	midazolam	tab
MIDAZOLAM INJ 1MG/ML 2ML VIAL SD	midazolam injection 1_mg/ml 2_ml vial sd	Pharmacy	vial	inj	midazolam	2_ml
MIDAZOLAM INJ 5MG	midazolam injection 5_mg	Pharmacy	inj	5_mg	midazolam	
MIDAZOLAM INJ PER 1MG	midazolam injection per 1_mg	Pharmacy	1_mg	inj	midazolam	per
MIDAZOLAM INJ/2MG/VIAL	midazolam injection/2_mg/vial	Pharmacy	injection/2_mg/vial	midazolam		
MIDAZOLAM INJ/DRIP/100MG/	midazolam injection/drip/100_mg	Pharmacy	midazolam	injection/drip/100_mg		
MIDAZOLAM OR*BOLUS 1MG/ML 2ML VIAL	midazolam operation_room bolus 1_mg/ml 2_ml vial	Pharmacy	vial	2_ml	midazolam	operation_room
MIDAZOLAM PER 1 MG	midazolam per 1_mg	Pharmacy	1_mg	midazolam	per	
MIDAZOLAM. 1M	midazolam 1m	Pharmacy	1m	midazolam		
MIDODRINE 2.5 MG TAB 1 EACH BLIST PACK	midodrine 2.5_mg tablet 1 each blister pack	Pharmacy	tab	pack		
MIDODRINE 2.5 MG TAB 100 EACH BLIST PACK	midodrine 2.5_mg tablet 100 each blister pack	Pharmacy	tab	pack		
MIDODRINE 5 MG TAB	midodrine 5_mg tablet	Pharmacy	5_mg	tablet	midodrine	
MIDODRINE 5 MG TAB 100 EACH BLIST PACK	midodrine 5_mg tablet 100 each blister pack	Pharmacy	5_mg	tab	pack	
MIDODRINE 5 MG TABS	midodrine 5_mg tablets	OR / Anesthesia / Recovery Room	tabs	5_mg	midodrine	
MIGHTY SHAKE EA (FC)	mighty shake each fc	Supply	fc	mighty	shake	
MILK AND MOLASSES ENEM	milk and molasses enema	Supply	enema	molasses	milk	
MILK OF M	milk of m	Supply	milk			
MILK OF MAGNESIA	milk of magnesia	Pharmacy	milk	magnesia		
MILK OF MAGNESIA 30ML U/D	milk of magnesia 30_ml u/daily	Pharmacy	30_ml	daily		
MILK OF MAGNESIA CONC	milk of magnesia concentration	Laboratory	concentration	milk	magnesia	
MILK OF MAGNESIA SUSP 30ML	milk of magnesia suspension 30_ml	Pharmacy	susp	30_ml	milk	magnesia
MILK OF MAGNESIA SUSP 30ML UD	milk of magnesia suspension 30_ml ud	Pharmacy	susp	30_ml	ud	
MILL BONE	mill bone	Supply	mill	bone		
MILRINONE 0.2MG/ML (OR USE)	milrinone 0.2_mg/ml operation_room use	Pharmacy	use	0.2_mg/ml	operation_room	milrinone
MILRINONE 1 MG/ML INTRAVENOUS SOLUTION	milrinone 1_mg/ml intravenous solution	Pharmacy	solution	intravenous	milrinone	1_mg/ml
MILRINONE 10 MG/10ML SOLN 1 63323-617-10	milrinone 10_mg/10_ml solution 1 63323 617 10	Pharmacy	10_mg/10_ml	soln	milrinone	
MILRINONE 20 MG/100 ML(200MCG/ML) IN 5 % DEXTROSE INTRAVENOUS PIGGYBK	milrinone 20_mg/100_ml 200_mcg/ml inhibition 5% dextrose intravenous piggyback	Pharmacy	dextrose	intravenous		
MILRINONE 20MG PM BAG B/5	milrinone 20_mg between_noon_and_midnight bag b/5	Pharmacy	bag	20_mg		
MILRINONE 20MG/D5W 100ML INJ	milrinone 20_mg/dextrose_5%_in_water 100_ml injection	Pharmacy	100_ml	inj	milrinone	20_mg/dextrose_5%_in_water
MILRINONE IN 5 % DEXTROSE	milrinone inhibition 5% dextrose	Pharmacy	5%	inhibition	dextrose	milrinone
MILRINONE IN DEXTROSE 200 MCG/ML SOLN	milrinone in dextrose 200 mcg/ml solution	Pharmacy	mcg	ml	dextrose	soln
MINERAL OIL OIL	mineral oil oil	Supply	oil	mineral		
MINERAL OIL OIL 10 ML VIAL	mineral oil oil 10_ml vial	Pharmacy	vial	oil	10_ml	
MINERAL OIL ORAL	mineral oil oral	Pharmacy	oil	oral	mineral	
MINERAL OIL-HYDROPHIL PETROLAT TOPICAL OINTMENT	mineral oil hydrophilic petrolatum topical ointment	Supply	ointment	oil		
MINI NEBILIZER	mini nebilizer	Supply	mini	nebilizer		
MINI-MUFFS	mini muffs	Supply	mini	muffs		
MINI-NEB TX SUBSEQUENT	mini nebulizer treatment subsequent	Respiratory Therapy	mini	subsequent	nebulizer	tx
MINOR HEAD PACK	minor head pack	Supply	head	minor	pack	
MINOR OR ADDL 30 MIN	minor operation_room additional 30 minutes	OR / Anesthesia / Recovery Room	min	or	minor	addl
MINOR OR FIRST 60 MIN	minor operation_room first 60 minutes	OR / Anesthesia / Recovery Room	min	or	minor	first
MIOAZOLA	mioazola	Laboratory	mioazola			
MIRALAX 17 GM POWDER PKT	miralax 17_gm powder packet	Pharmacy	17_gm	miralax	powder	packet
MIRALAX 17G PKT	miralax 17_gm packet	Pharmacy	17_gm	miralax	packet	
MIRALAX 3350 17GM PACK	miralax 3350 17_gm pack	Pharmacy	17_gm	miralax	pack	
MIRALAX POWDER	miralax powder	Supply	miralax	powder		
MIRTAZAPINE 7.5 MG TABS	mirtazapine 7.5_mg tablets	Pharmacy	tabs	7.5_mg	mirtazapine	
MISC DRUG COMPOUND ITEM OINTMENT	misc drug compound item ointment	Supply	ointment	drug		
MISSED VISIT	missed visit	Pharmacy	visit	missed		
MITTEN HAND CONTROL	mitten hand cont	Supply	cont	mitten	hand	
MOCK TPN 200ML	mock total_parenteral_nutrition 200_ml	Pharmacy	tpn	200_ml	mock	
MOD BARIUM SW	module barium sw	Supply	barium	sw	mod	
MODEL D 6F 145 (5PKX3) 08641-301	model device 6 145 5pkx3 8641 301	Supply	device	5pkx3	model	
MODERATE SEDATION/ 1ST 30 MIN	moderate sedation/1st 30 minutes	OR / Anesthesia / Recovery Room	sedation/1st	moderate	min	
MODIFIED BARIUM SWAL EVAL	modified barium swallow evaluation	PT / OT / Speech Therapy	barium	swallow	evaluation	modified
MODIFIED BARIUM SWAL INTERDISC	modified barium swallow interdisc	Supply	barium	swallow	interdisc	modified
MODIFIED BARIUM SWALLOW	modified barium swallow	Supply	barium	swallow	modified	
MODIFIED BARIUM SWALLOW SP/OT	modified barium swallow specimen_gross_micro/occupational_therapy	PT / OT / Speech Therapy	swallow	occupational_therapy		
MOISTURIZER MOUTH .5 OZ TUBE	moisturizer mouth 0.5 ounce tube	Supply	tube	oz		
MOLASSES 60ML	molasses 60_ml	Pharmacy	60_ml	molasses		
MOLD/YEAST IDENTIFICATION	mold/yeast identification	Laboratory	identification	mold	yeast	
MOMET/FORMOT INH 200-5MCG 1PKG	momet/formot inhaled 200 5mcg 1pkg	Plan Benefit	inh			
MOMETASONE 17GM NI	mometasone 17_gm ni	Pharmacy	ni	17_gm	mometasone	
MONITORING CARDIO/RESP/OXIM	monitoring cardio/respiratory/oximetry	OR / Anesthesia / Recovery Room	cardio	respiratory	oximetry	monitoring
MONONUCLEOSIS TEST	mononucleosis test	Laboratory	test	mononucleosis		
MONOSOF 2/0 18 BLK C-15	monosof 2/0 18 blk cap 15	Supply	monosof	2/0	cap	blk
MONTELUKAST 10 MG TAB	montelukast 10_mg tablet	Pharmacy	montelukast	tab	10_mg	
MONTELUKAST 10 MG TABLET	montelukast 10_mg tablet	Pharmacy	montelukast	tablet	10_mg	
MONTELUKAST SODIUM 10MG TAB	montelukast sodium 10_mg tablet	Pharmacy	montelukast	10_mg	tab	sodium
MONTELUKAST TAB 10MG	montelukast tablet 10_mg	Pharmacy	montelukast	tab	10_mg	
MONTR ST INTCRAN PRSS 1104-BT	montr straight_040 intracranial pressure 1104 bact	Supply	pressure			
MOON BOOTS	moon boots	Supply	boots	moon		
MOON BOOTS; SLIPPER MEDIUM BLUE	moon boots slipper medium blue	Supply	medium			
MORPH SULF 10MG-2MG CARPUJECT	morph sulfate 10_mg 2_mg carpuject	OR / Anesthesia / Recovery Room	2_mg	sulfate	10_mg	
MORPHINE (PF) 2 MG/ML SOLN	morphine partial_fill 2_mg/ml solution	Pharmacy	partial_fill	morphine	2_mg/ml	soln
MORPHINE (PF) 4 MG/ML SOLN	morphine partial_fill 4_mg/ml solution	Pharmacy	partial_fill	morphine	soln	4_mg/ml
MORPHINE 0.25 MG/ML	morphine 0.25_mg/ml	Pharmacy	morphine	0.25_mg/ml		
MORPHINE 0.5 MG/ML	morphine 0.5_mg/ml	Pharmacy	0.5_mg/ml	morphine		
MORPHINE 1 MG/ML SOLN	morphine 1_mg/ml solution	OR / Anesthesia / Recovery Room	morphine	soln	1_mg/ml	NULL
MORPHINE 10 MG/5ML SOLN WCH00-0010-63	morphine 10_mg/5_ml solution wch00 10 63	Pharmacy	10_mg/5_ml	morphine	soln	wch00
MORPHINE 10 MG/ML INJ SO	morphine 10_mg/ml injection so	Pharmacy	inj	morphine	10_mg/ml	
MORPHINE 10 MG/ML SOLN	morphine 10_mg/ml solution	OR / Anesthesia / Recovery Room	morphine	soln	10_mg/ml	
MORPHINE 100MG/NS 100ML IV	morphine 100_mg/normal_saline 100_ml intravenous	Diluent / Flush / Irrigant	100_ml	morphine	iv	100_mg/normal_saline
MORPHINE 10MG/4MG INJ	morphine 10_mg/4_mg injection	Pharmacy	10_mg/4_mg	inj	morphine	
MORPHINE 15 MG TABLET SUSTAINED RELEASE	morphine 15_mg tablet sustained release	OR / Anesthesia / Recovery Room	15_mg	morphine	tablet	
MORPHINE 2 MG 1 ML INJ; MORPHINE 2 MG/ML INJ	morphine 2_mg 1_ml injection morphine 2_mg/ml injection	Pharmacy	2_mg	inj	1_ml	morphine
MORPHINE 2 MG/1 ML INJ	morphine 2_mg/1_ml injection	Pharmacy	inj	morphine	2_mg/1_ml	
MORPHINE 2 MG/ML CRTG	morphine 2_mg/ml crtg	Pharmacy	2_mg/ml	morphine	crtg	
MORPHINE 2 MG/ML INTRAVENOUS CARTRIDGE	morphine 2_mg/ml intravenous cartridge	Pharmacy	2_mg/ml	morphine	intravenous	cartridge
MORPHINE 2 MG/ML SOLN	morphine 2_mg/ml solution	OR / Anesthesia / Recovery Room	2_mg/ml	morphine	soln	NULL
MORPHINE 2 MG/ML SYRG	morphine 2_mg/ml syringe	Pharmacy	2_mg/ml	syrg	morphine	
MORPHINE 20 MG/ML SOLN SH00-0001-66	morphine 20_mg/ml solution sh00 1 66	Pharmacy	sh00	morphine	soln	20_mg/ml
MORPHINE 2MG I	morphine 2_mg i	Pharmacy	2_mg	morphine		
MORPHINE 2MG PRESERV FREE	morphine 2_mg preserv free	Pharmacy	preserv	2_mg	morphine	free
MORPHINE 2MG TUBEX	morphine 2_mg tubex	Pharmacy	2_mg	morphine	tubex	
MORPHINE 2MG-4MG INJ VARIABLE	morphine 2_mg 4_mg injection variable	Pharmacy	2_mg	inj	morphine	4_mg
MORPHINE 2MG/1ML INJ	morphine 2_mg/1_ml injection	OR / Anesthesia / Recovery Room	inj	morphine	2_mg/1_ml	
MORPHINE 4 MG INJ	morphine 4_mg injection	OR / Anesthesia / Recovery Room	inj	morphine	4_mg	
MORPHINE 4 MG/ML INJ	morphine 4_mg/ml injection	Pharmacy	inj	morphine	4_mg/ml	
MORPHINE 4MG ML 1ML I	morphine 4_mg ml 1_ml i	Pharmacy	ml	1_ml	morphine	4_mg
MORPHINE 4MG TUBEX	morphine 4_mg tubex	Pharmacy	tubex	morphine	4_mg	
MORPHINE 4MG/1ML INJ	morphine 4_mg/1_ml injection	OR / Anesthesia / Recovery Room	4_mg/1_ml	inj	morphine	
MORPHINE 5 MG/ML SOLN	morphine 5_mg/ml solution	OR / Anesthesia / Recovery Room	5_mg/ml	morphine	soln	
MORPHINE 60 MG TABLET SUSTAINED RELEASE	morphine 60_mg tablet sustained release	OR / Anesthesia / Recovery Room	60_mg	morphine	tablet	
MORPHINE AMP 1/ML 10ML; MORPHINE 10 MG/10 ML AMP	morphine ampule 1/ml 10_ml morphine 10_mg/10_ml ampule	Pharmacy	10_ml	ampule	morphine	
MORPHINE CARPUJECT 2MG/1ML	morphine carpuject 2_mg/1_ml	Pharmacy	carpuject	morphine	2_mg/1_ml	
MORPHINE IN 0.9 % NACL 0.5 MG/ML SYRG	morphine in 0.9% sodium_chloride 0.5_mg/ml syringe	Pharmacy	syrg	morphine	nacl	
MORPHINE INJ 10MG SDV	morphine injection 10_mg sdv	Pharmacy	inj	morphine	sdv	10_mg
MORPHINE INJ 2MG/ML 1ML	morphine injection 2_mg/ml 1_ml	Pharmacy	2_mg/ml	inj	1_ml	morphine
MORPHINE PF 10MG INJ	morphine partial_fill 10_mg injection	OR / Anesthesia / Recovery Room	partial_fill	injection	morphine	10_mg
MORPHINE S 2 MG/1ML INJ CARTRIDG	morphine s 2_mg/1_ml injection cartridge	Pharmacy	inj	morphine	cartridge	2_mg/1_ml
MORPHINE SULF .5MG/ML\.9%NS 1ML; MORPHINE INJ 0.5 MG/ML SYRINGE	morphine sulfate 0.5_mg/ml 0.9%ns 1_ml morphine injection 0.5_mg/ml syringe	Pharmacy	syringe	inj	1_ml	morphine
MORPHINE SULF 2MG INJ	morphine sulfate 2_mg injection	OR / Anesthesia / Recovery Room	2_mg	inj	morphine	sulfate
MORPHINE SULF 4MG INJ	morphine sulfate 4_mg injection	OR / Anesthesia / Recovery Room	inj	morphine	sulfate	4_mg
MORPHINE SULFATE (PF) 4 MG	morphine sulfate partial_fill 4_mg	Pharmacy	partial_fill	morphine	sulfate	4_mg
MORPHINE SULFATE 10 MG INJ	morphine_sulfate 10_mg injection	OR / Anesthesia / Recovery Room	injection	morphine	sulfate	10_mg
MORPHINE SULFATE 10 MG/ML S 0641-6070-25	morphine sulfate 10_mg/ml s 641 6070 25	Pharmacy	morphine	sulfate	10_mg/ml	
MORPHINE SULFATE 2MG/ML 1ML	morphine sulfate 2_mg/ml 1_ml	Pharmacy	2_mg/ml	1_ml	morphine	sulfate
MORPHINE SULFATE 2MG/ML ORAL SOLN	morphine sulfate 2_mg/ml oral solution	Pharmacy	oral	morphine	sulfate	soln
MORPHINE SULFATE 8MG INJ	morphine sulfate 8_mg injection	Pharmacy	inj	8_mg	morphine	sulfate
MORPHINE SULFATE INJ/10MG	morphine sulfate inj/10_mg	Pharmacy	inj/10_mg	morphine	sulfate	
MORPHINE SULFATE UP TO 10 MG INJ	morphine_sulfate up to 10_mg injection	OR / Anesthesia / Recovery Room	injection	morphine	sulfate	10_mg
MORPHINE SULFATE UP TO 10 MG INJ	morphine_sulfate up to 10_mg injection	Pharmacy	injection	morphine	sulfate	10_mg
MORPHINE TAB SR 30MG	morphine tablet slow_release 30_mg	Pharmacy	sr	morphine	tab	30_mg
MORPHINE UP TO 10 MG	morphine up to 10_mg	OR / Anesthesia / Recovery Room	to	morphine	up	10_mg
MOUTHCARE SWAB KIT	mouthcare swab kit	Supply	swab	kit	mouthcare	
MOUTHPIECE ACAPELLA 26-21-1531	mouthpiece acapella 26 21 1531	Supply	mouthpiece	acapella		
MOUTHPIECE SPIREETES	mouthpiece spireetes	Supply	mouthpiece	spireetes		
MOUTHWASH BLM COMP KIT	mouthwash balm component kit	OR / Anesthesia / Recovery Room	balm	component	mouthwash	kit
MR BRAIN WO	mr brain without	Radiology	brain	without	mr	
MR DRG MULTIHANCE PER ML FH	mr drug multihance per ml family_history	Pharmacy	ml	per	drg	mr
MR GAD (MUTIHANCE) PER ML	mr gad multihance per ml	Pharmacy	ml	per	mr	
MR SCAN SPINE LUMB-WO/CON	mr scan spine lumb without/conc	Radiology	spine	without	mr	
MRI ABDOMEN W&W/O CONTRAST	magnetic_resonance_imagery abdomen w&without contrast	Radiology	w&without	mri	abdomen	contrast
MRI ABDOMEN W/O CONTRAST	magnetic_resonance_imagery abdomen without contrast	Radiology	without	mri	abdomen	contrast
MRI ABORTED PROCEDURE	magnetic_resonance_imagery aborted procedure	Monitoring	mri	procedure	aborted	
MRI BRAIN PLAIN & CONTRAST	magnetic_resonance_imagery brain plain and_insert contrast	Radiology	brain	mri	contrast	
MRI BRAIN SCAN W/O CONTR	magnetic_resonance_imagery brain scan without contra	Radiology	brain	without	mri	
MRI BRAIN W & W/O CONTRA	magnetic_resonance_imagery brain with and_insert without contrast	OR / Anesthesia / Recovery Room	brain	without	mri	contrast
MRI BRAIN W/O CON	magnetic_resonance_imagery brain without conc	Radiology	brain	without	mri	conc
HYDROCODONE-APAP 7.5-323MG TAB	hydrocodone apap 7.5 323_mg tablet	OR / Anesthesia / Recovery Room	tab			
HYDROCODONE-APAP 7.5-323MG TAB	hydrocodone apap 7.5 323_mg tablet	Pharmacy	tab			
HYDROCODONE-APAP 7.5/325 TAB	hydrocodone apap 7.5/325 tablet	Pharmacy	hydrocodone	apap	tab	7.5/325
HYDROCODONE/APAP 10/32	hydrocodone/apap 10/32	Pharmacy	Oct-32	hydrocodone	apap	
HYDROCODONE/APAP 10/325; HYDROCODONE/APAP 10-325MG TABLET	hydrocodone/apap 10/325 hydrocodone/apap 10 325_mg tablet	Pharmacy	325_mg	tablet		
HYDROCORT 100	hydrocort 100	Supply	hydrocort			
HYDROCORTISONE (PF) 50 MG/ML SOLR	hydrocortisone partial_fill 50_mg/ml solution	Pharmacy	hydrocortisone	partial_fill	50_mg/ml	solution
HYDROCORTISONE 1 % CREA 28.4 G TUBE	hydrocortisone 1% cream 28.4 gram tube	Pharmacy	tube	gram	cream	
HYDROCORTISONE 1 % TOPIC	hydrocortisone 1% topic	Laboratory	hydrocortisone	topic	1%	
HYDROCORTISONE 1 MG/ML	hydrocortisone 1_mg/ml	Pharmacy	hydrocortisone	1_mg/ml		
HYDROCORTISONE 10 MG TABS	hydrocortisone 10_mg tablets	Pharmacy	hydrocortisone	tabs	10_mg	
HYDROCORTISONE 100 MG SOLR	hydrocortisone 100_mg solution	Pharmacy	hydrocortisone	100_mg	solution	
HYDROCORTISONE 100 MG/2 ML SOLR	hydrocortisone 100_mg/2_ml solution	Pharmacy	hydrocortisone	100_mg/2_ml	solution	
HYDROCORTISONE 100MG/2ML	hydrocortisone 100_mg/2_ml	Pharmacy	hydrocortisone	100_mg/2_ml		
HYDROCORTISONE 20 MG TABS	hydrocortisone 20_mg tablets	Pharmacy	hydrocortisone	tabs	20_mg	
HYDROCORTISONE SOD SUC 1 MG WCH00-0000-41	hydrocortisone sodium suction 1_mg wch00 0 41	Plan Benefit	1_mg	suc	sodium	
HYDROCORTISONE SOD SUCCINAT 0009-0825-01	hydrocortisone sodium succinate 9 825 1	Pharmacy	hydrocortisone	succinate	sodium	
HYDROCORTISONE SOD SUCCINATE 100 MG SOLR	hydrocortisone sodium succinate 100_mg solution	Pharmacy	100_mg	solution	sodium	
HYDROCORTISONE SOD SUCCINATE 100 MG SOLR 1 EACH VIAL	hydrocortisone sodium succinate 100_mg solution 1 each vial	Pharmacy	vial	100_mg	solution	sodium
HYDROCORTISONE SODIUM SUCCINATE PF 100 MG SOLR	hydrocortisone sodium succinate partial_fill 100_mg solution	OR / Anesthesia / Recovery Room	pf	100_mg	solution	sodium
HYDROCORTISONE SS 100MG INJ	hydrocortisone ss 100_mg injection	Pharmacy	hydrocortisone	ss	100_mg	inj
HYDROCORTISONE SUSPENSION 2 WCH00-0010-64	hydrocortisone suspension 2 wch00 10 64	Pharmacy	hydrocortisone	suspension	wch00	
HYDROGEN PEROXIDE 16 OZ.	hydrogen peroxide 16 ounce	Supply	peroxide	ounce	hydrogen	
HYDROGEN PEROXIDE 3 % SOLN 473 ML BOTTLE	hydrogen peroxide 3% solution 473_ml bottle	Pharmacy	soln	bottle		
HYDROGEN PEROXIDE 8OZ	hydrogen peroxide 8oz	OR / Anesthesia / Recovery Room	peroxide	8oz	hydrogen	
HYDROMO	hydromorph	Laboratory	hydromorph			
HYDROMOR 1MG/ML PCA	hydromorphone 1_mg/ml patient_controlled_analgesia	OR / Anesthesia / Recovery Room	hydromorph	patient_controlled_analgesia	1_mg/ml	
HYDROMOR 4MG-2MG/ML 1ML PCA	hydromorph 4_mg 2_mg/ml 1_ml patient_controlled_analgesia	Pharmacy	1_ml	pca	4_mg	
HYDROMORP4MG IJ	hydromorp4_mg injection	Pharmacy	ij	hydromorp4_mg		
HYDROMORPH 2 MG INJ	hydromorphone 2_mg injection	Pharmacy	hydromorphone	inj	2_mg	
HYDROMORPH UP TO 4MG	hydromorphone up to 4_mg	OR / Anesthesia / Recovery Room	hydromorphone	4_mg	up	to
HYDROMORPHONE (DILAUDID)	hydromorphone dilaudid	Pharmacy	hydromorphone	dilaudid		
HYDROMORPHONE (PF) 2 MG/ML SOLN	hydromorphone partial_fill 2_mg/ml solution	OR / Anesthesia / Recovery Room	hydromorphone	2_mg/ml	soln	partial_fill
HYDROMORPHONE (PRESERVATIVE FREE) 1 MG/ML SOLN 1 ML AMPULE	hydromorphone preservative free 1_mg/ml solution 1_ml ampule	Pharmacy	hydromorphone	1_ml	ampule	soln
HYDROMORPHONE 0.5 MG/0.5ML SYR	hydromorphone 0.5_mg/0.5_ml syringe	Pharmacy	syr	hydromorphone	0.5_mg/0.5_ml	
HYDROMORPHONE 0.5MG/0.5	hydromorphone 0.5_mg/0.5	Pharmacy	hydromorphone	0.5_mg/0.5		
HYDROMORPHONE 0.5MG/0.5ML INJ SYRINGE	hydromorphone 0.5_mg/0.5_ml injection syringe	Pharmacy	syringe	hydromorphone	inj	0.5_mg/0.5_ml
HYDROMORPHONE 1 MG/1 ML INJ	hydromorphone 1_mg/1_ml injection	OR / Anesthesia / Recovery Room	hydromorphone	inj	1_mg/1_ml	NULL
HYDROMORPHONE 1 MG/1ML INJECTIO	hydromorphone 1_mg/1_ml injectio	Pharmacy	hydromorphone	1_mg/1_ml	injectio	
HYDROMORPHONE 1 MG/5 ML SYRINGE	hydromorphone 1_mg/5_ml syringe	Pharmacy	syringe	hydromorphone	1_mg/5_ml	
HYDROMORPHONE 1 MG/ML S	hydromorphone 1_mg/ml s	OR / Anesthesia / Recovery Room	hydromorphone	s	1_mg/ml	
HYDROMORPHONE 1 MG/ML SOLN	hydromorphone 1_mg/ml solution	OR / Anesthesia / Recovery Room	hydromorphone	soln	1_mg/ml	NULL
HYDROMORPHONE 1 MG/ML SOLN 0409-1283-31	hydromorphone 1_mg/ml solution 409 1283 31	Pharmacy	hydromorphone	soln	1_mg/ml	
HYDROMORPHONE 1 MG/ML SOLN 30 ML SYRINGE	hydromorphone 1_mg/ml solution 30_ml syringe	Pharmacy	syringe	hydromorphone	30_ml	soln
HYDROMORPHONE 1MG INJ SYR	hydromorphone 1_mg injection syringe	Pharmacy	1_mg	hydromorphone	inj	syr
HYDROMORPHONE 1MG/1ML INJ SYR - DILAUD	hydromorphone 1_mg/1_ml injection syringe dilaudid	Pharmacy	syr	hydromorphone	inj	
HYDROMORPHONE 1MG/ML 1ML SYR	hydromorphone 1_mg/ml 1_ml syringe	OR / Anesthesia / Recovery Room	syr	hydromorphone	1_ml	1_mg/ml
HYDROMORPHONE 1MG/ML C	hydromorphone 1_mg/ml c	Pharmacy	hydromorphone	c	1_mg/ml	
HYDROMORPHONE 1MG/ML C	hydromorphone 1_mg/ml cap	Pharmacy	hydromorphone	cap	1_mg/ml	
HYDROMORPHONE 1MG/ML INJ	hydromorphone 1_mg/ml injection	OR / Anesthesia / Recovery Room	hydromorphone	inj	1_mg/ml	
HYDROMORPHONE 1MG/ML S	hydromorphone 1_mg/ml s	Pharmacy	hydromorphone	1_mg/ml		
HYDROMORPHONE 2 MG INJ	hydromorphone 2_mg injection	OR / Anesthesia / Recovery Room	hydromorphone	injection	2_mg	
HYDROMORPHONE 2 MG INJ	hydromorphone 2_mg injection	Pharmacy	hydromorphone	injection	2_mg	
MRI BRAIN WO CONTRAST	magnetic_resonance_imagery brain without contrast	OR / Anesthesia / Recovery Room	brain	without	mri	contrast
MRI BRAIN WO/W CONTRAST	magnetic_resonance_imagery brain without/with contrast	OR / Anesthesia / Recovery Room	brain	without	with	mri
MRI CERVICAL SPINE	magnetic_resonance_imagery cervical spine	OR / Anesthesia / Recovery Room	spine	cervical	mri	
MRI CERVICAL SPINE W & WO	magnetic_resonance_imagery cervical spine with and_insert without	Radiology	spine	without	mri	
MRI CERVICAL SPINE W/CONT	magnetic_resonance_imagery cervical spine w cont	Radiology	spine	cont	mri	
MRI CERVICAL SPINE W/O &	magnetic_resonance_imagery cervical spine without and_insert	Radiology	spine	without	mri	
MRI CERVICAL SPINE W/O CONTRAST	magnetic_resonance_imagery cervical spine without contrast	Radiology	spine	without	mri	contrast
MRI CERVICAL SPINE WO CON	magnetic_resonance_imagery cervical spine without conc	Radiology	spine	without	mri	
MRI L-SPINE W	magnetic_resonance_imagery liter spine with	Supply	spine	liter	mri	
