cleaned_descrip,NORM_DESC,CHRG_CLS,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Voted Output,Voting Algorithm,Confidence Score
ISOSORBIDE DINITRATE 20,isosorbide dinitrate 20,Pharmacy,Pharmacy,0.961252369859,1,Pharmacy,0.999746194564,1,Pharmacy,0.97,1,Pharmacy,0.95,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.970249641106
ISOSORBIDE DINITRATE 20,isosorbide dinitrate 20,Pharmacy,Pharmacy,0.915852521489,1,Pharmacy,0.997939753617,1,Pharmacy,0.97,1,Pharmacy,0.95,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.958448068777
IV 0.9% NACL 100 ML,intravenous 0.9% sodium_chloride 100_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.921917444075,1,Diluent / Flush / Irrigant,0.999845084243,1,Diluent / Flush / Irrigant,0.98,1,Diluent / Flush / Irrigant,0.94,1,Diluent / Flush / Irrigant,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.96044063208
IV ACCESS VALVE,intravenous access valve,Supply,Supply,0.905074424467,1,Supply,0.906973691069,1,Supply,0.69,1,Laboratory,0.39,0,Supply,"DeepNN, Logistic_OvR, DLevenshtein",0.834016038512
IV COMBINED SUPPLIES,intravenous combined supplies,Supply,Supply,0.96,1,Supply,0.997616074486,1,Supply,0.74,1,Supply,0.88,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.894404018622
IV D5W 250 ML,intravenous dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.955053000873,1,Diluent / Flush / Irrigant,0.999838646985,1,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.988722911965
IV D5W 50 ML,intravenous dextrose_5%_in_water 50_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.928363606218,1,Diluent / Flush / Irrigant,0.999361325734,1,Diluent / Flush / Irrigant,0.97,1,Diluent / Flush / Irrigant,0.9,1,Diluent / Flush / Irrigant,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.949431232988
IV EXTENSION Y TYPE,intravenous extension type,Supply,Supply,0.928206874107,1,Supply,0.984587230339,1,Radiology,0.71,0,Supply,0.81,1,Supply,"DeepNN, Logistic_OvR, Jaro",0.907598034815
IV INFUSION TX PROPH DX INIT UP TO,intravenous_infusion treatment prophylactic diagnostic initial,Nursing Services,Nursing Services,0.92,1,Nursing Services,0.998869358107,1,Capital Equipment,0.78,0,Nursing Services,0.48,1,Nursing Services,"DeepNN, Logistic_OvR, Jaro",0.799623119369
IV INFUSION W SAME MED SEQUENTIAL ED,intravenous_infusion medication sequential emergency_department,Nursing Services,Nursing Services,0.76,1,Nursing Services,0.995417632555,1,Nursing Services,0.74,1,Nursing Services,0.81,1,Nursing Services,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.826354408139
IV PLASMALYTE A 2B2544,intravenous plasmalyte 2b2544,Pharmacy,Supply,0.92,0,Nursing Services,0.481421732256,0,Blood Products,0.74,1,Blood Products,0.42,1,Blood Products,"DLevenshtein, Jaro",0.29
IV PUMP SET MICROBOR,intravenous pump set microbore,Supply,Supply,0.92,1,Supply,0.824475941999,1,Capital Equipment,0.78,0,Supply,0.81,1,Supply,"DeepNN, Logistic_OvR, Jaro",0.851491980666
IV SET 30 SECONDARY,intravenous set 30 secondary,Supply,Supply,0.96,1,Supply,0.998395530796,1,Supply,0.91,1,Supply,0.93,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.949598882699
IV SET 30 SECONDARY,intravenous set 30 secondary,Supply,Supply,0.559160629673,1,Supply,0.845902663048,1,Supply,0.91,1,Supply,0.93,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.81126582318
IV START KIT W/DRSG,intravenous start kit dressing,Supply,Supply,0.974070801712,1,Supply,0.999971073073,1,Supply,0.88,1,Supply,0.88,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.933510468696
IV T CONNECT,intravenous tab connect,Supply,Supply,0.96,1,Supply,0.983530847485,1,Radiology,0.76,0,Supply,0.81,1,Supply,"DeepNN, Logistic_OvR, Jaro",0.917843615828
IV TUBING EXT SET W/.22 MICRON,intravenous tubing extension set 0.22 micron,Supply,Supply,0.985496183997,1,Supply,0.999999701375,1,Radiology,0.7,0,Supply,0.44,1,Supply,"DeepNN, Logistic_OvR, Jaro",0.808498628457
JANTOVEN 2 MG TABLET,jantoven 2_mg tablet,Pharmacy,Pharmacy,0.966565454506,1,Pharmacy,0.999278338026,1,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.936460948133
K DUR 20 TAB,potassium chloride 20 tablet,Pharmacy,Pharmacy,0.982379308444,1,Pharmacy,0.999997527688,1,Pharmacy,0.67,1,Pharmacy,0.38,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.758094209033
K DUR 20MEQ TABLET,potassium dur 20_meq tablet,Pharmacy,Pharmacy,0.983311061358,1,Pharmacy,0.99999426794,1,Pharmacy,0.71,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.875826332325
K DUR 20MEQ TABLET,potassium dur 20_meq tablet,Pharmacy,Pharmacy,0.981324533424,1,Pharmacy,0.999977039766,1,Pharmacy,0.71,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.875325393297
K FLOW/FUNCT IMAGE W/O DRUG,k flow function image without drug,Radiology,Laboratory,0.482516537034,1,Radiology,0.900037313491,0,Pharmacy,0.69,0,Laboratory,0.3,1,Laboratory,"DeepNN, Jaro",0.195629134259
K V FEED SYSTEM,potassium view feed system,Supply,Supply,0.494048883829,1,Supply,0.604237494335,1,Supply,0.7,1,Supply,0.42,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.554571594541
KEPPRA 500MG,keppra 500 mg,Pharmacy,Pharmacy,0.962325614021,1,Pharmacy,0.998362238493,1,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.965171963128
KETAMINE 10 MG/ML INJECTION SOLUTION,ketamine 10_mg/ml injection solution,Pharmacy,Pharmacy,0.978789680811,1,Pharmacy,0.99896415934,1,Pharmacy,0.85,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.946938460038
KETAMINE 10 MG/ML SOLN 20 ML VIAL,ketamine 10_mg/ml solution 20_ml vial,Pharmacy,Pharmacy,0.989957226941,1,Pharmacy,0.999693847932,1,Pharmacy,0.91,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.964912768718
KETAMINE 10 MG/ML SOLN 20 ML VIAL,ketamine 10_mg/ml solution 20_ml vial,Pharmacy,Pharmacy,0.988609915069,1,Pharmacy,0.999810986343,1,Pharmacy,0.91,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.964605225353
KETAMINE 10MG/ML SOLN CICU/PICU,ketamine 10 mg ml solution critical intensive_care_unit pediatric intensive_care_unit,Pharmacy,Pharmacy,0.983587241214,1,Pharmacy,0.998585333617,1,Pharmacy,0.89,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.938043143708
KETAMINE 500MG/5ML,ketamine 500_mg/5_ml,Pharmacy,Pharmacy,0.979722086784,1,Pharmacy,0.999934964175,1,Pharmacy,0.91,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.96241426274
KETOROLAC 15MG/ML INJ,ketorolac 15_mg/ml injection,Pharmacy,Pharmacy,0.978633815403,1,Pharmacy,0.99891607666,1,Pharmacy,0.95,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.971887473016
KETOROLAC 15MG/ML INJ,ketorolac 15_mg/ml injection,Pharmacy,Pharmacy,0.981642610143,1,Pharmacy,0.998236085055,1,Pharmacy,0.95,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.972469673799
KETOROLAC TORADOL INJECTION 30 MG,ketorolac toradol injection 30_mg,Pharmacy,Pharmacy,0.980632029033,1,Pharmacy,0.999540856688,1,Laboratory,0.74,0,Diluent / Flush / Irrigant,0.81,0,Pharmacy,"DeepNN, Logistic_OvR",0.49504322143
KIT BREAST PUMP ONE HAND DU,kit breast pump one hand dual,Supply,Capital Equipment,0.535843748018,0,Supply,0.965829034582,1,Supply,0.74,1,Supply,0.41,1,Supply,"Logistic_OvR, DLevenshtein, Jaro",0.705276344861
KIT BREAST PUMP ONE HAND DU,kit breast pump one hand dual,Supply,Supply,0.58634156543,1,Supply,0.990692937453,1,Supply,0.74,1,Supply,0.41,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.681758625721
KIT CATH FOLEY PLUS U/M 16FR,kit catheter foley plus u m 16_french,Supply,Supply,0.958159890077,1,Supply,0.999996099642,1,Supply,0.76,1,Supply,0.81,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.88203899743
KIT CATH OD5.0FR URIN CATH CLS,kit catheter od5.0fr urine catheter cls,Supply,Supply,0.990186459653,1,Supply,0.999999805922,1,Supply,0.96,1,Supply,0.92,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.967546566394
KIT DRAIN CLSD VENT CIRCUIT,kit drain closed ventilator circuit,Supply,Supply,0.954303703602,1,Supply,0.999978903349,1,Supply,0.71,1,Supply,0.48,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.786070651738
KIT DRAIN CLSD VENT CIRCUIT,kit drain closed ventilator circuit,Supply,Supply,0.948949436948,1,Supply,0.999952314333,1,Supply,0.71,1,Supply,0.48,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.78472543782
KIT DRSG CEN,kit dressing central,Supply,Supply,0.971622069778,1,Supply,0.999994486933,1,Supply,0.85,1,Supply,0.81,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.907904139178
KIT DRSG CHANGE PWR GLIDE,kit dressing change power glide,Supply,Supply,0.971917917664,1,Supply,0.999998842004,1,Supply,0.85,1,Supply,0.93,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.937979189917
KIT FECAL MGMT SYSTEM FLEXISE 7606 ,kit fecal management system flexise 7606,Supply,Supply,0.951193321459,1,Supply,0.996807498061,1,Supply,0.72,1,Respiratory Therapy,0.31,0,Supply,"DeepNN, Logistic_OvR, DLevenshtein",0.889333606507
KIT FOLEY CATH,kit foley catheter,Supply,Supply,0.965795855672,1,Supply,0.999999190522,1,Supply,0.76,1,Supply,0.81,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.883948761548
KIT FOLEY CATH,kit foley catheter,Supply,Supply,0.965795855672,1,Supply,0.999999190522,1,Supply,0.76,1,Supply,0.81,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.883948761548
KIT GASTMY M KEY SIL L.8CM OD1,kit gastrostomy mic key silicone length .8cm od1,Supply,Supply,0.98434965611,1,Supply,0.999992987412,1,Supply,0.93,1,Supply,0.96,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.968585660881
KIT GASTMY M KEY SIL L1CM OD14,kit gastrostomy mic key silicone length 1cm od,Supply,Supply,0.984632014873,1,Supply,0.999994173592,1,Supply,0.94,1,Supply,0.96,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.971156547116
KIT HUB ENTRY/CAP CHANGE,kit hub entry cap change,Supply,Supply,0.950172516994,1,Supply,0.999977553126,1,Supply,0.75,1,Supply,0.43,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.78253751753
KIT HUB ENTRY/CAP CHANGE,kit hub entry cap change,Supply,Supply,0.950172516994,1,Supply,0.999977553126,1,Supply,0.75,1,Supply,0.43,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.78253751753
KIT IV 3 4 YR PREOP,kit intravenous 3 4 years preoperative,Supply,Supply,0.959117772989,1,Supply,0.999534198772,1,Supply,0.87,1,Supply,0.93,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.93966299294
KIT IV INF 7 MNTH 2 YR PREOP,kit intravenous_infusion 7 month 2 years preoperative,Supply,Supply,0.920708987364,1,Supply,0.994415115997,1,Supply,0.85,1,Supply,0.88,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.91128102584
KIT MULTI LUMEN 4 FR,kit multiple lumen 4 fr,Supply,Supply,0.961158075629,1,Supply,0.999984963038,1,Supply,0.72,1,Supply,0.44,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.780285759667
KIT ORAL CARE 2 4 HR SMALL,kit oral care 24 hour small,Supply,Supply,0.959209659099,1,Supply,0.999935930763,1,Supply,1.0,1,Supply,1.0,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.989786397465
KIT ORAL CLE,kit oral clean,Supply,Supply,0.973566431874,1,Supply,0.999983473615,1,Supply,0.85,1,Supply,0.81,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.908387476372
KIT PERCUTANEOUS 8.0 BLUERHINO,kit percutaneous 8 bluerhino,Supply,Supply,0.944897806365,1,Supply,0.987915727818,1,Supply,0.98,1,Supply,0.96,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.968203383546
KIT PIV SECUREMENT INFANT,kit pivot securement infant,Supply,Supply,0.961142429573,1,Supply,0.999998221881,1,Supply,0.85,1,Supply,0.88,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.922785162864
KIT PIV SECUREMENT INFANT,kit pivot securement infant,Supply,Supply,0.961142429573,1,Supply,0.999998221881,1,Supply,0.85,1,Supply,0.88,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.922785162864
KIT TOOL SURG.PUMP HVAD,kit tool surgical pump hvad,Capital Equipment,Supply,0.76,1,Supply,0.998758490531,1,Supply,0.69,1,Supply,0.35,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.699689622633
KIT TRANSPAC IV TRIFU,kit transpac intravenous trifuse,Supply,Supply,0.942566066812,1,Supply,0.999361046718,1,Monitoring,0.78,0,Supply,0.48,1,Supply,"DeepNN, Logistic_OvR, Jaro",0.807309037843
KIT WILSON FRAME,kit wilson frame,Supply,Supply,0.92,1,Supply,0.985375059797,1,Supply,0.71,1,Supply,0.43,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.761343764949
KNIFE MICRO 00 0152,knife micro 00 0152,Supply,Supply,0.955613469597,1,Supply,0.998682451984,1,Pharmacy,0.67,0,Supply,0.38,1,Supply,"DeepNN, Logistic_OvR, Jaro",0.778098640527
LAB ABSCN,laboratory antibody screen,Laboratory,Laboratory,0.971826353479,1,Laboratory,0.999840097839,1,Laboratory,0.75,1,Laboratory,0.4,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.780416612829
LAB SODIUM WHOLE BLOOD ,laboratory sodium whole blood,Laboratory,Laboratory,0.95945221251,1,Laboratory,0.987551918193,1,Laboratory,0.87,1,Laboratory,0.88,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.924251032676
LACOSAMIDE 200 MG/20 ML SO,lacosamide 200_mg/20_ml solution,Pharmacy,Pharmacy,0.978404849796,1,Pharmacy,0.999795058898,1,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.927049977173
LACTATE BLOOD GAS ,lactate blood_gas,Laboratory,Laboratory,0.962408010048,1,Laboratory,0.999823423606,1,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.963057858414
LACTATE LACTIC ACID,lactate lactic acid,Laboratory,Laboratory,0.96,1,Laboratory,0.795995386693,1,Laboratory,0.98,1,Laboratory,0.94,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.918998846673
LACTATE LACTIC ACID ,lactate lactic acid,Laboratory,Laboratory,0.96,1,Laboratory,0.795995386693,1,Laboratory,0.98,1,Laboratory,0.94,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.918998846673
LACTATE POCT,lactate point_of_care_testing,Monitoring,Monitoring,0.92,1,Monitoring,0.999212206468,1,Laboratory,0.88,0,Laboratory,0.93,0,Monitoring,"DeepNN, Logistic_OvR",0.479803051617
LACTATED RINGERS INTRAVENOUS SOLUTION,lactated_ringers intravenous solution,Pharmacy,Pharmacy,0.931901299624,1,Pharmacy,0.99745344815,1,Pharmacy,0.85,1,Diluent / Flush / Irrigant,0.88,0,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein",0.926451582591
LACTATED RINGERS INTRAVENOUS SOLUTION,lactated_ringers intravenous solution,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.997196863333,1,Pharmacy,0.85,1,Diluent / Flush / Irrigant,0.88,0,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein",0.935732287778
LACTATED RINGERS SOL 1000ML A,lactated_ringers solution 1000 ml,Pharmacy,Pharmacy,0.975668151281,1,Pharmacy,0.999744755989,1,Pharmacy,0.95,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.971353226817
LACTATED RINGERS SOL 1000ML A,lactated_ringers solution 1000 ml,Pharmacy,Pharmacy,0.975668151281,1,Pharmacy,0.999744755989,1,Pharmacy,0.95,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.971353226817
LACTATED RINGERS SOL 1000ML A,lactated_ringers solution 1000 ml,Pharmacy,Pharmacy,0.977289315822,1,Pharmacy,0.999745742956,1,Pharmacy,0.95,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.971758764695
LACTATED RINGERS SOL 1000ML A,lactated_ringers solution 1000 ml,Pharmacy,Pharmacy,0.977289315822,1,Pharmacy,0.999745742956,1,Pharmacy,0.95,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.971758764695
LACTATED RINGERS SOL 100OML A,lactated_ringers solution 1000ml,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.998222523829,1,Pharmacy,0.92,1,Pharmacy,0.92,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.949555630957
LACTIC ACID BG SYRINGE,lactic acid blood_gas syringe,Monitoring,Laboratory,0.95719380607,1,Laboratory,0.987366845451,1,Laboratory,0.85,1,Laboratory,0.81,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.90114016288
LACTULOSE SYRUP 10G/15ML 240ML,lactulose syrup 10 g/15 ml 240 ml,Pharmacy,Pharmacy,0.987784595075,1,Pharmacy,0.991591958546,1,Pharmacy,0.85,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.909844138405
LDH BLOOD,lactic_dehydrogenase blood,Laboratory,Laboratory,0.965877418463,1,Laboratory,0.979513970952,1,Laboratory,0.85,1,Laboratory,0.88,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.918847847354
LDH BLOOD,lactic_dehydrogenase blood,Laboratory,Laboratory,0.965877418463,1,Laboratory,0.979513970952,1,Laboratory,0.85,1,Laboratory,0.88,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.918847847354
LEAD PACE NOVUS CAPSUREFIX 5076 52CM,lead pace novus capsurefix 5076 52cm,Implant,Implant,0.530965201128,0,Supply,0.479081495087,1,Supply,0.7,1,Supply,0.35,1,Supply,"Logistic_OvR, DLevenshtein, Jaro",0.509693831696
LEUTINIZING HORMONE/5,leutinizing hormone/5,Laboratory,Laboratory,0.915316743414,1,Laboratory,0.998596901193,1,Laboratory,0.72,1,Laboratory,0.81,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.860978411152
LEVEL 2 ROOM & BOARD SEMI PRIVATE 2 BEDS ,level 2 room & board semi private 2 beds,Room and Board,Room and Board,0.925243366721,1,Room and Board,0.999997901323,1,Room and Board,0.73,1,Room and Board,0.88,1,Room and Board,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.883810317011
LEVEL 4 PATHOLOGY SPECIMEN,level 4 pathology specimen,Laboratory,Laboratory,0.92,1,Laboratory,0.991918537638,1,Professional Fee,0.7,0,Professional Fee,0.48,0,Laboratory,"DeepNN, Logistic_OvR",0.47797963441
LEVEL IV SURG PATH GROS,level 4 surgical pathology gross,Laboratory,Laboratory,0.96,1,Laboratory,0.998967491246,1,Laboratory,0.96,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.969741872812
LEVETIRACETAM 100MG/ML SOLN,levetiracetam 100 mg ml solution,Pharmacy,Pharmacy,0.987108784535,1,Pharmacy,0.988990261351,1,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.994024761472
LEVETIRACETAM 250 MG TAB,levetiracetam 250_mg tablet,Pharmacy,Pharmacy,0.985892502068,1,Pharmacy,0.999980212703,1,Pharmacy,0.93,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.961468178693
LEVETIRACETAM 250 MG TAB,levetiracetam 250_mg tablet,Pharmacy,Pharmacy,0.983040744577,1,Pharmacy,0.999866073511,1,Pharmacy,0.93,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.960726704522
LEVOCARNITINE 1GM/5ML INJ,levocarnitine 1_gm/5_ml injection,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.992578581018,1,Pharmacy,0.91,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.948144645254
LEVOFLOXACIN 500 MG/20 ML VIAL,levofloxacin 500 mg/20 ml vial,Pharmacy,Pharmacy,0.986764552886,1,Pharmacy,0.999952245146,1,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.929179199508
LEVOFLOXACIN/D5W 500MG/100ML IV SOLUT,levofloxacin dextrose 5% water 500 mg/100 ml intravenous solution,Pharmacy,Pharmacy,0.944384980284,1,Pharmacy,0.992461966168,1,Pharmacy,0.95,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.961711736613
LEVOTHYROX 175MCG 0.175 MG TAB,levothyroxine 175mcg 0.175_mg tablet,Pharmacy,Pharmacy,0.985293011717,1,Pharmacy,0.999820387006,1,Pharmacy,0.85,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.911278349681
LEVOTHYROXINE 50 MCG TABS,levothyroxine 50 microgram tablets,Pharmacy,Pharmacy,0.985672542459,1,Pharmacy,0.999969317989,1,Pharmacy,0.97,1,Pharmacy,0.91,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.966410465112
LEVOTHYROXINE 50 MCG TABS,levothyroxine 50 microgram tablets,Pharmacy,Pharmacy,0.985892973549,1,Pharmacy,0.999918748536,1,Pharmacy,0.97,1,Pharmacy,0.91,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.966452930521
LIDOCAINE 1% 20 ML INJ,lidocaine 1% 20_ml injection,Pharmacy,Pharmacy,0.91738174796,1,Pharmacy,0.990861377435,1,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.949560781349
LIDOCAINE 1% 20 ML INJ,lidocaine 1% 20_ml injection,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.952242056264,1,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.950560514066
LIDOCAINE 1% 20 ML INJ,lidocaine 1% 20_ml injection,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.966908858864,1,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954227214716
LIDOCAINE 1% 50ML,lidocaine 1% 50_ml,Pharmacy,Pharmacy,0.94267218357,1,Pharmacy,0.985491321531,1,Pharmacy,0.88,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.934540876275
LIDOCAINE 1% PF 20ML ,lidocaine 1% preservative free 20 ml,Pharmacy,Pharmacy,0.985811085169,1,Pharmacy,0.999972822505,1,Pharmacy,0.88,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.948945976919
LIDOCAINE 20MG/ML INJ 5ML ,lidocaine 20 mg ml injection 5 ml,Pharmacy,Pharmacy,0.996084567028,1,Pharmacy,0.999990760903,1,Pharmacy,0.86,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.946518831983
LIDOCAINE 4% SOL TOP 50ML LIDOCAINE HCL 4% TOPICAL 50 ML BOTT,lidocaine 4% solution topical 50_ml lidocaine hydrochloride 4% topical 50_ml bottle,Pharmacy,Pharmacy,0.949856046129,1,Pharmacy,0.999095984015,1,Pharmacy,0.74,1,Pharmacy,0.38,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.767238007536
LIDOCAINE PER 10 MG,lidocaine per 10_mg,Pharmacy,Pharmacy,0.977896242149,1,Pharmacy,0.999962851196,1,Pharmacy,0.88,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954464773336
LIDOCAINE PER 10 MG,lidocaine per 10_mg,Pharmacy,Pharmacy,0.984004797691,1,Pharmacy,0.999996101908,1,Pharmacy,0.88,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.9560002249
LIDOCAINE PER 10 MG,lidocaine per 10_mg,Pharmacy,Pharmacy,0.97959271171,1,Pharmacy,0.999955335113,1,Pharmacy,0.88,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954887011706
LINE ALARIS LIPID TUBING W/LNJECTION SITE,line alaris lipid tubing w injection site,Supply,Supply,0.930457137625,1,Supply,0.998324670712,1,Respiratory Therapy,0.7,0,Supply,0.39,1,Supply,"DeepNN, Logistic_OvR, Jaro",0.772927269446
