descrip	cleaned_descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
IOHEXOL 240 MG/ML SOLN 0407 - 1412 - 30	IOHEXOL 240 MG/ML SOLN 0407 1412 30	Pharmacy	50	255.65	5.113	iohexol 240 mg/ml solution 0407 1412 30	Pharmacy
IOHEXOL 300 MG/ML SOLUTION	IOHEXOL 300 MG/ML SOLUTION	Pharmacy	1	38.93	38.93	iohexol 300_mg/ml solution	Pharmacy
HB IOM MEP UPPER & LOWER E	IOM MEP UPPER & LOWER E	Other Diagnostic Services	1	2772	2772	intraoperative_monitoring motor_evoked_potential upper and lower extremity	Procedure
ION CA DIALYSIS	ION CA DIALYSIS	Laboratory	1	209	209	ionized calcium dialysis	Laboratory
"HC IONIZED CA, POC"	IONIZED CA POC	Laboratory	1	119	119	ionized calcium point_of_care	Monitoring
IONIZED CALCIUM	IONIZED CALCIUM	Hospice Services	1	134	134	ionized calcium	Laboratory
HB IONIZED CALCIUM	IONIZED CALCIUM	Laboratory	1	146	146	ionized calcium	Laboratory
IONIZED CALCIUM ISTAT	IONIZED CALCIUM ISTAT	Laboratory	1	199	199	ionized calcium istat	Laboratory
IONIZED CALCIUM (PNL)	IONIZED CALCIUM PNL 	Laboratory	1	223	223	ionized calcium panel	Laboratory
"IONIZED CALCIUM, POCT"	IONIZED CALCIUM POCT	Laboratory	1	143	143	ionized calcium point_of_care_testing	Monitoring
IONIZED CALICUM	IONIZED CALICUM	Laboratory	1	229	229	ionized calcium	Laboratory
IOPAMIDOL 41% SOLN	IOPAMIDOL 41% SOLN	Drugs Requiring Detailed Coding	10	1.53	0.153	iopamidol 41% solution	Pharmacy
IOPAMIDOL PER 1 ML	IOPAMIDOL PER 1 ML	Drugs Requiring Detailed Coding	75	93.99	1.275517241	iopamidol per 1_ml	Pharmacy
IOPAMIDOL PER 1 ML	IOPAMIDOL PER 1 ML	Pharmacy	75	39.31	0.397	iopamidol per 1_ml	Pharmacy
IOPAMIDOL PER 1 ML	IOPAMIDOL PER 1 ML	Radiology	75	168.05	2.4375	iopamidol per 1_ml	Pharmacy
HB IOVERSOL 240 MG/ML VIAL 50ML	IOVERSOL 240 MG/ML VIAL 50ML	Pharmacy	15	64.01	4.267333333	ioversol 240 mg/ml vial 50 ml	Pharmacy
HB IOVERSOL 350 MG/ML VIAL  100ML	IOVERSOL 350 MG/ML VIAL 100ML	Pharmacy	52	267.99	5.153207547	ioversol 350 mg/ml vial 100 ml	Pharmacy
IP ACUTE HEMODIALYSIS 12-19YRS	IP ACUTE HEMODIALYSIS 12 19YRS	Preventive Care Services	1	2323	2323	inpatient acute hemodialysis 12 19yrs	Dialysis
IP COUGH STIMULATING INITIA	IP COUGH STIMULATING INITIA	Respiratory Services	1	182	182	inpatient cough stimulating initial	Respiratory Therapy
IP COUGH STIMULATING THERAP	IP COUGH STIMULATING THERAP	Respiratory Services	1	95	95	inpatient cough stimulating therapy	Respiratory Therapy
IP - WOUND CARE VISIT	IP WOUND CARE VISIT	Implant/Supply	1	0	0	inpatient wound care visit	Nursing Services
IPPB INITTAL	IPPB INITTAL	Respiratory Services	1	165	165	intermittent_positive_pressure_breathing initial	Respiratory Therapy
IPRATROPIUM 0.5 MG /2.5	IPRATROPIUM 0.5 MG /2.5	Drugs Requiring Detailed Coding	1	1	1	ipratropium 0.5_mg/2.5	Pharmacy
IPRATROPIUM 0.5 MG /2.5	IPRATROPIUM 0.5 MG /2.5	Pharmacy	1	1	1	ipratropium 0.5_mg/2.5	Pharmacy
IPRATROPIUM 0.5MG/2.5ML SOLN UD	IPRATROPIUM 0.5MG/2.5ML SOLN UD	Pharmacy	1	56.6	56.6	ipratropium 0.5_mg/2.5_ml solution ud	Pharmacy
IPRATROPIUM - ALBUTEROL 0.5 - 2.5 (3) MG/3ML SOLN	IPRATROPIUM ALBUTEROL 0.5 2.5 3 MG/3ML SOLN	Pharmacy	1	15	15	ipratropium albuterol 0.5 2.5 3_mg/3_ml solution	Pharmacy
HB IR PROCEDURE RM ADDL 15 MIN	IR PROCEDURE RM ADDL 15 MIN	OR Services	2	746	397.62	interventional radiology procedure room additional 15_minutes	Procedure
HB IR PROCEDURE RM CA FIRST 15 MIN	IR PROCEDURE RM CA FIRST 15 MIN	OR Services	1	1352.75	1352.75	interventional radiology procedure room ca first 15_minutes	Procedure
HB IR PROCEDURE RM FIRST 15 MIN	IR PROCEDURE RM FIRST 15 MIN	OR Services	1	711.02	711.02	interventional radiology procedure room first 15_minutes	Radiology
HB IR PROCEDURE RM GA FIRST 15 MIN	IR PROCEDURE RM GA FIRST 15 MIN	OR Services	1	1352.75	1352.75	interventional radiology procedure room ga first 15_minutes	Procedure
HB IRG/INSULIN (TOTAL) 01	IRG/INSULIN TOTAL 01	Laboratory	4.5	660.3	147.14	irg/insulin total 1	Pharmacy
IRIS OVERLAY PAD	IRIS OVERLAY PAD	Implant/Supply	1	112	112	iris overlay pad	Supply
IRON	IRON	Implant/Supply	1	107	107	iron	Laboratory
HB IRON	IRON	Laboratory	1	93	93	iron	Laboratory
HB IRON *	IRON 	Laboratory	1	97	97	iron	Laboratory
HC IRON BINDING CAPACITY TOTAL	IRON BINDING CAPACITY TOTAL	Laboratory	1	77	77	iron binding capacity total	Laboratory
HB IRON BLOOD	IRON BLOOD	Laboratory	1	92	92	iron blood	Laboratory
IRON BLOOD *	IRON BLOOD 	Laboratory	1	69	69	iron blood	Laboratory
IRON ELEMENTAL 15MG/ML	IRON ELEMENTAL 15MG/ML	Drugs Requiring Specific Identification	1	3	3	iron elemental 15_mg/ml	Pharmacy
IRON ELEMENTAL 15MG/ML	IRON ELEMENTAL 15MG/ML	Outpatient or Home	1	2.75	2.75	iron elemental 15_mg/ml	Pharmacy
IRON SUCROSE 20 MG/ML SOLN	IRON SUCROSE 20 MG/ML SOLN	Drugs Requiring Detailed Coding	200	486.75	2.8875	iron sucrose 20_mg/ml solution	Pharmacy
IRON SUCROSE 20 MG/ML SOLN	IRON SUCROSE 20 MG/ML SOLN	Pharmacy	100	152.9	1.552	iron sucrose 20_mg/ml solution	Pharmacy
IRRADIATION PROCESS	IRRADIATION PROCESS	Laboratory	1	280	280	irradiation process	Blood Products
IRRADIATION PROCESSING	IRRADIATION PROCESSING	Blood	1	130	130	irradiation processing	Blood Products
IRRADIATION PROCESSING	IRRADIATION PROCESSING	Laboratory	1	82	82	irradiation processing	Blood Products
HC IRRIGATION TRAY 70CC	IRRIGATION TRAY 70CC	Implant/Supply	1	4.22	4.22	irrigation tray 70_cc	Supply
ISCHEMIC SENSOR	ISCHEMIC SENSOR	Implant/Supply	1	600	600	ischemic sensor	Supply
HB ISLET CELL ANTIBODY	ISLET CELL ANTIBODY	Laboratory	1	162	162	islet cell antibody	Laboratory
ISO HEMAGLUTININ TITER	ISO HEMAGLUTININ TITER	Blood	1	208	208	iso hemagglutinin titer	Laboratory
ISOAGGLUTININ TITER	ISOAGGLUTININ TITER	Laboratory	1	80	80	isoagglutinin titer	Laboratory
HC ISOFLURANE PER HOUR	ISOFLURANE PER HOUR	Implant/Supply	4	380	95	isoflurane per hour	Pharmacy
HC ISOLATION SUPPLIES	ISOLATION SUPPLIES	Implant/Supply	1	219.78	219.78	isolation supplies	Supply
HC ISOLATION SUPPLY NON-PATIENT ROOM	ISOLATION SUPPLY NON PATIENT ROOM	Implant/Supply	1	96	96	isolation supply non patient room	Supply
HB ISOLATION WITH N95 MASK	ISOLATION WITH N95 MASK	Implant/Supply	1	682.75	682.75	isolation with n95 mask	Supply
HB ISOPROTERENOL 0.2MG/ML AMP	ISOPROTERENOL 0.2MG/ML AMP	Pharmacy	1	9667.84	9666.854	isoproterenol 0.2 mg/ml ampule	Pharmacy
ISOPROTERENOL IN NS (DUH EP LAB) 0.4 MG/100 ML SOLN	ISOPROTERENOL IN NS DUH EP LAB 0.4 MG/100 ML SOLN	Pharmacy	1	4057.98	4057.98	isoproterenol in normal_saline duh ep laboratory 0.4_mg/100_ml solution	Pharmacy
ISOSORBIDE DINITRATE 10	ISOSORBIDE DINITRATE 10	Drugs Requiring Specific Identification	1	5	5	isosorbide dinitrate 10	Pharmacy
ISOSORBIDE DINITRATE 10	ISOSORBIDE DINITRATE 10	Pharmacy	1	4	4	isosorbide dinitrate 10	Pharmacy
ISOSORBIDE DINITRATE 20	ISOSORBIDE DINITRATE 20	Drugs Requiring Specific Identification	2	10.8	5.4	isosorbide dinitrate 20	Pharmacy
ISOSORBIDE DINITRATE 20	ISOSORBIDE DINITRATE 20	Pharmacy	2	5.2	2.6	isosorbide dinitrate 20	Pharmacy
ISOVUE 370 - PER ML	ISOVUE 370 PER ML	Drugs Requiring Detailed Coding	75	34.125	0.39	isovue 370 per ml	Pharmacy
HC ISOVUE 370 PER ML	ISOVUE 370 PER ML	Pharmacy	100	77	0.77	isovue 370 per ml	Pharmacy
HB ISRADIPINE 2.5MG PO CAPS	ISRADIPINE 2.5MG PO CAPS	Pharmacy	1	3.69	3.69	isradipine 2.5 mg by_mouth capsule	Pharmacy
HC - ISTAT GLUCOSE	ISTAT GLUCOSE	Laboratory	1	78	78	istat glucose	Monitoring
"HC ISTAT, HCT"	ISTAT HCT	Laboratory	1	34	34	istat hematocrit	Laboratory
"HC ISTAT, K"	ISTAT K	Laboratory	1	46	46	istat potassium	Laboratory
ISUCROSE N.F. 24% SOLUTION AMP 1ML	ISUCROSE N.F. 24% SOLUTION AMP 1ML	Pharmacy	1	2	2	sucrose nf 24% solution ampule 1_ml	Pharmacy
IV 0.9% NACL 100 ML	IV 0.9% NACL 100 ML	Pharmacy	1	80	80	intravenous 0.9% sodium_chloride 100_ml	Diluent / Flush / Irrigant
IV 0.9% NACL 1000 ML	IV 0.9% NACL 1000 ML	Drugs Requiring Detailed Coding	1	80	80	intravenous 0.9% sodium_chloride 1000_ml	Diluent / Flush / Irrigant
IV 0.9% NACL 1000 ML	IV 0.9% NACL 1000 ML	Pharmacy	1	80	80	intravenous 0.9% sodium_chloride 1000_ml	Diluent / Flush / Irrigant
IV 0.9% NACL 250 ML	IV 0.9% NACL 250 ML	Pharmacy	1	80	80	intravenous 0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant
IV 0.9% NACL 50 ML	IV 0.9% NACL 50 ML	Pharmacy	1	80	80	intravenous 0.9% sodium_chloride 50_ml	Diluent / Flush / Irrigant
IV 0.9% NACL 500 ML	IV 0.9% NACL 500 ML	Drugs Requiring Detailed Coding	1.5	80	60	intravenous 0.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant
IV 0.9% NACL 500 ML	IV 0.9% NACL 500 ML	Pharmacy	1	80	80	intravenous 0.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant
IV ACCESS VALVE	IV ACCESS VALVE	Implant/Supply	1	10	5	intravenous access valve	Supply
IV ACD SOLUTION 1000ML	IV ACD SOLUTION 1000ML	Implant/Supply	1.5	77.55	51.7	intravenous anticoagulant Citrate Dextrose Solution 1000ml	Pharmacy
IV COMBINED SUPPLIES	IV COMBINED SUPPLIES	Implant/Supply	1	152	152	intravenous combined supplies	Supply
IV CONTINOUS - FLOW TUBI	IV CONTINOUS FLOW TUBI	Implant/Supply	1	61	52	intravenous continuous flow tubing	Supply
IV D5W / 0.45% NACL 1000 M	IV D5W / 0.45% NACL 1000 M	Pharmacy	2	80	40	intravenous dextrose_5%_in_water/0.45% sodium_chloride 1000 m	Pharmacy
IV D5W  100 ML	IV D5W 100 ML	Pharmacy	1	80	80	intravenous dextrose_5%_in_water 100_ml	Diluent / Flush / Irrigant
IV D5W  250 ML	IV D5W 250 ML	Pharmacy	1	80	80	intravenous dextrose_5%_in_water 250_ml	Diluent / Flush / Irrigant
IV D5W 250ML	IV D5W 250ML	IV Solutions	1	225.45	225.45	intravenous dextrose_5%_in_water 250_ml	Diluent / Flush / Irrigant
IV D5W 250ML	IV D5W 250ML	Pharmacy	1	45	45	intravenous dextrose_5%_in_water 250_ml	Diluent / Flush / Irrigant
IV D5W  50 ML	IV D5W 50 ML	Pharmacy	1	80	80	intravenous dextrose_5%_in_water 50_ml	Diluent / Flush / Irrigant
IV D5W 500 ML	IV D5W 500 ML	Pharmacy	1	80	80	intravenous dextrose_5%_in_water 500_ml	Diluent / Flush / Irrigant
IV DEX 05% 250CC	IV DEX 05% 250CC	IV Solutions	1	113	113	intravenous dextrose 05% 250_cc	Diluent / Flush / Irrigant
IV DEX 05% 250CC	IV DEX 05% 250CC	Pharmacy	1	113	113	intravenous dextrose 05% 250_cc	Diluent / Flush / Irrigant
IV DEX 05% LAC RIN 1000CC	IV DEX 05% LAC RIN 1000CC	IV Solutions	1	113	113	intravenous dextrose 05% lactated_ringers 1000_cc	Pharmacy
IV DEX 05% NACL .45% 1000	IV DEX 05% NACL .45% 1000	IV Solutions	1	113	113	intravenous dextrose 05% sodium_chloride 0.45% 1000	Diluent / Flush / Irrigant
IV EXTENSION Y TYPE	IV EXTENSION Y TYPE	Implant/Supply	2	53.16	26.58	intravenous extension y type	Supply
IV FILTER	IV FILTER	Implant/Supply	1	39.69	39.69	intravenous filter	Supply
IV HYDRAT EA ADD HR	IV HYDRAT EA ADD HR	Emergency Room	1	110	88	intravenous hydration each additional hour	Nursing Services
IV HYDRAT EA ADD HR	IV HYDRAT EA ADD HR	IV Therapy	1	316.5	194.19	intravenous hydration each additional hour	Nursing Services
IV HYDRAT EA ADD HR	IV HYDRAT EA ADD HR	Treatment/Observation Room	8	720	90	intravenous hydration each additional hour	Nursing Services
HC IV INF THER ADD HR	IV INF THER ADD HR	Emergency Room	2.5	507.5	145	intravenous_infusion therapy additional hour	Nursing Services
HC IV INF THER ADD SEQ 1ST HR	IV INF THER ADD SEQ 1ST HR	Emergency Room	2	934	467	intravenous_infusion therapy additional sequence 1st hour	Nursing Services
HC IV INF THER CONCURR (MAX 1)	IV INF THER CONCURR MAX 1 	Emergency Room	1	324	324	intravenous_infusion therapy concurrent max 1	Nursing Services
HC IV INF THER INIT 1ST HR	IV INF THER INIT 1ST HR	Emergency Room	1	573	573	intravenous_infusion therapy initial 1st hour	Nursing Services
HC IV INF THER INIT 1ST HR	IV INF THER INIT 1ST HR	IV Therapy	1	573	573	intravenous_infusion therapy initial 1st hour	Nursing Services
"IV  INFUSION,    ADDL  SEQ UP TO 1   HR"	IV INFUSION ADDL SEQ UP TO 1 HR	IV Therapy	1	215	215	intravenous_infusion additional sequential up to 1 hour	Nursing Services
HC IV INFUSION CONCURRENT ADDL MED ED	IV INFUSION CONCURRENT ADDL MED ED	Emergency Room	1	97	97	intravenous_infusion concurrent additional medication emergency_department	Nursing Services
"IV INFUSION, DRUG UP TO 1H"	IV INFUSION DRUG UP TO 1H	IV Therapy	1	456	456	intravenous_infusion drug up to 1_hour	Nursing Services
IV INFUSION EAADDL HOUR	IV INFUSION EAADDL HOUR	IV Therapy	4	860	215	intravenous_infusion each additional hour	Nursing Services
HC IV INFUSION INITIAL WITH MED 1 ST HR ED	IV INFUSION INITIAL WITH MED 1 ST HR ED	Emergency Room	1	319.5	319.5	intravenous_infusion initial with medication 1 st hour emergency_department	Nursing Services
HB IV INFUSION PUMP	IV INFUSION PUMP	Implant/Supply	1	173.09	173.09	intravenous_infusion pump	Capital Equipment
"IV  INFUSION,TX,PROPH,DX        INIT UP TO"	IV INFUSION TX PROPH DX INIT UP TO	IV Therapy	1	215	215	intravenous_infusion treatment prophylactic diagnostic initial up to	Nursing Services
HC IV INFUSION W SAME MED SEQUENTIAL ED	IV INFUSION W SAME MED SEQUENTIAL ED	Emergency Room	1	112	112	intravenous_infusion with same medication sequential emergency_department	Nursing Services
IV NACL .9% 1000CC	IV NACL .9% 1000CC	IV Solutions	1	93	93	intravenous sodium_chloride 0.9% 1000_cc	Diluent / Flush / Irrigant
IV NACL 0.9% 100ML	IV NACL 0.9% 100ML	Pharmacy	1	45	45	intravenous sodium_chloride 0.9% 100_ml	Diluent / Flush / Irrigant
IV NS 100ML	IV NS 100ML	Drugs Requiring Detailed Coding	1	4.82	4.82	intravenous normal_saline 100_ml	Diluent / Flush / Irrigant
IV NS 100ML	IV NS 100ML	IV Solutions	1	296.64	296.64	intravenous normal_saline 100_ml	Diluent / Flush / Irrigant
IV NS 100ML	IV NS 100ML	Pharmacy	1	28.95	28.95	intravenous normal_saline 100_ml	Diluent / Flush / Irrigant
IV PLASMALYTE A 2B2544	IV PLASMALYTE A 2B2544	Implant/Supply	1	10	10	intravenous plasmalyte a 2b2544	Pharmacy
IV PUMP	IV PUMP	Implant/Supply	1	60	60	intravenous pump	Capital Equipment
IV PUMP	IV PUMP	Other Therapeutic Services	1	10.51	10.51	intravenous pump	Capital Equipment
HC IV PUMP CONTROLLER W MODULES	IV PUMP CONTROLLER W MODULES	Implant/Supply	1	206	206	intravenous pump controller with modules	Capital Equipment
IV PUMP-PER LINE/PUMP CHARGE	IV PUMP PER LINE/PUMP CHARGE	IV Solutions	1	151	151	intravenous pump per line/pump charge	Capital Equipment
IV PUMP-PER LINE/PUMP CHARGE	IV PUMP PER LINE/PUMP CHARGE	Implant/Supply	1	159	151	intravenous pump per line/pump charge	Capital Equipment
IV PUMP-PER LINE/PUMP CHARGE	IV PUMP PER LINE/PUMP CHARGE	OR Services	2	302	151	intravenous pump per line/pump charge	Capital Equipment
HC IV PUMP SET IMED ADULT	IV PUMP SET IMED ADULT	Implant/Supply	1	69	69	intravenous pump set imed adult	Supply
IV PUMP SET MICROBOR	IV PUMP SET MICROBOR	Implant/Supply	1	15	15	intravenous pump set microbore	Supply
IV PUSH	IV PUSH	IV Therapy	1	223	191.5	intravenous push	Diluent / Flush / Irrigant
HC IV PUSH ADD SEQ NEW DRUG	IV PUSH ADD SEQ NEW DRUG	Clinic	1.5	465.5	331	intravenous push additional sequence new drug	Nursing Services
HC IV PUSH ADD SEQ NEW DRUG	IV PUSH ADD SEQ NEW DRUG	Emergency Room	2	538	269	intravenous push additional sequence new drug	Nursing Services
HC IV PUSH EA AD NEW DRUG ER	IV PUSH EA AD NEW DRUG ER	Emergency Room	1	177	177	intravenous push each additional new drug emergency_room	Nursing Services
HC IV PUSH EA AD SEQ SM DRG ER	IV PUSH EA AD SEQ SM DRG ER	Emergency Room	1	176	176	intravenous push each additional sequence same drug emergency_room	Nursing Services
HB IV PUSH INITIAL SUBSTANCE	IV PUSH INITIAL SUBSTANCE	Emergency Room	1	108.53	108.53	intravenous push initial substance	Nursing Services
IV PUSH SAME DRUG >30 MIN	IV PUSH SAME DRUG >30 MIN	IV Therapy	3	300	100	intravenous push same drug greater_than 30 minutes	Nursing Services
IV PUSH SAME DRUG >30 MIN	IV PUSH SAME DRUG >30 MIN	Other Diagnostic Services	1	272	272	intravenous push same drug greater_than 30 minutes	Nursing Services
IV PUSH SAME DRUG >30 MIN	IV PUSH SAME DRUG >30 MIN	Other Therapeutic Services	1	259	259	intravenous push same drug greater_than 30 minutes	Nursing Services
IV SET 30 SECONDARY	IV SET 30 SECONDARY	Implant/Supply	1	14	14	intravenous set 30 secondary	Supply
IV SET 30 SECONDARY	IV SET 30 SECONDARY	Pharmacy	1	6	6	intravenous set 30 secondary	Supply
IV SET PRIM SOLUTION EA	IV SET PRIM SOLUTION EA	Implant/Supply	1	14.68	13.37	intravenous set primary solution each	Supply
IV SET PRIMARY SET	IV SET PRIMARY SET	Implant/Supply	1	10	9	intravenous set primary set	Supply
IV-SODIUM CHLORIDE 0.9% 250ML	IV SODIUM CHLORIDE 0.9% 250ML	IV Solutions	1	45.5	45.5	intravenous sodium chloride 0.9% 250_ml	Diluent / Flush / Irrigant
IV - SODIUM CHLORIDE 0.9% 250ML	IV SODIUM CHLORIDE 0.9% 250ML	Pharmacy	1	45.5	45.5	intravenous sodium chloride 0.9% 250_ml	Diluent / Flush / Irrigant
IV SOLUTION	IV SOLUTION	IV Solutions	1	90	90	intravenous solution	Diluent / Flush / Irrigant
IV SOLUTION	IV SOLUTION	Implant/Supply	1	69	69	intravenous solution	Diluent / Flush / Irrigant
IV SOLUTION	IV SOLUTION	Pharmacy	1.5	264	264	intravenous solution	Diluent / Flush / Irrigant
IV SOLUTION -	IV SOLUTION 	Pharmacy	1	50	25	intravenous solution	Diluent / Flush / Irrigant
IV SPONGE 2X2	IV SPONGE 2X2	Implant/Supply	1	4	4	intravenous sponge 2x2	Supply
HC IV START KIT	IV START KIT	Implant/Supply	1	17.92	17.92	intravenous start kit	Supply
IV START KIT W/DRSG	IV START KIT W/DRSG	Implant/Supply	1	18	18	intravenous start kit with dressing	Supply
IV START PCK PLAIN	IV START PCK PLAIN	Implant/Supply	1	4	4	intravenous start pack plain	Supply
IV START PCK PLAIN	IV START PCK PLAIN	Pharmacy	1	4	4	intravenous start pack plain	Supply
IV T-CONNECT	IV T CONNECT	Implant/Supply	1	84	84	intravenous tab connect	Supply
IV TUBING EXT SET W/.22 MICRON	IV TUBING EXT SET W/.22 MICRON	Implant/Supply	1	30.49	30.49	intravenous tubing extension set with 0.22 micron	Supply
IV TUBING Y-BLOOD SET	IV TUBING Y BLOOD SET	Implant/Supply	1	89	89	intravenous tubing y blood set	Supply
IVPB INFUSION	IVPB INFUSION	Pharmacy	4	103.5	13.05	intravenous_piggyback infusion	Diluent / Flush / Irrigant
JANTOVEN 2 MG TABLET	JANTOVEN 2 MG TABLET	Pharmacy	4	12	3	jantoven 2_mg tablet	Pharmacy
HB K-DUR 20 TAB	K DUR 20 TAB	Pharmacy	1	4.05	4.05	potassium chloride 20 tablet	Pharmacy
K-DUR 20MEQ TABLET	K DUR 20MEQ TABLET	Drugs Requiring Specific Identification	2	18	9	potassium dur 20_meq tablet	Pharmacy
K - DUR 20MEQ TABLET	K DUR 20MEQ TABLET	Pharmacy	2	40	20	potassium dur 20_meq tablet	Pharmacy
K FLOW/FUNCT IMAGE W/O DRUG	K FLOW/FUNCT IMAGE W/O DRUG	Nuclear Medicine	1	1691	1691	k flow/function image without drug	Radiology
K ISTAT	K ISTAT	Laboratory	1	56	56	potassium istat	Monitoring
K PHOS DI 3MM/ML 15M	K PHOS DI 3MM/ML 15M	Pharmacy	1	211.68	211.68	potassium phosphate dibasic 3_mm/ml 15m	Pharmacy
K-V FEED SYSTEM	K V FEED SYSTEM	Implant/Supply	4	162.44	40.61	potassium view feed system	Supply
KCL 20% (PER ML) ORAL LIQ	KCL 20% PER ML ORAL LIQ	Pharmacy	2	11.25	5.625	potassuim_chloride 20% per ml oral liquid	Pharmacy
KCL 20MEQ/100ML PREMIX; KCL IV PREMIX 20 MEQ/100 ML BAG 0.	KCL 20MEQ/100ML PREMIX KCL IV PREMIX 20 MEQ/100 ML BAG 0.	Drugs Requiring Detailed Coding	1	17	17	potassuim_chloride 20_milliequivalents/100_ml premix potassuim_chloride intravenous premix 20_milliequivalents/100_ml bag 0	Pharmacy
KEPPRA 250MG	KEPPRA 250MG	Drugs Requiring Specific Identification	2	16	8	keppra 250 mg	Pharmacy
HB KEPPRA 250MG	KEPPRA 250MG	Pharmacy	1	14.17	14.17	keppra 250 mg	Pharmacy
HB KEPPRA 500MG	KEPPRA 500MG	Pharmacy	2	32.86	16.43	keppra 500 mg	Pharmacy
"KETAMINE 10 MG/ML INJECTION
SOLUTION"	KETAMINE 10 MG/ML INJECTION SOLUTION	Pharmacy	1	109.75	109.75	ketamine 10_mg/ml injection solution	Pharmacy
KETAMINE 10 MG/ML SOLN	KETAMINE 10 MG/ML SOLN	Drugs Requiring Detailed Coding	1	22.05	21.8	ketamine 10_mg/ml solution	Pharmacy
KETAMINE 10 MG/ML SOLN	KETAMINE 10 MG/ML SOLN	IV Solutions	1	79.2	79.2	ketamine 10_mg/ml solution	Pharmacy
KETAMINE 10 MG/ML SOLN	KETAMINE 10 MG/ML SOLN	Pharmacy	1	36.405	31.95	ketamine 10_mg/ml solution	Pharmacy
KETAMINE 10 MG/ML SOLN 20 ML VIAL	KETAMINE 10 MG/ML SOLN 20 ML VIAL	IV Solutions	1	157.65	157.65	ketamine 10_mg/ml solution 20_ml vial	Pharmacy
KETAMINE 10 MG/ML SOLN 20 ML VIAL	KETAMINE 10 MG/ML SOLN 20 ML VIAL	Pharmacy	1	78.375	70.415	ketamine 10_mg/ml solution 20_ml vial	Pharmacy
KETAMINE 100 MG/ML SOLN 5 ML VIAL	KETAMINE 100 MG/ML SOLN 5 ML VIAL	Drugs Requiring Detailed Coding	5	57.6	11.52	ketamine 100_mg/ml solution 5_ml vial	Pharmacy
KETAMINE 100 MG/ML SOLN 5 ML VIAL	KETAMINE 100 MG/ML SOLN 5 ML VIAL	Pharmacy	1	39.65	39.65	ketamine 100_mg/ml solution 5_ml vial	Pharmacy
KETAMINE 10MG/ML SOLN (CICU/PICU	KETAMINE 10MG/ML SOLN CICU/PICU	Pharmacy	1	193.75	193.75	ketamine 10 mg/ml solution critical intensive_care_unit/pediatric intensive_care_unit	Pharmacy
KETAMINE 10MG/ML SOLN (CICU/PICU)	KETAMINE 10MG/ML SOLN CICU/PICU 	Pharmacy	2	246.45	123.225	ketamine 10 mg/ml solution critical intensive_care_unit/pediatric intensive_care_unit	Pharmacy
KETAMINE 50 MG/ML INJ	KETAMINE 50 MG/ML INJ	Pharmacy	1	87	87	ketamine 50 mg/ml injection	Pharmacy
KETAMINE 50 MG/ML SOLN 0409-2053-10	KETAMINE 50 MG/ML SOLN 0409 2053 10	Pharmacy	1	28.05	28.05	ketamine 50 mg/ml solution 0409 2053 10	Pharmacy
KETAMINE 50 MG/ML SOLN 10 ML	KETAMINE 50 MG/ML SOLN 10 ML	Pharmacy	1	12.55	12.55	ketamine 50_mg/ml solution 10_ml	Pharmacy
KETAMINE 500MG/10ML VL	KETAMINE 500MG/10ML VL	Pharmacy	1	733.4	733.4	ketamine 500_mg/10_ml vial	Pharmacy
KETAMINE 500MG/5ML	KETAMINE 500MG/5ML	Pharmacy	1	50.55	50.55	ketamine 500_mg/5_ml	Pharmacy
KETAMINE 50MG/5ML 0.9% NACL BD	KETAMINE 50MG/5ML 0.9% NACL BD	Pharmacy	1	98.7	98.7	ketamine 50_mg/5_ml 0.9% sodium_chloride bd	Pharmacy
HB KETAMINE HCL 100MG/ML INJ (KETA	KETAMINE HCL 100MG/ML INJ KETA	Pharmacy	2	12.23	6.13	ketamine hydrochloride 100 mg/ml injection keta	Pharmacy
KETAMINE HCL 50MG/ML 10ML	KETAMINE HCL 50MG/ML 10ML	Drugs Requiring Detailed Coding	1	663	663	ketamine hcl 50_mg/ml 10_ml	Pharmacy
KETAMINE HCL 50MG/ML 10ML	KETAMINE HCL 50MG/ML 10ML	Pharmacy	1	11.39	11.39	ketamine hcl 50_mg/ml 10_ml	Pharmacy
KETAMINE INJ 100MG/ML 5ML	KETAMINE INJ 100MG/ML 5ML	Pharmacy	1	83	80.65	ketamine injection 100 mg/ml 5 ml	Pharmacy
HB KETAMINE/KETALAR 10MG/ML VL	KETAMINE/KETALAR 10MG/ML VL	Pharmacy	1	6.18	5.87	ketamine/ketalar 10 mg/ml vial	Pharmacy
KETOROLAC 15MG INJ	KETOROLAC 15MG INJ	Drugs Requiring Detailed Coding	2	15.1	7.55	ketorolac 15_mg injection	Pharmacy
KETOROLAC 15MG INJ	KETOROLAC 15MG INJ	Pharmacy	2	32.96	25.38	ketorolac 15_mg injection	Pharmacy
KETOROLAC 15MG/ML INJ	KETOROLAC 15MG/ML INJ	Drugs Requiring Detailed Coding	1	146.29	146.29	ketorolac 15_mg/ml injection	Pharmacy
KETOROLAC 15MG/ML INJ	KETOROLAC 15MG/ML INJ	Pharmacy	1	181	164	ketorolac 15_mg/ml injection	Pharmacy
