descrip,# of descs,# of rev code grps,# of charge classes,Unique charge classes,Unique rev codes grps
HB CATHETER URTHRL DOVER SIL OD8F,1,1,1,Supply,Implant/Supply
ONDANSETRON 4 MG/2 ML SOLN ,1,1,1,Pharmacy,Pharmacy
PTT (PARTIAL THROMBOPLASTIN TIME),1,1,1,Laboratory,Laboratory
SOLN IV NSS 1000ML 2B1324,1,1,1,Diluent / Flush / Irrigant,Pharmacy
POC BS GLUCOSE CVICU/STEPDOWN,1,1,1,Monitoring,Laboratory
FACTOR VIIA 1IJ,1,1,1,Plan Benefit,Drugs Requiring Specific Identification
METHADONE HCL 5MG/5ML ORAL SYR,1,1,1,Pharmacy,Pharmacy
HC SELF-CARE GOAL STATUS,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HB DRESSING FOAM MPLX PU W8INXL20,1,1,1,Supply,Implant/Supply
HB NJ TUBE PLACEMENT,1,1,1,Procedure,Radiology
64321000 - 321 BETA-D GLUCAN-SO+,1,1,1,Laboratory,Laboratory
SELFCARE HOME MGMT 15 MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HC PARATHORMONE (PTH),1,1,1,Laboratory,Laboratory
20800207-PF NS 0.9% 0.9 % SOLN 10 ML VIAL,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HC METABOLIC PANEL TOTAL CA,1,1,1,Laboratory,Laboratory
POWERLINE POLYURETHANE CATHETER WITH SURECUFF I,1,1,1,Supply,Implant/Supply
VENIPUNCTURE FINGER/HEEL/EAR SHM,1,1,1,Nursing Services,Laboratory
HB WATER STERILE INJ,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB CLONAZEPAM 2 MG PO TABS,1,1,1,Pharmacy,Pharmacy
KIT DRSG CEN,1,1,1,Supply,Implant/Supply
CATH ART ST 20G 2.5,1,1,1,Supply,Implant/Supply
HB DIPHENHYDRAMINE HCL 50MG/MB 1M,1,1,1,Pharmacy,Pharmacy
TEE FOR MANITORING,1,1,1,Radiology,Cardiology
52201100 - POC BS GLUCOSE CDU,1,1,1,Monitoring,Laboratory
HB BACITRACIN 2000 UNIT/ML OPHTH SOLTN,1,1,1,Pharmacy,Pharmacy
58122000 - FLUTTER TREATMENT,1,1,1,Respiratory Therapy,Implant/Supply
ALTEPLASE CATHFLO.1 MG-2MG INJ,1,1,1,Pharmacy,Drugs Requiring Specific Identification
POTASSIUM PHOSPHATE 3 MMOL/ML,1,1,1,Pharmacy,Pharmacy
HB MEROPENEM 1 GRAM,1,1,1,Pharmacy,Pharmacy
HB DRESSING TRNS TGDRM L4.75INXW4,1,1,1,Supply,Implant/Supply
LACTATED RINGERS SOL 1000ML A,1,1,1,Pharmacy,Pharmacy
HB CATHETER ANGLED GLIDE 5FR 100C,1,1,1,Supply,Implant/Supply
SET CONT CONTR - 9040,1,1,1,Supply,Implant/Supply
HC-LAB-SODIUM-SERUM/WH BLOOD,1,1,1,Laboratory,Laboratory
11603152 - CARBXYMTHYLCELLLS .5%BX/30,1,1,1,Pharmacy,Pharmacy
CPAP - ADULT SUB DAY,1,1,1,Respiratory Therapy,Respiratory Services
THERAP EXERCS-15 MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
CULTURE RESPIRATORY,1,1,1,Laboratory,Laboratory
SEDIMENTATION RATE (ESR),1,1,1,Laboratory,Laboratory
15610212 - VASOPRESSIN 20U/ML 1ML,1,1,1,Pharmacy,Pharmacy
NOREPINEPHRINE INJ 1MG/ML 4ML,1,1,1,Pharmacy,Pharmacy
FEVERALL 325MG SUP; ACETAMINOPHEN 325 MG SUPP.RECT,1,1,1,Pharmacy,Drugs Requiring Specific Identification
15700242 - WARFARIN 4MG TABLET,1,1,1,Pharmacy,Pharmacy
DEXTROSE 70% SOLP,1,1,1,Diluent / Flush / Irrigant,Pharmacy
OR LEVEL 5 ADD'L 15 MINUTE,1,1,1,OR / Anesthesia / Recovery Room,OR Services
HB NDL HEPRN DOSE RESP 6 CHANNEL,1,1,1,Pharmacy,Implant/Supply
SPS SET PWRLOC 20GX.75 0652034,1,1,1,Supply,Implant/Supply
11555222 - CALCIUM GLUCONATE PER 10 ML,1,1,1,Pharmacy,Pharmacy
HB VORICONAZOLE 200MG TABLET,1,1,1,Pharmacy,Pharmacy
COMPLETE CBC W AUTO DIFF WBC 2,1,1,1,Laboratory,Laboratory
70555115 - SOLN SALIN STERL 0.9PCT 1000ML,1,1,1,Diluent / flush / Irrigant,Pharmacy
ANES G ADD M,1,1,1,OR / Anesthesia / Recovery Room,Anesthesia
HB PHENYLEPHRINE HCL 10MG/ML IML,1,1,1,Pharmacy,Pharmacy
86401004 - WALKING MOVING AROUND,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HB CANN PEDI ONE PIECE ARTERIAL E,1,1,1,Supply,Implant/Supply
KLS BATTERY PACK,1,1,1,Supply,Implant/Supply
TRAY SUTURE,1,1,1,Supply,Implant/Supply
FORMULA: ENFAMIL PREMATURE,1,1,1,Supply,Pharmacy
SOD CHLORIDE 0.9%/250ML 100ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
IADNA RESPIRATRY PROBE & REV TRNSCR 12-25 TARGE,1,1,1,Laboratory,Laboratory
NEW EVAL 15 MIN PT,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
BUMETANIDE 0.25MG/ML VIAL,1,1,1,Pharmacy,Pharmacy
47621000 - RB 1MICU STEP DOWN ICU,1,1,1,Room and Board,Intensive Care
HE BAG DRAIN BECKER 700ML CSF EXT,1,1,1,Supply,Implant/Supply
HEP B SURFACE ANTIGEN,1,1,1,Laboratory,Laboratory
OB ASSESSMENT,1,1,1,Nursing Services,Cast/Recovery/Labor Room
PHARM AGNT ADMIN FOR REPEAT HC,1,1,1,Nursing Services,Cardiology
C-SECTION SCHEDULED,1,1,1,OR / Anesthesia / Recovery Room,OR Services
77019537 - BLNKT LWR BDY WARM,1,1,1,Supply,Implant/Supply
60615000 - GLUCOSE VL STATISTIC,1,1,1,Laboratory,Implant/Supply
65208000 - PROTHROMBIN TIME,1,1,1,Laboratory,Laboratory
ROOM E321 6,1,1,1,Room and Board,Intensive Care
HB COVER EQUIP OR SOL WRMR DRP,1,1,1,Supply,Implant/Supply
TUBE SUCTION YANKAUER,1,1,1,Supply,Implant/Supply
BLANKET BAIR HUGGER UPPER BODY,1,1,1,Supply,Implant/Supply
CATH IV 20GX1 3/4 4252527-02,1,1,1,Supply,Implant/Supply
TROCAR CATHETER,1,1,1,Supply,Implant/Supply
H INFADENT,1,1,1,Supply,Implant/Supply
HC HIV1 HIV2 REFLEX SINGLE RESULT,1,1,1,Laboratory,Laboratory
PROBIOTIC ORAL SUSP PER 1ML,1,1,1,Pharmacy,Pharmacy
WATER FOR INJ 20ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
AG DETECT NOS EIA MULTI STEP EACH,1,1,1,Laboratory,Laboratory
HB CATHETER UMBIL ARGL PVC NEO L1,1,1,1,Supply,Implant/Supply
PHYSICAL THERAPY EVAL,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HB KIT CATH PEDI QUICK 6FR,1,1,1,Supply,Implant/Supply
HC MOBILITY GOAL STATUS,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
CPAP INITIATE AND MGT,1,1,1,Respiratory Therapy,Respiratory Services
TY PORT DRSNG CHG DT17425,1,1,1,Supply,Implant/Supply
HB TISSUE EXAM LEVEL III,1,1,1,Laboratory,Laboratory
HB INTRODUCER CATH CKFL PRFRMR JT,1,1,1,Supply,Implant/Supply
SET SECONDARY 40IN,1,1,1,Supply,Implant/Supply
HB AMIODARONE 1.5MG/ML IN DEXTROSE,1,1,1,Pharmacy,Pharmacy
GLUC BLD MNT DV,1,1,1,Monitoring,Laboratory
WARMING BLANKET,1,1,1,Supply,Implant/Supply
SPONGE DRAIN T'SORB,1,1,1,Supply,Implant/Supply
HB TRIHEXYPHENIDYL 2MG/5ML ELX,1,1,1,Pharmacy,Pharmacy
KETOROLAC (TORADOL) INJECTION 30 MG,1,1,1,Pharmacy,Drugs Requiring Specific Identification
65206000 - PARTIAL THROMBOPLAST TIME PTT,1,1,1,Laboratory,Laboratory
14966212 - SIMETHCNE 80MG PER 1.2ML OL LQ,1,1,1,Pharmacy,Pharmacy
HC HEPATIC FUNCTION PANEL,1,1,1,Laboratory,Laboratory
63103001 - CHLORIDE URINE,1,1,1,Laboratory,Laboratory
.9% NACL 500ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
ABDOMEN 1 POSITION,1,1,1,Radiology,Radiology
C CENTRAL/PERIPH BLOOD D,1,1,1,Nursing Services,Laboratory
27212500 - CT C-SPINE W/O CONTRAST,1,1,1,Radiology,CT Scan
CYCLOMYDRIL OPHTH SOLN 2ML,1,1,1,Pharmacy,Pharmacy
PLACE CATH IN SVC OR IVC,1,1,1,Procedure,OR Services
MRI BRAIN NO CONTRAST,1,1,1,Radiology,MRI
HB ARMBOARD IV SPUN FBRC PED L5IN,1,1,1,Supply,Implant/Supply
REACHER REGULAR DISP,1,1,1,Supply,Implant/Supply
PM-SODIUM CHLORIDE 0.45% W/HEPARIN 1 UNIT/ML,1,1,1,Pharmacy,Pharmacy
HB CARTRIDGE BLU HEP ASSAY 4 CHAN,1,1,1,Supply,Implant/Supply
MAGNESIUM SULFATE 4.0 6 MEQ/ML SOLN 2 ML VIAL,1,1,1,Pharmacy,Pharmacy
COVER LIGHT HANDLE CHROMO B,1,1,1,Supply,Implant/Supply
14630052 - POTASSIUM CHLORIDE PWD 20MEQ,1,1,1,Pharmacy,Pharmacy
HB DRSG BARRIER MOIST PROTECT 5X5,1,1,1,Supply,Implant/Supply
HB POC BLOOD GASES,1,1,1,Laboratory,Laboratory
ESR AUTO,1,1,1,Laboratory,Laboratory
VENIPUNCT,1,1,1,Nursing Services,Laboratory
HB SET PRISMAFLSX HF 1000,1,1,1,Supply,Implant/Supply
CATH PICC SGL VASC 1.9FR 40CM,1,1,1,Supply,Implant/Supply
EVARREST,1,1,1,Supply,Implant/Supply
OLIGOSACCHARIDES/SIALIC,1,1,1,Laboratory,Laboratory
R&B MEDICAL,1,1,1,Room and Board,Room & Board
SHEATH ENGAGE 6FR 12CM 0.035,1,1,1,Supply,Implant/Supply
GLUCOSE BLD QN POC,1,1,1,Monitoring,Laboratory
HB CATHETER ANGIOGRAPHIC 4F IP PI,1,1,1,Supply,Implant/Supply
HC SODIUM POC,1,1,1,Monitoring,Laboratory
FEEDING SUPPLEMENT (JEVITY 1.2 CAL) LIQD,1,1,1,Pharmacy,Pharmacy
POTASSIUM PHOSPHATE 3 MMOL,1,1,1,Pharmacy,Pharmacy
HB CONN CODM STR TYPE A,1,1,1,Supply,Implant/Supply
VENIPUNCTURE ,1,1,1,Nursing Services,Laboratory
86913000 - IND ACT 15 MIN PT THER-TECH,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
FORMULA: ELECARE 20 KCAL/O,1,1,1,Supply,Pharmacy
HB CATHETER SX TRIFLO KIT 10FR DR,1,1,1,Supply,Implant/Supply
CREATININE-BLOOD,1,1,1,Laboratory,Laboratory
US DPLER EXTREM VEIN UNILAT,1,1,1,Radiology,Other Diagnostic Services
HB CATHETER CV BRVC OD4.2FR W/O V,1,1,1,Supply,Implant/Supply
AMIODARONE HCL TABLET 200MG,1,1,1,Pharmacy,Pharmacy
ACETAMINOPHEN 32 MG/ML SUSP,1,1,1,Pharmacy,Pharmacy
HB PUNCH .035IN SS HL CATH NS DIS,1,1,1,Supply,Implant/Supply
HB CATHETER ANGIO BERRIAN L90CM OD,1,1,1,Supply,Implant/Supply
63719001 - TSH,1,1,1,Laboratory,Laboratory
DEXTROSE 5 % IN WATER (D5W) INTRAVENOUS SOLUTION,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB DRSG SILVASORB UN,1,1,1,Supply,Implant/Supply
DRAPE BUTTOCKS,1,1,1,Supply,Implant/Supply
VENIPUNCTURE  ROUTINE,1,1,1,Nursing Services,Laboratory
HCHG OAE SCREENING HCHG OAE SCREENING,1,1,1,PT / OT / Speech Therapy,Audiology
HB CATHETER URTHRL PVC PED L10IN,1,1,1,Supply,Implant/Supply
HC ANTIBODY SCREEN,1,1,1,Laboratory,Laboratory
HB BODY FLUID TRIGLYCERIDES,1,1,1,Laboratory,Laboratory
RCH LAB-WHOLE BLOOD POTASSIUM,1,1,1,Laboratory,Laboratory
HB NEEDLE PEDIATRIC AIR ASPIRATOR,1,1,1,Supply,Implant/Supply
LIDOCAINE HCL 10 MG,1,1,1,Pharmacy,Pharmacy
DEVICE INFLAT ENCORE 26 15-105,1,1,1,Supply,Implant/Supply
HB TUBING SX SIMS OD3-6MM IRR NOZ,1,1,1,Supply,Implant/Supply
HB MASK CPAP NASAL XSM,1,1,1,Supply,Implant/Supply
HB HGB ELECTROPHORESIS,1,1,1,Laboratory,Laboratory
HB LEUCOVORIN CALCIUM 25 MG PO TABS,1,1,1,Pharmacy,Pharmacy
HC EKG 12 LEAD TRACE ONLY,1,1,1,Cardiology,EKG/ECG/EEG
14594232 - DEXMEDETOMIDN 400MCG/100ML INJ,1,1,1,Pharmacy,Pharmacy
HC SOD CHLOR 0.9% ADV BAG 100ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
SET XTN 59IN IV SPNLK,1,1,1,Supply,Implant/Supply
HB AMIODARONE/CORDARONE 200MG TAB,1,1,1,Pharmacy,Pharmacy
86880000 - OT BASE CHARGE,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
RE-EVAL NON-BILL STAT PT,1,1,1,PT / OT / Speech Therapy,Implant/Supply
SENSOR TEMP SKIN EA,1,1,1,Supply,Implant/Supply
HB INSTRU SCISSORS STERILE SIN,1,1,1,Supply,Implant/Supply
RB ICU MEDICAL,1,1,1,Room and Board,Intensive Care
DEXTROSE 20 % IN WATER (D20W) INTRAVENOUS SOLUTION,1,1,1,Pharmacy,Pharmacy
RAD1PENTETATE DTPA PSD TO 25 MCI,1,1,1,Laboratory,Nuclear Medicine
TITANIUM MATRIXNEURO SCREWS SELF DRILLING,1,1,1,Implant,Implant/Supply
HERPES NA QUAN X00347,1,1,1,Laboratory,Laboratory
ICU INTERMEDIATE,1,1,1,Room and Board,Intensive Care
DAT IGG,1,1,1,Laboratory,Laboratory
14151142 - OXYCODONE SA TAB 20MG,1,1,1,Pharmacy,Pharmacy
KEPPRA 500MG,1,1,1,Pharmacy,Pharmacy
PACKED CELLS FILT&WASHED,1,1,1,Blood Products,Blood
CHEST PT AND PD,1,1,1,Respiratory Therapy,Respiratory Services
INDIVIDUAL ACTIVITY PER 15 MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
ANES GEN 1ST 1/2 HR GEN,1,1,1,OR / Anesthesia / Recovery Room,Anesthesia
MORPHINE 15 MG TABLET SUSTAINED RELEASE,1,1,1,Pharmacy,Pharmacy
59757000 - CATH SINGLE LUMEN SC14701,1,1,1,Supply,Implant/Supply
COLLAGEN HEMOSTAT 0.5 G 1 EACH,1,1,1,Supply,Pharmacy
SODIUM CHLORIDE 0.9% 50ML 5 0264-1800-31,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB EMG NEUROMUSC JUNCTN. T,1,1,1,Procedure,Other Diagnostic Services
COMPATIBILITY TEST SPIN,1,1,1,Laboratory,Laboratory
HB CATH PICC SGL VASC 3FR 60CM,1,1,1,Supply,Implant/Supply
PLEUR EVAC INFANT/ADULT,1,1,1,Supply,Implant/Supply
SENSOR OXIMETRY NEONATAL,1,1,1,Supply,Implant/Supply
HC HEPATITIS C QUAN PCR,1,1,1,Laboratory,Laboratory
SODIUM CHLORIDE 0.9% SOLP 1 000 ML FLEX CONT,1,1,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
MB WARFARIN SODIUM 5MG TAB UD DUP,1,1,1,Pharmacy,Pharmacy
ABO BLOOD GROUP SEROLOGIC,1,1,1,Laboratory,Laboratory
H TUBE TRACH CUFFED CUSTOM PEDIATRIC,1,1,1,Supply,Implant/Supply
H CONDITIONER SKIN ALOE VE,1,1,1,Supply,Implant/Supply
VECURONIUM 10MG SOLR 1 EACH,1,1,1,Pharmacy,Pharmacy
HB CATH THERM 6FR 4LMN NHC LATEX,1,1,1,Supply,Implant/Supply
CALCIUM CHLORIDE 10% ,1,1,1,Pharmacy,Pharmacy
HEPATITIS B VACCINE 5 MCG/0.5 ML SYRG,1,1,1,Pharmacy,Pharmacy
C REACTIVE PROTEIN,1,1,1,Laboratory,Laboratory
HCHG FACTOR THROMBATE 100 IU,1,1,1,Plan Benefit,Pharmacy
HC KIT ARTERIAL BLOOD GAS,1,1,1,Supply,Implant/Supply
64881000 - SUSCEPTIBILITY MANUAL,1,1,1,Laboratory,Laboratory
PF-CYTOPATH CONCENTRATE,1,1,1,Laboratory,Laboratory
ZOSYN 60MG/1ML INJ,1,1,1,Pharmacy,Pharmacy
HB CATH URTH 8FR FL END HL,1,1,1,Supply,Implant/Supply
OSCOR DISPOSABLE EXTENSION CABLE,1,1,1,Implant,Implant/Supply
POC LACTIC ACID STAT,1,1,1,Monitoring,Laboratory
URINE REDUCING SUBSTANCE,1,1,1,Laboratory,Laboratory
HEPARIN (PORCINE) 10 UNI,1,1,1,Diluent / Flush / Irrigant,Pharmacy
CYTOMEGALOVIRUS DFA,1,1,1,Laboratory,Laboratory
HCHG TUBE EXTRA LG BORE EXT 48IN HCHG TUBE EXTRA LG BORE EXT 48IN,1,1,1,Supply,Implant/Supply
OXIMETRY SPOT CHK ASSM,1,1,1,Supply,Patient Conv Items
SEDIMENTATION RAT,1,1,1,Laboratory,Laboratory
SILDENAFIL 10 MG/ML SUSR 112 ML BOTTLE,1,1,1,Plan Benefit,Pharmacy
11670002 - CHLORASEPTIC SPRAY 180ML,1,1,1,Supply,Pharmacy
DIGOXIN 100MCG/ML INJ,1,1,1,Pharmacy,Pharmacy
HC SNGL DRUG CLASS IMMUNOASSAY PNL BLOOD ETHANDL,1,1,1,Laboratory,Laboratory
POSITIONER BODY ALIGN FOAM,1,1,1,Supply,Implant/Supply
HB CT HEAD WO CONTRAST,1,1,1,Radiology,CT Scan
HB KIT PIV SECUREMENT INFANT,1,1,1,Supply,Implant/Supply
LORAZEPAM 2 MG/ML SOLN 10 ML VIAL[10467],1,1,1,Pharmacy,Drugs Requiring Specific Identification
D5% INJ 250ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB METOLAZONE/ZAROXOLYN 5MG TAB U,1,1,1,Pharmacy,Pharmacy
HB POTASSIUM ACETATE 2MEQ/ML 20ML,1,1,1,Pharmacy,Pharmacy
HB CATHETER DLYS QNTN/TENCK PED L,1,1,1,Supply,Implant/Supply
86404005 - CHANGING MAINT BODY POSITION,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HB KIT TRANSDCR ART LN ICU PRSS M,1,1,1,Supply,Implant/Supply
HB ADAPTER CIRCT W/O SX PRT DL,1,1,1,Supply,Implant/Supply
LONG GI TUBE FLUORO WITH FILMS,1,1,1,Radiology,Radiology
RACEMIC EPINEPHRINE 2.25 %,1,1,1,Pharmacy,Pharmacy
GRID XR CT GUIDELINES NDL 117,1,1,1,Radiology,Implant/Supply
KIT CENTRAL LINE DRESSING,1,1,1,Supply,Implant/Supply
HB PROBE PULSE OX PEDIATRIC,1,1,1,Supply,Implant/Supply
Gram Stain,1,1,1,Laboratory,Laboratory
DIPHENHYDRAMI25MG CP,1,1,1,Pharmacy,Pharmacy
DOCUSATE LIQUID 100MG/10ML UD,1,1,1,Pharmacy,Pharmacy
LACTULOSE 20GM/30ML,1,1,1,Pharmacy,Pharmacy
POWDER WOUND STATSEAL,1,1,1,Supply,Implant/Supply
CEFEPIME PEDIATRIC 100 MG/ML SOLR,1,1,1,Pharmacy,Pharmacy
CATH CVP 8.5FRX16CM 4 LUMEN,1,1,1,Supply,Implant/Supply
HB VORICONAZOLE 10 MG/ML OPHTH SOLUTION,1,1,1,Pharmacy,Pharmacy
58836000 - RESPIRATORY ASSESSMENT FOLLOW,1,1,1,Respiratory Therapy,Respiratory Services
WALL SUCTION,1,1,1,Supply,Implant/Supply
HB SET DPHRM SNSR CAP,1,1,1,Supply,Implant/Supply
TOURNIQUET CUFF DBL 42,1,1,1,Supply,Implant/Supply
HC ROUTINE VENIPUNCTURE,1,1,1,Nursing Services,Laboratory
COIL DETACHABLE ULTRA TARGET 360 2X3,1,1,1,Implant,Implant/Supply
CHG POTASSIUM PLASMA/WB,1,1,1,Laboratory,Laboratory
HB AMOXICILLIN 400MG/5ML,1,1,1,Pharmacy,Pharmacy
TRANSFUSION BLOOD OR BLD COMP,1,1,1,Nursing Services,Blood
SPECIAL STAINS GRP II,1,1,1,Laboratory,Laboratory
VENT NON-INV MGMT SUBSQ DA,1,1,1,Respiratory Therapy,Respiratory Services
MAGNIFY 26X 34 8 DEGREE 8-,1,1,1,Implant,Implant/Supply
HB ASPIRIN 81MG TABLET EC,1,1,1,Pharmacy,Pharmacy
ALBUTEROL-IPRATROPIUM 0.5,1,1,1,Pharmacy,Pharmacy
HB HEPARIN IN NS FLUSH 2 UNITS/ML 50 MB,1,1,1,Diluent / Flush / Irrigant,Pharmacy
ROOM NMO8 E,1,1,1,Room and Board,Room & Board
HB HEPARIN IN NS FLUSH 2 UNITS/ML 50 ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
PROMOTE 8OZ CAN (FC),1,1,1,Supply,Pharmacy
CULTURE TYPING NUCLEIC ACI,1,1,1,Laboratory,Laboratory
HC IRON,1,1,1,Laboratory,Laboratory
HB LEVOFLOXACIN/D5W 500MG/100ML IV SOLUT,1,1,1,Pharmacy,Pharmacy
CT RETROPERITO ABSC DRN PERC,1,1,1,Radiology,Radiology
HB CATHETER PTCA 90CM 2CM 3.3FR 4,1,1,1,Supply,Implant/Supply
RCH LAB-WHOLE BLOOD GLUCOS,1,1,1,Laboratory,Laboratory
PULMOZYME 2.5ML INH,1,1,1,Plan Benefit,Pharmacy
LCHG BLOOD DRAW,1,1,1,Nursing Services,Laboratory
HB CHLORHEXIDINE GLUC ORAL RNSE,1,1,1,Pharmacy,Pharmacy
HCHG R&B CICU,1,1,1,Room and Board,Coronary Care
INTRODUCER OR SHEATH NON GUIDE NON LASER,1,1,1,Supply,Implant/Supply
INSTRUMENT SUCTION YANKAUER_E,1,1,1,Supply,Implant/Supply
HB DRESSING TRNS TGDRM L1 .75INXW1,1,1,1,Supply,Implant/Supply
TRAY STAPLE REMOVE,1,1,1,Supply,Implant/Supply
DEX 5%/WATER 1000ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB CATHETER EMB FGRTY L80CM OD3FR,1,1,1,Supply,Implant/Supply
HB DRESSING PETRO VSLNE GZE L36IN,1,1,1,Supply,Implant/Supply
THER ACTIVITIES EA 15MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HB TUBING SUCTION LINE FOR CATS,1,1,1,Supply,Implant/Supply
HC VENT MGMT INPT/OBS SUESQ DAY,1,1,1,Respiratory Therapy,Respiratory Services
HB CATHETER ANGIO BERMAN L50CM OD,1,1,1,Supply,Implant/Supply
64272000 - KIRBY BAUER SUSCEPTIBILITIES,1,1,1,Laboratory,Laboratory
CIPROFLOXACIN HCL 0.3% DROP 5 ML DROP BTL,1,1,1,Pharmacy,Pharmacy
THERAP ACTVTS-15 MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
TUBING PRESSURE 36,1,1,1,Supply,Implant/Supply
CATH SUCTION LATEXFREE DISP,1,1,1,Supply,Implant/Supply
DEXAMETHASONE (PER .25MG)4MG T,1,1,1,Pharmacy,Pharmacy
11482002 - BUMETANIDE TABLET 2MG,1,1,1,Pharmacy,Pharmacy
T4 FREE,1,1,1,Laboratory,Laboratory
14630032 - POTASSIUM CHLORIDE 20MEQ/15ML,1,1,1,Pharmacy,Pharmacy
HB CANNULA PRFSN DLP PED L2.5 IN O,1,1,1,Supply,Implant/Supply
HAEMOPHILUS B CONJUGATE VACCINE 7.5 MCG/0.5 ML,1,1,1,Pharmacy,Pharmacy
IMMUNAS NON INFECT (MIT3),1,1,1,Laboratory,Laboratory
TUBE GT BALLOON BUTTON 12FR 1.7CM,1,1,1,Supply,Implant/Supply
TRAY WET SKINSCRUB BOTTLE C,1,1,1,Supply,Implant/Supply
LIDO 2% 5ML,1,1,1,Pharmacy,Pharmacy
SURG PATTIES .75X.75 CA20 E,1,1,1,Supply,Implant/Supply
CONTAINER SPECIMEN STERILE O/R,1,1,1,Supply,Implant/Supply
CBC W-PLT AUTO COMPD,1,1,1,Laboratory,Laboratory
WIRE AMPLATZ SS 035/180,1,1,1,Supply,Implant/Supply
HB METRONIDAOLE 500MG TAB,1,1,1,Pharmacy,Pharmacy
HB CATHETER IV INSYT ATOGRD L3/4I,1,1,1,Supply,Implant/Supply
SET IV TUBE CUST PED,1,1,1,Supply,Implant/Supply
LACTATED RiNGERS INTRAVENOUS SOLUTION,1,1,1,Pharmacy,Pharmacy
POTASSIUM  SERUM,1,1,1,Laboratory,Laboratory
64999000 - COMP GI PANEL BY PCR,1,1,1,Laboratory,Laboratory
CUL BACT AEROBIC ADDL METHS DEFINITIVE EA ISOL,1,1,1,Laboratory,Laboratory
VENIPUNCTURE BLOOD COLLECT,1,1,1,Nursing Services,Laboratory
SET PRIMARY PUMP CLAVE,1,1,1,Supply,Implant/Supply
LIVER FUNCTION PANEL,1,1,1,Laboratory,Laboratory
TUBING LINE COILED FEM/MALE 60,1,1,1,Supply,Implant/Supply
HC DX GUIDEWIRE RAD,1,1,1,Supply,Implant/Supply
CATH ANGIO OMNI FLUSH 5FR 65CM/.038 10732203,1,1,1,Supply,Implant/Supply
NITRIC OXIDE EACH HOUR,1,1,1,Plan Benefit,Pharmacy
DRSG GZE 4X4 TUB 10CT 231751 - CSC,1,1,1,Supply,Implant/Supply
HB YEAST ID,1,1,1,Laboratory,Laboratory
27054009 - FLUORO GDE CVAD ACCESS/REM,1,1,1,Radiology,Radiology
SET GEM 20 DRIP,1,1,1,Supply,Implant/Supply
HB DRESSING VAC MEDIUM GRANUFOAM,1,1,1,Supply,Implant/Supply
HB ACETAMINOPHEN,1,1,1,Laboratory,Laboratory
LORAZEPAM INJ 2MG/ML TUBEX,1,1,1,Pharmacy,Pharmacy
DOCUSATE SODIUM/SENNOSIDES TAB,1,1,1,Pharmacy,Pharmacy
AMIODARONE 150MG/100ML INJ,1,1,1,Pharmacy,Pharmacy
SOD CHLORIDE 0.9% INJ 10; NACL 0.9% PF 10 ML VIAL,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HCT,1,1,1,Laboratory,Laboratory
HB TROCAR XCEL BLADELESS 12MMX100,1,1,1,Supply,Implant/Supply
NEONATAL INTENSIVE CARE I,1,1,1,Room and Board,Room & Board
HB DRAPE SURG L99INXW53IN INSTR P,1,1,1,Supply,Implant/Supply
NEONATAL INTENSIVE CARE M,1,1,1,Room and Board,Room & Board
ROOM M371 N,1,1,1,Room and Board,Intensive Care
TISSUE CULTURE,1,1,1,Laboratory,Laboratory
HEPARIN 10 UNITS/ML SOLN 3,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB ASCORBIC ACID 100 MG/ML DILUTION IN SW FOR T,1,1,1,Pharmacy,Pharmacy
DRA SUMP 3LUM W/FILT SIL .67X1,1,1,1,Supply,Implant/Supply
HC VANCOMYCIN RANDOM,1,1,1,Laboratory,Laboratory
HB GRAFT 1X3IN SUTURABLE MATRIX REGEN DURAL COL,1,1,1,Implant,Implant/Supply
XR CHEST PA & LAT,1,1,1,Radiology,Radiology
SURGERY 1ST 30M I/P,1,1,1,OR / Anesthesia / Recovery Room,OR Services
SODIUM LEVEL,1,1,1,Laboratory,Laboratory
