Original Description,Normalized Description,Charge Class,Flag,Feature 1,Feature 2,Feature 3,Feature 4
DOPP COLOR FL,doppler color flow,Cardiology,RETROSPECTIVE,color,flu,dopp,
VENTILATOR-ADULT SUBSEQ DAY,ventilator adult subsequent day,Respiratory Therapy,RETROSPECTIVE,ventilator,subseq,adult,day
HC YH SURG INTENS CARE UN,yh surgical intensive care unit,Room and Board,RETROSPECTIVE,units,surg,care,
HB SPIROMETRY,spirometry,Respiratory Therapy,RETROSPECTIVE,spirometry,,,
OT BASE CHARGE,occupational_therapy base charge,PT / OT / Speech Therapy,RETROSPECTIVE,charge,base,ot,
IMMUNE GLOBULIN (HUMAN) IV,immune globulin human intravenous,Pharmacy,RETROSPECTIVE,globulin,immune,iv,human
RX METRONIDAZOLE 500MG TB,rx metronidazole 500_mg tube,Pharmacy,RETROSPECTIVE,metronidazole,tb,rx,500_mg
MS CLOTH 2% GLUCO CHLOR 2P,med_surg cloth 2% glucose chloride 2_pack,Pharmacy,RETROSPECTIVE,chlor,glucose,,
INDIVIDUAL ACTIVITY PER 15 MIN,individual activity per 15 minutes,PT / OT / Speech Therapy,RETROSPECTIVE,min,per,,
HCHG PTT,partial_prothrombaplastin_time,Laboratory,RETROSPECTIVE,ptt,,,
PARTIAL THROMBOPLAST TIME PTT,partial thromboplastin time partial_prothrombaplastin_time,Laboratory,RETROSPECTIVE,thromboplastic,partial,ptt,time
HC ADMIN PNEUMONIA VACCINE,administration pneumonia vaccine,Nursing Services,RETROSPECTIVE,pneumonia,administration,vaccine,
ECHO 2D F-U,echocardiogram 2 follow up,Cardiology,RETROSPECTIVE,2d,units,f,echo
HC COMPLETED BLOOD PARAMETER,completed blood parameter,Laboratory,RETROSPECTIVE,completed,parameter,blood,
INJ IV PUSH,injection intravenous push,Nursing Services,RETROSPECTIVE,push,inj,iv,
POTASSIUM CHLORIDE LIQ 1.33MEQ,potassium chloride liquid 1.33_meq,Pharmacy,RETROSPECTIVE,1.33meq,potassium,chloride,liq
CHLORAPREP WITH TINT 26ML,chloraprep with tint 26_ml,Pharmacy,RETROSPECTIVE,26_ml,chloraprep,tint,
HEP PER 1000 UN (5000/ML)1 ML,heparin per 1000_units 5000/ml 1_ml,Pharmacy,RETROSPECTIVE,heparin,1_ml,1000_units,per
SOLN SALIN STERL 0.9PCT 1000ML,solution saline sterl 0.9pct 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,soln,1000_ml,,
VITAL HP 1000ML,vital high 1000_ml,Supply,RETROSPECTIVE,hap,vital,1000_ml,
SODIUM CHLORIDE 7 % NEBU,sodium chloride 7% nebulizer,Respiratory Therapy,RETROSPECTIVE,Nebulizer,chloride,nebu,sodium
BASE CHARGE,base charge,OR / Anesthesia / Recovery Room,RETROSPECTIVE,charge,base,,
EPHEDRINE 10ML INJ PRE-FILLED,ephedrine 10_ml injection pre filled,Pharmacy,RETROSPECTIVE,inj,10_ml,,
HC VANCOMYCIN RANDOM,vancomycin random,Laboratory,RETROSPECTIVE,random,vancomycin,,
RE-EVAL NON-BILL STAT OT,re evaluation non bill stat occupational_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,non,ot,stat,
HCHG LIPASE,lipase,Laboratory,RETROSPECTIVE,lipase,,,
NICARDIPINE-NACL 40MG/200ML SO,nicardipine sodium_chloride 40_mg/200_ml so,Pharmacy,RETROSPECTIVE,nicardipine,40_mg/200_ml,sodium_chloride,
HB CPAP INITIATION / MGMT,continuous_positive_airway_pressure initiation/mgmt,Respiratory Therapy,RETROSPECTIVE,initiation,mgmt,cpap,
MAGNESIUM,magnesium,Laboratory,RETROSPECTIVE,magnesium,,,
CHLORHEXIDINE ORAL RINSE 15ML,chlorhexidine oral rinse 15_ml,Pharmacy,RETROSPECTIVE,chlorhexidine,oral,rinse,15_ml
HEMODIALYSIS IP,hemodialysis inpatient,Dialysis,RETROSPECTIVE,ip,hemodialysis,,
TX SWAL/ORAL FUNCTION,treatment swallow/oral function,PT / OT / Speech Therapy,RETROSPECTIVE,function,swal,oral,tx
CALL RESPONSE,call response,Respiratory Therapy,RETROSPECTIVE,call,response,,
RE-EVALUATION OT,re evaluation occupational_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,ot,evaluation,,
LACTOBACILLUS RHAMNOSUS (G,lactobacillus rhamnosus gram,Pharmacy,RETROSPECTIVE,gas,lactobacillus,rhamnosus,
ROUNDS PER PATIENT (15 MIN),rounds per patient 15 minutes,Professional Fee,RETROSPECTIVE,Rounds,patient,per,
OR GEN LEVEL 1 EA ADD 15MIN,operation_room general level 1 each additional 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,level,additional,or,
PHENYLEPHRN HCL <=1ML 10ML SYR,phenylephrine hcl < 1_ml 10_ml syringe,Pharmacy,RETROSPECTIVE,syr,1_ml,10_ml,hcl
CANNULA VNS DL STG 29/37,cannula venous double_lumen stg 29/37,Supply,RETROSPECTIVE,dl,,,
675,675,Other,RETROSPECTIVE,,,,
HC CRYOPRECIPITATE 5 UNITS,cryoprecipitate 5_units,Blood Products,RETROSPECTIVE,5_units,cryoprecipitate,,
HB INHALATION TREATMENT-MU,inhalation treatment mu,Respiratory Therapy,RETROSPECTIVE,mu,inhalation,treatment,
C-ARM USAGE-STAT,arm usage stat,Radiology,RETROSPECTIVE,usage,stat,arm,
DRAPE C ARM,drape cap arm,Supply,RETROSPECTIVE,c,drape,arm,
SHEET CV SPLIT WITH TROUGHS,sheet cardiovascular split with troughs,Supply,RETROSPECTIVE,troughs,sheet,cv,split
ECMO DAILY CHARGE,extracorporeal_membrane_oxygenation daily charge,OR / Anesthesia / Recovery Room,RETROSPECTIVE,ecmo,charge,daily,
GASES BLOOD O2 DIRECT,gases blood oxygen direct,Laboratory,RETROSPECTIVE,o2,blood,gases,direct
GEN ANES OR 1ST HR,general anesthesia operation_room 1st hour,OR / Anesthesia / Recovery Room,RETROSPECTIVE,anesthesia,hr,or,
GEN ANES OR ADD 15MIN,general anesthesia operation_room additional 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,additional,anesthesia,or,
RE-EVAL NON-BILL STAT PT,re evaluation non bill stat physical_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,non,pt,stat,
INDIVIDUAL EXERCISE PER 15 MIN,individual exercise per 15 minutes,PT / OT / Speech Therapy,RETROSPECTIVE,min,per,exercise,
INDIV. EXER. PER 15 MIN. (OT),individual exercise per 15 minutes occupational_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,occupational_therapy,per,,
ENOXAPARIN 40 MG/0.4 ML SYRG,enoxaparin 40_mg/0.4_ml syringe,Pharmacy,RETROSPECTIVE,syrg,40_mg/0.4_ml,enoxaparin,
MAG SULFATE 2G BAG,mang sulfate 2_gm bag,Pharmacy,RETROSPECTIVE,bag,2g,sulfate,mag
HCHG ECHO COLOR FLOW VELOCITY MAP,echocardiogram color flow velocity map,Cardiology,RETROSPECTIVE,flow,echo,,
PRO-STAT 101 15GM LIQUID,products stat 101 15_gm liquid,Supply,RETROSPECTIVE,stat,liquid,,
CSF/BODY FLUID CELL CTDIFF,cerebrospinal_fluid/body fluid cell count_differential,Laboratory,RETROSPECTIVE,cell,ctdiff,cerebrospinal_fluid,body
ZINC CHLORIDE 1MG/1 ML 10ML,zinc chloride 1_mg/1_ml 10_ml,Pharmacy,RETROSPECTIVE,10_ml,chloride,zinc,1_mg/1_ml
OXYGEN DAILY,oxygen daily,Respiratory Therapy,RETROSPECTIVE,daily,oxygen,,
PANTOPRAZOLE 40 MG TBEC,pantoprazole 40_mg tablet_enteric_coated,Pharmacy,RETROSPECTIVE,tbec,pantoprazole,40_mg,
PHOSPHORUS,phosphorus,Laboratory,RETROSPECTIVE,phosphorus,,,
PHOSPHORUS BLOOD,phosphorus blood,Laboratory,RETROSPECTIVE,blood,phosphorus,,
POLYETHYLENE GLYCOL PACK,polyethylene glucol pack,Pharmacy,RETROSPECTIVE,polyethylene,glycol,pack,
POTASSIUM BLOOD,potassium blood,Laboratory,RETROSPECTIVE,potassium,blood,,
SILDENAFIL 20 MG TABS,sildenafil 20_mg tablets,Plan Benefit,RETROSPECTIVE,tabs,20_mg,sildenafil,
SODIUM BLOOD,sodium blood,Laboratory,RETROSPECTIVE,blood,sodium,,
SODIUM CHL 0.9% 100ML,sodium chloride 0.9% 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,chloride,sodium,
SODIUM CHLORIDE 0.9% 250ML,sodium chloride 0.9% 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,250_ml,chloride,sodium
PROCHLORPERAZINE 10MG/2ML INJ,prochlorperazine 10_mg/2_ml injection,Pharmacy,RETROSPECTIVE,inj,prochlorperazine,10_mg/2_ml,
VANCOMYCIN 500MG INJ,vancomycin 500_mg injection,Pharmacy,RETROSPECTIVE,inj,vancomycin,500_mg,
ACETAMINOPHEN 325MG TAB,acetaminophen 325_mg tablet,Pharmacy,RETROSPECTIVE,325_mg,tab,acetaminophen,
ACETAMINOPHEN 325 MG TAB,acetaminophen 325_mg tablet,Pharmacy,RETROSPECTIVE,325_mg,tab,acetaminophen,
PHENYLEPHRINE 10MG INJ,phenylephrine 10_mg injection,Pharmacy,RETROSPECTIVE,phenylephrine,inj,10_mg,
KETOROLAC 15MG/ML INJ,ketorolac 15_mg/ml injection,Pharmacy,RETROSPECTIVE,inj,15_mg/ml,ketorolac,
ABCIXIMAB 10 MG INJ,abciximab 10_mg injection,Pharmacy,RETROSPECTIVE,abciximab,inj,10_mg,
CEFAZOLIN 500 MG INJ,cefazolin 500_mg injection,Pharmacy,RETROSPECTIVE,cefazolin,inj,500_mg,
EZETIMIBE 10MG TAB,ezetimibe 10_mg tablet,Pharmacy,RETROSPECTIVE,10_mg,tab,ezetimibe,
FENTANYL CIT 0.1 MG IN,fentanyl citrate 0.1_mg injection,Pharmacy,RETROSPECTIVE,injection,fentanyl,0.1_mg,
VECURONIUM 10MG INJ,vecuronium 10_mg injection,Pharmacy,RETROSPECTIVE,inj,vecuronium,10_mg,
KETAMINE 500MG/10ML VL,ketamine 500_mg/10_ml vial,Pharmacy,RETROSPECTIVE,ketamine,vl,500_mg/10_ml,
ONDANSETRON 1MG INJ,ondansetron 1_mg injection,Pharmacy,RETROSPECTIVE,1_mg,ondansetron,inj,
SODIUM CHLORIDE 4 MEQ/ML SOLN 30 ML VIAL,sodium chloride 4_meq/ml solution 30_ml vial,Pharmacy,RETROSPECTIVE,vial,chloride,soln,sodium
MORPHINE SULF 30MG INJ,morphine sulfate 30_mg injection,Pharmacy,RETROSPECTIVE,30_mg,inj,morphine,
DRSG MPLX BRDR 3X3,dressing mepilex brdr 3x3,Supply,RETROSPECTIVE,mplx,3x3,brdr,
DRESSING HDRCLD 125X9C,dressing hydrocolloid 125x9c,Supply,RETROSPECTIVE,125x9c,hdrcld,dressing,
SODIUM CHLORIDE 0.9% 0.9 % SOLP 1 000 ML BAG,sodium chloride 0.9% 0.9% solution 1 000_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,bag,000_ml,chloride,
HC LEVEL-2 ROOM & BOARD (SEMI-PRIVATE 2 BEDS),level 2 room & board semi private 2 beds,Room and Board,RETROSPECTIVE,private,board,room,
DIPHENHYDRAMINE 50MG/ML INJ,diphenhydramine 50_mg/ml injection,Pharmacy,RETROSPECTIVE,diphenhydramine,inj,50_mg/ml,
RIVAROXABAN 10 MG TAB,rivaroxaban 10_mg tablet,Pharmacy,RETROSPECTIVE,rivaroxaban,tab,10_mg,
MIDAZOLAM 2MG/2ML INJ,midazolam 2_mg/2_ml injection,Pharmacy,RETROSPECTIVE,inj,midazolam,2_mg/2_ml,
WARFARIN 3 MG TABS 1 EAC,warfarin 3_mg tablets 1 each,Pharmacy,RETROSPECTIVE,tabs,warfarin,3_mg,
CATH EXCELSIOR SL-10-2-TIP,catheter excelsior silk 10 2 tip,Supply,RETROSPECTIVE,cath,tip, ,
ALLOPURINOL 100 MG TABS,allopurinol 100_mg tablets,Pharmacy,RETROSPECTIVE,allopurinol,tabs,100_mg,
FUROSEMIDE 80 MG TABS,furosemide 80_mg tablets,Pharmacy,RETROSPECTIVE,80_mg,furosemide,tabs,
WARFARIN 10 MG TABS 1 EA,warfarin 10_mg tablets 1 each,Pharmacy,RETROSPECTIVE,tabs,warfarin,10_mg,
WARFARIN 10 MG TABS,warfarin 10_mg tablets,Pharmacy,RETROSPECTIVE,tabs,warfarin,10_mg,
WARFARIN 2 MG TABS,warfarin 2_mg tablets,Pharmacy,RETROSPECTIVE,2_mg,warfarin,tabs,
BILIRUBIN DIRECT,bilirubin direct,Laboratory,RETROSPECTIVE,bilirubin,direct,,
HC POTASSIUM  SERUM,potassium serum,Laboratory,RETROSPECTIVE,potassium,serum, ,
HC CATH TRAY ONLY,catheter tray only,Supply,RETROSPECTIVE,cath,tray, ,
CELECOXIB 200MG CAP,celecoxib 200_mg capillary,Pharmacy,RETROSPECTIVE,200_mg,capillary,celecoxib,
OXYCODONE 5MG TAB,oxycodone 5_mg tablet,Pharmacy,RETROSPECTIVE,5_mg,oxycodone,tab,
PANTOPRAZOLE 40MG EC T,pantoprazole 40_mg each tab,Pharmacy,RETROSPECTIVE,eaac,pantoprazole,40_mg,
SENNA 8.6MG TAB,senna 8.6_mg tablet,Pharmacy,RETROSPECTIVE,senna,8.6_mg,tab,
MORPHINE 4MG/ML INJ,morphine 4_mg/ml injection,Pharmacy,RETROSPECTIVE,inj,morphine,4_mg/ml,
ROCURONIUM 50MG/5ML INJ,rocuronium 50_mg/5_ml injection,Pharmacy,RETROSPECTIVE,inj,rocuronium,50_mg/5_ml,
MORPHINE 2MG/ML INJ,morphine 2_mg/ml injection,Pharmacy,RETROSPECTIVE,2_mg/ml,inj,morphine,
MIDAZOLAM 2 MG INJ,midazolam 2_mg injection,Pharmacy,RETROSPECTIVE,2_mg,inj,midazolam,
BOVIE PENCIL HAND CONT,bovie pencil hand control,Supply,RETROSPECTIVE,pencil,bovie,container,
CAFFEINE CITRATE 20 MG/ML INJ 3 ML SYRINGE,caffeine citrate 20_mg/ml injection 3_ml syringe,Pharmacy,RETROSPECTIVE,syringe,inj,caffeine,
PROPOFOL 10MG INJ,propofol 10_mg injection,Pharmacy,RETROSPECTIVE,inj,propofol,10_mg,
HC TROPONIN,troponin,Laboratory,RETROSPECTIVE,troponin, , ,
ROPIVACAINE 150 MG INJ,ropivacaine 150_mg injection,Pharmacy,RETROSPECTIVE,ropivacaine,inj,150_mg,
PROPOFOL 500 MG INJ,propofol 500_mg injection,Pharmacy,RETROSPECTIVE,inj,propofol,500_mg,
HYDROMORPHONE 1MG/ML INJ.,hydromorphone 1_mg/ml injection,Pharmacy,RETROSPECTIVE,hydromorphone,inj.,1_mg/ml,
DIGOXIN 0.125 MG TABS,digoxin 0.125_mg tablets,Pharmacy,RETROSPECTIVE,digoxin,tabs,0.125_mg,
PREGABALIN 75MG CAP,pregabalin 75_mg capillary,Pharmacy,RETROSPECTIVE,75_mg,pregabalin,capillary,
OXYCODONE/APAP 5/325 T,oxycodone/apap 5/325 tab,Pharmacy,RETROSPECTIVE,5/325,apap,oxycodone,
ONDANSETRON 4 MG VL,ondansetron 4_mg vial,Pharmacy,RETROSPECTIVE,ondansetron,vl,4_mg,
NS 1000 ML,normal_saline 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,1000_ml,ns, ,
HYDRALAZINE 100 MG TABS,hydralazine 100_mg tablets,Pharmacy,RETROSPECTIVE,100_mg,tabs,hydralazine,
INDOMETHACIN 1 MG SOLR 1 EACH VIAL,indomethacin 1_mg solution 1 each vial,Pharmacy,RETROSPECTIVE,1_mg,vial,solution,
SHEATH ENGAGE 6FR 12CM 0.035,sheath engage 6fr 12cm 0.035,Supply,RETROSPECTIVE,sheath,0.035,engage,
FENTANYL 250MCG/5ML INJ,fentanyl 250_mcg/5_ml injection,Pharmacy,RETROSPECTIVE,inj,fentanyl,250_mcg/5_ml,
AMLODIPINE 10 MG TABS,amlodipine 10_mg tablets,Pharmacy,RETROSPECTIVE,amlodipine,tabs,10_mg,
STAPLE GUN SKN REG,staple gun skin regular,Supply,RETROSPECTIVE,skn,staple,reg,
DRESSING PETRO GZE 8X3,dressing petrolium gauze 8x3,Supply,RETROSPECTIVE,petrolium,8x3,gaze,
SIMVASTATIN 20MG TAB,simvastatin 20_mg tablet,Pharmacy,RETROSPECTIVE,simvastatin,20_mg,tab,
GUIDEWIRE SYNCHRO 2/14 200CM SOFT PRESHAPED,guidewire synchro 2/14 200cm soft preshaped,Supply,RETROSPECTIVE,guidewire,200cm,synchro,
ASPIRIN 325 MG TABS,aspirin 325_mg tablets,Pharmacy,RETROSPECTIVE,tabs,325_mg,aspirin,
HC INFLATION DEVICE KIT,inflation device kit,Supply,RETROSPECTIVE,device,inflation,kit,
GUIDEWIRE STARTER .35 FCJ 150CM LONG,guidewire starter 0.35 fcj 150cm long,Supply,RETROSPECTIVE,guidewire,150cm,0.35,
MELATONIN 3MG TAB,melatonin 3_mg tablet,Pharmacy,RETROSPECTIVE,melatonin,tab,3_mg,
BLADE COATED W/HEX,blade coated with hex,Supply,RETROSPECTIVE,hex,blade,coated,
WARFARIN 2.5 MG TABS 1 E,warfarin 2.5_mg tablets 1 e,Pharmacy,RETROSPECTIVE,tabs, , ,
WARFARIN 7.5 MG TABS,warfarin 7.5_mg tablets,Pharmacy,RETROSPECTIVE,tabs,warfarin,7.5_mg,
WARFARIN 5 MG TABS,warfarin 5_mg tablets,Pharmacy,RETROSPECTIVE,5_mg,warfarin,tabs,
WARFARIN 5 MG TABS 1 EAC,warfarin 5_mg tablets 1 each,Pharmacy,RETROSPECTIVE,5_mg,warfarin,tabs,
BANDAGE COBAN 4IN 5YD,bandage coban 4 inches 5yd,Supply,RETROSPECTIVE,inches, , ,
ROOM & BOARD - NICU LEVEL II,room & board neonatal_intensive_care_unit level ii,Room and Board,RETROSPECTIVE,level,nicu,room,
HYDRALAZINE 50 MG TABS,hydralazine 50_mg tablets,Pharmacy,RETROSPECTIVE,50_mg,tabs,hydralazine,
ROOM & BOARD - NICU LEVEL III,room & board neonatal_intensive_care_unit level iii,Room and Board,RETROSPECTIVE,level,nicu,iii,
EPTIFIBATIDE PER 5MG,eptifibatide per 5_mg,Pharmacy,RETROSPECTIVE,eptifibatide,5_mg,per,
NEOSTIGMINE 5MG/5ML INJ (PREFILL SYR),neostigmine 5_mg/5_ml injection prefill syringe,Pharmacy,RETROSPECTIVE,syringe,inj, ,
QUETIAPINE 300MG TAB,quetiapine 300_mg tablet,Pharmacy,RETROSPECTIVE,quetiapine,300_mg,tab,
OXYCODONE 20MG SR TAB,oxycodone 20_mg slow_release tablet,Pharmacy,RETROSPECTIVE,sara,20_mg,oxycodone,
FENTANYL 100MCG/2ML INJ.,fentanyl 100_mcg/2_ml injection,Pharmacy,RETROSPECTIVE,inj.,fentanyl,100_mcg/2_ml,
CALCIUM BLOOD,calcium blood,Laboratory,RETROSPECTIVE,calcium,blood, ,
HEPARIN 100 UNIT/ML SOLN 30 ML EXTEMP,heparin 100_units/ml solution 30_ml extemp,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,soln, ,
KIT CEMENT MIXEVAC 3,kit cement mixevac 3,Supply,RETROSPECTIVE,mixevac,cement,kit,
LISINOPRIL 15.25 2.5 MG TAB 100 EACH BOTTLE,lisinopril 15.25 2.5_mg tablet 100 each bottle,Pharmacy,RETROSPECTIVE,bottle,tab,lisinopril,
MULTIVITAMIN FE 0.5ML,multivitamin fe 0.5_ml,Pharmacy,RETROSPECTIVE,0.5_ml,fe,multivitamin,
HC CBC W AUTO DIFF,complete_blood_count with automated differential,Laboratory,RETROSPECTIVE,cbc,auto,diff,
CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL,caffeine citrate 20_mg/ml solution 3_ml vial,Pharmacy,RETROSPECTIVE,vial,soln,caffeine,
LISINOPRIL 40 MG TABS,lisinopril 40_mg tablets,Pharmacy,RETROSPECTIVE,tabs,40_mg,lisinopril,
ATORVASTATIN 80 MG TAB 90 EACH BOTTLE,atorvastatin 80_mg tablet 90 each bottle,Pharmacy,RETROSPECTIVE,bottle,tab, ,
GLYCOPYRROLATE 1MG/5ML INJ (PREFILL SYR),glycopyrrolate 1_mg/5_ml injection prefill syringe,Pharmacy,RETROSPECTIVE,syringe,inj, ,
CREATININE-BLOOD,creatinine blood,Laboratory,RETROSPECTIVE,creatinine,blood, ,
FENTANYL PER 0.1 MG,fentanyl per 0.1_mg,Pharmacy,RETROSPECTIVE,fentanyl,0.1_mg,per,
FIBRINOGEN,fibrinogen,Laboratory,RETROSPECTIVE,fibrinogen, , ,
MVI  PEDIATRIC INJ 10 ML EXTEMP,multivitamin pediatric injection 10_ml extemp,Pharmacy,RETROSPECTIVE,inj,10_ml,pediatric,
HEPARIN (PORCINE) 100 UNIT/ML SOLN 250 ML EXTEMP,heparin porcine 100_units/ml solution 250_ml extemp,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,250_ml,soln,
VERAPAMIL 2.5 MG/ML SOLN 2 ML VIAL,verapamil 2.5_mg/ml solution 2_ml vial,Pharmacy,RETROSPECTIVE,vial,2_ml,soln,
CMV QUANTITATIVE PCR,cytomegalovirus quantitative pcr,Laboratory,RETROSPECTIVE,pcr,quantitative,cmv,
TISSUE ADHESIV 0.7G TB,tissue adhesive 0.7_gm tube,Supply,RETROSPECTIVE,adhesive,tb,tissue,
NACL 2.5MEQ/ML 20ML,sodium_chloride 2.5_meq/ml 20_ml,Pharmacy,RETROSPECTIVE,2.5_meq/ml,20_ml,nacl,
PROSTHESIS PATELLA 38M,prosthesis patella 38m,Implant,RETROSPECTIVE,prosthesis,38m,patella,
BASIC MET PANEL CA TOTL,basic metabolic panel calcium total,Laboratory,RETROSPECTIVE,total,ca,metabolic,
PRAVASTATIN 20 MG TABS,pravastatin 20_mg tablets,Pharmacy,RETROSPECTIVE,20_mg,pravastatin,tabs,
HC RADIAL ARTERY KIT,radial artery kit,Supply,RETROSPECTIVE,artery,kit,radial,
SHEATH PINNACLE 1FR,sheath pinnacle 1fr,Supply,RETROSPECTIVE,sheath,pinnacle,1fr,
CATH BALLOON HYPERFORM 7X4,catheter balloon hyperform 7x4,Supply,RETROSPECTIVE,7x4,cath,balloon,
PREVNAR 13 0.5ML VACCINE,prevnar 13 0.5_ml vaccine,Pharmacy,RETROSPECTIVE,0.5_ml,prevnar,vaccine,
GLIDEWIRE STANDARD ANGLED TIP .035 180CM,glidewire standard angled tip 0.035 180cm,Supply,RETROSPECTIVE,tip,standard, ,
SHEATH FLEXOR CHECK FLO II 10F 40CM,sheath flexor check flo ii 10 40cm,Supply,RETROSPECTIVE,check, , ,
PEDIARIXVACC 0.5ML,pediarixvacc 0.5_ml,Pharmacy,RETROSPECTIVE,0.5_ml,pediarixvacc, ,
HC PTCA BALLOON CATHETER,ptca balloon catheter,Supply,RETROSPECTIVE,ptca,balloon,catheter,
OXYGEN 1 - 12 HR,oxygen 1 12 hour,Respiratory Therapy,RETROSPECTIVE,hr,oxygen, ,
CEMENT BN ENDRN 40GM,cement bone endrn 40_gm,Implant,RETROSPECTIVE,40_gm,bain,cement,
UA W MICRO AUTO,urinalysis with miscroscopic automated,Laboratory,RETROSPECTIVE,ua,micro,auto,
BNDG ESMK STRL LF 6IN,bandage esmark sterile line_flush 6 inches,Supply,RETROSPECTIVE,strl,inches, ,
COIL DETACHABLE SOFT TARGET 360 5X15,coil detachable soft target 360 5x15,Implant,RETROSPECTIVE,coil,detachable,soft,
MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL,midazolam 1_mg/ml solution 2_ml vial,Pharmacy,RETROSPECTIVE,vial,2_ml,midazolam,
COIL DETACHABLE HELICAL ULTRA TARGET 1MM X 3CM,coil detachable helical ultra target 1mm x 3cm,Implant,RETROSPECTIVE,3cm,detachable,target,
DEXTROSE 70 % SOLN 2 000 ML EXTEMP,dextrose 70% solution 2 000_ml extemp,Pharmacy,RETROSPECTIVE,000_ml,dextrose,soln,
RH TYPE,rhesus type,Laboratory,RETROSPECTIVE,rh,type, ,
DOCUSATE 100MG CAP,docusate 100_mg capillary,Pharmacy,RETROSPECTIVE,100_mg,capillary,docusate,
SPIRONOLACTONE 25 MG TAB,spironolactone 25_mg tablet,Pharmacy,RETROSPECTIVE,spironolactone,tab,25_mg,
CATH ENVOY XB 6FR 90CM MPD,catheter envoy xb 6fr 90cm mpd,Supply,RETROSPECTIVE,cath, , ,
COIL DETACHABLE ULTRA TARGET 360 3X8,coil detachable ultra target 360 3x8,Implant,RETROSPECTIVE,3x8,coil,detachable,
COIL DETACHABLE ULTRA TARGET 360 2X3,coil detachable ultra target 360 2x3,Implant,RETROSPECTIVE,coil,2x3,detachable,
COIL DETACHABLE ULTRA TARGET 360 4X10,coil detachable ultra target 360 4x10,Implant,RETROSPECTIVE,coil,detachable,target,
COIL DETACHABLE ULTRA TARGET 360 5X10,coil detachable ultra target 360 5x10,Implant,RETROSPECTIVE,5x10,coil,detachable,
SODIUM CHLORIDE 0.9 % SOLN 1 000 ML BOTTLE,sodium chloride 0.9% solution 1 000_ml bottle,Diluent / Flush / Irrigant,RETROSPECTIVE,000_ml,chloride,soln,
SNARE ENSNARE 27-15MM,snare ensnare 27 15mm,Supply,RETROSPECTIVE,snare,ensnare,15mm,
THER EXERCISES 15 MIN,therapist exercises 15 minutes,PT / OT / Speech Therapy,RETROSPECTIVE,exercises,ther,min,
TORSEMIDE 100 MG TABS,torsemide 100_mg tablets,Pharmacy,RETROSPECTIVE,100_mg,tabs,torsemide,
HC ED VISIT CRITICAL CARE M25,emergency_department visit critical care m25,Other,RETROSPECTIVE,critical,care, ,
INSULIN GLARGINE 100 UNI,insulin glargine 100_units,Pharmacy,RETROSPECTIVE,100_units,insulin,glargine,
PROTHROMBIN TIME W/INR,prothrombin time with inr,Laboratory,RETROSPECTIVE,time,inr,prothrombin,
PHENYLEPHRINE 1 000MCG/10ML(PREFILL SYR),phenylephrine 1 000_mcg/10_ml prefill syringe,Pharmacy,RETROSPECTIVE,syringe, , ,
TRAY 5 MBT TIB POR KEE,tray 5 mbt tibial porous knee,Supply,RETROSPECTIVE,tray, , ,
TRAY 4 MBT TIB POR KEE,tray 4 mbt tibial porous knee,Supply,RETROSPECTIVE,tray, , ,
WATER 1000ML AQUACS/12,water 1000_ml aquacs/12,Diluent / Flush / Irrigant,RETROSPECTIVE,water,aquaticus/12,1000_ml,
HC ANGRPH CATH F-UP STD TCAT OTHER THAN THROMBYLSIS,angiography catheter follow up standard transcatheter other than thrombolysis,Radiology,RETROSPECTIVE,follow,cath,std,
HAEMOPHB-TET TOX 0.5ML VACC,haemophilus tetnus tox 0.5_ml vacc,Pharmacy,RETROSPECTIVE,tet,tox,0.5_ml,
NICOTINE 7MG/24HR PATCH,nicotine 7_mg/24hr patch,Plan Benefit,RETROSPECTIVE,7_mg/24hr,nicotine,patch,
TORSEMIDE 20 MG TABS,torsemide 20_mg tablets,Pharmacy,RETROSPECTIVE,tabs,20_mg,torsemide,
CALCIUM GLUCONATE 10 % SOLN 10 ML EXTEMP,calcium gluconate 10% solution 10_ml extemp,Pharmacy,RETROSPECTIVE,calcium,10_ml,soln,
DOCUSATE SODIUM 100 MG C,docusate sodium 100_mg cap,Pharmacy,RETROSPECTIVE,100_mg,c,docusate,
CLOPIDOGREL 75 MG TAB 90 EACH BOTTLE,clopidogrel 75_mg tablet 90 each bottle,Pharmacy,RETROSPECTIVE,75_mg,bottle,tab,
REPLOGLE CATHETER,replogle catheter,Supply,RETROSPECTIVE,replogle,catheter, ,
