ORIG_DESC,NORM_DESC_pred,CHRG_CLS_actual,CHRG_CLS_pred,CONF_SCORE,Match_Voted
PREDNISONE 5MG-20MG TAB,prednisone 5_mg 20_mg tablet,Pharmacy,Pharmacy,0.93,1
PREGABALIN 75MG CAP,pregabalin 75_mg capillary,Pharmacy,Pharmacy,0.94,1
PREMASOL 10% 1L BY ML,premasol 10% 1l by ml,Pharmacy,Pharmacy,1.0,1
PRIVATE TELEMETRY,private telemetry,Room and Board,Room and Board,0.85,1
PROPOFOL 10 MG INJ,propofol 10_mg injection,Pharmacy,Pharmacy,1.0,1
PROPOFOL 10MG/ML 20ML VL,propofol 10_mg/ml 20_ml vial,Pharmacy,Pharmacy,0.91,1
PROPOFOL PER 10MG/100ML INJ,propofol per 10_mg/100_ml injection,Pharmacy,Pharmacy,0.96,1
PROTHROMBIN TIME 1,prothrombin time 1,Laboratory,Laboratory,0.98,1
PROTHROMBIN TIME INR,prothrombin time inr,Laboratory,Laboratory,0.97,1
PULSE OX-CONTINUOUS,pulse oximetry continuous,Monitoring,Monitoring,0.98,1
PULSE OXIMETER  DAILY,pulse oximeter daily,Monitoring,Monitoring,0.89,1
PULSE OXIMETRY SENSOR,pulse oximetry sensor,Supply,Monitoring,0.87,0
PULSE OXIMETRY SINGLE,pulse oximetry single,Monitoring,Monitoring,1.0,1
PULSE OXIMETRY SPOT CHEC,pulse oximetry spot check,Monitoring,Monitoring,0.88,1
PULSE OXIMETRY-PER HOUR,pulse oximetry per hour,Monitoring,Monitoring,0.9,1
PULSE OXIMETRY/DAILY,pulse oximetry/daily,Monitoring,Monitoring,0.96,1
PULSE OXIMTRY SINGLE,pulse oximetry single,Monitoring,Monitoring,0.91,1
QLAB=CALCIUM IONIZED,qlab calcium ionized,Laboratory,Laboratory,0.9,1
RANITIDINE 25 MG/ML SOLN,ranitidine 25_mg/ml solution,Pharmacy,Pharmacy,0.92,1
RB NEONATAL-ICU CRIT LEV 1,room_and_board neonatal intensive_care_unit critical level 1,Room and Board,Room and Board,0.98,1
RBC ANTIBODY SCREEN,red_blood_cell antibody screen,Laboratory,Laboratory,0.89,1
RBC LEUKOCYTES REDUCED EA UNIT,red_blood_cell leukocytes reduced each unit,Blood Products,Blood Products,0.92,1
RCH LAB-WHOLE BLOOD GLUCOS,laboratory whole blood glucose,Laboratory,Laboratory,0.88,1
RE-EVALUATION OT,re evaluation occupational_therapy,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.95,1
RECOVERY CLASS 2,recovery class 2,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.95,1
RED BLOOD CELLS LEUKO RED-CKBC,red blood cells leukocyte red ckbc,Blood Products,Blood Products,0.95,1
RIFAXIMIN 550 MG TAB,rifaximin 550_mg tablet,Pharmacy,Pharmacy,0.85,1
ROCURONIUM 10 MG/ML SOLN,rocuronium 10_mg/ml solution,Pharmacy,Pharmacy,0.98,1
ROCURONIUM 10 MG/ML SOLN 5 ML VIAL,rocuronium 10_mg/ml solution 5_ml vial,Pharmacy,Pharmacy,1.0,1
ROCURONIUM 100 MG/10ML SOLN,rocuronium 100_mg/10_ml solution,Pharmacy,Pharmacy,0.94,1
ROCURONIUM 10MG/ML 10ML VL,rocuronium 10_mg/ml 10_ml vial,Pharmacy,Pharmacy,0.87,1
ROCURONIUM 50MG/5ML BD SYRINGE,rocuronium 50_mg/5_ml bd syringe,Pharmacy,Pharmacy,0.9,1
ROCURONIUM BROM 10 MG / ML,rocuronium broom 10_mg/ml,Pharmacy,Pharmacy,0.93,1
ROOM & BOARD - NICU LEVEL II,room and_insert board neonatal_intensive_care_unit level ii,Room and Board,Room and Board,0.98,1
ROOM 5011,room 5011,Room and Board,Room and Board,0.92,1
ROOM 532 D,room 532 daily,Room and Board,Room and Board,0.92,1
ROOM 8016,room 8016,Room and Board,Room and Board,0.87,1
ROOM NICU,room neonatal_intensive_care_unit,Room and Board,Room and Board,0.96,1
ROOM RNB2,room room_and_board,Room and Board,Room and Board,0.92,1
ROPIVACAINE 1% INJ 10 ML,ropivacaine 1% injection 10_ml,Pharmacy,Pharmacy,0.88,1
RT POTASSIUM,respiratory_therapy potassium,Monitoring,Laboratory,0.9,0
SEDIMENTATION RATE RBC AUT,sedimentation rate red_blood_cell aut,Laboratory,Laboratory,0.93,1
SELFCARE HOME MGMT 15 MIN,selfcare home management 15 minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.98,1
SENNA/DOCUSATE 8.6/50 MG TAB,senna/docusate 8.6/50_mg tablet,Pharmacy,Pharmacy,0.96,1
SET IV EXT MIN-VOL 60,set intravenous extension minutes volume 60,Supply,Supply,1.0,1
SEVELAMER CARB POWD 8,sevelamer carb powd 8,Pharmacy,Pharmacy,0.85,1
SEVELAMER CARBONATE 800 MG,sevelamer carbonate 800_mg,Pharmacy,Pharmacy,0.87,1
SHEATH INTRO PINNACLE PERIPH GW6FRX10,sheath intro pinnacle peripheral gw6frx10,Supply,Supply,0.98,1
SILDENAFIL 100 MG TAB 30 EACH BOTTLE,sildenafil 100_mg tablet 30 each bottle,Plan Benefit,Plan Benefit,0.88,1
SILDENAFIL 2.5 MG/ML SU,sildenafil 2.5_mg/ml supply,Plan Benefit,Plan Benefit,0.97,1
SILDENAFIL 2.5 MG/ML SUSP 1 ML CUP,sildenafil 2.5_mg/ml suspension 1_ml cup,Plan Benefit,Plan Benefit,0.94,1
SILDENAFIL 2.5 MG/ML SUSPENSION,sildenafil 2.5_mg/ml suspension,Plan Benefit,Plan Benefit,1.0,1
SILDENAFIL 2.5MG/ML SUSP,sildenafil 2.5_mg/ml suspension,Plan Benefit,Plan Benefit,1.0,1
SILDENAFIL 2MG/ML 5ML LI,sildenafil 2_mg/ml 5_ml li,Plan Benefit,Plan Benefit,0.87,1
SILDENAFIL ORAL,sildenafil oral,Plan Benefit,Plan Benefit,0.86,1
SILDENAFIL SUSP 2.5MG/ML,sildenafil suspension 2.5_mg/ml,Plan Benefit,Plan Benefit,0.96,1
SILVER SULFADIAZINE CR 1% 50G,silver sulfadiazine chest_radiograft 1% 50_gm,Pharmacy,Pharmacy,0.92,1
SOCK STUMP 18X8X6,sock stump 18x8x6,Supply,Supply,0.93,1
SOD BICARB 8.4% 50MEQ,sodium bicarb 8.4% 50_meq,Pharmacy,Pharmacy,0.92,1
SOD BICARBONATE 8.4% 50 ML SYR,sodium bicarbonate 8.4% 50_ml syringe,Pharmacy,Pharmacy,0.88,1
SOD CHLOR 9% 20ML,sodium chloride 9% 20_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.93,1
SOD CHLORIDE 0.9% PER 250ML,sodium chloride 0.9% per 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.89,1
SOD CHLORIDE 0.9%/250ML 100ML,sodium chloride 0.9%/250_ml 100_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1
SODIUM C,sodium cap,Laboratory,Laboratory,0.95,1
SODIUM CHL 0,sodium chloride 0,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.91,1
SODIUM CHLORID,sodium chloride,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.98,1
SODIUM CHLORIDE 0.45 % SOLN 1 000 ML FLEX CONT,sodium chloride 0.45% solution 1 000_ml flex cont,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1
SODIUM CHLORIDE 0.45% FLUS,sodium chloride 0.45% flush,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.94,1
SODIUM CHLORIDE 0.9 % SO,sodium chloride 0.9% so,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.97,1
SODIUM CHLORIDE 0.9% 0.9% SOLN,sodium chloride 0.9% 0.9% solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.97,1
SODIUM CHLORIDE 0.9% 0.9% SYRG 10 ML SYRINGE,sodium chloride 0.9% 0.9% syringe 10_ml syringe,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.93,1
SODIUM CHLORIDE 0.9% 100ML 0264-1800-32,sodium chloride 0.9% 100_ml 264 1800 32,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.9,1
SODIUM CHLORIDE 0.9% 250ML,sodium chloride 0.9% 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.99,1
SODIUM CHLORIDE 0.9% 25ML,sodium chloride 0.9% 25_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.97,1
SODIUM CHLORIDE 0.9% 50ML BAG,sodium chloride 0.9% 50_ml bag,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1
SODIUM CHLORIDE 0.9% FLU,sodium chloride 0.9% flush,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.95,1
SODIUM CHLORIDE 0.9% IVPB  5,sodium chloride 0.9% intravenous_piggyback 5,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1
SODIUM CHLORIDE 0.9% SO,sodium chloride 0.9% so,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.97,1
SODIUM CHLORIDE 0.9% SOL,sodium chloride 0.9% solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.98,1
SODIUM CHLORIDE 0.9% SOLN,sodium chloride 0.9% solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1
SODIUM CHLORIDE 0.9% SOLP,sodium chloride 0.9% solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1
SODIUM CHLORIDE 0.9% SOLP 100 ML BAG,sodium chloride 0.9% solution 100_ml bag,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.97,1
SODIUM CHLORIDE 0.9% SOLP 250 ML FLEX CONT,sodium chloride 0.9% solution 250_ml flex cont,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.98,1
SODIUM CHLORIDE 4 MEQ/ML SOLP,sodium chloride 4_meq/ml solution,Pharmacy,Pharmacy,0.96,1
SODIUM CHLORIDE POWD 500 G JAR,sodium chloride powd 500 gram jar,Pharmacy,Pharmacy,0.91,1
SODIUM PHOSPHATE 3 MMOLE,sodium phosphate 3 mmole,Pharmacy,Pharmacy,0.85,1
SODIUM SERUM,sodium serum,Laboratory,Laboratory,0.85,1
SODIUM WHOLE BLOOD,sodium whole blood,Laboratory,Laboratory,0.96,1
SOL NACL 0.9PCT 1000ML BG,solution sodium_chloride 0.9pct 1000_ml blood_gas,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.92,1
SPECIMEN COLLECTION FEE,specimen collection fee,Nursing Services,Nursing Services,0.88,1
SPIRONOLACTONE 5 MG/ML SUSP 100 ML BOTTLE,spironolactone 5_mg/ml suspension 100_ml bottle,Pharmacy,Pharmacy,0.89,1
STERIL WATER INJ 10ML,sterile water injection 10_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.88,1
STERILE WATER FOR INJECTION 10,sterile water for injection 10,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.93,1
STERILE WATER FOR IRRIG 250ML,sterile water for irrigation 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.88,1
STERILE WATER QS BASE,sterile water quantity_sufficient base,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.89,1
STERILE WATER SOLN,sterile water solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1
STERILE WATER SOLP 1 000 ML BAG,sterile water solution 1 000_ml bag,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.95,1
STMETHICONE-80MG U/D,stmethicone 80_mg u/daily,Pharmacy,Pharmacy,0.94,1
SUCROSE N.F. 24% SOLUTION AMP 1ML,sucrose n male_female 24% solution ampule 1_ml,Pharmacy,Pharmacy,0.99,1
SUCTION ONLY,suction only,Respiratory Therapy,Respiratory Therapy,0.86,1
SUCTIONING,suctioning,Respiratory Therapy,Respiratory Therapy,0.9,1
SURG LEVEL IV-ADD 30 MIN,surgical level intravenous additional 30 minutes,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.91,1
SYRINGE PUMP,syringe pump,Capital Equipment,Capital Equipment,0.95,1
SYSTEM INTRO SS VALVED 9.0FRX13CM,system intro ss valved 9.0frx13cm,Supply,Supply,0.98,1
TB ET CUF INMD HI LO 7.5MM 864,tube et cuff inmd hi lo 7.5mm 864,Supply,Supply,0.87,1
TB ET CUF INTMED HI LO 8MM LF,tube et cuff intmed hi lo 8mm line_flush,Supply,Supply,0.97,1
TC LACTATE WHOLE BLOOD,lactate whole blood,Laboratory,Laboratory,0.91,1
TC XR ABDOMEN,x_ray abdomen,Radiology,Radiology,0.88,1
THER EXERCISE EA 15 MIN,therapist exercise each 15 minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.95,1
THERA ACTIVITIES 15 MIN,therapy activities 15 minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.85,1
THROMBOPLASTIN TM PRTL PLS,thromboplastin time prtl plasma,Laboratory,Laboratory,0.89,1
THROMBOPLASTIN TM PRTL PLSM/WHL BLD,thromboplastin time prtl plasma/whole blood,Laboratory,Laboratory,0.91,1
TISSUE EXAM PATHOLOGIST LEVEL5,tissue examination pathologist level5,Laboratory,Laboratory,0.98,1
TOBRAMYCIN 40 MG/ML SOLN 3,tobramycin 40_mg/ml solution 3,Pharmacy,Pharmacy,0.92,1
TORSEMIDE 100 MG TABS,torsemide 100_mg tablets,Pharmacy,Pharmacy,0.94,1
TPN - (PATIENTS 5-10 KG),total_parenteral_nutrition patients 5 10 kilogram,Pharmacy,Pharmacy,0.96,1
TRACH CARE KIT,tracheostomy care kit,Supply,Respiratory Therapy,0.85,0
TRANSDUCER,transducer,Supply,Supply,0.92,1
TRANSFUSION BLOOD OR BLOOD COMPONE,transfusion blood operation_room blood components,Nursing Services,Nursing Services,0.93,1
TRANSPORT-VENT PATIENT ADULT,transport ventilation patient adult,Respiratory Therapy,Respiratory Therapy,0.92,1
TRAY  TRACH CARE/EA,tray tracheostomy care/each,Supply,Supply,0.88,1
TREATMENT/SWALLOWING,treatment/swallowing,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.9,1
TRIAMCINOLONE 0.1% CREA 15,triamcinolone 0.1% cream 15,Pharmacy,Pharmacy,0.9,1
TRIGLYCERIDES,triglycerides,Laboratory,Laboratory,0.97,1
TROPICAMIDE 0.5% DROP 15 M,tropicamide 0.5% drop 15 m,Pharmacy,Pharmacy,0.91,1
TUBE  FEEDING  ROSS #6,tube feeding ross 6,Supply,Supply,0.87,1
TUBE SUCTION YANKAUER,tube suction yankauer,Supply,Supply,0.87,1
URNLS DIP STICK/TABLET RGN,urinalysis dip stick/tablet reagent,Laboratory,Laboratory,0.91,1
URSODIOL 300 MG CAPSULE,ursodiol 300_mg capsule,Pharmacy,Pharmacy,0.93,1
URSODIOL 60 MG/ML PO SUSP,ursodiol 60_mg/ml by_mouth suspension,Pharmacy,Pharmacy,0.93,1
US DPLR LIMIT ABD PELVIS S,ultrasound doppler_with limit abdomen pelvis s,Radiology,Radiology,0.85,1
VANCOMYCIN 1 GM/200ML SOLN,vancomycin 1_gm/200_ml solution,Pharmacy,Pharmacy,0.89,1
VANCOMYCIN 1GM/10ML INJ,vancomycin 1_gm/10_ml injection,Pharmacy,Pharmacy,0.92,1
VANCOMYCIN 500 MG IVPB,vancomycin 500_mg intravenous_piggyback,Pharmacy,Pharmacy,0.91,1
VANCOMYCIN 500MG INJ,vancomycin 500_mg injection,Pharmacy,Pharmacy,1.0,1
VANCOMYCIN HCL 500 M,vancomycin hcl 500 m,Pharmacy,Pharmacy,0.98,1
VANCOMYCIN TROUGH,vancomycin trough,Laboratory,Laboratory,0.88,1
VARICELLA ZOSTER AB,varicella zoster antibody,Laboratory,Pharmacy,0.85,0
VASOPRESSIN 100 UNITS IN 1,vasopressin 100_units in 1,Pharmacy,Pharmacy,0.91,1
VECURONIUM 1 MG/ML SOLR 1 EACH VIAL,vecuronium 1_mg/ml solution 1 each vial,Pharmacy,Pharmacy,0.89,1
VECURONIUM BR INJ 20MG - 20ML,vecuronium br injection 20_mg 20_ml,Pharmacy,Pharmacy,0.85,1
VENIPUNCTURE  ROUTINE,venipuncture routine,Nursing Services,Nursing Services,0.95,1
VENIPUNCTURE - CHRG ONLY,venipuncture charge only,Nursing Services,Nursing Services,0.93,1
VENIPUNCTURE COLLECTION,venipuncture collection,Nursing Services,Nursing Services,0.88,1
VENIPUNCTURE ROUTINE,venipuncture routine,Nursing Services,Nursing Services,0.95,1
VENTILATOR-ADULT SUBSEQ DAY,ventilator adult subsequent day,Respiratory Therapy,Respiratory Therapy,0.85,1
WALKING MOVING AROUND,walking moving around,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.9,1
WARFARIN 3 MG TABS 1 EAC,warfarin 3_mg tablets 1 each,Pharmacy,Pharmacy,0.96,1
WARMER HEEL INFANT,warmer heel infant,Supply,Supply,0.9,1
WATER FOR INJ 10ML,water for injection 10_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1
WATER FOR INJ IV,water for injection intravenous,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.95,1
WB GLUCOSE BY MONITOR DEVICE,whole_blood glucose by monitor device,Monitoring,Monitoring,0.87,1
XR CHEST 1 VIEW FRONTAL,x_ray chest 1 view front,Radiology,Radiology,0.86,1
XR CHEST 1V,x_ray chest one_view,Radiology,Radiology,1.0,1
XRAY ABDOMEN AP 1 VIEW,x-ray abdomen anterior_posterior 1 view,Radiology,Radiology,0.85,1
ZINC SULFATE 220MG CAPS,zinc sulfate 220_mg capsule,Pharmacy,Pharmacy,0.88,1
