Original Description,Normalized Description,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,CHRG_CLS,Voting Algorithm,Confidence Score,Match_Jaro,Match_DLevenshtein,Match_Logistic,Match_DeepNN,Match_Voted
CREATININE RANDOM URINE,creatinine random urine,Laboratory,0.85,Laboratory,0.88,Laboratory,0.939173564894,Laboratory,0.999784530569,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.917239523866,1,1,1,1,1
CROSS MATCH RESULT,cross match result,Laboratory,0.85,Laboratory,0.88,Supply,0.92,Supply,0.991903997673,Supply,Laboratory,"Logistic_OvR, DeepNN",0.477975999418,1,1,0,0,0
CROSSMATCH IMMEDIATE SPIN,crossmatch immediate spine,Laboratory,0.79,Laboratory,0.81,Radiology,0.369739295297,Radiology,0.408517371506,Laboratory,Laboratory,"Jaro, DLevenshtein",0.4,1,1,0,0,1
CRP-HIGH SENSITIVITY,c_reactive_protein high sensitivity,Professional Fee,0.72,Laboratory,0.81,Laboratory,0.939755678982,Laboratory,0.996977542436,Laboratory,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.686683305355,0,1,1,1,1
CSR-UNDERPAD ULTRASORBS 5PK; UNDERPAD ULTRASORBS 5PK,csr underpad ultrasorbs 5pk underpad ultrasorbs 5pk,Respiratory Therapy,0.7,Respiratory Therapy,0.31,Laboratory,0.96,Laboratory,0.521377419696,Laboratory,Supply,"Logistic_OvR, DeepNN",0.370344354924,0,0,0,0,0
CT ABDOMEN+PELVIS W/O CONTRAST,computed_tomography abdomen and pelvis without contrast,Radiology,0.85,Radiology,0.93,Radiology,0.928611069565,Radiology,0.999994048252,Radiology,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.927151279454,1,1,1,1,1
CT HEAD OR BRAIN W/O CONTRAST,computed_tomography head operation_room brain without contrast,Radiology,0.85,Radiology,0.88,Radiology,0.96,Radiology,0.999728102556,Radiology,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.922432025639,1,1,1,1,1
CT RETROPERITO ABSC DRN PERC,computed_tomography retroperitoneal absc drn percutaneous,Monitoring,0.72,Laboratory,0.38,Radiology,0.92,Radiology,0.973892907537,Radiology,Radiology,"Logistic_OvR, DeepNN",0.473473226884,0,0,1,1,1
CUFF BP ADULT MED DISP,cuff bp adult medical disposable,Supply,0.74,Supply,0.45,Supply,0.968329446807,Supply,0.999992588005,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.789580508703,1,1,1,1,1
CULT  URINE W CC (URIN),cult urine with cubic_centimeters urine,Laboratory,0.85,Laboratory,0.88,Laboratory,0.911765410065,Laboratory,0.997159205546,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.909731153903,1,1,1,1,1
CULT AEROBIC IDENTIF,cult aerobic identify,Laboratory,0.85,Laboratory,0.81,Laboratory,0.975232038227,Laboratory,0.999983360754,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.908803849745,1,1,1,1,1
CULT BACT QUANT A,cult bacteria quantitative a,Laboratory,0.75,Laboratory,0.81,Laboratory,0.970500494158,Laboratory,0.999999877605,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.882625092941,1,1,1,1,1
CULTURE RESPIRATORY,culture respiratory,Laboratory,0.85,Laboratory,0.81,Laboratory,0.92,Laboratory,0.977029864547,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.889257466137,1,1,1,1,1
CULTURE/BACTERIAL FLUID QT,culture/bacterial fluid quantitative,Laboratory,0.85,Laboratory,0.93,Laboratory,0.984831380565,Laboratory,0.999999709835,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.9412077726,1,1,1,1,1
D5W 1/2NS 1000ML/20MEQ KCL,dextrose_5%_in_water 1/2ns 1000_ml/20_meq potassuim_chloride,Diluent / Flush / Irrigant,0.73,Pharmacy,0.36,Pharmacy,0.92,Pharmacy,0.997885644041,Pharmacy,Diluent / Flush / Irrigant,"DLevenshtein, Logistic_OvR, DeepNN",0.56947141101,1,0,0,0,0
D5W 100ML IVF,dextrose_5%_in_water 100_ml intravenous_fluid,Diluent / Flush / Irrigant,0.85,Diluent / Flush / Irrigant,0.88,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.8430291283,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.883257282075,1,1,1,1,1
DAILY BED & SERVICE,daily bed and_insert service,Monitoring,0.75,OR / Anesthesia / Recovery Room,0.47,Capital Equipment,0.92,Capital Equipment,0.993330471729,Capital Equipment,Room and Board,"Logistic_OvR, DeepNN",0.478332617932,0,0,0,0,0
DEFIB EVERA MRI XT DR,defib evera magnetic_resonance_imagery xt drainage,Supply,0.71,Laboratory,0.35,Supply,0.76,Supply,0.90910855581,Supply,Supply,"Jaro, Logistic_OvR, DeepNN",0.594777138952,1,0,1,1,1
DEFIBROTIDE INJ MT2,defibrotide injection mt2,Pharmacy,0.73,Pharmacy,0.81,Pharmacy,0.907899301039,Pharmacy,0.707109418604,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.788752179911,1,1,1,1,1
DEVICE FOLEY CATH STATLOCK,device foley catheter statlock,Laboratory,0.72,Supply,0.43,Supply,0.900158205299,Supply,0.999935136137,Supply,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.582523335359,0,1,1,1,1
DEVICE INFLAT ENCORE 26 15-105,device inflation encore 26 15 105,Supply,0.71,Supply,0.36,Supply,0.92,Supply,0.98921321978,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.744803304945,1,1,1,1,1
DEX 5% IV 500ML,dextrose 5% intravenous 500_ml,Diluent / Flush / Irrigant,0.85,Diluent / Flush / Irrigant,0.81,Diluent / Flush / Irrigant,0.76,Diluent / Flush / Irrigant,0.844802208442,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.81620055211,1,1,1,1,1
DEXAMETHASONE (PER .25MG)4MG T,dexamethasone per 0.25_mg 4_mg tab,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.936985408253,Pharmacy,0.998732082493,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.916429372687,1,1,1,1,1
DEXAMETHASONE 0.5MG/5ML 0.5ML,dexamethasone 0.5_mg/5_ml 0.5_ml,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.916201100572,Pharmacy,0.992538772681,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.922184968313,1,1,1,1,1
DEXTROMETHORPHAN-GUAIFENESIN 30-600 MG TB12,dextromethorphan guaifenesin 30 600_mg tb12,Pharmacy,0.76,Pharmacy,0.81,Pharmacy,0.939360679485,Pharmacy,0.999061636705,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.877105579048,1,1,1,1,1
DEXTROSE 10% IN WATER (D10W) 10 % SOLP 250 ML BAG,dextrose 10% in water dextrose_10% 10% solution 250_ml bag,Pharmacy,0.85,Pharmacy,0.81,Diluent / Flush / Irrigant,0.543163856989,Pharmacy,0.911987198924,Pharmacy,Pharmacy,"Jaro, DLevenshtein, DeepNN",0.642996799731,1,1,0,1,1
DEXTROSE 5% AND LACTATED RINGERS 5 % SOLN,dextrose 5% and lactated ringers 5% solution,Diluent / Flush / Irrigant,0.76,Diluent / Flush / Irrigant,0.81,Diluent / Flush / Irrigant,0.519552342569,Pharmacy,0.653945784606,Diluent / Flush / Irrigant,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.522388085642,0,0,0,1,0
DEXTROSE/TROPHAMINE BAG LINE,dextrose/trophamine bag line,Diluent / Flush / Irrigant,0.77,Diluent / Flush / Irrigant,0.81,Supply,0.76,Supply,0.97912933143,Supply,Pharmacy,"Logistic_OvR, DeepNN",0.434782332857,0,0,0,0,0
DIGOXIN 0.125 MG TABS,digoxin 0.125_mg tablets,Laboratory,0.85,Pharmacy,0.81,Pharmacy,0.918616042763,Pharmacy,0.988933220155,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.679387315729,0,1,1,1,1
DIPHENHYDRAMINE-ZINC ACETATE 2-0.1 % CREA 28 G TUBE,diphenhydramine zinc acetate 2 0.1% cream 28 gram tube,Pharmacy,0.74,Pharmacy,0.45,Pharmacy,0.928418969234,Pharmacy,0.99469734385,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.778279078271,1,1,1,1,1
DISP: 0.360 ML; 15 MG/ML; USED NDC QTY: 1.000 PCK OF 473.000 ML BOTTLE RANITIDINE 15 MG/ML SYRUP,dispensed_1_5% 0.360_ml 15_mg/ml used ndc quantity 1 pack of 473.000_ml bottle ranitidine 15_mg/ml syrup,Pharmacy,0.75,Pharmacy,0.88,Pharmacy,0.974651238654,Pharmacy,0.999601799197,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.901063259463,1,1,1,1,1
DISP: 0.500 ML; 400 MCG/ML; USED NDC QTY: 1.000 PCK OF 60.000 ML DROP BTL PEDIATRIC MULTIVITAMIN COMB NO.40-PHYTONADIONE 400 MCG/ML ORAL DROPS,dispensed_1_5% 0.500_ml 400 mcg/ml used ndc quantity 1 pack of 60.000_ml drop btl pediatric multivitamin comb no.40 phytonadione 400 mcg/ml oral drops,Pharmacy,0.76,Pharmacy,0.81,Pharmacy,0.977066941876,Pharmacy,0.999864904257,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.886732961533,1,1,1,1,1
DISP: 0.500 ML; 400 UNIT/ML; USED NDC QTY: 1.000 PCK OF 50.000 ML DROP BTL CHOLECALCIFEROL (VITAMIN D3) 400 UNIT/ML ORAL DROPS,dispensed_1_5% 0.500_ml 400_units/ml_used ndc quantity 1 pack of 50.000_ml drop btl cholecalciferol vitamin d3 400_units/ml oral drops,Diluent / Flush / Irrigant,0.75,Pharmacy,0.88,Pharmacy,0.981270282047,Pharmacy,0.999959396156,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.715307419551,0,1,1,1,1
DISP: 50.000 ML; 5 %; USED NDC QTY: 1.000 PCK OF 50.000 ML VIAL ALBUMIN HUMAN 5 % IV SOLUTION ANE ALBUMIN 5 % BOLUS (50 ML),dispensed_1_5% 50.000_ml 5% used ndc quantity 1 pack of 50.000_ml vial albumin human 5% intravenous solution ane albumin 5% bolus 50_ml,Pharmacy,0.74,Pharmacy,0.81,Pharmacy,0.965963375047,Pharmacy,0.99999638025,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.878989938824,1,1,1,1,1
DORNASE 1 MG/ML I,dornase 1_mg/ml i,Plan Benefit,0.85,Plan Benefit,0.88,Pharmacy,0.538551455548,Plan Benefit,0.99873161654,Plan Benefit,Plan Benefit,"Jaro, DLevenshtein, DeepNN",0.682182904135,1,1,0,1,1
DORNASE ALFA INHA SOLN; DORNASE ALFA NEB 1 MG/ML (2.5 ML),dornase alpha inhalation solution dornase alpha nebulizer 1_mg/ml 2.5_ml,Plan Benefit,0.76,Plan Benefit,0.81,Plan Benefit,0.981641603492,Plan Benefit,0.999999998455,Plan Benefit,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.887910400487,1,1,1,1,1
DORNASE PULMOZYME 2.5 MG I,dornase pulmozyme 2.5_mg i,Plan Benefit,0.77,Plan Benefit,0.81,Pharmacy,0.527237582225,Plan Benefit,0.991282230739,Plan Benefit,Plan Benefit,"Jaro, DLevenshtein, DeepNN",0.642820557685,1,1,0,1,1
DRAPE EXTREMITY LWR 88X131IN 89276 - CSC,drape extremity lower 88x131 inches 89276 csc,Laboratory,0.7,Supply,0.33,Supply,0.96,Supply,0.999105993236,Supply,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.572276498309,0,1,1,1,1
DRAPE HALF SHEET,drape half sheet,Supply,0.79,Supply,0.93,Supply,0.96,Supply,0.999597080214,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.919899270054,1,1,1,1,1
DRAPE IOBAN X LARGE,drape ioban x large,Supply,0.79,Supply,0.88,Supply,0.96,Supply,0.999912552153,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.907478138038,1,1,1,1,1
DRAPE SYS UNIV HD CVARTS 89454,drape system univ hand cvarts 89454,Supply,0.74,Supply,0.32,Supply,0.96,Supply,0.999936903517,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.754984225879,1,1,1,1,1
DRAPE ULTRASOUND PROLIE 3687,drape ultrasound prolamine 3687,Laboratory,0.69,Supply,0.36,Radiology,0.495307249636,Supply,0.957543677821,Supply,Supply,"DLevenshtein, DeepNN",0.329385919455,0,1,0,1,1
DRESSING AQUAGUARD 7X7 OWEN,dressing aquaguard 7x7 owen,Supply,0.85,Supply,0.81,Supply,0.933633730402,Supply,0.999984429211,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.898404539903,1,1,1,1,1
DRESSING HDRCLD 125X9C,dressing hydrocolloid 125x9c,Supply,0.77,Supply,0.81,Supply,0.919075844922,Supply,0.999967270861,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.874760778946,1,1,1,1,1
DRS AQUACEL 5X5/420619,dressing aquacel 5x5/420619,Supply,0.72,Supply,0.45,Supply,0.920062168816,Supply,0.999942173673,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.772501085622,1,1,1,1,1
DRSG ANTIMICROBAL W/CHG 1,dressing antimicrobial w charge 1,Supply,0.85,Supply,0.81,Supply,0.96,Supply,0.999091176286,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.904772794071,1,1,1,1,1
DRSG KERLEX HEADROLL,dressing kerlix headroll,Supply,0.68,Supply,0.39,Supply,0.920062168816,Supply,0.999942173673,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.747501085622,1,1,1,1,1
DRSG MEPLIEX BDR 6X6 295400,dressing mepliex border 6x6 295400,Supply,0.72,Supply,0.81,Supply,0.908333036362,Supply,0.999972423303,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.859576364916,1,1,1,1,1
DRSG MPLX BRDR 3X3,dressing mepilex brdr 3x3,Supply,0.85,Supply,0.81,Supply,0.923535396412,Supply,0.999952360017,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.895871939107,1,1,1,1,1
DRUG SCRN CHEW A,drug screen chew a,Laboratory,0.78,Laboratory,0.81,Pharmacy,0.407888369114,Supply,0.96687607274,Laboratory,Pharmacy,"Jaro, DLevenshtein",0.3975,0,0,1,0,0
DSG ABD 8X10,dressing abdomen 8x10,Supply,0.76,Supply,0.81,Supply,0.96,Supply,0.999859819692,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.882464954923,1,1,1,1,1
DUAL LUMEN CENTRAL LINE,dual lumen central line,Supply,0.72,Supply,0.81,Supply,0.96,Supply,0.999277017778,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.872319254445,1,1,1,1,1
DUONEB INHALATION SOLUTION 3ML,duoneb inhalation solution 3_ml,Capital Equipment,0.7,Respiratory Therapy,0.81,Supply,0.582397033039,Supply,0.992741661603,Supply,Supply,"Logistic_OvR, DeepNN",0.39378467366,0,0,1,1,1
ECHO 2D F-U,echocardiogram 2 male_female up,Supply,0.68,Monitoring,0.38,Laboratory,0.390592608476,Supply,0.667713334118,Supply,Cardiology,"Jaro, DeepNN",0.33692833353,0,0,0,0,0
ECHO ANOMALIES COMP,echocardiogram anomalies component,Cardiology,0.78,Cardiology,0.81,Laboratory,0.450646052247,Cardiology,0.963860390431,Cardiology,Cardiology,"Jaro, DLevenshtein, DeepNN",0.638465097608,1,1,0,1,1
ECMO DAILY CHARGE,extracorporeal_membrane_oxygenation daily charge,Respiratory Therapy,0.85,Respiratory Therapy,0.88,Respiratory Therapy,0.3871478965,Respiratory Therapy,0.738145862664,Respiratory Therapy,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.713823439791,0,0,0,0,0
EEG,electroencephalogram,Cardiology,0.78,Cardiology,0.88,Laboratory,0.451607275455,Supply,0.35140333334,Cardiology,Procedure,"Jaro, DLevenshtein",0.415,0,0,0,0,0
EEG AWAKE AND ASLEEP 20-40 MIN,electroencephalogram awake and asleep 20 40 minutes,Diluent / Flush / Irrigant,0.69,OR / Anesthesia / Recovery Room,0.38,PT / OT / Speech Therapy,0.369542645111,Cardiology,0.34783134008,Diluent / Flush / Irrigant,Procedure,Jaro,0.1725,0,0,0,0,0
EEG AWAKE AND ASLEEP 20-40 MIN-INT,electroencephalogram awake and asleep 20 40 minutes int,Diluent / Flush / Irrigant,0.69,Pharmacy,0.33,PT / OT / Speech Therapy,0.286344170259,Procedure,0.379992387855,Diluent / Flush / Irrigant,Cardiology,Jaro,0.1725,0,0,0,0,0
EEG VIDEO PER 24,electroencephalogram video per 24,Monitoring,0.7,Supply,0.38,Cardiology,0.401327008625,Supply,0.401542050907,Supply,Cardiology,"DLevenshtein, DeepNN",0.195385512727,0,0,1,0,0
EGG CRATE PAD,egg crate pad,Respiratory Therapy,0.68,Laboratory,0.45,Supply,0.96,Supply,0.999956698179,Supply,Supply,"Logistic_OvR, DeepNN",0.489989174545,0,0,1,1,1
EMERG NIV SUBSEQUENT DAY,emergent noninvasive_ventilator subsequent day,Respiratory Therapy,0.73,Plan Benefit,0.88,Respiratory Therapy,0.92,Respiratory Therapy,0.999729727176,Respiratory Therapy,Respiratory Therapy,"Jaro, Logistic_OvR, DeepNN",0.662432431794,1,0,1,1,1
END TIDAL C02,end tidal carbon_dioxide,Monitoring,0.85,Monitoring,0.48,Monitoring,0.36614775986,Monitoring,0.590767795993,Monitoring,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.571728888963,1,1,1,1,1
ENTERAL FEEDING BAG EACH,enteral feeding bag each,Supply,0.85,Supply,0.88,Supply,0.907781923732,Supply,0.999896614585,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.909419634579,1,1,1,1,1
EPINEPHR 1MG-1ML INJ,epinephrine 1_mg 1_ml injection,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.950771767419,Pharmacy,0.998519697696,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.932322866279,1,1,1,1,1
ER ROOM L5 (LIFE THREAT),emergency_room room l5 life threat,Supply,0.7,Room and Board,0.44,Room and Board,0.92,Room and Board,0.998586970122,Room and Board,Other,"DLevenshtein, Logistic_OvR, DeepNN",0.589646742531,0,0,0,0,0
EVARREST,evarrest,Supply,0.7,PT / OT / Speech Therapy,0.45,Laboratory,0.174458745344,Supply,0.362877023372,Supply,Supply,"Jaro, DeepNN",0.265719255843,1,0,0,1,1
EXERCISER THERABND MED RD PER YD,exerciser therabnd medical rd per yard,PT / OT / Speech Therapy,0.7,Plan Benefit,0.37,Room and Board,0.461924470193,Supply,0.538879862398,PT / OT / Speech Therapy,Supply,Jaro,0.175,0,0,0,1,0
EXHALED CARBON DIOXIDE TEST,exhaled carbon dioxide test,Monitoring,0.78,Laboratory,0.81,Laboratory,0.76,Monitoring,0.956146729407,Monitoring,Monitoring,"Jaro, DeepNN",0.434036682352,1,0,0,1,1
EZETIMIBE 10MG TAB,ezetimibe 10_mg tablet,Pharmacy,0.76,Pharmacy,0.88,Pharmacy,0.958980336298,Pharmacy,0.991590138256,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.897642618638,1,1,1,1,1
FEEDING PUMP,feeding pump,Capital Equipment,0.85,Supply,0.88,Capital Equipment,0.96,Capital Equipment,0.966999034901,Capital Equipment,Capital Equipment,"Jaro, Logistic_OvR, DeepNN",0.694249758725,1,0,1,1,1
FEEDING PUMP DLY,feeding pump daily,Capital Equipment,0.75,Capital Equipment,0.81,Capital Equipment,0.96,Capital Equipment,0.994571687636,Capital Equipment,Capital Equipment,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.878642921909,1,1,1,1,1
FENTANYL CIT 10MCG/ML 1ML NSY,fentanyl citrate 10_mcg/ml 1_ml nursery,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.975045358188,Pharmacy,0.999517736938,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.926140773781,1,1,1,1,1
FETAL NON STRESS TEST,fetal non stress test,Respiratory Therapy,0.74,Supply,0.45,Laboratory,0.96,Laboratory,0.997880762329,Laboratory,Monitoring,"Logistic_OvR, DeepNN",0.489470190582,0,0,0,0,0
FFP W/L 24HRS,fresh_frozen_plasma w liter 24_hours,Blood Products,0.62,Blood Products,0.44,Pharmacy,0.448186828868,Supply,0.756454026107,Blood Products,Blood Products,"Jaro, DLevenshtein",0.265,1,1,0,0,1
FIBRN ACTV,fibrinogin actv,Laboratory,0.85,Laboratory,0.81,Laboratory,0.174458745344,Supply,0.362877023372,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR",0.458614686336,1,1,1,0,1
FIRST 1/2 HOUR GEN,first 1/2 hour general,OR / Anesthesia / Recovery Room,0.72,OR / Anesthesia / Recovery Room,0.47,OR / Anesthesia / Recovery Room,0.76,OR / Anesthesia / Recovery Room,0.85722947151,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.701807367878,1,1,1,1,1
FLOUROSCOPY,flouroscopy,Procedure,0.71,Procedure,0.81,Laboratory,0.174458745344,Supply,0.362877023372,Procedure,Radiology,"Jaro, DLevenshtein",0.38,0,0,0,0,0
FLUCONAZOLE 200MG/NS 100ML INJ,fluconazole 200_mg/normal_saline 100_ml injection,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.76,Pharmacy,0.962845429871,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.863211357468,1,1,1,1,1
FLUOROSCOPY GREATER THAN 1HR,fluoroscopy greater than 1hr,Laboratory,0.69,Monitoring,0.4,Radiology,0.417312445199,Cardiology,0.533197814458,Laboratory,Radiology,Jaro,0.1725,0,0,1,0,0
FLUTICASONE 44 MCG/PUFF AERO 10.6 G AER W/ADAP,fluticasone 44 mcg_gram_aerosol/puff aero 10.6 gram aero w adapter,Pharmacy,0.7,Pharmacy,0.31,Pharmacy,0.57616955055,Supply,0.843974111,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.396542387637,1,1,1,0,1
FOLATE SERUM,folate serum,Laboratory,0.78,Laboratory,0.88,Laboratory,0.930030647861,Laboratory,0.999190201504,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.897305212341,1,1,1,1,1
FOLIC ACID 5 MG/ML SOLN,folic acid 5_mg/ml solution,Pharmacy,0.77,Pharmacy,0.88,Pharmacy,0.912396150513,Pharmacy,0.925161718509,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.871889467256,1,1,1,1,1
FOLIC ACID SERUM,folic acid serum,Pharmacy,0.77,Laboratory,0.81,Laboratory,0.92822984707,Laboratory,0.999599839775,Laboratory,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.684457421711,0,1,1,1,1
FORMULA: ENFAMIL ENFACARE,formula enfamil enfacare,Supply,0.75,Supply,0.47,Laboratory,0.511896919142,Supply,0.974543214516,Supply,Supply,"Jaro, DLevenshtein, DeepNN",0.548635803629,1,1,0,1,1
FORMULA: ENFAMIL PREMATURE,formula enfamil premature,Nursing Services,0.73,Supply,0.41,Laboratory,0.96,Supply,0.972785667637,Supply,Supply,"DLevenshtein, DeepNN",0.345696416909,0,1,0,1,1
FORMULA: PEPTAMEN JR 30 KCAL/OUNCE,formula peptamen jr 30 kcal/ounce,Supply,0.77,Supply,0.88,Supply,0.926589087957,Supply,0.999983949501,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.894143259365,1,1,1,1,1
FORMULA: PREGESTIMIL LIPIL 20 KCAL/OUNCE,formula pregestimil lipil 20 kcal/ounce,Supply,0.73,Supply,0.88,Supply,0.96,Supply,0.999971375577,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.892492843894,1,1,1,1,1
FOSPHENYTION 50 MG PE/ML I,fosphenytion 50_mg pe/ml i,Plan Benefit,0.72,Pharmacy,0.44,Pharmacy,0.967946228346,Pharmacy,0.997033733987,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.601244990583,0,1,1,1,1
GAUZE  KERLIX 4.5,gauze kerlix 4.5,Supply,0.69,Supply,0.81,Supply,0.96,Supply,0.999877572817,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.864969393204,1,1,1,1,1
GENTAMICIN UP TO 90 MG,gentamicin up to 90_mg,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.93667050382,Pharmacy,0.998889498022,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.916390000461,1,1,1,1,1
GERIRATRIC PSY INPATIENT,geriatric psych inpatient,Laboratory,0.75,Room and Board,0.81,Room and Board,0.434500504948,Room and Board,0.656339014486,Room and Board,Room and Board,"DLevenshtein, Logistic_OvR, DeepNN",0.475209879859,0,1,1,1,1
GGT (GT),ggt gast,Laboratory,0.68,Laboratory,0.43,Laboratory,0.96,Laboratory,0.830986841239,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.72524671031,1,1,1,1,1
GLIPIZIDE 5 MG TAB,glipizide 5_mg tablet,Pharmacy,0.79,Pharmacy,0.88,Pharmacy,0.936980836483,Pharmacy,0.99305193446,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.900008192736,1,1,1,1,1
GLOVE SKINSENSE 7 31470,glove skinsense 7 31470,Supply,0.69,Supply,0.38,Supply,0.918834044789,Supply,0.999981113654,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.747203789611,1,1,1,1,1
GLUC-6-PHOS DEHYDRO QT (QG,glucose 6 phosphate dehydro quantitative qg,Laboratory,0.78,Monitoring,0.45,Laboratory,0.96,Laboratory,0.995793785684,Laboratory,Laboratory,"Jaro, Logistic_OvR, DeepNN",0.683948446421,1,0,1,1,1
GLUCOSE-SCREENING,glucose screening,Supply,0.85,Nursing Services,0.81,Monitoring,0.527972896428,Monitoring,0.898861333066,Monitoring,Monitoring,"Logistic_OvR, DeepNN",0.356708557374,0,0,1,1,1
GLUTAMYLTRASE GAMMA,glutamyltransferase gamma,Laboratory,0.73,Laboratory,0.81,Laboratory,0.92,Laboratory,0.814107747691,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.818526936923,1,1,1,1,1
