Original Description,Normalized Description,Changes,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_DLevenshtein,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
HB TRAY  URETH  CATH  RED,tray urethral catheter red,tray:tray||ureth:urethral||cath:catheter||red:red||,Supply,0.76,Supply,0.81,Supply,0.955844779412,Supply,0.999758657706,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.881400859279,cath,tray,red,ureth
HB TUBING IV 3 PORT NEEDLE FREE,tubing intravenous 3 port needle free,tubing:tubing||iv:intravenous||3:3||port:port||needle:needle||free:free||,Supply,0.73,Supply,0.44,Supply,0.918464014245,Supply,0.997396183066,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.771465049328,tubing,needle,iv,free
HB TUMOR SETUP,tumor setup,tumor:tumor||setup:setup||,Procedure,0.76,Procedure,0.43,Radiology,0.528876633014,Procedure,0.926276702748,Procedure,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.705425567583,tumor,setup,,
HB ZOFRAN 4MG/2ML IV SOLN,zofran 4_mg/2_ml intravenous solution,zofran:zofran||4mg:4_mg||2ml:2_ml||iv:intravenous||soln:solution||,Pharmacy,0.77,Pharmacy,0.81,Pharmacy,0.952250216001,Pharmacy,0.999608405517,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.882964655379,zofran,soln,4_mg/2_ml,iv
HBC IV SINGLE LINE PUMP,hbc intravenous single line pump,hbc:hbc||iv:intravenous||single:single||line:line||pump:pump||,Capital Equipment,0.85,Capital Equipment,0.81,Capital Equipment,0.76,Capital Equipment,0.975594904926,Capital Equipment,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.848898726231,single,line,iv,hbc
HC 3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,3 rendering w interpretation_&_postprocedure difficile_clostridium work station,3d:3||rendering:rendering||with:w||interp&postproc:interpretation_&_postprocedure||diff:difficile_clostridium||work:work||station:station||,Laboratory,0.69,Laboratory,0.33,Laboratory,0.96,Laboratory,0.953561701309,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.733390425327,interpretation_&_postprocedure,work,rendering,station
HC 94760 NONINVASIVE EAR/PULSE *,non_invasive ear/pulse,noninvasive:non_invasive||ear:ear||pulse:pulse||,Room and Board,0.69,Room and Board,0.33,Radiology,0.316746180835,Procedure,0.929197386913,Room and Board,"Jaro, DLevenshtein",2,1,1,0,0,0.255,noninvasive,ear,pulse,
HC 97116 PT GAIT TRAINING EA 15 MIN,patient gait training each 15 minutes,pt:patient||gait:gait||training:training||ea:each||15:15||min:minutes||,PT / OT / Speech Therapy,0.79,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.92,PT / OT / Speech Therapy,0.972884440821,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.873221110205,min,training,pt,gait
HC ANES US GUIDE VASCULAR ACCESS,anesthesia ultrasound guide vascular access,anes:anesthesia||us:ultrasound||guide:guide||vascular:vascular||access:access||,Radiology,0.77,Radiology,0.93,Radiology,0.92,Radiology,0.889955386386,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.877488846597,access,us,vascular,anesthesia
HC BAIRHUGGER SLEEVE,bairhugger sleeve,bairhugger:bairhugger||sleeve:sleeve||,Laboratory,0.72,Supply,0.42,Supply,0.96,Supply,0.991791927353,Supply,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.790597309118,sleeve,bairhugger,,
HC BB RBC LEUKO REDUCED,blood_bank red_blood_cell leukocyte reduced,bb:blood_bank||rbc:red_blood_cell||leuko:leukocyte||reduced:reduced||,Blood Products,0.85,Blood Products,0.93,Laboratory,0.536919147589,Blood Products,0.983931259699,Blood Products,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.9213104199,rbc,leukocyte,reduced,bb
HC BLANKET WARMING UNDERBODY ADULT,blanket warming underbody adult,blanket:blanket||warming:warming||underbody:underbody||adult:adult||,Supply,0.7,Supply,0.47,Supply,0.96,Supply,0.994767280561,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.78119182014,blanket,adult,warming,underbody
HC BLD GASES O2 SAT ONLY,blood gases oxygen saturation only,bld:blood||gases:gases||o2:oxygen||sat:saturation||only:only||,Monitoring,0.75,Laboratory,0.81,Laboratory,0.468411663091,Laboratory,0.818923759918,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.69911180767,o2,sat,bld,gases
HC BLOOD GLUCOSE TEST STRIP,blood glucose test strip,blood:blood||glucose:glucose||test:test||strip:strip||,Supply,0.85,Supply,0.93,Monitoring,0.417214559374,Monitoring,0.72607430086,Supply,"Jaro, DLevenshtein",2,1,1,0,0,0.445,test,strip,blood,glucose
HC BLOOD TRANSFUSION SERVICE 1 UNIT,blood transfusion service 1_units,blood:blood||transfusion:transfusion||service:service||1_units:1_units||,Nursing Services,0.85,Nursing Services,0.88,Nursing Services,0.533464355212,Nursing Services,0.965880595068,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.80733623757,transfusion,1_units,blood,service
HC CAPILLARY GLUCOSE NOVA METER,capsule glucose nova meter,capillary:capsule||glucose:glucose||nova:nova||meter:meter||,Monitoring,0.85,Monitoring,0.81,Monitoring,0.96,Monitoring,0.994186271754,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.903546567939,capsule,meter,nova,glucose
HC CK MB,creatinine_kinase mb,ck:creatinine_kinase||mb:mb||,Laboratory,0.85,Laboratory,0.81,Laboratory,0.96,Laboratory,0.974842133457,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.898710533364,ck,mb,,
HC CT ANGIOGRAPHY HEAD W/CONTRAST/NONCONTRAST,computed_tomography angiography head w contrast/noncontrast,ct:computed_tomography||angiography:angiography||head:head||with:w||contrast:contrast||noncontrast:noncontrast||,Implant,0.71,Radiology,0.41,Radiology,0.96,Radiology,0.983718035131,Radiology,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.784572678377,angiography,ct,head,noncontrast
HC CVP 2 LUMEN SAFETY CVP,central_venous_pressure 2 lumen safety central_venous_pressure,cvp:central_venous_pressure||2:2||lumen:lumen||safety:safety||cvp:central_venous_pressure||,Laboratory,0.69,Laboratory,0.35,Supply,0.76,Procedure,0.614742399134,Laboratory,"Jaro, DLevenshtein",2,1,1,0,0,0.26,safety,cvp,lumen,
HC DISCONTINUE CENTRAL/ INTRA OSSEOUS LINE,discontinue central/intra osseous line,discontinue:discontinue||central:central||intra:intra||osseous:osseous||line:line||,Pharmacy,0.73,Laboratory,0.41,Supply,0.530111496944,Procedure,0.824678402389,Procedure,DeepNN,1,0,0,0,1,0.206169600597,line,central,osseous,discontinue
HC DRUG SCR UA DOASCR PRESUMPTIVE CLASS A 6 SCREEN,drug screen urinalysis doascr presumptive class a 6 screen,drug:drug||scr:screen||ua:urinalysis||doascr:doascr||presumptive:presumptive||class:class||a:a||6:6||screen:screen||,Radiology,0.71,Supply,0.34,Laboratory,0.925009637082,Laboratory,0.999933021086,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.481235664542,presumptive,screen,drug,ua
HC EMER DEPT HIGH SEVERITY&THREAT FUNCJ,emergency department high severity&threat function,emer:emergency||dept:department||high:high||severity&threat:severity&threat||funcj:function||,Laboratory,0.72,Respiratory Therapy,0.35,PT / OT / Speech Therapy,0.327307765535,PT / OT / Speech Therapy,0.75381723495,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.270281250121,department,high,function,severity&threat
HC EVAL SWALLOW FUNC,evaluation swallow function,eval:evaluation||swallow:swallow||func:function||,PT / OT / Speech Therapy,0.72,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.998523399528,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.872130849882,function,swallow,evaluation,
HC HEMODIALYSIS INPATIENT,hemodialysis inpatient,hemodialysis:hemodialysis||inpatient:inpatient||,Supply,0.75,Supply,0.81,Dialysis,0.406481451577,Dialysis,0.941316014995,Supply,"Jaro, DLevenshtein",2,1,1,0,0,0.39,inpatient,hemodialysis,,
HC HEMOGRAM CBC WITHOUT DIFF,hemogram complete_blood_count without difficile_clostridium,hemogram:hemogram||cbc:complete_blood_count||without:without||diff:difficile_clostridium||,Laboratory,0.78,Laboratory,0.81,Laboratory,0.940111850305,Laboratory,0.997761047956,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.881968224565,cbc,without,hemogram,diff
HC HEPATITIS C VIRUS GENOTYPE,hepatitis cap virus genotype,hepatitis:hepatitis||c:cap||virus:virus||genotype:genotype||,Laboratory,0.85,Laboratory,0.81,Laboratory,0.76,Pharmacy,0.893733697169,Laboratory,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.806666666667,virus,cap,genotype,hepatitis
HC IV INF THER INIT 1ST HR,intravenous infusion therapist initial 1st hour,iv:intravenous||inf:infusion||ther:therapist||init:initial||1st:1st||hr:hour||,Nursing Services,0.85,Nursing Services,0.93,Nursing Services,0.92,Nursing Services,0.9998318784,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.9249579696,hr,initial,inf,ther
HC LEFT HEART CATH,left heart catheter,left:left||heart:heart||cath:catheter||,Supply,0.74,Cardiology,0.47,Supply,0.92,Supply,0.955919176048,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.871973058683,heart,cath,left,
HC PARATHORMONE (PTH),parathormone parathyroid_hormone,parathormone:parathormone||pth:parathyroid_hormone||,Laboratory,0.77,Laboratory,0.81,Laboratory,0.96,Laboratory,0.985912667159,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.88147816679,parathormone,parathyroid_hormone,,
HC PHOSPHORUS,phosphorus,phosphorus:phosphorus||,Laboratory,0.85,Laboratory,0.96,Laboratory,0.96,Laboratory,0.964044218588,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.933511054647,phosphorus,,,
HC PHYSICAL THERAPY EVAL TIER I,physical therapy evaluation tier i,physical:physical||therapy:therapy||eval:evaluation||tier:tier||i:i||,PT / OT / Speech Therapy,0.85,PT / OT / Speech Therapy,0.93,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.999752435506,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.934938108876,tier,evaluation,therapy,physical
HC PLATELETS PHERESIS LEUKOCYTES REDUCED EACH UNIT,platelets pheresis leukocytes reduced each unit,platelets:platelets||pheresis:pheresis||leukocytes:leukocytes||reduced:reduced||each:each||units:unit||,Blood Products,0.71,Blood Products,0.88,Blood Products,0.524341072032,Blood Products,0.996173398725,Blood Products,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.777628617689,pheresis,unit,platelets,reduced
HC POC LACTIC ACID,point_of_care lactic acid,poc:point_of_care||lactic:lactic||acid:acid||,Laboratory,0.85,Laboratory,0.96,Monitoring,0.921098552985,Monitoring,0.999823105247,Monitoring,"Logistic_OvR, DeepNN",2,0,0,1,1,0.480230414558,poc,acid,lactic,
HC PTH INTACT,parathyroid_hormone intact,pth:parathyroid_hormone||intact:intact||,Laboratory,0.85,Laboratory,0.47,Laboratory,0.96,Laboratory,0.950538114985,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.807634528746,intact,pth,,
HC PUMP IMED PC1,pump imed pc1,pump:pump||imed:imed||pc1:pc1||,Capital Equipment,0.71,Laboratory,0.46,Capital Equipment,0.96,Capital Equipment,0.987320403507,Capital Equipment,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.885773467836,pump,pc1,imed,
HC ROOM CHARGE MEDICAL SURGICAL,room charge medical surgical,room:room||charge:charge||medical:medical||surgical:surgical||,Laboratory,0.73,Room and Board,0.48,Room and Board,0.76,Room and Board,0.791260793715,Room and Board,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.677086931238,medical,charge,room,surgical
HC SELF CARE HOME MGMNT OT,self care home management occupational_therapy,self:self||care:care||home:home||mgmnt:management||ot:occupational_therapy||,PT / OT / Speech Therapy,0.76,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.999918403474,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.882479600868,home,self,management,ot
HC SELF-CARE GOAL STATUS,self care goal status,self:self||care:care||goal:goal||status:status||,PT / OT / Speech Therapy,0.79,PT / OT / Speech Therapy,0.93,PT / OT / Speech Therapy,0.585174239746,PT / OT / Speech Therapy,0.988383625513,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.823389466315,status,self,goal,care
HC TCD STD ICRA ART EMBOLI DETCJ W/O IV MBUBB NJX,transcranial standard intracranial arteries emoli detection without intravenous microbubble injection,tcd:transcranial||std:standard||icra:intracranial||art:arteries||emboli:emoli||detcj:detection||without:without||iv:intravenous||mbubb:microbubble||njx:injection||,Monitoring,0.71,Radiology,0.36,Radiology,0.92,Procedure,0.786570049971,Radiology,"DLevenshtein, Logistic_OvR",2,0,1,1,0,0.32,detection,arteries,emoli,microbubble
HC TRANSFUSION BLD/BLD COMPONENTS,transfusion blood/blood components,transfusion:transfusion||bld:blood||bld:blood||components:components||,Nursing Services,0.85,Nursing Services,0.93,Laboratory,0.584180456673,Nursing Services,0.73022784461,Nursing Services,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.83674261487,transfusion,blood,components,
HC US GUIDE VASCU ACCESS,ultrasound guide vascular access,us:ultrasound||guide:guide||vascu:vascular||access:access||,Radiology,0.85,Radiology,0.96,Radiology,0.96,Radiology,0.992458765217,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.940614691304,access,us,guide,vascular
HC-(EACH ADDTL MINUTE) NITRIC OXIDE THERAPY & GAS,each additional minute nitric oxide therapy and_insert gas,each:each||addtl:additional||minute:minute||nitric:nitric||oxide:oxide||therapy:therapy||&:and_insert||gas:gas||,Room and Board,0.73,Plan Benefit,0.44,Plan Benefit,0.945467498311,Plan Benefit,0.999993544333,Plan Benefit,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.795153680881,additional,gas,oxide,&
HCHG ABR-SCREENER HCHG ABR-SCREENER,auditory_brainstem_response screener minutes auditory_brainstem_response screener,abr:auditory_brainstem_response||screener:screener||hchg:minutes||abr:auditory_brainstem_response||screener:screener||,PT / OT / Speech Therapy,0.75,PT / OT / Speech Therapy,0.88,PT / OT / Speech Therapy,0.471593141822,Procedure,0.762708161311,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.700531047274,screener,minutes,auditory_brainstem_response,
HCHG ANESTHESIA PER 15 MIN TO 1HR HCHG ANESTHESIA PER 15 MIN TO 1HR,anesthesia per 15 minutes to 1hr minutes anesthesia per 15 minutes to 1hr,anesthesia:anesthesia||per:per||15:15||min:minutes||to:to||1hr:1hr||hchg:minutes||anesthesia:anesthesia||per:per||15:15||min:minutes||to:to||1hr:1hr||,Supply,0.72,OR / Anesthesia / Recovery Room,0.88,OR / Anesthesia / Recovery Room,0.92,OR / Anesthesia / Recovery Room,0.99964454769,OR / Anesthesia / Recovery Room,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.93321484923,1hr,min,anesthesia,per
HCHG BIPAP FIRST DAY HCHG BIPAP FIRST DAY,bipap first day minutes bipap first day,bipap:bipap||first:first||day:day||hchg:minutes||bipap:bipap||first:first||day:day||,Respiratory Therapy,0.74,Respiratory Therapy,0.88,Respiratory Therapy,0.92,Respiratory Therapy,0.525918246124,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.766479561531,first,minutes,day,bipap
HCHG CIBA HEMOGLOBIN,ciba hemoglobin,ciba:ciba||hemoglobin:hemoglobin||,Laboratory,0.85,Laboratory,0.88,Laboratory,0.92,Laboratory,0.984215706314,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.908553926579,hemoglobin,ciba,,
HCHG CMA-INTERPRETATION AND REPORT HCHG CMA-INTERPRETATION AND REPORT,cma interpretation and report minutes cma interpretation and report,cma:cma||interpretation:interpretation||and:and||report:report||hchg:minutes||cma:cma||interpretation:interpretation||and:and||report:report||,Supply,0.72,Supply,0.44,Laboratory,0.369526266988,Professional Fee,0.802744031815,Supply,"Jaro, DLevenshtein",2,1,1,0,0,0.29,report,minutes,interpretation,cma
HCHG CULTURE AEROBIC ID HCHG CULTURE AEROBIC ID,culture aerobic id minutes culture aerobic id,culture:culture||aerobic:aerobic||id:id||hchg:minutes||culture:culture||aerobic:aerobic||id:id||,Laboratory,0.79,Laboratory,0.88,Laboratory,0.986850669254,Laboratory,0.999982419885,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.914208272285,aerobic,culture,minutes,id
HCHG MUCOLYSACCHARIDES HCHG MUCOLYSACCHARIDES,mucolysaccharides minutes mucolysaccharides,mucolysaccharides:mucolysaccharides||hchg:minutes||mucolysaccharides:mucolysaccharides||,Laboratory,0.73,Laboratory,0.48,OR / Anesthesia / Recovery Room,0.406118098128,Procedure,0.644365136048,Laboratory,"Jaro, DLevenshtein",2,1,1,0,0,0.3025,mucolysaccharides,minutes,,
HCHG PHOSPHATASE ALKALINE HCHG PHOSPHATASE ALKALINE,phosphatase alkaline minutes phosphatase alkaline,phosphatase:phosphatase||alkaline:alkaline||hchg:minutes||phosphatase:phosphatase||alkaline:alkaline||,Laboratory,0.77,Laboratory,0.48,Laboratory,0.900140962152,Laboratory,0.990417264929,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.78513955677,alkaline,minutes,phosphatase,
HCHG POC STICK GLUCOSE HCHG POC STICK GLUCOSE,point_of_care stick glucose minutes point_of_care stick glucose,poc:point_of_care||stick:stick||glucose:glucose||hchg:minutes||poc:point_of_care||stick:stick||glucose:glucose||,Monitoring,0.85,Monitoring,0.93,Monitoring,0.982973358963,Monitoring,0.999999724322,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.940743270821,poc,minutes,stick,glucose
HCHG RETICULOCYTE COUNT HCHG RETICULOCYTE COUNT,reticulocyte count minutes reticulocyte count,reticulocyte:reticulocyte||count:count||hchg:minutes||reticulocyte:reticulocyte||count:count||,Laboratory,0.72,Laboratory,0.48,Laboratory,0.906574338529,Laboratory,0.997024028283,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.775899591703,reticulocyte,count,minutes,
HCHG SENSITIVITY MIC HCHG SENSITIVITY MIC,sensitivity microclave minutes sensitivity microclave,sensitivity:sensitivity||mic:microclave||hchg:minutes||sensitivity:sensitivity||mic:microclave||,Laboratory,0.69,Respiratory Therapy,0.41,Laboratory,0.92,Procedure,0.932398393611,Laboratory,"Jaro, Logistic_OvR",2,1,0,1,0,0.4025,sensitivity,minutes,mic,
HCHG SUGARS MULTIPLE QUANT HCHG SUGARS MULTIPLE QUANT,sugars multiple quantitative minutes sugars multiple quantitative,sugars:sugars||multiple:multiple||quant:quantitative||hchg:minutes||sugars:sugars||multiple:multiple||quant:quantitative||,Respiratory Therapy,0.7,Respiratory Therapy,0.39,Laboratory,0.964515403156,Laboratory,0.999781839425,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.491074310645,quant,sugars,multiple,minutes
HCHG THERAPY FUNCTIONAL 15 MIN HCHG THERAPY FUNCTIONAL 15 MIN,therapy functional 15 minutes oxygen therapy functional 15 minutes,therapy:therapy||functional:functional||15:15||min:minutes||hchg:oxygen||therapy:therapy||functional:functional||15:15||min:minutes||,Laboratory,0.75,Laboratory,0.81,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.996167010751,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.489041752688,min,therapy,functional,oxygen
HCHG US RETROPERITIONEAL HCHG US RETROPERITIONEAL,ultrasound retroperitioneal minutes ultrasound retroperitioneal,us:ultrasound||retroperitioneal:retroperitioneal||hchg:minutes||us:ultrasound||retroperitioneal:retroperitioneal||,Respiratory Therapy,0.77,Supply,0.47,Radiology,0.900973042207,Radiology,0.979508421043,Radiology,"Logistic_OvR, DeepNN",2,0,0,1,1,0.470120365812,us,retroperitioneal,minutes,
HCT ISTAT,hematocrit istat,hct:hematocrit||istat:istat||,Laboratory,0.79,Supply,0.88,Laboratory,0.478668740629,Monitoring,0.753452571265,Laboratory,"Jaro, Logistic_OvR",2,1,0,1,0,0.317167185157,hct,istat,,
HEMATOCRIT AUTOMATED,hematocrit automated,hematocrit:hematocrit||automated:automated||,Laboratory,0.85,Laboratory,0.81,Laboratory,0.92,Laboratory,0.973735990499,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.888433997625,hematocrit,automated,,
HEMOCLIP MEDIUM LT200,hemoclip medium lt200,hemoclip:hemoclip||medium:medium||lt200:lt200||,Laboratory,0.7,Diluent / Flush / Irrigant,0.42,Supply,0.92,Pharmacy,0.828904082099,Supply,Logistic_OvR,1,0,0,1,0,0.23,medium,lt200,hemoclip,
HEMODIALYSIS IP,hemodialysis inpatient,hemodialysis:hemodialysis||ip:inpatient||,Dialysis,0.73,Laboratory,0.81,Dialysis,0.406481451577,Dialysis,0.941316014995,Dialysis,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.692599155524,ip,hemodialysis,,
HEMOGRAM,hemogram,hemogram:hemogram||,Laboratory,0.78,Laboratory,0.81,Laboratory,0.174287052337,Laboratory,0.276754427139,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.510260369869,hemogram,,,
HEPARIN 100 UT/ML  3 ML SYRINGE-HEPARIN LOCK SYRINGE 100 UT/ML  3 M,heparin 100_units/ml 3_ml syringe heparin lock syringe 100_units/ml 3 m,heparin:heparin||100_ut:100_units||ml:ml||3_ml:3_ml||syringe:syringe||heparin:heparin||lock:lock||syringe:syringe||100_ut:100_units||ml:ml||3:3||m:m||,Diluent / Flush / Irrigant,0.76,Diluent / Flush / Irrigant,0.4,Diluent / Flush / Irrigant,0.970509738229,Diluent / Flush / Irrigant,0.999968462599,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.782619550207,heparin,syringe,100_units/ml,3_ml
HEPARIN 12.5 UNITS,heparin 12.5_units,heparin:heparin||12.5_units:12.5_units||,Pharmacy,0.85,Pharmacy,0.93,Diluent / Flush / Irrigant,0.581738947045,Diluent / Flush / Irrigant,0.856706480878,Pharmacy,"Jaro, DLevenshtein",2,1,1,0,0,0.445,heparin,12.5_units,,
HEPARIN FLUSH (PORCINE) 100 UNIT/ML SOLN 3 ML SYRINGE,heparin flush porcine 100_units/ml solution 3_ml syringe,heparin:heparin||flush:flush||porcine:porcine||100_unit:100_units||ml:ml||soln:solution||3_ml:3_ml||syringe:syringe||,Diluent / Flush / Irrigant,0.85,Diluent / Flush / Irrigant,0.93,Diluent / Flush / Irrigant,0.905854021999,Diluent / Flush / Irrigant,0.999885444134,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.921434866533,heparin,100_units/ml,flush,soln
HEPARIN FLUSH 10ML 00000005.000,heparin flush 10_ml 5,heparin:heparin||flush:flush||10ml:10_ml||00000005.000:5||,Pharmacy,0.85,Pharmacy,0.81,Diluent / Flush / Irrigant,0.948534005841,Diluent / Flush / Irrigant,0.999966910455,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",2,0,0,1,1,0.487125229074,heparin,10_ml,flush,
HEPARIN SODIUM LOCK FLUSH 1,heparin sodium lock flush 1,heparin:heparin||sodium:sodium||lock:lock||flush:flush||1:1||,Diluent / Flush / Irrigant,0.85,Diluent / Flush / Irrigant,0.88,Diluent / Flush / Irrigant,0.957868924257,Diluent / Flush / Irrigant,0.999997888447,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.921966703176,heparin,lock,flush,sodium
HEPARIN/1000UN (5000/ML)1 1 DOSE,heparin/1000un 5000/ml 1 1 dose,heparin:heparin||1000un:1000un||5000:5000||ml:ml||1:1||1:1||dose:dose||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.562226926003,Diluent / Flush / Irrigant,0.695098671607,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.764075642001,5000/ml,heparin/1000un,dose,
HEPATITIS B VACCINE 5 MCG/0.5 ML SYRG,hepatitis b vaccine 5 mcg/0.5_ml syringe,hepatitis:hepatitis||b:b||vaccine:vaccine||5:5||mcg:mcg||0.5_ml:0.5_ml||syrg:syringe||,Pharmacy,0.72,Pharmacy,0.49,Pharmacy,0.954155592996,Pharmacy,0.999981577414,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.791034292603,syrg,mcg/0.5_ml,b,vaccine
HIGH FLOW THERAPY,high flow therapy,high:high||flow:flow||therapy:therapy||,Laboratory,0.75,Supply,0.88,Respiratory Therapy,0.356877661356,Procedure,0.417201304124,Supply,DLevenshtein,1,0,1,0,0,0.22,high,therapy,flow,
HIV1 AG WITH HIV1 & HIV2 A,hiv1 silver w hiv1 and_insert human_immunodeficiency_virus_2 a,hiv1:hiv1||ag:silver||with:w||hiv1:hiv1||&:and_insert||hiv2:human_immunodeficiency_virus_2||a:a||,Laboratory,0.62,Laboratory,0.33,Laboratory,0.96,Laboratory,0.643814208618,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.638453552155,hiv1,&,hiv2,silver
HLA X-MATCH 1ST SER SAMP (,hla x match 1st serum sample,hla:hla||x:x||match:match||1st:1st||ser:serum||samp:sample||,Capital Equipment,0.75,Pharmacy,0.42,Laboratory,0.921731276233,Laboratory,0.999709965121,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.480360310339,samp,hla,1st,x
HSV 1 2 IGM,hsv 1 2 immunoglobulin_m,hsv:hsv||1:1||2:2||igm:immunoglobulin_m||,Capital Equipment,0.67,Radiology,0.4,Laboratory,0.92,Laboratory,0.515688356274,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.358922089069,hsv,igm,,
